NUMERO;PROMEDIO_UNO;PROMEDIO_DOS;NOTA_EE_DOS;PROMEDIO_TRES;NOTA_MULTIVARIADO;NOTA_FISICA_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_PROCESOSM;NOTA_ADMINISTRACION;NOTA_LENGUA_UNO;NOTA_EI_UNO;NOTA_EI_DOS;PROMEDIO_SEIS;NAC_SEIS;NOTA_PLINEAL;NOTA_IECONOMICA;NOTA_DISENO;NOTA_METODOS;NOTA_EI_TRES;PROMEDIO_SIETE;CAR_SIETE;NCC_SIETE;NCA_SIETE;NCP_SIETE;NAC_SIETE;NAA_SIETE;NAP_SIETE;EPA_SIETE;NOTA_EMPRENDIMIENTO;VECES_EMPRENDIMIENTO;CREDITOS_EMPRENDIMIENTO;NOTA_GRAFOS;VECES_GRAFOS;CREDITOS_GRAFOS;NOTA_CALIDAD_UNO;VECES_CALIDAD_UNO;CREDITOS_CALIDAD_UNO;NOTA_MERCADOTECNIA;VECES_MERCADOTECNIA;CREDITOS_MERCADOTECNIA;NOTA_ERGONOMIA;VECES_ERGONOMIA;CREDITOS_ERGONOMIA;NOTA_HOMBRE;VECES_HOMBRE;CREDITOS_HOMBRE;NOTA_EI_CUATRO;VECES_EI_CUATRO;CREDITOS_EI_CUATRO;NOTA_EI_CINCO;VECES_EI_CINCO;CREDITOS_EI_CINCO;RENDIMIENTO_OCHO;PROMEDIO_OCHO
363;41.13333333333333;40.1764705882353;44.0;38.44444444444444;45.0;19.0;0;35.69607843137254;30.0;35.0;46.66666666666666;41.0;44.0;37.64705882352941;8;32.0;31.0;48.0;40.0;42;32.53333333333333;1;15;13;2;8;7;1;2;30.0;1;2;15.0;2;2;39.0;1;2;31.0;1;2;44.0;1;2;42.0;1;1;30.0;1;2;34.0;1;2;2;34.71428571428572
367;34.73333333333333;39.76470588235294;43.0;36.44444444444444;35.0;40.0;44;35.29411764705883;34.0;39.0;32.0;42.0;44.0;36.05882352941177;8;30.0;42.0;47.0;31.0;31;39.33333333333334;1;15;13;2;8;7;1;2;34.0;1;2;45.0;1;2;42.0;1;2;43.0;1;2;41.0;1;2;44.0;1;1;42.0;1;2;26.0;2;2;2;36.35714285714285
369;30.03333333333333;31.29411764705882;36.0;28.25;30.0;29.5;0;33.05882352941177;31.0;38.0;40.0;39.0;41.0;30.3;5;21.0;0.0;36.0;0.0;0;35.11111111111111;0;9;9;0;5;5;0;2;32.0;1;2;0.0;0;2;30.0;1;2;35.0;1;2;43.0;1;2;36.0;1;1;0.0;0;2;0.0;0;2;1;29.25
373;29.59444444444444;30.41176470588235;12.0;28.5;25.0;39.0;0;34.70588235294117;33.0;39.0;42.0;36.0;14.0;35.33333333333334;7;27.66666666666667;26.0;41.0;35.0;0;39.63636363636363;0;11;11;0;6;6;0;2;43.0;1;2;37.0;1;2;37.0;1;2;45.0;1;2;35.0;1;2;42.0;1;1;0.0;0;2;0.0;0;2;2;31.6
375;34.33333333333334;32.41176470588236;38.0;34.0;30.0;30.0;50;37.44117647058823;41.0;40.0;36.0;39.0;46.0;37.41176470588236;8;28.0;36.0;40.0;37.0;39;37.46666666666667;0;15;15;0;8;8;0;2;33.0;1;2;47.0;1;2;36.0;1;2;31.0;1;2;40.0;1;2;42.0;1;1;39.0;1;2;34.0;1;2;2;39.10714285714285
393;36.8;39.23529411764706;41.0;37.77777777777778;30.0;36.0;45;36.94117647058823;34.0;36.0;39.0;41.0;43.0;38.0;8;31.0;43.0;47.0;33.0;32;41.26666666666667;0;15;15;0;8;8;0;2;33.0;1;2;48.0;1;2;44.0;1;2;43.0;1;2;41.0;1;2;41.0;1;1;36.0;1;2;44.0;1;2;2;39.78571428571428
394;33.93333333333333;37.41176470588236;38.0;37.61111111111111;33.0;40.0;38;34.29411764705883;34.0;39.0;39.0;41.0;33.0;34.20588235294117;8;28.5;34.0;30.0;35.0;32;37.33333333333334;1;15;13;2;8;7;1;2;45.0;1;2;32.0;1;2;33.0;1;2;29.0;2;2;43.0;1;2;40.0;1;1;43.0;1;2;35.0;1;2;2;33.21428571428572
398;35.53333333333333;37.64705882352941;40.0;37.66666666666666;35.0;38.0;0;35.94117647058823;31.0;38.0;44.0;40.0;37.0;34.85294117647059;8;25.5;29.0;47.0;30.0;35;36.2;0;15;15;0;8;8;0;2;30.0;1;2;38.0;1;2;40.0;1;2;32.0;1;2;40.0;1;2;41.0;1;1;33.0;1;2;38.0;1;2;2;35.89285714285715
403;36.66666666666666;35.8235294117647;37.0;33.55555555555556;30.0;30.0;42;36.64705882352941;30.0;39.0;50.0;39.0;49.0;35.64705882352941;8;31.0;31.0;38.0;37.0;34;40.6;0;15;15;0;8;8;0;2;41.0;1;2;40.0;1;2;43.0;1;2;37.0;1;2;44.0;1;2;41.0;1;1;40.0;1;2;39.0;1;2;2;35.42857142857143
410;37.0;35.58823529411764;40.0;32.02777777777778;27.5;32.0;46;37.52941176470588;33.0;41.0;48.0;40.0;39.0;36.58823529411764;8;26.0;43.0;44.0;36.0;32;37.93333333333333;0;15;15;0;8;8;0;2;31.0;1;2;49.0;1;2;37.0;1;2;34.0;1;2;44.0;1;2;41.0;1;1;34.0;1;2;35.0;1;2;2;37.78571428571428
