EPA_DOS;NOTA_TOP;NOTA_PROGB;NOTA_FIS_UNO;NOTA_HIST;LITERATURA_ICFES;NOTA_INT;VECES_TOP;NCA_UNO;IDIOMA_ICFES;NAP_UNO;VECES_HIST;NOTA_EYB;NOTA_DIF;BIOLOGIA_ICFES;NCP_UNO;NOTA_DITO;NAA_DOS;NCA_DOS;CAR_DOS;NOTA_SEM;VECES_PROGB;VECES_INT;CON_MAT_ICFES;VECES_ALGEBRA;NAC_DOS;NAA_UNO;NAP_DOS;NOTA_ALGEBRA;NOTA_CD&C;NCP_DOS;NOTA_ASES;NCC_DOS;VECES_FIS_UNO;NOTA_TEXTOS;QUIMICA_ICFES;FILOSOFIA_ICFES;VECES_ASES;GENERO;VECES_EYB;CREDITOS_ASES;CREDITOS_EYB;CREDITOS_FIS_UNO;CREDITOS_PROGB;CREDITOS_TOP;PROMEDIO_DOS;PROMEDIO_UNO;CREDITOS_INT;RENDIMIENTO_TRES;PROMEDIO_TRES
2;35;30;35;50;60.56;35;1;15.0;57.13;0;1;45;30;62.35;0.0;40;6;17.0;0;45;1;1;52.06;1;6;7;0;40;35;0.0;30;17.0;1;45;57.92;55.82;1;1;1;3;2;3;3;3;34.411764705882355;39.333333333333336;3;2.0;37.5
2;35;30;35;45;60.56;30;1;15.0;67.6;0;1;35;30;53.85;0.0;40;6;17.0;1;40;1;1;58.89;1;6;7;0;40;35;0.0;40;17.0;1;45;64.78;42.25;2;1;1;3;2;3;3;3;34.11764705882353;38.333333333333336;3;2.0;36.05555555555556
2;40;30;40;45;57.32;30;1;15.0;61.22;0;1;45;40;62.54;0.0;40;6;17.0;0;45;1;1;55.71;1;6;7;0;50;35;0.0;35;17.0;1;40;52.34;32.22;1;0;1;3;2;3;3;3;36.1764705882353;42.666666666666664;3;2.0;38.333333333333336
2;40;30;35;45;62.71;40;1;15.0;48.43;0;1;40;30;51.96;0.0;35;6;17.0;1;45;1;2;54.33;1;6;7;0;30;35;0.0;30;17.0;1;40;54.29;44.72;1;1;1;3;2;3;3;3;35.588235294117645;35.333333333333336;3;2.0;36.94444444444444
2;30;30;30;45;62.71;30;1;15.0;37.51;0;1;40;30;50.09;0.0;35;6;17.0;1;40;1;2;61.26;1;6;7;0;40;30;0.0;30;17.0;1;40;54.29;48.98;1;1;1;3;2;3;3;3;31.176470588235293;36.666666666666664;3;2.0;34.94444444444444
2;35;30;30;45;54.66;35;1;15.0;43.48;0;1;40;35;42.4;0.0;40;6;17.0;0;45;1;1;47.41;1;6;7;0;30;30;0.0;30;17.0;1;40;47.67;48.98;1;0;1;3;2;3;3;3;32.94117647058823;37.0;3;2.0;36.888888888888886
2;30;30;30;45;53.57;30;1;15.0;47.79;0;1;35;30;48.64;0.0;35;6;17.0;2;45;2;1;52.61;3;6;7;0;30;35;0.0;30;17.0;1;35;49.01;51.72;3;0;1;3;2;3;3;3;30.58823529411765;34.666666666666664;3;2.0;34.5
2;40;35;30;45;45.12;30;1;15.0;37.51;0;1;40;35;46.32;0.0;35;6;17.0;3;45;3;1;49.84;1;6;7;0;40;30;0.0;30;17.0;2;40;48.83;39.64;2;0;1;3;2;3;3;3;33.8235294117647;38.333333333333336;3;2.0;35.05555555555556
1;40;40;30;35;49.15;0;3;15.0;42.2;0;1;35;30;44.38;0.0;30;4;11.0;4;45;4;2;47.48;1;6;7;2;30;30;6.0;20;17.0;1;45;50.5;41.86;3;0;1;3;2;3;3;3;27.058823529411764;33.666666666666664;3;1.0;27.375
2;35;30;35;40;62.59;30;1;15.0;46.06;0;1;35;35;52.41;0.0;35;6;17.0;2;40;2;3;55.9;1;6;7;0;30;30;0.0;30;17.0;1;45;45.02;56.81;1;0;1;3;2;3;3;3;32.35294117647059;36.0;3;2.0;31.666666666666668
