NOTA_ALGEBRA;NOTA_DITO;NOTA_TEXTOS;NOTA_CD&C;NCA_UNO;NAA_UNO;BIOLOGIA_ICFES;NOTA_HIST;QUIMICA_ICFES;NOTA_SEM;FILOSOFIA_ICFES;IDIOMA_ICFES;LITERATURA_ICFES;NOTA_DIF;CON_MAT_ICFES;NAP_UNO;VECES_HIST;VECES_ALGEBRA;NCP_UNO;GENERO;EPA_UNO;VECES_DIF;VECES_DITO;VECES_SEM;VECES_CD&C;VECES_TEXTOS;CAR_UNO;LOCALIDAD;NAC_UNO;CREDITOS_DIF;NCC_UNO;CREDITOS_TEXTOS;CREDITOS_SEM;CREDITOS_ALGEBRA;PROMEDIO_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS
40;35;40;30;15.0;7;46.32;45;48.83;45;39.64;37.51;45.12;35;49.84;0;1;1;0.0;0;2;1;1;1;1;1;0;8;7;4;15.0;2;1;3;38.333333333333336;2.0;33.8235294117647
30;30;45;30;15.0;7;44.38;35;50.5;45;41.86;42.2;49.15;30;47.48;0;1;1;0.0;0;2;3;2;1;1;1;2;11;7;4;15.0;2;1;3;33.666666666666664;1.0;27.058823529411764
30;35;45;30;15.0;7;52.41;40;45.02;40;56.81;46.06;62.59;35;55.9;0;1;1;0.0;0;2;2;1;1;1;1;1;7;7;4;15.0;2;1;3;36.0;2.0;32.35294117647059
40;40;45;30;15.0;7;53.57;40;50.66;45;51.72;50.37;57.57;35;85.34;0;1;1;0.0;0;2;1;1;1;1;1;0;10;7;4;15.0;2;1;3;39.0;1.0;20.0
45;35;45;30;15.0;7;56.75;45;49.97;45;47.61;48.65;60.02;35;58.5;0;1;1;0.0;0;2;1;1;1;1;1;0;20;7;4;15.0;2;1;3;40.0;2.0;36.1764705882353
30;30;30;30;15.0;7;40.27;45;46.0;45;44.33;55.84;52.77;30;56.59;0;1;4;0.0;0;2;3;3;1;1;1;3;10;7;4;15.0;2;1;3;33.0;2.0;30.470588235294116
30;35;30;30;15.0;7;57.49;35;43.56;40;39.54;50.37;55.65;30;63.76;0;1;2;0.0;0;2;2;1;1;1;1;2;11;7;4;15.0;2;1;3;32.0;2.0;34.94117647058823
35;40;30;45;15.0;7;50.99;45;53.59;45;42.4;87.56;49.34;40;58.22;0;1;1;0.0;0;2;1;1;1;1;1;0;12;7;4;15.0;2;1;3;39.0;2.0;33.8235294117647
30;30;35;40;15.0;7;44.0;40;48.33;45;47.29;52.09;53.24;30;53.16;0;1;1;0.0;1;2;2;1;1;1;1;1;20;7;4;15.0;2;1;3;33.666666666666664;2.0;35.294117647058826
40;40;30;35;15.0;7;53.84;45;57.36;40;42.25;81.05;54.87;35;45.01;0;1;2;0.0;0;2;2;2;1;1;1;3;20;7;4;15.0;2;1;3;37.666666666666664;2.0;37.35294117647059
35;30;35;45;15.0;7;53.84;45;53.84;35;48.98;57.13;54.87;30;47.48;0;1;1;0.0;0;2;1;1;1;1;1;0;10;7;4;15.0;2;1;3;35.0;2.0;34.411764705882355
30;35;30;30;15.0;7;55.27;40;55.37;40;52.09;53.32;57.88;30;63.76;0;1;1;0.0;0;2;2;2;1;1;1;2;7;7;4;15.0;2;1;3;32.666666666666664;2.0;33.23529411764706
15;20;40;40;4.0;3;47.79;20;36.34;40;28.53;43.48;57.32;15;50.54;4;3;3;11.0;0;1;2;1;1;1;1;3;3;7;4;15.0;2;1;3;23.0;1.0;15.0
40;35;30;40;15.0;7;53.11;40;50.23;40;42.11;47.79;51.41;40;78.81;0;1;1;0.0;0;2;1;1;1;1;1;0;6;7;4;15.0;2;1;3;38.0;2.0;32.35294117647059
35;35;30;40;15.0;7;62.54;40;54.01;40;48.41;67.6;57.32;30;65.16;0;1;1;0.0;0;2;1;1;1;1;1;0;6;7;4;15.0;2;1;3;34.333333333333336;2.0;34.705882352941174
20;30;30;45;12.0;6;51.96;40;44.28;30;39.26;65.86;50.87;30;58.89;1;1;3;3.0;0;2;2;2;1;2;1;4;8;7;4;15.0;2;1;3;30.333333333333332;2.0;40.0
35;30;30;45;15.0;7;46.34;40;54.29;40;47.08;45.98;46.97;35;52.06;0;1;1;0.0;0;2;1;1;1;1;1;0;4;7;4;15.0;2;1;3;35.333333333333336;2.0;31.470588235294116
30;30;30;40;15.0;7;56.75;35;45.02;40;61.69;48.65;53.24;30;66.96;0;1;1;0.0;0;2;3;1;1;1;1;1;16;7;4;15.0;2;1;3;32.0;2.0;31.294117647058822
30;30;35;35;15.0;7;50.31;40;59.09;40;49.72;44.34;51.14;30;58.3;0;1;2;0.0;0;2;2;1;1;3;4;4;6;7;4;15.0;2;1;3;33.0;2.0;30.58823529411765
30;35;30;35;15.0;7;50.31;40;51.64;45;39.54;46.92;53.24;30;74.56;0;1;1;0.0;0;2;1;1;1;1;2;1;20;7;4;15.0;2;1;3;33.333333333333336;2.0;35.0
30;30;35;40;15.0;7;41.79;40;49.97;40;47.29;50.37;44.9;30;55.7;0;1;1;0.0;0;2;1;1;1;1;1;0;8;7;4;15.0;2;1;3;33.333333333333336;2.0;32.05882352941177
35;35;40;40;15.0;7;64.97;45;52.59;40;44.72;45.98;44.91;30;61.26;0;1;1;0.0;0;2;2;1;1;1;1;1;11;7;4;15.0;2;1;3;36.333333333333336;2.0;32.94117647058823
30;30;30;35;11.0;6;49.87;35;52.34;40;50.76;40.88;45.01;25;60.49;1;1;1;4.0;0;2;7;1;1;1;1;1;20;7;4;15.0;2;1;3;30.333333333333332;2.0;33.18181818181818
39;31;38;30;15.0;7;64.97;30;56.05;31;39.26;45.98;46.97;30;63.73;0;1;3;0.0;0;2;4;2;3;3;2;6;11;7;4;15.0;2;1;3;33.06666666666667;2.0;37.1764705882353
30;40;45;40;15.0;7;62.54;40;47.22;40;55.47;50.87;64.21;30;55.71;0;1;1;0.0;1;2;1;1;1;1;1;0;8;7;4;15.0;2;1;3;36.0;2.0;32.94117647058823
25;30;40;40;8.0;5;55.79;40;50.5;35;47.08;44.74;47.18;15;56.71;2;1;5;7.0;1;1;5;1;1;1;1;2;7;7;4;15.0;2;1;3;28.666666666666668;2.0;31.0
30;35;30;35;15.0;7;51.21;40;47.16;40;43.2;36.79;68.15;30;58.86;0;1;1;0.0;0;2;1;1;1;1;2;1;11;7;4;15.0;2;1;3;33.0;2.0;32.35294117647059
30;30;30;40;15.0;7;55.79;35;57.36;30;36.44;58.45;56.79;30;52.15;0;1;4;0.0;0;2;5;1;1;1;1;2;20;7;4;15.0;2;1;3;31.333333333333332;2.0;33.411764705882355
30;35;35;40;15.0;7;51.96;40;54.29;45;49.38;47.21;56.57;30;58.89;0;1;1;0.0;1;2;2;1;1;1;1;1;20;7;4;15.0;2;1;3;34.333333333333336;2.0;31.176470588235293
35;35;45;40;15.0;7;53.11;40;39.86;45;42.11;50.37;65.59;30;60.92;0;1;1;0.0;1;2;1;1;1;1;1;0;19;7;4;15.0;2;1;3;36.666666666666664;2.0;31.176470588235293
20;30;35;30;8.0;5;58.09;40;52.34;40;41.05;83.41;59.48;20;50.54;2;1;4;7.0;0;1;4;2;1;1;2;4;19;7;4;15.0;2;1;3;28.0;1.0;15.0
30;35;35;35;15.0;7;55.8;35;54.29;35;47.08;76.45;46.97;30;56.59;0;1;2;0.0;0;2;2;2;1;3;3;5;19;7;4;15.0;2;1;3;32.666666666666664;2.0;34.294117647058826
20;35;30;30;8.0;5;57.84;35;56.05;35;53.92;52.09;54.66;20;47.41;2;1;2;7.0;0;1;2;1;1;1;2;3;20;7;4;15.0;2;1;3;27.0;1.0;25.0
30;35;35;40;15.0;7;50.07;45;52.16;45;39.64;48.43;45.12;30;52.15;0;1;2;0.0;0;2;2;1;1;1;1;2;19;7;4;15.0;2;1;3;35.0;2.0;37.8235294117647
30;40;35;35;15.0;7;54.55;45;57.04;35;52.09;58.59;62.59;30;63.86;0;1;2;0.0;0;2;2;2;1;2;2;5;7;7;4;15.0;2;1;3;34.666666666666664;2.0;37.64705882352941
35;40;45;40;15.0;7;44.0;45;55.14;40;52.13;50.37;65.43;30;64.09;0;1;1;0.0;1;2;1;1;1;1;1;0;8;7;4;15.0;2;1;3;37.666666666666664;2.0;33.23529411764706
20;20;25;35;4.0;3;62.36;40;59.25;40;53.52;48.43;54.87;15;49.84;4;1;2;11.0;1;1;2;2;1;1;2;4;20;7;4;15.0;2;1;3;24.333333333333332;2.0;40.0
15;15;15;15;0.0;0;48.51;15;50.51;15;50.82;46.51;52.33;15;52.1;7;1;3;15.0;0;1;2;3;3;1;2;5;4;7;4;15.0;2;1;3;15.0;1.0;15.0
30;35;30;35;15.0;7;46.16;40;55.66;30;51.78;49.6;47.41;30;53.42;0;1;3;0.0;0;2;2;1;1;1;1;2;4;7;4;15.0;2;1;3;32.333333333333336;2.0;33.92857142857143
30;30;35;45;15.0;7;57.84;40;53.84;40;47.08;58.45;56.79;30;49.84;0;1;1;0.0;1;2;3;1;1;1;3;2;10;7;4;15.0;2;1;3;33.666666666666664;2.0;37.0
35;40;30;45;15.0;7;55.53;45;47.6;45;60.49;55.64;53.3;30;53.42;0;1;1;0.0;0;2;2;1;1;1;1;1;20;7;4;15.0;2;1;3;36.333333333333336;2.0;35.76470588235294
30;30;30;30;15.0;7;51.96;35;50.94;30;48.98;47.21;44.91;30;56.59;0;1;4;0.0;0;2;4;1;1;1;2;3;11;7;4;15.0;2;1;3;30.666666666666668;2.0;33.8235294117647
35;40;45;45;11.0;6;48.2;50;50.5;30;46.69;37.51;52.97;15;47.48;1;1;1;4.0;1;2;3;1;1;1;1;1;20;7;4;15.0;2;1;3;34.0;1.0;16.636363636363637
30;30;40;40;15.0;7;55.22;40;41.14;40;59.08;41.03;61.76;30;51.32;0;1;3;0.0;1;2;2;1;1;1;1;2;3;7;4;15.0;2;1;3;34.0;2.0;30.294117647058822
30;40;35;35;15.0;7;57.36;35;49.26;30;56.09;55.64;53.3;30;58.15;0;1;1;0.0;1;2;1;1;1;1;1;0;5;7;4;15.0;2;1;3;33.0;2.0;36.470588235294116
30;40;35;40;15.0;7;44.38;40;48.83;40;53.52;39.11;58.76;35;59.02;0;1;1;0.0;1;2;1;1;1;1;1;0;20;7;4;15.0;2;1;3;36.0;2.0;37.94117647058823
30;35;35;40;15.0;7;46.34;35;47.67;35;41.86;52.09;58.52;35;49.77;0;1;2;0.0;0;2;2;1;1;1;1;2;8;7;4;15.0;2;1;3;34.333333333333336;2.0;33.23529411764706
40;30;35;30;15.0;7;57.84;30;48.83;35;42.25;48.43;47.18;30;52.15;0;4;3;0.0;0;2;3;1;1;2;1;4;9;7;4;15.0;2;1;3;33.0;2.0;31.142857142857142
30;25;40;40;13.0;6;62.54;40;52.34;40;41.05;40.88;47.14;30;62.82;1;1;2;2.0;0;2;2;2;1;1;1;3;8;7;4;15.0;2;1;3;33.333333333333336;2.0;40.0
15;15;35;35;5.0;3;51.96;40;42.49;25;55.82;39.11;54.66;15;42.36;4;1;2;10.0;1;1;1;1;2;1;1;2;11;7;4;15.0;2;1;3;23.0;1.0;16.363636363636363
20;35;35;35;8.0;5;50.09;40;56.05;35;41.86;53.32;52.77;20;61.26;2;1;3;7.0;0;1;3;1;1;1;1;2;7;7;4;15.0;2;1;3;28.666666666666668;2.0;30.90909090909091
30;35;40;40;15.0;7;53.11;40;45.27;45;52.09;42.2;53.5;35;55.63;0;1;2;0.0;1;2;1;1;1;1;1;1;7;7;4;15.0;2;1;3;36.333333333333336;2.0;33.23529411764706
40;30;35;40;15.0;7;53.84;40;48.83;40;39.26;40.89;47.18;30;54.43;0;1;3;0.0;1;2;2;1;1;1;1;2;17;7;4;15.0;2;1;3;35.333333333333336;1.0;26.857142857142858
30;35;40;45;15.0;7;50.07;45;55.57;45;36.82;49.65;47.18;30;47.48;0;1;2;0.0;0;2;3;1;1;1;1;2;4;7;4;15.0;2;1;3;36.0;2.0;32.1764705882353
35;35;40;40;15.0;7;46.74;40;51.89;40;54.45;49.51;55.65;30;53.09;0;1;2;0.0;0;2;1;1;1;1;1;1;11;7;4;15.0;2;1;3;35.666666666666664;2.0;30.58823529411765
30;40;40;40;15.0;7;51.96;45;47.67;40;46.69;52.09;54.66;35;52.06;0;1;1;0.0;1;2;1;1;1;1;1;0;8;7;4;15.0;2;1;3;37.333333333333336;2.0;35.588235294117645
15;30;40;40;8.0;5;48.2;40;55.57;35;41.86;39.11;49.15;25;52.15;2;1;5;7.0;1;1;5;1;1;1;1;2;19;7;4;15.0;2;1;3;29.333333333333332;2.0;40.0
20;40;35;40;8.0;5;55.79;45;50.5;40;51.25;47.21;52.97;25;52.15;2;1;4;7.0;0;2;4;1;1;1;1;2;19;7;4;15.0;2;1;3;32.0;1.0;29.545454545454547
30;30;40;40;15.0;7;51.63;40;44.7;40;46.43;45.31;51.43;30;55.73;0;1;2;0.0;0;2;1;1;1;1;1;1;20;7;4;15.0;2;1;3;34.0;2.0;30.176470588235293
30;40;40;40;15.0;7;51.63;45;52.03;40;41.62;50.67;49.09;30;40.15;0;1;3;0.0;1;2;3;1;1;1;1;2;20;7;4;15.0;2;1;3;36.0;2.0;32.94117647058823
35;40;40;45;15.0;7;50.07;40;48.83;45;44.33;49.65;47.18;30;47.48;0;1;2;0.0;0;2;2;1;1;1;1;2;10;7;4;15.0;2;1;3;37.0;2.0;35.88235294117647
30;40;35;45;15.0;7;50.07;45;52.16;35;42.25;47.21;49.15;30;36.42;0;1;3;0.0;1;2;2;1;1;1;1;2;7;7;4;15.0;2;1;3;35.333333333333336;2.0;33.705882352941174
35;30;30;45;15.0;7;44.41;40;52.59;35;47.08;47.21;54.66;30;52.06;0;1;2;0.0;1;2;3;1;1;1;1;2;11;7;4;15.0;2;1;3;33.666666666666664;2.0;33.8235294117647
30;40;40;40;15.0;7;64.49;45;40.8;40;52.99;52.42;62.72;30;48.67;0;1;3;0.0;1;2;1;1;1;1;1;1;7;7;4;15.0;2;1;3;36.0;2.0;32.05882352941177
30;40;35;40;15.0;7;43.43;40;49.0;35;34.54;33.35;46.7;30;52.82;0;1;2;0.0;0;2;2;1;1;1;1;2;4;7;4;15.0;2;1;3;34.333333333333336;2.0;33.35294117647059
30;40;40;35;15.0;7;44.56;40;46.94;40;40.37;45.2;62.78;30;53.09;0;1;2;0.0;0;2;2;1;1;1;1;2;15;7;4;15.0;2;1;3;35.0;2.0;33.23529411764706
31;30;40;40;15.0;7;53.85;35;54.29;40;42.25;38.31;42.72;30;47.41;0;1;7;0.0;1;2;3;1;1;1;1;2;8;7;4;15.0;2;1;3;33.53333333333333;2.0;34.588235294117645
30;35;35;35;11.0;6;34.26;40;41.52;40;52.09;41.6;47.0;25;53.35;1;1;6;4.0;1;2;6;1;1;1;1;2;20;7;4;15.0;2;1;3;32.333333333333336;1.0;25.25
23;30;35;40;8.0;5;50.07;45;45.38;40;39.64;44.74;54.87;24;36.42;2;1;7;7.0;1;2;7;1;1;1;1;2;18;7;4;15.0;2;1;3;31.0;2.0;32.0
15;33;30;35;8.0;5;57.36;45;49.26;45;60.49;60.2;49.43;15;53.42;2;1;5;7.0;0;1;5;4;1;2;2;5;20;7;4;15.0;2;1;3;26.733333333333334;2.0;34.0
35;45;40;45;15.0;7;46.34;45;50.94;45;47.08;43.48;52.77;40;54.33;0;1;1;0.0;1;2;1;1;1;1;1;0;19;7;4;15.0;2;1;3;41.0;2.0;36.470588235294116
20;30;35;35;8.0;5;60.0;40;49.3;30;48.98;36.71;54.66;20;47.41;2;1;2;7.0;0;1;2;1;1;1;1;2;20;7;4;15.0;2;1;3;27.666666666666668;1.0;25.0
30;40;40;40;15.0;7;45.64;40;45.4;40;46.04;43.48;47.14;35;50.54;0;1;1;0.0;1;2;1;1;1;1;1;0;7;7;4;15.0;2;1;3;36.666666666666664;2.0;32.588235294117645
35;35;40;40;15.0;7;46.32;40;50.5;40;44.72;40.89;49.15;30;42.39;0;1;2;0.0;1;2;2;1;1;1;1;2;1;7;4;15.0;2;1;3;35.666666666666664;2.0;33.8235294117647
35;40;40;40;15.0;7;62.31;45;48.59;45;52.48;40.5;51.41;30;60.92;0;1;2;0.0;1;2;1;1;1;1;1;1;20;7;4;15.0;2;1;3;37.333333333333336;2.0;35.0
30;35;35;40;15.0;7;47.79;45;45.4;30;50.76;43.48;51.21;30;53.2;0;1;2;0.0;0;2;2;1;1;1;1;2;10;7;4;15.0;2;1;3;34.0;2.0;32.05882352941177
20;30;35;35;8.0;5;60.0;40;62.19;40;53.52;65.86;58.52;20;47.41;2;1;2;7.0;0;1;2;1;1;1;1;2;7;7;4;15.0;2;1;3;28.333333333333332;1.0;16.666666666666668
40;40;45;45;15.0;7;54.77;40;54.3;45;53.59;0.0;58.84;30;64.16;0;1;3;0.0;1;2;2;1;1;1;1;2;8;7;4;15.0;2;1;3;38.666666666666664;2.0;35.0
30;40;40;40;15.0;7;58.09;40;54.01;40;38.35;64.23;66.94;35;53.2;0;1;1;0.0;0;2;2;1;1;1;1;1;10;7;4;15.0;2;1;3;36.666666666666664;2.0;39.11764705882353
35;30;35;35;15.0;7;55.09;45;54.59;40;51.14;53.32;48.26;40;58.94;0;1;2;0.0;0;2;3;1;1;1;1;2;20;7;4;15.0;2;1;3;37.333333333333336;2.0;31.58823529411765
35;35;40;35;15.0;7;53.07;40;54.59;40;48.86;61.22;50.37;30;56.43;0;1;1;0.0;1;2;1;1;1;1;1;0;11;7;4;15.0;2;1;3;35.333333333333336;2.0;33.23529411764706
35;40;40;45;15.0;7;52.77;40;62.0;40;53.59;58.06;50.37;45;51.6;0;1;1;0.0;0;2;1;1;1;1;1;0;10;7;4;15.0;2;1;3;40.666666666666664;2.0;34.411764705882355
45;30;40;30;15.0;7;51.06;40;52.83;40;48.86;53.32;48.26;35;58.94;0;1;3;0.0;0;2;2;1;1;1;1;2;7;7;4;15.0;2;1;3;37.666666666666664;2.0;36.11764705882353
35;30;40;35;15.0;7;44.68;35;56.08;40;39.79;45.94;56.7;30;61.49;0;1;2;0.0;0;2;2;2;1;1;1;3;5;7;4;15.0;2;1;3;34.0;1.0;25.41176470588235
35;40;40;45;15.0;7;55.09;40;54.59;45;46.59;65.1;54.54;40;56.43;0;1;1;0.0;0;2;1;1;1;1;1;0;7;7;4;15.0;2;1;3;39.666666666666664;2.0;35.0
45;30;35;30;15.0;7;53.95;40;47.22;40;43.59;65.86;55.25;30;75.27;0;1;1;0.0;1;2;2;2;1;2;1;3;1;7;4;15.0;2;1;3;35.666666666666664;2.0;33.05882352941177
45;40;40;50;15.0;7;55.09;40;60.27;45;46.59;67.51;56.64;40;56.43;0;1;1;0.0;0;2;1;1;1;1;1;0;19;7;4;15.0;2;1;3;42.0;2.0;38.23529411764706
30;45;40;50;15.0;7;57.49;40;53.59;40;54.89;54.64;60.24;30;70.23;0;1;1;0.0;1;2;1;1;1;1;1;0;12;7;4;15.0;2;1;3;36.666666666666664;2.0;35.0
40;45;40;40;15.0;7;66.19;30;57.93;40;37.24;37.51;54.6;30;61.49;0;1;2;0.0;0;2;2;2;2;2;1;5;15;7;4;15.0;2;1;3;36.666666666666664;2.0;36.23529411764706
30;40;35;40;15.0;7;47.0;40;52.83;30;41.95;39.05;50.37;30;73.76;0;1;2;0.0;0;2;2;2;1;1;1;3;11;7;4;15.0;2;1;3;34.0;1.0;21.529411764705884
30;40;50;45;15.0;7;51.94;45;55.57;45;53.92;43.48;58.76;35;56.71;0;1;1;0.0;1;2;1;1;1;1;1;0;4;7;4;15.0;2;1;3;39.333333333333336;2.0;33.8235294117647
30;40;45;50;15.0;7;44.68;40;59.89;40;46.77;47.17;61.07;30;51.6;0;1;1;0.0;1;2;2;1;1;1;1;1;10;7;4;15.0;2;1;3;36.666666666666664;3.0;40.294117647058826
30;30;40;45;15.0;7;54.77;45;56.08;40;51.28;54.9;50.37;30;70.11;0;1;1;0.0;0;2;1;1;1;1;1;0;15;7;4;15.0;2;1;3;35.0;2.0;35.88235294117647
30;35;35;35;15.0;7;46.76;40;49.12;40;55.96;54.9;58.8;35;64.16;0;1;3;0.0;1;2;2;1;1;1;1;2;20;7;4;15.0;2;1;3;35.0;2.0;34.1764705882353
30;40;40;45;15.0;7;52.41;45;61.37;40;47.29;54.64;55.4;35;70.62;0;1;1;0.0;1;2;1;1;1;1;1;0;8;7;4;15.0;2;1;3;37.666666666666664;2.0;34.11764705882353
25;35;40;35;12.0;6;54.77;40;56.08;40;37.24;59.64;50.47;30;61.49;1;1;3;3.0;0;2;3;1;1;1;1;2;20;7;4;15.0;2;1;3;33.333333333333336;1.0;30.0
33;35;35;35;15.0;7;55.09;40;56.4;40;61.03;65.1;39.08;34;58.94;0;1;5;0.0;1;2;5;1;1;1;1;2;20;7;4;15.0;2;1;3;35.333333333333336;1.0;16.58823529411765
30;40;35;45;15.0;7;48.79;40;57.93;40;51.28;65.1;61.07;30;49.14;0;1;3;0.0;1;2;1;1;1;1;1;1;13;7;4;15.0;2;1;3;35.0;2.0;32.88235294117647
30;40;40;50;15.0;7;53.07;45;54.59;45;46.59;72.32;63.4;30;61.53;0;1;2;0.0;1;2;2;1;1;1;1;2;20;7;4;15.0;2;1;3;37.0;2.0;32.05882352941177
35;30;35;35;15.0;7;55.09;40;60.27;40;51.14;61.22;58.84;30;58.94;0;1;2;0.0;0;2;2;1;1;1;1;2;8;7;4;15.0;2;1;3;34.0;2.0;32.0
