NUMERO;PROMEDIO_UNO;NOTA_EE_UNO;PROMEDIO_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NAA_TRES;NOTA_MULTIVARIADO;NOTA_TERMODINAMICA;NOTA_ECONOMIA_UNO;NOTA_ECUACIONES;NOTA_ESTADISTICA_DOS;NOTA_FISICA_DOS;NOTA_MECANICA;NOTA_PROCESOSQ;NOTA_EE_CUATRO;PROMEDIO_CINCO;CAR_CINCO;NCC_CINCO;NCA_CINCO;NCP_CINCO;NAC_CINCO;NAA_CINCO;NAP_CINCO;EPA_CINCO;NOTA_METODOLOGIA;VECES_METODOLOGIA;CREDITOS_METODOLOGIA;NOTA_FISICA_TRES;VECES_FISICA_TRES;CREDITOS_FISICA_TRES;NOTA_CONTABILIDAD;VECES_CONTABILIDAD;CREDITOS_CONTABILIDAD;NOTA_PROCESOSM;VECES_PROCESOSM;CREDITOS_PROCESOSM;NOTA_ADMINISTRACION;VECES_ADMINISTRACION;CREDITOS_ADMINISTRACION;NOTA_LENGUA_UNO;VECES_LENGUA_UNO;CREDITOS_LENGUA_UNO;NOTA_EI_UNO;VECES_EI_UNO;CREDITOS_EI_UNO;NOTA_EI_DOS;VECES_EI_DOS;CREDITOS_EI_DOS;RENDIMIENTO_SEIS;PROMEDIO_SEIS
463;31.88888888888889;33.0;30.70588235294118;35.0;30.0;27.5;27.0;30.75;5;25.5;32.5;32.0;35.0;24.5;31.0;15.5;35.0;0;30.07692307692308;2;13;9;4;6;4;2;2;29.5;2;1;34.0;1;3;33.0;1;2;18.5;2;3;36.0;1;2;0.0;0;2;33.0;1;2;0.0;0;2;1;29.7
464;29.41025641025641;0.0;33.86666666666667;30.0;36.0;30.0;0.0;30.375;4;30.0;22.66666666666667;30.0;30.0;0.0;30.0;34.0;33.0;0;34.5;1;6;6;0;3;3;0;2;31.0;1;1;32.0;2;3;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;2;40.0;1;2;0.0;0;2;0;0.0
465;38.66666666666666;50.0;31.76470588235294;30.0;22.66666666666667;30.0;41.0;35.44444444444444;6;29.5;40.0;35.0;32.0;33.0;30.0;31.0;36.0;42;35.47058823529412;0;17;17;0;8;8;0;2;34.0;1;1;30.0;1;3;36.0;1;2;35.0;1;3;40.0;1;2;30.0;1;2;41.0;1;2;40.0;1;2;2;35.23529411764706
466;40.06666666666667;43.0;41.41176470588236;40.0;45.0;35.0;47.0;38.72222222222222;7;30.0;40.0;39.0;42.0;39.0;33.0;30.0;35.0;48;41.41176470588236;0;17;17;0;8;8;0;2;36.0;1;1;43.0;1;3;36.0;1;2;35.0;1;3;39.0;1;2;50.0;1;2;44.0;1;2;48.0;1;2;3;41.41176470588236
467;37.56666666666667;48.0;37.3235294117647;35.0;27.5;45.0;46.0;36.75;6;38.0;30.0;45.0;34.0;30.0;31.0;31.0;37.0;0;38.0;1;17;17;0;8;8;0;2;38.0;1;1;30.0;1;3;33.0;1;2;33.0;1;3;42.0;1;2;47.5;2;2;42.0;1;2;45.0;1;2;2;37.29411764705883
469;44.6;42.0;42.41176470588236;40.0;45.0;40.0;38.0;40.33333333333334;7;35.0;35.0;42.0;42.0;39.0;41.0;35.0;36.0;49;41.1764705882353;0;17;17;0;8;8;0;2;33.0;1;1;46.0;1;3;37.0;1;2;33.0;1;3;47.0;1;2;50.0;1;2;44.0;1;2;37.0;1;2;2;39.1764705882353
472;38.2;44.0;35.14705882352941;35.0;30.0;35.0;45.0;36.38888888888889;7;30.0;30.0;42.0;33.5;31.0;36.0;27.0;39.0;40;34.05882352941177;1;17;15;2;8;7;1;2;30.0;1;1;31.0;1;3;31.0;1;2;40.0;1;3;37.0;1;2;46.0;1;2;32.0;1;2;22.0;2;2;2;36.05882352941177
474;34.0;25.0;31.33333333333333;30.0;23.33333333333333;35.0;0.0;19.84375;3;5.666666666666667;9.666666666666666;35.0;0.0;0.0;0.0;0.0;0.0;0;24.23076923076923;3;13;4;9;6;2;4;1;0.0;0;1;8.666666666666666;3;3;27.5;2;2;0.0;0;3;29.0;2;2;34.0;1;2;32.0;1;2;22.0;1;2;0;0.0
476;40.66666666666666;50.0;39.1764705882353;40.0;35.0;35.0;43.0;36.5;7;30.0;30.0;37.0;37.0;36.0;46.0;33.0;34.0;45;40.0;0;17;17;0;8;8;0;2;37.0;1;1;35.0;1;3;34.0;1;2;36.0;1;3;45.0;1;2;45.0;1;2;45.0;1;2;46.0;1;2;3;40.29411764705883
479;36.8;46.0;37.94117647058823;40.0;30.0;30.0;40.0;37.66666666666666;7;30.0;34.0;40.0;36.0;39.0;44.0;31.0;40.0;44;40.41176470588236;0;17;17;0;8;8;0;2;34.0;1;1;35.0;1;3;34.0;1;2;42.0;1;3;42.0;1;2;43.0;1;2;45.0;1;2;47.0;1;2;2;39.8235294117647
483;35.4;38.0;33.58823529411764;30.0;25.0;37.0;31.0;34.3125;4;28.5;27.5;36.0;30.0;34.0;30.0;31.5;39.0;0;35.58823529411764;1;17;15;2;8;7;1;2;34.0;1;1;32.0;1;3;28.0;2;2;31.0;1;3;39.0;1;2;45.0;1;2;40.0;1;2;39.0;1;2;2;36.64705882352941
485;45.86666666666667;44.0;41.0;40.0;35.0;45.0;41.0;38.66666666666666;7;30.0;30.0;38.0;42.0;38.0;47.0;33.0;33.0;44;41.29411764705883;0;17;17;0;8;8;0;2;34.0;1;1;40.0;1;3;36.0;1;2;38.0;1;3;46.0;1;2;49.0;1;2;41.0;1;2;45.0;1;2;3;42.1764705882353
487;38.0;45.0;37.76470588235294;30.0;30.0;40.0;41.0;40.11111111111111;7;30.0;35.0;38.0;40.0;36.0;38.0;43.0;37.0;49;40.35294117647059;0;17;17;0;8;8;0;2;39.0;1;1;43.0;1;3;32.0;1;2;36.0;1;3;40.0;1;2;47.0;1;2;40.0;1;2;46.0;1;2;3;42.52941176470588
488;40.2;44.0;37.88235294117647;35.0;30.0;40.0;42.0;41.44444444444444;7;35.0;32.0;50.0;35.0;40.0;42.0;35.0;40.0;50;40.76470588235294;0;17;17;0;8;8;0;2;37.0;1;1;30.0;1;3;41.0;1;2;36.0;1;3;49.0;1;2;50.0;1;2;44.0;1;2;45.0;1;2;3;41.88235294117647
490;38.2;44.0;36.58823529411764;35.0;30.0;40.0;41.0;37.52777777777778;7;30.0;31.5;50.0;37.0;36.0;39.0;36.0;30.0;47;40.3235294117647;1;17;17;0;8;8;0;2;30.0;1;1;31.5;2;3;36.0;1;2;45.0;1;3;45.0;1;2;45.0;1;2;39.0;1;2;48.0;1;2;2;38.05882352941177
492;27.42307692307692;0.0;24.15;10.0;10.75;30.0;0.0;35.0;2;0.0;0.0;34.0;0.0;0.0;0.0;28.0;0.0;0;29.75;0;12;9;3;6;5;1;1;30.0;1;1;3.0;1;3;0.0;0;2;0.0;0;3;39.0;1;2;40.0;1;2;32.0;1;2;48.0;1;2;1;19.66666666666667
493;30.26666666666667;41.0;26.2;27.5;6.5;35.0;0.0;25.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;48.0;0;2;2;0;1;1;0;2;0.0;0;1;0.0;0;3;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;2;48.0;1;2;0.0;0;2;0;0.0
