CON_MAT_ICFES;IDIOMA_ICFES;BIOLOGIA_ICFES;GENERO;FILOSOFIA_ICFES;LOCALIDAD;LITERATURA_ICFES;QUIMICA_ICFES;PG_ICFES;PROMEDIO_UNO;NOTA_ALGEBRA;NOTA_DITO;NOTA_TEXTOS;NOTA_CD&C;NCA_UNO;NAA_UNO;NOTA_HIST;NOTA_SEM;NOTA_DIF;NAP_UNO;VECES_HIST;VECES_ALGEBRA;NCP_UNO;PROMEDIO_DOS;EPA_DOS;NOTA_TOP;NOTA_PROGB;NOTA_FIS_UNO;NOTA_INT;VECES_TOP;NOTA_EYB;PROMEDIO_TRES;NOTA_SUELOS;NOTA_POO;NOTA_FIS_DOS;NOTA_ECUA;NCA_TRES;NOTA_FOTO;NOTA_CFJC;VECES_SUELOS;PROMEDIO_CUATRO;NOTA_GEOGEO;NCA_CUATRO;NOTA_PRII;EPA_CUATRO;NOTA_PROB;PROMEDIO_CINCO;NOTAS_SISC;VECES_BD;NOTA_ME;CAR_CINCO;NOTA_CARTO;VECES_CARTO;PROMEDIO_SEIS;NOTA_GEO_FIS;NOTA_L_DOS;NOTA_LEGIC;NOTA_INGECO;VECES_L_DOS;PROMEDIO_SIETE;NOTA_ECONOMET;NOTA_AVAP;NOTA_EI_UNO;PROMEDIO_NUEVE;RENDIMIENTO_NUEVE
52.06;57.13;62.35;1;55.82;10;60.56;57.92;445.69;39.333333333333336;40;40;45;35;15.0;7;50;45;30;0;1;1;0.0;34.411764705882355;2;35;30;35;35;1;45;37.5;35;45;35;30;18.0;45;45;1;38.88235294117647;40;17.0;39;2;30;37.94444444444444;37;1;37;1;40;1;37.93333333333333;30;46;38;35;1;37.0625;34;41;39;42.4;3.0
58.89;67.6;53.85;1;42.25;11;60.56;64.78;457.07;38.333333333333336;40;40;45;35;15.0;7;45;40;30;0;1;1;0.0;34.11764705882353;2;35;30;35;30;1;35;36.05555555555556;35;40;38;35;18.0;35;45;1;37.94117647058823;38;17.0;39;2;37;38.55555555555556;44;1;34;1;37;1;37.8;31;46;41;33;1;40.3125;39;39;48;40.38461538461539;3.0
55.71;61.22;62.54;0;32.22;4;57.32;52.34;422.35;42.666666666666664;50;40;40;35;15.0;7;45;45;40;0;1;1;0.0;36.1764705882353;2;40;30;40;30;1;45;38.333333333333336;40;40;35;40;18.0;45;45;1;40.05882352941177;45;17.0;35;2;30;38.27777777777778;35;2;32;2;39;1;41.8;37;43;40;43;1;37.3125;39;30;34;39.0;2.0
54.33;48.43;51.96;1;44.72;19;62.71;54.29;443.63;35.333333333333336;30;35;40;35;15.0;7;45;45;30;0;1;1;0.0;35.588235294117645;2;40;30;35;40;1;40;36.94444444444444;35;50;30;40;18.0;35;40;1;38.8235294117647;40;17.0;40;2;30;36.611111111111114;35;2;30;1;37;1;40.06666666666667;34;39;42;45;1;38.1875;30;39;43;41.8;3.0
61.26;37.51;50.09;1;48.98;11;62.71;54.29;402.11;36.666666666666664;40;35;40;30;15.0;7;45;40;30;0;1;1;0.0;31.176470588235293;2;30;30;30;30;1;40;34.94444444444444;35;40;30;30;18.0;40;45;1;35.294117647058826;30;17.0;38;2;30;36.666666666666664;34;1;32;0;40;1;39.46666666666667;32;45;38;39;1;38.1875;33;39;37;42.2;3.0
47.41;43.48;42.4;0;48.98;7;54.66;47.67;395.31;37.0;30;40;40;30;15.0;7;45;45;35;0;1;1;0.0;32.94117647058823;2;35;30;30;35;1;40;36.888888888888886;35;45;35;35;18.0;35;45;1;39.529411764705884;31;17.0;40;2;35;37.666666666666664;44;1;40;0;36;1;41.2;35;44;38;44;1;38.9375;33;35;44;42.0;3.0
52.61;47.79;48.64;0;51.72;9;53.57;49.01;415.6;34.666666666666664;30;35;35;35;15.0;7;45;45;30;0;1;3;0.0;30.58823529411765;2;30;30;30;30;1;35;34.5;30;30;32;39;18.0;42;45;1;38.88235294117647;38;17.0;39;2;46;35.166666666666664;34;1;34;2;37;1;38.0;30;45;35;37;1;39.0;37;38;34;39.15384615384615;2.0
49.84;37.51;46.32;0;39.64;8;45.12;48.83;386.12;38.333333333333336;40;35;40;30;15.0;7;45;45;35;0;1;1;0.0;33.8235294117647;2;40;35;30;30;1;40;35.05555555555556;30;30;41;38;18.0;34;50;1;37.411764705882355;34;17.0;46;2;39;38.388888888888886;35;1;31;0;47;1;42.0;43;39;38;43;1;40.625;31;42;41;42.8;3.0
55.9;46.06;52.41;0;56.81;7;62.59;45.02;403.79;36.0;30;35;45;30;15.0;7;40;40;35;0;1;1;0.0;32.35294117647059;2;35;30;35;30;1;35;31.666666666666668;30;30;30;35;18.0;30;45;1;36.1764705882353;31;17.0;35;2;43;34.888888888888886;41;1;31;2;30;1;40.06666666666667;41;39;37;44;1;37.25;33;37;45;40.15384615384615;3.0
58.5;48.65;56.75;0;47.61;20;60.02;49.97;440.35;40.0;45;35;45;30;15.0;7;45;45;35;0;1;1;0.0;36.1764705882353;2;35;30;35;45;1;45;34.44444444444444;35;40;30;30;18.0;40;45;1;38.529411764705884;30;17.0;40;2;35;39.05555555555556;41;1;36;0;38;1;39.93333333333333;36;42;36;45;1;21.1875;20;31;0;50.0;4.0
