CON_MAT_ICFES;IDIOMA_ICFES;BIOLOGIA_ICFES;GENERO;FILOSOFIA_ICFES;LOCALIDAD;LITERATURA_ICFES;QUIMICA_ICFES;PG_ICFES;PROMEDIO_UNO;NOTA_ALGEBRA;NOTA_DITO;NOTA_TEXTOS;NOTA_CD&C;NCA_UNO;NAA_UNO;NOTA_HIST;NOTA_SEM;NOTA_DIF;NAP_UNO;VECES_HIST;VECES_ALGEBRA;NCP_UNO;PROMEDIO_TRES;RENDIMIENTO_TRES
56.59;76.45;55.8;0;47.08;19;46.97;54.29;433.15;32.666666666666664;30;35;35;35;15.0;7;35;35;30;0;1;2;0.0;33.833333333333336;2.0
52.15;48.43;50.07;0;39.64;19;45.12;52.16;405.17;35.0;30;35;35;40;15.0;7;45;45;30;0;1;2;0.0;34.388888888888886;2.0
63.86;58.59;54.55;0;52.09;7;62.59;57.04;463.34;34.666666666666664;30;40;35;35;15.0;7;45;35;30;0;1;2;0.0;36.72222222222222;2.0
64.09;50.37;44.0;1;52.13;8;65.43;55.14;422.62;37.666666666666664;35;40;45;40;15.0;7;45;40;30;0;1;1;0.0;35.27777777777778;2.0
49.84;58.45;57.84;1;47.08;10;56.79;53.84;412.77;33.666666666666664;30;30;35;45;15.0;7;40;40;30;0;1;1;0.0;32.833333333333336;2.0
53.42;55.64;55.53;0;60.49;20;53.3;47.6;424.05;36.333333333333336;35;40;30;45;15.0;7;45;45;30;0;1;1;0.0;34.77777777777778;2.0
56.59;47.21;51.96;0;48.98;11;44.91;50.94;407.57;30.666666666666668;30;30;30;30;15.0;7;35;30;30;0;1;4;0.0;33.166666666666664;2.0
51.32;41.03;55.22;1;59.08;3;61.76;41.14;418.87;34.0;30;30;40;40;15.0;7;40;40;30;0;1;3;0.0;33.916666666666664;2.0
58.15;55.64;57.36;1;56.09;5;53.3;49.26;436.36;33.0;30;40;35;35;15.0;7;35;30;30;0;1;1;0.0;36.22222222222222;2.0
59.02;39.11;44.38;1;53.52;20;58.76;48.83;411.36;36.0;30;40;35;40;15.0;7;40;40;35;0;1;1;0.0;36.388888888888886;2.0
49.77;52.09;46.34;0;41.86;8;58.52;47.67;410.45;34.333333333333336;30;35;35;40;15.0;7;35;35;35;0;1;2;0.0;32.77777777777778;2.0
52.15;48.43;57.84;0;42.25;9;47.18;48.83;420.2;33.0;40;30;35;30;15.0;7;30;35;30;0;4;3;0.0;31.22222222222222;2.0
55.63;42.2;53.11;1;52.09;7;53.5;45.27;405.82;36.333333333333336;30;35;40;40;15.0;7;40;45;35;0;1;2;0.0;34.44444444444444;2.0
54.43;40.89;53.84;1;39.26;17;47.18;48.83;394.41;35.333333333333336;40;30;35;40;15.0;7;40;40;30;0;1;3;0.0;25.333333333333332;1.0
47.48;49.65;50.07;0;36.82;4;47.18;55.57;383.33;36.0;30;35;40;45;15.0;7;45;45;30;0;1;2;0.0;35.27777777777778;2.0
53.09;49.51;46.74;0;54.45;11;55.65;51.89;415.94;35.666666666666664;35;35;40;40;15.0;7;40;40;30;0;1;2;0.0;34.333333333333336;2.0
52.06;52.09;51.96;1;46.69;8;54.66;47.67;415.3;37.333333333333336;30;40;40;40;15.0;7;45;40;35;0;1;1;0.0;36.666666666666664;2.0
52.15;39.11;48.2;1;41.86;19;49.15;55.57;396.72;29.333333333333332;15;30;40;40;8.0;5;40;35;25;2;1;5;7.0;30.0;1.0
55.73;45.31;51.63;0;46.43;20;51.43;44.7;385.46;34.0;30;30;40;40;15.0;7;40;40;30;0;1;2;0.0;13.933333333333334;1.0
40.15;50.67;51.63;1;41.62;20;49.09;52.03;376.41;36.0;30;40;40;40;15.0;7;45;40;30;0;1;3;0.0;30.444444444444443;2.0
47.48;49.65;50.07;0;44.33;10;47.18;48.83;387.28;37.0;35;40;40;45;15.0;7;40;45;30;0;1;2;0.0;32.72222222222222;2.0
36.42;47.21;50.07;1;42.25;7;49.15;52.16;391.18;35.333333333333336;30;40;35;45;15.0;7;45;35;30;0;1;3;0.0;33.5;2.0
52.06;47.21;44.41;1;47.08;11;54.66;52.59;406.08;33.666666666666664;35;30;30;45;15.0;7;40;35;30;0;1;2;0.0;32.77777777777778;2.0
48.67;52.42;64.49;1;52.99;7;62.72;40.8;407.42;36.0;30;40;40;40;15.0;7;45;40;30;0;1;3;0.0;34.94444444444444;2.0
52.82;33.35;43.43;0;34.54;4;46.7;49.0;369.78;34.333333333333336;30;40;35;40;15.0;7;40;35;30;0;1;2;0.0;34.611111111111114;2.0
53.09;45.2;44.56;0;40.37;15;62.78;46.94;390.16;35.0;30;40;40;35;15.0;7;40;40;30;0;1;2;0.0;34.0;2.0
47.41;38.31;53.85;1;42.25;8;42.72;54.29;389.92;33.53333333333333;31;30;40;40;15.0;7;35;40;30;0;1;7;0.0;24.22222222222222;1.0
53.35;41.6;34.26;1;52.09;20;47.0;41.52;359.36;32.333333333333336;30;35;35;35;11.0;6;40;40;25;1;1;6;4.0;20.5;1.0
36.42;44.74;50.07;1;39.64;18;54.87;45.38;379.35;31.0;23;30;35;40;8.0;5;45;40;24;2;1;7;7.0;33.0;2.0
54.33;43.48;46.34;1;47.08;19;52.77;50.94;402.72;41.0;35;45;40;45;15.0;7;45;45;40;0;1;1;0.0;38.05555555555556;2.0
50.54;43.48;45.64;1;46.04;7;47.14;45.4;369.9;36.666666666666664;30;40;40;40;15.0;7;40;40;35;0;1;1;0.0;35.166666666666664;2.0
42.39;40.89;46.32;1;44.72;1;49.15;50.5;380.46;35.666666666666664;35;35;40;40;15.0;7;40;40;30;0;1;2;0.0;33.166666666666664;2.0
60.92;40.5;62.31;1;52.48;20;51.41;48.59;425.85;37.333333333333336;35;40;40;40;15.0;7;45;45;30;0;1;2;0.0;35.27777777777778;2.0
53.2;43.48;47.79;0;50.76;10;51.21;45.4;402.14;34.0;30;35;35;40;15.0;7;45;30;30;0;1;2;0.0;33.111111111111114;2.0
64.16;0.0;54.77;1;53.59;8;58.84;54.3;447.04;38.666666666666664;40;40;45;45;15.0;7;40;45;30;0;1;3;0.0;34.72222222222222;2.0
53.2;64.23;58.09;0;38.35;10;66.94;54.01;424.37;36.666666666666664;30;40;40;40;15.0;7;40;40;35;0;1;1;0.0;35.666666666666664;2.0
58.94;53.32;55.09;0;51.14;20;48.26;54.59;443.53;37.333333333333336;35;30;35;35;15.0;7;45;40;40;0;1;2;0.0;32.8;2.0
56.43;61.22;53.07;1;48.86;11;50.37;54.59;443.71;35.333333333333336;35;35;40;35;15.0;7;40;40;30;0;1;1;0.0;37.888888888888886;2.0
51.6;58.06;52.77;0;53.59;10;50.37;62.0;439.59;40.666666666666664;35;40;40;45;15.0;7;40;40;45;0;1;1;0.0;35.5;2.0
58.94;53.32;51.06;0;48.86;7;48.26;52.83;435.46;37.666666666666664;45;30;40;30;15.0;7;40;40;35;0;1;3;0.0;33.27777777777778;2.0
61.49;45.94;44.68;0;39.79;5;56.7;56.08;407.59;34.0;35;30;40;35;15.0;7;35;40;30;0;1;2;0.0;28.5;1.0
56.43;65.1;55.09;0;46.59;7;54.54;54.59;418.19;39.666666666666664;35;40;40;45;15.0;7;40;45;40;0;1;1;0.0;36.05555555555556;2.0
75.27;65.86;53.95;1;43.59;1;55.25;47.22;426.58;35.666666666666664;45;30;35;30;15.0;7;40;40;30;0;1;1;0.0;35.94444444444444;2.0
56.43;67.51;55.09;0;46.59;19;56.64;60.27;425.97;42.0;45;40;40;50;15.0;7;40;45;40;0;1;1;0.0;38.55555555555556;2.0
70.23;54.64;57.49;1;54.89;12;60.24;53.59;443.98;36.666666666666664;30;45;40;50;15.0;7;40;40;30;0;1;1;0.0;34.111111111111114;2.0
61.49;37.51;66.19;0;37.24;15;54.6;57.93;450.71;36.666666666666664;40;45;40;40;15.0;7;30;40;30;0;1;2;0.0;39.5;2.0
73.76;39.05;47.0;0;41.95;11;50.37;52.83;420.73;34.0;30;40;35;40;15.0;7;40;30;30;0;1;2;0.0;22.75;1.0
56.71;43.48;51.94;1;53.92;4;58.76;55.57;446.95;39.333333333333336;30;40;50;45;15.0;7;45;45;35;0;1;1;0.0;36.166666666666664;2.0
51.6;47.17;44.68;1;46.77;10;61.07;59.89;425.39;36.666666666666664;30;40;45;50;15.0;7;40;40;30;0;1;1;0.0;39.94444444444444;2.0
70.11;54.9;54.77;0;51.28;15;50.37;56.08;425.21;35.0;30;30;40;45;15.0;7;45;40;30;0;1;1;0.0;37.5;2.0
64.16;54.9;46.76;1;55.96;20;58.8;49.12;426.13;35.0;30;35;35;35;15.0;7;40;40;35;0;1;3;0.0;31.0;2.0
70.62;54.64;52.41;1;47.29;8;55.4;61.37;430.39;37.666666666666664;30;40;40;45;15.0;7;45;40;35;0;1;1;0.0;34.888888888888886;2.0
58.94;65.1;55.09;1;61.03;20;39.08;56.4;437.93;35.333333333333336;33;35;35;35;15.0;7;40;40;34;0;1;5;0.0;16.714285714285715;1.0
49.14;65.1;48.79;1;51.28;13;61.07;57.93;439.88;35.0;30;40;35;45;15.0;7;40;40;30;0;1;3;0.0;34.0;2.0
61.53;72.32;53.07;1;46.59;20;63.4;54.59;445.26;37.0;30;40;40;50;15.0;7;45;45;30;0;1;2;0.0;35.833333333333336;2.0
58.94;61.22;55.09;0;51.14;8;58.84;60.27;461.48;34.0;35;30;35;35;15.0;7;40;40;30;0;1;2;0.0;34.833333333333336;2.0
51.49;35.81;44.9;0;48.86;20;61.03;45.83;413.1;33.0;30;30;40;30;15.0;7;35;45;30;0;1;5;0.0;35.77777777777778;2.0
51.49;45.94;42.7;0;48.86;8;52.45;47.62;419.43;37.0;30;40;40;50;15.0;7;45;45;30;0;1;1;0.0;37.27777777777778;2.0
58.94;45.94;52.77;1;53.59;10;50.37;50.85;439.86;36.666666666666664;30;40;45;45;15.0;7;40;45;30;0;1;2;0.0;39.666666666666664;2.0
58.94;61.22;46.76;1;55.96;7;52.54;57.93;461.6;37.666666666666664;40;30;45;40;15.0;7;45;45;30;0;1;3;0.0;38.0;2.0
58.94;54.9;53.07;1;58.36;8;50.47;67.52;451.91;37.0;30;40;45;50;15.0;7;40;45;30;0;1;1;0.0;37.388888888888886;2.0
56.43;52.09;53.07;0;58.36;5;58.8;52.83;446.66;36.666666666666664;35;35;40;45;15.0;7;40;50;30;0;1;2;0.0;38.77777777777778;2.0
56.46;65.1;54.77;0;42.19;6;61.07;52.57;442.01;34.666666666666664;30;40;45;30;15.0;7;35;40;30;0;1;2;0.0;33.388888888888886;2.0
61.49;44.71;46.76;1;42.19;20;54.6;52.57;420.22;39.333333333333336;30;45;50;40;15.0;7;50;50;30;0;1;1;0.0;35.388888888888886;2.0
61.53;47.17;51.06;0;46.59;6;46.23;51.1;421.37;34.666666666666664;30;35;35;40;15.0;7;40;50;30;0;1;1;0.0;32.27777777777778;2.0
58.94;47.17;49.05;0;51.14;11;54.54;52.83;428.82;36.0;30;40;45;45;15.0;7;35;45;30;0;1;1;0.0;34.0;2.0
64.24;62.69;57.16;1;53.46;20;54.54;64.8;458.73;34.666666666666664;30;35;40;35;15.0;7;40;45;30;0;1;1;0.0;35.5;2.0
67.01;49.63;42.51;0;46.77;11;50.37;67.0;425.99;37.0;30;40;40;30;15.0;7;35;45;40;0;1;1;0.0;35.05555555555556;2.0
58.94;53.32;53.07;1;55.86;8;54.6;54.59;453.41;38.0;40;35;45;40;15.0;7;40;50;30;0;1;1;0.0;35.05555555555556;2.0
53.42;49.6;65.51;0;53.94;20;55.21;65.03;465.32;39.333333333333336;45;40;45;45;15.0;7;40;40;30;0;1;3;0.0;21.625;1.0
67.13;50.86;51.06;0;34.19;7;48.26;49.37;392.25;35.666666666666664;30;35;45;40;15.0;7;40;45;30;0;1;1;0.0;36.5;2.0
