NUMERO;PROMEDIO_UNO;PROMEDIO_DOS;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NOTA_MULTIVARIADO;NOTA_FISICA_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_PROCESOSM;NOTA_ADMINISTRACION;NOTA_LENGUA_UNO;NOTA_EI_UNO;NOTA_EI_DOS;PROMEDIO_SEIS;CAR_SEIS;NCC_SEIS;NCA_SEIS;NCP_SEIS;NAC_SEIS;NAA_SEIS;NAP_SEIS;EPA_SEIS;NOTA_ECONOMIA_DOS;VECES_ECONOMIA_DOS;CREDITOS_ECONOMIA_DOS;NOTA_PLINEAL;VECES_PLINEAL;CREDITOS_PLINEAL;NOTA_DERECHO;VECES_DERECHO;CREDITOS_DERECHO;NOTA_IECONOMICA;VECES_IECONOMICA;CREDITOS_IECONOMICA;NOTA_DISENO;VECES_DISENO;CREDITOS_DISENO;NOTA_METODOS;VECES_METODOS;CREDITOS_METODOS;NOTA_SEGURIDAD;VECES_SEGURIDAD;CREDITOS_SEGURIDAD;NOTA_EI_TRES;VECES_EI_TRES;CREDITOS_EI_TRES;RENDIMIENTO_SIETE;PROMEDIO_SIETE
940;30.04444444444444;31.20588235294118;29.5;30.0;37.05555555555556;30.0;32.0;48;33.11764705882353;33.0;39.0;40.0;31.0;36.0;32.64705882352941;1;17;14;3;8;7;1;2;35.0;1;2;21.0;2;3;32.0;1;1;30.0;1;2;41.0;1;2;34.0;1;3;38.0;1;2;35;1;2;2;37.4
941;32.21111111111112;34.0;35.0;40.0;39.72222222222222;43.0;37.0;49;37.11764705882353;34.0;34.0;47.0;46.0;45.0;36.20588235294117;1;17;14;3;8;7;1;2;36.0;1;2;29.5;2;3;45.0;1;1;38.0;1;2;34.0;1;2;36.0;1;3;34.0;1;2;45;1;2;3;42.13333333333333
944;31.93333333333333;31.85294117647059;33.0;45.0;39.33333333333334;34.0;34.0;48;37.5;34.0;38.0;39.0;49.0;48.0;35.47058823529412;1;17;17;0;8;8;0;2;35.0;1;2;31.0;2;3;38.0;1;1;38.0;1;2;38.0;1;2;30.0;1;3;42.0;1;2;38;1;2;2;39.86666666666667
946;34.4;32.11764705882353;33.0;34.0;34.63888888888889;28.5;37.0;0;36.1764705882353;33.0;38.0;44.0;46.0;34.0;36.64705882352941;0;17;17;0;8;8;0;2;39.0;1;2;30.0;1;3;44.0;1;1;33.0;1;2;39.0;1;2;41.0;1;3;34.0;1;2;38;1;2;3;40.4
948;41.6;39.29411764705883;35.0;39.0;35.38888888888889;38.0;36.0;48;40.64705882352941;38.0;33.0;48.0;37.0;44.0;40.41176470588236;0;17;17;0;8;8;0;2;48.0;1;2;30.0;1;3;42.0;1;1;41.0;1;2;41.0;1;2;37.0;1;3;45.0;1;2;47;1;2;3;40.86666666666667
951;34.76666666666667;37.35294117647059;34.0;46.0;39.72222222222222;33.0;37.0;48;40.35294117647059;41.0;40.0;45.0;50.0;36.0;43.58823529411764;0;17;17;0;8;8;0;2;50.0;1;2;42.0;1;3;45.0;1;1;45.0;1;2;39.0;1;2;38.0;1;3;44.0;1;2;50;1;2;3;44.0
954;34.56666666666667;33.58823529411764;35.0;37.0;37.88888888888889;31.0;30.0;40;35.29411764705883;38.0;30.0;43.0;42.0;31.0;39.94117647058823;0;17;17;0;8;8;0;2;42.0;1;2;30.0;1;3;50.0;1;1;39.0;1;2;43.0;1;2;37.0;1;3;42.0;1;2;48;1;2;2;39.06666666666667
955;37.66666666666666;38.8235294117647;31.0;46.0;40.16666666666666;32.0;36.0;44;38.94117647058823;33.0;37.0;46.0;40.0;48.0;41.41176470588236;0;17;17;0;8;8;0;2;49.0;1;2;36.0;1;3;45.0;1;1;39.0;1;2;38.0;1;2;41.0;1;3;45.0;1;2;43;1;2;3;42.8
956;35.83333333333334;33.1764705882353;27.0;26.0;37.44444444444444;31.0;33.0;39;35.35294117647059;30.0;34.0;46.0;43.0;44.0;32.70588235294117;2;17;12;5;8;6;2;2;32.0;1;2;28.33333333333333;3;3;44.0;1;1;26.0;2;2;39.0;1;2;33.0;1;3;31.0;1;2;36;1;2;2;34.86666666666667
958;36.96666666666667;35.47058823529412;30.5;35.0;30.90625;27.33333333333333;30.0;0;33.94117647058823;30.0;36.0;39.5;41.0;41.0;33.23529411764706;1;17;14;3;8;7;1;2;31.0;1;2;19.0;3;3;44.0;1;1;35.0;1;2;39.0;1;2;36.0;1;3;43.0;1;2;30;1;2;2;35.66666666666666
962;35.23333333333333;36.47058823529412;41.0;43.0;41.5;31.0;43.0;45;39.0;35.0;38.0;47.0;44.0;50.0;41.0;0;17;17;0;8;8;0;2;50.0;1;2;37.0;1;3;46.0;1;1;35.0;1;2;41.0;1;2;38.0;1;3;43.0;1;2;44;1;2;4;45.46666666666667
963;34.86666666666667;36.94117647058823;34.0;31.0;41.33333333333334;30.0;43.0;36;35.76470588235294;35.0;33.0;34.0;41.0;32.0;36.8235294117647;0;17;17;0;8;8;0;2;41.0;1;2;32.0;1;3;37.0;1;1;30.0;1;2;35.0;1;2;37.0;1;3;41.0;1;2;44;1;2;2;37.26666666666667
