NOTA_EL_DOS;NOTA_MPI;NOTA_ME;NOTA_PYE;NOTA_ELD;VECES_ME;VECES_EL_DOS;NOTA_GEE;NOTA_CIR_TRES;VECES_PYE;PROMEDIO_DOS;VECES_ECUA;NCP_TRES;NOTA_ECUA;VECES_MPI;PROMEDIO_TRES;VECES_CIR_TRES;VECES_ELD;NOTA_CIR_DOS;NAP_TRES;NAC_TRES;NAA_TRES;NOTA_TERMO;NOTA_EL_UNO;NOTA_MULTI;VECES_GEE;NCA_TRES;CAR_TRES;NCP_DOS;NCC_TRES;NCA_DOS;EPA_TRES;VECES_TERMO;NOTA_FIS_TRES;NOTA_FIS_DOS;CREDITOS_CIR_TRES;CREDITOS_EL_DOS;CREDITOS_ELD;CREDITOS_PYE;CREDITOS_MPI;CREDITOS_ME;CREDITOS_GEE;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
27;35;35;31;45;1;3;0;0;2;37.8125;1;3.0;30;1;34.166666666666664;0;1;25;1;6;5;50;40;30;0;15.0;3;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;34.84615384615385
38;40;35;35;45;1;2;50;36;1;38.125;1;0.0;35;1;34.166666666666664;1;1;35;0;6;6;30;40;35;1;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;39.76470588235294
35;40;31;33;37;1;2;30;46;2;35.25;1;0.0;30;1;32.166666666666664;1;2;30;0;6;6;33;35;30;1;18.0;3;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;35.705882352941174
32;35;30;40;31;3;2;30;34;1;34.6875;2;0.0;30;1;31.5;2;3;39;0;6;6;30;30;30;1;18.0;2;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;32.76470588235294
34;35;31;34;13;1;1;31;0;1;35.625;2;0.0;30;1;34.5;0;1;32;0;6;6;45;35;35;2;18.0;5;0.0;18.0;16.0;2;2;30;30;2;3;3;2;2;3;2;1.0;28.933333333333334
34;40;37;40;37;1;1;33;44;1;37.1875;2;0.0;35;1;36.666666666666664;1;1;30;0;6;6;50;40;35;1;18.0;2;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;37.529411764705884
34;40;35;35;46;1;1;30;44;1;35.0;1;0.0;30;1;36.666666666666664;1;1;35;0;6;6;50;30;40;1;18.0;0;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;37.8235294117647
0;30;0;0;0;0;0;0;0;0;39.6875;1;6.0;15;1;26.25;0;0;0;2;4;2;0;35;15;0;6.0;1;0.0;12.0;16.0;1;0;40;40;2;3;3;2;2;3;2;1.0;30.0
30;40;34;33;43;1;1;31;35;1;38.75;2;0.0;35;1;36.666666666666664;1;1;30;0;6;6;50;35;35;1;18.0;2;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;35.23529411764706
31;35;35;34;44;1;2;31;42;1;37.1875;1;0.0;30;1;32.5;1;1;30;0;6;6;30;30;35;1;18.0;3;0.0;18.0;16.0;2;1;40;40;2;3;3;2;2;3;2;2.0;36.11764705882353
0;35;0;0;0;0;0;0;0;0;32.375;0;0.0;0;2;36.5;0;0;0;0;2;2;43;0;0;0;6.0;2;3.0;6.0;13.0;2;3;30;30;2;3;3;2;2;3;2;2.0;35.0
30;40;40;40;45;1;1;50;44;1;38.75;1;0.0;30;1;38.333333333333336;1;1;45;0;6;6;50;40;35;1;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;3.0;40.76470588235294
35;35;50;40;40;1;1;50;41;1;36.5625;1;0.0;40;1;35.833333333333336;1;1;35;0;6;6;35;40;35;1;18.0;0;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;3.0;41.588235294117645
30;40;45;30;45;1;1;50;35;1;38.125;1;0.0;35;1;35.833333333333336;1;1;30;0;6;6;50;30;35;1;18.0;0;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;39.411764705882355
30;35;34;35;39;1;1;50;34;1;35.625;1;0.0;30;1;34.166666666666664;1;2;40;0;6;6;35;35;30;1;18.0;1;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;36.294117647058826
30;40;35;40;40;1;1;30;41;1;35.9375;1;0.0;35;1;36.666666666666664;1;1;30;0;6;6;50;35;40;1;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;36.294117647058826
36;30;35;40;39;1;2;37;47;1;36.25;2;0.0;32;1;35.666666666666664;1;2;47;0;6;6;30;40;30;1;18.0;3;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;37.529411764705884
30;40;35;30;45;1;1;35;35;1;39.0625;1;0.0;30;1;32.5;1;1;35;0;6;6;35;30;30;1;18.0;1;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;35.88235294117647
34;35;42;45;42;1;1;32;45;2;41.25;1;0.0;35;1;36.666666666666664;1;1;40;0;6;6;30;30;45;1;18.0;2;0.0;18.0;16.0;2;1;40;40;2;3;3;2;2;3;2;2.0;39.294117647058826
38;40;31;38;30;1;1;30;34;1;33.4375;1;0.0;31;1;31.333333333333332;2;1;32;0;6;6;30;35;30;1;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;34.1764705882353
35;40;30;40;45;1;1;32;44;1;35.6875;1;0.0;35;1;36.166666666666664;1;1;30;0;6;6;50;30;40;2;18.0;0;0.0;18.0;16.0;2;1;32;32;2;3;3;2;2;3;2;2.0;37.76470588235294
30;40;40;35;45;1;1;35;35;1;40.3125;1;0.0;40;1;37.5;1;1;40;0;6;6;35;40;35;1;18.0;1;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;37.35294117647059
31;35;0;36;43;0;1;30;0;2;33.4375;2;3.0;39;1;32.666666666666664;0;1;22;1;6;5;35;40;30;2;15.0;3;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;35.333333333333336
33;35;35;30;34;1;1;30;46;1;32.1875;3;0.0;33;1;34.5;2;2;37;0;6;6;35;40;32;1;18.0;3;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;34.588235294117645
0;38;0;3;0;0;0;0;0;1;28.0;0;0.0;0;1;30.0;0;0;0;0;1;1;0;0;0;0;3.0;1;6.0;3.0;10.0;2;0;30;30;2;3;3;2;2;3;2;1.0;20.5
0;35;0;0;0;0;0;0;0;0;31.875;2;6.0;30;1;25.0;0;0;20;2;5;3;0;15;30;0;9.0;1;0.0;15.0;16.0;1;0;30;30;2;3;3;2;2;3;2;2.0;35.0
0;30;30;36;36;2;1;0;0;1;31.5;2;3.0;43;1;29.0;0;1;7;1;5;4;0;31;32;0;12.0;5;0.0;15.0;16.0;1;0;32;32;2;3;3;2;2;3;2;1.0;25.384615384615383
0;40;0;0;0;0;0;0;0;0;36.25;0;0.0;0;1;40.0;0;0;0;0;1;1;0;0;0;0;3.0;1;3.0;3.0;13.0;2;0;40;40;2;3;3;2;2;3;2;2.0;40.0
35;40;35;40;35;1;1;35;34;1;37.1875;1;0.0;40;1;37.5;1;1;30;0;6;6;50;40;30;1;18.0;1;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;36.05882352941177
33;40;30;35;35;1;3;50;39;1;36.25;1;0.0;30;1;35.833333333333336;1;1;30;0;6;6;50;35;40;1;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;36.588235294117645
37;30;32;30;41;1;2;30;32;2;34.625;2;0.0;31;1;34.2;1;1;34;0;5;5;0;35;36;3;15.0;4;0.0;15.0;16.0;2;0;35;35;2;3;3;2;2;3;2;2.0;33.76470588235294
38;45;40;30;35;1;4;30;42;1;37.5;1;0.0;40;1;33.333333333333336;3;1;30;0;6;6;35;30;35;1;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;37.23529411764706
21;30;0;31;25;0;2;0;0;1;36.875;1;3.0;30;1;30.8;0;1;24;1;5;4;0;40;30;0;12.0;1;0.0;15.0;16.0;2;0;30;30;2;3;3;2;2;3;2;1.0;26.0
0;35;0;34;33;0;0;0;0;1;33.125;1;3.0;32;1;24.666666666666668;0;1;0;1;3;2;0;0;12;0;6.0;2;3.0;9.0;13.0;1;0;30;30;2;3;3;2;2;3;2;2.0;33.857142857142854
41;36;33;30;35;1;3;32;32;1;36.25;3;0.0;37;1;36.166666666666664;1;2;30;0;6;6;50;30;35;1;18.0;4;0.0;18.0;16.0;2;2;35;35;2;3;3;2;2;3;2;2.0;34.529411764705884
35;40;30;35;44;1;2;50;30;1;31.5625;1;0.0;30;1;34.166666666666664;2;1;35;0;6;6;50;30;30;1;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;37.470588235294116
0;30;32;21;33;2;0;0;0;2;31.4375;1;0.0;30;2;30.0;0;1;0;0;3;3;0;0;30;0;9.0;2;3.0;9.0;13.0;2;0;30;30;2;3;3;2;2;3;2;1.0;29.7
0;38;23;0;0;2;0;0;0;0;36.75;1;6.0;35;1;31.833333333333332;0;0;18;2;6;4;50;18;35;0;12.0;1;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;1.0;29.0
34;30;20;0;31;2;1;0;0;0;33.4375;2;0.0;30;1;35.833333333333336;0;1;35;0;6;6;45;40;35;0;18.0;5;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;1.0;28.636363636363637
44;40;35;40;36;1;1;43;38;1;36.875;1;0.0;35;1;35.666666666666664;1;1;35;0;6;6;35;39;40;2;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;39.23529411764706
0;35;0;0;4;0;0;0;0;1;36.875;1;3.0;30;1;35.0;0;1;0;1;5;4;45;40;25;0;12.0;2;0.0;15.0;16.0;2;1;35;35;2;3;3;2;2;3;2;1.0;11.714285714285714
37;30;32;31;38;2;2;25;33;1;34.6875;3;0.0;32;1;31.166666666666668;1;1;30;0;6;6;30;35;30;1;18.0;5;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;32.88235294117647
37;40;30;35;40;1;2;32;30;1;36.5625;1;0.0;35;1;34.166666666666664;1;1;30;0;6;6;35;30;40;1;18.0;1;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;35.0
39;34;33;34;37;1;1;34;50;1;34.6875;1;0.0;35;1;35.166666666666664;2;1;42;0;6;6;37;37;30;1;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;37.11764705882353
42;40;35;46;30;1;1;39;40;1;37.5;1;0.0;30;1;31.666666666666668;1;1;35;0;6;6;35;30;30;2;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;38.294117647058826
34;35;34;41;48;1;1;33;47;1;34.375;1;0.0;30;1;30.5;2;1;30;0;6;6;30;30;33;2;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;38.8235294117647
27;30;30;35;32;1;3;24;30;1;37.1875;1;0.0;30;1;30.833333333333332;3;4;30;0;6;6;35;30;30;3;18.0;0;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;1.0;29.705882352941178
42;40;40;38;37;1;1;36;50;1;39.0625;1;0.0;30;1;40.5;2;1;43;0;6;6;50;39;46;1;18.0;3;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;3.0;40.294117647058826
36;35;35;35;33;1;1;34;50;1;38.125;1;0.0;30;1;34.833333333333336;2;1;31;0;6;6;35;38;45;2;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;36.470588235294116
30;35;30;34;34;1;2;30;40;1;32.8125;2;0.0;30;1;34.333333333333336;1;1;30;0;6;6;45;41;30;2;18.0;4;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;32.94117647058823
31;40;34;43;48;1;1;30;47;1;35.625;1;0.0;32;1;34.0;2;1;30;0;6;6;35;40;37;2;18.0;0;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;38.76470588235294
0;32;0;0;0;0;0;0;0;0;30.1875;0;0.0;0;1;35.5;0;0;0;0;2;2;41;0;0;0;6.0;1;6.0;6.0;10.0;2;1;30;30;2;3;3;2;2;3;2;2.0;32.0
32;35;35;35;45;1;1;33;34;1;40.3125;1;0.0;30;1;33.333333333333336;1;1;35;0;6;6;35;35;35;1;18.0;0;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;35.88235294117647
0;37;0;0;0;0;0;0;0;0;29.4375;0;3.0;0;1;23.0;0;0;0;1;2;1;6;0;0;0;3.0;1;6.0;6.0;10.0;1;1;40;40;2;3;3;2;2;3;2;2.0;37.0
35;35;38;38;42;1;1;31;48;1;36.5625;2;0.0;33;1;38.0;2;1;30;0;6;6;50;42;38;2;18.0;3;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;38.1764705882353
7;35;0;0;12;0;2;0;0;0;33.1875;2;9.0;13;1;25.0;0;1;9;3;6;3;30;41;22;0;9.0;4;1.0;18.0;15.0;1;1;35;35;2;3;3;2;2;3;2;1.0;15.875
34;35;30;35;37;1;1;40;33;1;37.5;1;0.0;30;1;34.666666666666664;2;1;32;0;6;6;35;36;45;2;18.0;2;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;34.64705882352941
0;20;0;0;0;0;0;0;0;0;35.666666666666664;1;6.0;15;1;21.666666666666668;0;0;0;2;3;1;0;0;15;0;3.0;0;3.0;9.0;12.0;1;0;35;35;2;3;3;2;2;3;2;1.0;20.0
32;35;33;44;41;1;1;42;48;1;36.25;1;0.0;30;1;35.333333333333336;2;1;30;0;6;6;50;42;30;2;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;38.588235294117645
35;35;45;35;50;1;1;31;49;1;39.6875;1;0.0;40;1;40.0;1;1;50;0;6;6;35;35;45;1;18.0;1;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;3.0;40.588235294117645
0;40;32;0;2;1;0;0;0;0;34.0625;3;3.0;35;1;34.0;0;1;27;1;6;5;50;32;30;0;15.0;3;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;1.0;22.75
35;40;41;45;35;1;1;33;41;1;36.875;1;0.0;35;1;34.166666666666664;1;1;40;0;6;6;35;30;35;1;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;38.294117647058826
40;35;43;35;45;1;1;34;39;1;36.875;1;0.0;30;1;35.833333333333336;1;1;30;0;6;6;50;30;35;1;18.0;2;0.0;18.0;16.0;2;1;40;40;2;3;3;2;2;3;2;2.0;39.411764705882355
36;39;39;40;35;1;3;33;34;3;34.6875;2;0.0;30;1;31.666666666666668;1;1;32;0;6;6;37;31;30;2;18.0;4;0.0;18.0;16.0;2;3;30;30;2;3;3;2;2;3;2;2.0;36.588235294117645
34;35;33;32;35;1;1;50;30;1;36.875;1;0.0;30;1;32.0;1;1;30;0;6;6;30;35;32;1;18.0;2;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;35.294117647058826
45;45;45;50;50;1;1;34;41;1;38.8125;1;0.0;40;1;39.166666666666664;1;1;40;0;6;6;40;35;45;1;18.0;1;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;3.0;44.705882352941174
0;35;0;0;0;0;0;0;0;0;32.875;0;0.0;0;1;30.0;0;0;0;0;2;2;30;0;0;0;6.0;1;6.0;6.0;10.0;2;1;30;30;2;3;3;2;2;3;2;2.0;35.0
36;35;36;30;35;1;1;30;50;1;36.5;1;0.0;30;1;33.5;2;1;36;0;6;6;30;40;30;2;18.0;1;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;35.94117647058823
32;35;31;35;40;2;1;30;36;1;37.5;1;0.0;35;1;34.166666666666664;3;3;35;0;6;6;45;30;30;3;18.0;3;0.0;18.0;16.0;2;2;30;30;2;3;3;2;2;3;2;2.0;34.1764705882353
0;39;0;37;0;0;0;0;0;1;38.6875;1;3.0;27;1;31.0;0;0;0;1;4;3;30;0;31;0;9.0;0;3.0;12.0;13.0;2;1;36;36;2;3;3;2;2;3;2;2.0;38.0
30;35;35;36;32;1;1;35;44;1;35.3125;2;0.0;30;1;31.5;1;1;30;0;6;6;30;39;30;3;18.0;3;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;34.76470588235294
34;40;36;35;43;1;1;36;44;1;36.4375;2;0.0;30;1;31.666666666666668;1;3;30;0;6;6;35;35;30;1;18.0;3;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;38.1764705882353
30;35;35;36;44;1;1;32;41;1;39.375;1;0.0;30;1;32.5;1;1;30;0;6;6;30;40;35;2;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;36.1764705882353
38;41;30;31;30;1;2;30;0;2;35.3125;2;0.0;36;1;35.666666666666664;0;2;36;0;6;6;42;35;30;1;18.0;3;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;33.2
36;40;35;45;35;1;2;33;35;1;37.8125;1;0.0;40;1;35.0;1;1;30;0;6;6;40;30;40;2;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;36.705882352941174
33;45;30;30;43;1;1;30;40;1;35.3125;1;0.0;30;1;32.5;1;1;30;0;6;6;30;30;45;2;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;35.76470588235294
38;39;33;40;47;1;1;36;43;1;36.0625;1;0.0;30;1;35.0;1;1;30;0;6;6;40;40;40;1;18.0;0;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;39.411764705882355
31;35;33;35;35;1;1;32;50;1;36.5;1;0.0;30;1;32.166666666666664;3;1;33;0;6;6;35;35;30;2;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;35.35294117647059
0;32;0;31;0;0;0;0;0;1;38.4375;0;6.0;0;1;25.0;0;0;0;2;4;2;30;18;12;0;6.0;1;0.0;12.0;16.0;1;1;40;40;2;3;3;2;2;3;2;2.0;31.5
0;17;0;0;0;0;0;0;0;0;29.875;0;0.0;0;1;35.0;0;0;0;0;1;1;0;0;0;0;3.0;0;6.0;3.0;10.0;2;0;35;35;2;3;3;2;2;3;2;1.0;17.0
38;35;30;34;31;1;3;33;0;1;31.25;1;0.0;36;1;34.333333333333336;0;1;30;0;6;6;50;30;30;2;18.0;0;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;33.4
39;35;37;34;44;1;1;32;43;1;36.5625;1;0.0;35;1;35.833333333333336;1;1;30;0;6;6;50;40;30;1;18.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;38.11764705882353
30;30;30;33;32;1;2;30;35;3;33.4375;2;0.0;33;1;34.5;2;1;32;0;6;6;50;30;32;3;18.0;4;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;31.294117647058822
37;40;30;35;40;1;1;0;0;1;33.875;1;3.0;35;1;30.833333333333332;0;1;25;1;6;5;30;30;35;0;15.0;1;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;2.0;36.23076923076923
30;31;35;0;32;1;2;20;11;0;37.5;2;0.0;35;1;34.166666666666664;1;1;32;0;6;6;30;38;30;1;18.0;5;0.0;18.0;16.0;2;3;40;40;2;3;3;2;2;3;2;1.0;27.666666666666668
43;30;30;0;6;1;4;19;0;0;32.1875;2;0.0;30;1;32.5;0;3;30;0;6;6;40;35;30;3;18.0;5;0.0;18.0;16.0;2;1;30;30;2;3;3;2;2;3;2;1.0;25.76923076923077
35;35;40;31;37;1;1;30;41;2;38.75;1;0.0;30;1;34.833333333333336;1;1;34;0;6;6;50;30;30;1;18.0;1;0.0;18.0;16.0;2;1;35;35;2;3;3;2;2;3;2;2.0;35.88235294117647
