NOTA_L_DOS;NOTA_ECONOMET;NOTA_AVAP;CAR_CINCO;NOTA_POO;NOTA_ECUA;NOTA_FOTO;NOTA_GEOGEO;NOTA_EI_UNO;VECES_ECONOMET;NOTA_PDI;NOTA_INGECO;NOTA_CFJC;NOTA_CARTO;NOTA_SUELOS;NOTA_EI_DOS;NAC_SIETE;NCA_SIETE;NAP_SIETE;NAA_SIETE;VECES_PDI;VECES_EI_UNO;NOTA_LEGIC;NCC_SIETE;VECES_EI_DOS;VECES_GEO_SAL;CAR_SIETE;VECES_AVAP;VECES_L_DOS;NOTA_PROCC;NCP_SIETE;NOTA_GEO_SAL;EPA_SIETE;NOTA_GEO_FIS;PROMEDIO_DOS;PROMEDIO_CINCO;PROMEDIO_SEIS;PROMEDIO_SIETE;VECES_PROCC;CREDITOS_AVAP;CREDITOS_EI_DOS;CREDITOS_ECONOMET;CREDITOS_EI_UNO;CREDITOS_PDI;CREDITOS_PROCC;CREDITOS_GEO_SAL;RENDIMIENTO_OCHO;PROMEDIO_OCHO
39;31;42;0;30;38;34;34;41;1;43;43;50;47;30;39;7;16.0;0;7;1;1;38;16.0;1;1;0;1;1;40;0.0;45;2;43;33.8235294117647;38.388888888888886;42.0;40.625;1;2;2;2;2;3;2;3;3.0;40.214285714285715
39;33;37;2;30;35;30;31;45;1;32;44;45;30;30;47;7;16.0;0;7;1;1;37;16.0;1;1;0;1;1;37;0.0;34;2;41;32.35294117647059;34.888888888888886;40.06666666666667;37.25;1;2;2;2;2;3;2;3;2.0;35.857142857142854
42;20;31;0;40;30;40;30;0;2;37;45;45;38;35;0;7;7.0;4;3;1;1;36;16.0;1;1;1;1;1;39;9.0;16;1;36;36.1764705882353;39.05555555555556;39.93333333333333;21.1875;1;2;2;2;2;3;2;3;1.0;19.5
36;42;36;2;35;32;35;32;44;3;32;34;45;34;30;43;7;16.0;0;7;2;1;35;16.0;1;1;2;1;2;50;0.0;39;2;34;34.94117647058823;35.94444444444444;35.733333333333334;40.1875;1;2;2;2;2;3;2;3;2.0;36.42857142857143
35;39;39;2;50;31;40;37;36;1;43;43;45;43;30;35;7;16.0;0;7;1;1;40;16.0;1;1;0;1;1;40;0.0;38;2;31;33.8235294117647;36.94444444444444;39.13333333333333;38.8125;1;2;2;2;2;3;2;3;2.0;38.92857142857143
43;42;36;0;50;40;38;50;37;1;42;39;42;33;40;45;7;16.0;0;7;1;1;38;16.0;1;1;0;1;1;39;0.0;38;2;38;37.35294117647059;40.5;40.06666666666667;39.875;1;2;2;2;2;3;2;3;3.0;42.5
33;34;37;0;50;30;45;36;42;1;33;31;45;38;30;30;7;16.0;0;7;1;1;37;16.0;1;2;1;1;1;37;0.0;34;2;31;34.411764705882355;35.166666666666664;35.2;35.0625;1;2;2;2;2;3;2;3;3.0;41.214285714285715
43;35;38;2;30;34;35;36;35;2;38;40;40;37;40;32;7;16.0;0;7;1;1;40;16.0;2;1;2;1;1;48;0.0;45;2;31;33.23529411764706;35.27777777777778;38.93333333333333;39.0625;1;2;2;2;2;3;2;3;2.0;36.642857142857146
32;33;34;2;50;35;30;34;48;2;33;45;45;39;30;39;7;16.0;0;7;1;1;39;16.0;1;1;1;1;1;38;0.0;40;2;30;32.35294117647059;34.833333333333336;37.2;37.6875;1;2;2;2;2;3;2;3;2.0;37.5
44;31;36;1;40;30;35;30;42;1;31;36;45;38;35;41;7;16.0;0;7;1;1;39;16.0;1;1;0;1;1;38;0.0;45;2;38;34.705882352941174;35.22222222222222;38.93333333333333;37.75;1;2;2;2;2;3;2;3;2.0;37.07142857142857
43;30;34;2;30;34;41;30;42;1;35;38;44;35;34;42;7;16.0;0;7;1;1;34;16.0;1;1;0;1;1;47;0.0;48;2;40;31.294117647058822;33.55555555555556;38.2;39.9375;1;2;2;2;2;3;2;3;2.0;37.42857142857143
34;37;34;4;39;37;32;32;36;1;32;46;37;33;34;43;7;16.0;0;7;1;1;33;16.0;1;1;0;1;1;38;0.0;34;2;30;30.58823529411765;33.833333333333336;35.46666666666667;35.875;1;2;2;2;2;3;2;3;2.0;36.92857142857143
44;40;43;1;50;37;30;32;50;1;40;31;35;40;30;50;7;16.0;0;7;1;1;39;16.0;1;1;0;1;1;37;0.0;43;2;31;35.0;40.5;38.2;43.0625;1;2;2;2;2;3;2;3;3.0;42.07142857142857
39;31;30;2;30;30;30;40;48;1;32;36;40;40;30;39;7;16.0;0;7;1;1;37;16.0;1;1;0;1;1;36;0.0;38;2;32;32.05882352941177;37.0;36.53333333333333;36.125;1;2;2;2;2;3;2;3;2.0;34.714285714285715
43;30;41;1;35;31;35;33;34;1;45;37;30;37;30;41;7;16.0;0;7;1;1;42;16.0;1;1;0;1;1;38;0.0;44;2;33;32.94117647058823;37.5;39.4;39.6875;1;2;2;2;2;3;2;3;3.0;40.285714285714285
39;37;33;3;34;34;40;32;45;1;32;50;30;40;38;39;7;16.0;0;7;1;1;39;16.0;1;1;0;1;1;38;0.0;43;2;30;37.1764705882353;36.72222222222222;37.266666666666666;38.0625;1;2;2;2;2;3;2;3;2.0;35.714285714285715
47;30;39;1;35;40;40;32;38;1;36;44;45;42;30;47;7;16.0;0;7;1;1;40;16.0;1;1;0;1;1;36;0.0;30;2;33;32.94117647058823;38.111111111111114;40.46666666666667;36.125;1;2;2;2;2;3;2;3;2.0;39.07142857142857
