NOTA_SISDIN;NOTA_ELECPOT;PROMEDIO_SIETE;PROMEDIO_TRES;NOTA_COMDIG;NOTA_FDS;NOTA_VARCOM;CON_MAT_ICFES;NOTA_TFM;PROMEDIO_SEIS;NCC_SIETE;NOTA_COMANA;NAA_SIETE;NOTA_ECO;NCA_SIETE;VECES_COMANA;PG_ICFES;VECES_ELECPOT;NOTA_CCON;VECES_COMDIG;VECES_ADMICRO;NOTA_L_TRES;NCP_SIETE;PROMEDIO_CINCO;NAC_SIETE;CAR_SIETE;NOTA_HSE;NAP_SIETE;VECES_ECO;VECES_FDS;VECES_SISDIN;EPA_SIETE;VECES_DDM;VECES_L_TRES;CREDITOS_ELECPOT;VECES_HSE;RENDIMIENTO_OCHO;PROMEDIO_OCHO
30.0;23.5;32.541666666666664;31.11111111111111;45.0;27.5;30.0;60.49;49.0;27.5;12.0;35.0;3;35.0;7.0;1;470.95;2;30.0;1;1;0.0;5.0;40.8;5;2;0.0;2;1;2;1;2;1;0;3;0;3.0;42.388888888888886
25.0;41.0;35.0;33.23529411764706;34.0;45.0;30.0;81.5;50.0;31.357142857142858;12.0;30.0;3;27.5;8.0;1;514.21;1;35.0;1;1;0.0;4.0;41.266666666666666;5;2;0.0;2;2;1;2;2;1;0;3;0;2.0;38.388888888888886
30.0;0.0;30.0;29.02777777777778;0.0;0.0;19.5;60.49;0.0;15.166666666666666;2.0;0.0;1;0.0;2.0;0;479.19;0;40.0;0;2;0.0;0.0;13.5;1;0;0.0;0;0;0;1;2;2;0;3;0;4.0;49.0
40.0;34.0;35.25;32.205882352941174;38.0;23.5;35.0;81.5;47.0;33.285714285714285;12.0;37.0;4;40.0;10.0;1;454.65;1;30.0;1;1;0.0;2.0;36.733333333333334;5;1;0.0;1;1;2;1;2;1;0;3;0;2.0;38.111111111111114
30.0;33.0;31.666666666666668;35.138888888888886;37.0;25.0;35.0;72.55;45.0;29.107142857142858;12.0;35.0;4;30.0;10.0;1;478.74;1;35.0;1;1;0.0;2.0;41.333333333333336;5;1;0.0;1;1;2;1;2;2;0;3;0;3.0;40.388888888888886
27.5;35.0;32.583333333333336;31.61764705882353;37.0;30.0;40.0;72.55;44.0;40.57142857214286;12.0;24.66666667;4;30.0;10.0;3;450.22;1;45.0;1;1;0.0;2.0;40.93333333333333;5;1;0.0;1;1;1;2;2;1;0;3;0;2.0;38.55555555555556
27.5;24.33333333;30.916666665833333;34.94117647058823;37.0;31.0;32.5;67.54;48.0;36.142857142857146;12.0;32.0;3;35.0;7.0;2;447.85;3;30.0;1;1;0.0;5.0;35.93333333333333;5;2;0.0;2;1;1;2;2;1;0;3;0;2.0;36.416666666666664
30.0;32.0;27.708333333333332;35.55555555555556;15.5;30.0;35.0;67.54;44.0;25.089285714285715;12.0;36.0;4;35.0;9.0;1;454.59;1;50.0;2;2;0.0;3.0;27.766666666666666;5;2;0.0;1;1;2;1;1;4;0;3;0;2.0;32.33333333388889
35.0;48.0;40.25;38.05555555555556;43.0;30.0;35.0;60.49;42.0;31.071428571428573;12.0;35.0;5;40.0;12.0;1;485.28;1;35.0;1;1;0.0;0.0;42.46666666666667;5;0;0.0;0;1;1;1;2;1;0;3;0;3.0;44.333333333333336
30.0;39.0;33.666666666666664;29.72222222222222;42.0;19.5;25.0;75.27;44.0;31.5;12.0;37.0;4;31.0;10.0;1;461.1;1;40.0;1;1;0.0;2.0;37.333333333333336;5;2;0.0;1;2;2;1;2;1;0;3;0;2.0;38.361111111111114
25.0;33.0;35.25;35.294117647058826;38.0;35.0;40.0;67.54;44.0;41.714285714285715;12.0;30.0;4;45.0;10.0;1;497.25;1;45.0;1;1;0.0;2.0;39.8;5;1;0.0;1;1;1;2;2;1;0;3;0;2.0;38.166666666666664
35.0;39.0;37.0;32.638888888888886;39.0;35.0;40.0;72.55;47.0;27.928571427857143;12.0;30.5;5;35.0;12.0;2;499.7;1;40.0;1;2;0.0;0.0;37.06666666666667;5;0;0.0;0;1;1;1;2;3;0;3;0;3.0;40.666666666666664
40.0;39.0;36.416666666666664;34.705882352941174;38.0;33.0;30.0;72.55;44.0;31.785714285714285;12.0;30.0;5;30.0;12.0;1;472.03;1;40.0;1;1;0.0;0.0;41.13333333333333;5;0;0.0;0;1;1;1;2;1;0;3;0;3.0;41.72222222222222
35.0;43.0;41.75;33.77777777777778;44.0;50.0;40.0;89.86;48.0;35.57142857142857;12.0;35.0;5;35.0;12.0;1;520.07;1;35.0;1;1;0.0;0.0;42.86666666666667;5;0;0.0;0;1;1;1;2;1;0;3;0;3.0;44.666666666666664
35.0;50.0;42.5;38.333333333333336;40.0;50.0;50.0;69.99;49.0;40.357142857142854;12.0;40.0;5;35.0;12.0;1;482.55;1;35.0;1;1;0.0;0.0;43.53333333333333;5;0;0.0;0;1;1;1;2;1;0;3;0;3.0;44.388888888888886
