NOTA_PROB;NOTA_CIENCIAS_COMP_UNO;NOTA_MOD_PROG_DOS;NOTA_ARQ_COMP;NOTA_INV_OP_UNO;NOTA_FISICA_TRES;VECES_INV_OP_UNO;VECES_PROB;NOTA_METODOS_NUM;NOTA_MOD_PROG_UNO;VECES_MOD_PROG_DOS;VECES_FISICA_TRES;NOTA_EE_TRES;VECES_CIENCIAS_COMP_UNO;VECES_ARQ_COMP;VECES_EE_TRES;NCC_CUATRO;NCA_CUATRO;NAP_CUATRO;NOTA_MAT_DIS;NOTA_A_SISTEMAS;NAC_TRES;NAA_DOS;VECES_A_SISTEMAS;NOTA_GT_DOS;CAR_CUATRO;NAA_CUATRO;NOTA_FUND_BASES;NCC_TRES;NOTA_HOMBRE;NCP_CUATRO;NAA_TRES;VECES_HOMBRE;NAC_CUATRO;EPA_CUATRO;CREDITOS_PROB;CREDITOS_INV_OP_UNO;PROMEDIO_CINCO;CREDITOS_EE_TRES;CREDITOS_MOD_PROG_DOS;CREDITOS_CIENCIAS_COMP_UNO;CREDITOS_FISICA_TRES;PROMEDIO_UNO;PROMEDIO_DOS;PROMEDIO_TRES;CREDITOS_ARQ_COMP;RENDIMIENTO_CINCO
37.0;41.0;44.0;40.0;30.0;34.0;1;1;40.0;40.0;1;1;45;1;1;1;18.0;15.0;1;39.0;40.0;7;6;1;50;1;8;33.0;18.0;44.0;3.0;5;1;9;2;3;3;38.31578947368421;2;3;3;3;36.75;34.5;35.02777777777778;2;2.0
27.66666667;34.0;42.0;37.0;39.0;32.0;1;3;38.0;39.0;1;2;45;1;1;1;18.0;15.0;1;34.0;41.0;7;6;1;50;1;8;42.0;18.0;47.0;3.0;7;1;9;2;3;3;36.21052631631579;2;3;3;3;33.388888888888886;34.63157894736842;38.5;2;2.0
0.0;24.0;39.0;0.0;0.0;0.0;0;0;38.0;34.0;1;0;0;3;0;0;8.0;6.0;1;0.0;17.33333333;4;3;3;0;1;3;30.0;11.0;0.0;2.0;2;0;4;1;3;3;31.5;2;3;3;3;35.15625;31.25;25.818181817272727;2;2.0
0.0;0.0;0.0;5.0;0.0;0.0;0;0;39.0;7.5;0;0;0;0;2;0;7.0;1.0;2;12.5;0.0;4;3;0;0;2;1;0.0;10.0;0.0;6.0;2;0;3;1;3;3;5.0;2;3;3;3;31.470588235294116;28.781250000625;25.7;2;1.0
46.0;31.5;41.0;45.0;29.5;41.0;2;1;35.0;37.0;1;1;42;2;1;1;18.0;13.0;2;31.0;37.0;7;6;1;37;2;7;38.0;18.0;41.0;5.0;7;1;9;2;3;3;39.0;2;3;3;3;35.72222222222222;37.10526315736842;34.083333333333336;2;2.0
33.0;34.0;44.0;39.0;33.0;23.5;1;1;40.0;37.0;1;2;43;1;1;1;18.0;18.0;0;31.0;37.0;7;5;1;50;0;9;30.0;18.0;33.0;0.0;6;1;9;2;3;3;35.078947368421055;2;3;3;3;34.166666666666664;32.86842105368421;31.916666666666668;2;2.0
14.0;0.0;0.0;0.0;0.0;0.0;0;1;0.0;0.0;0;0;0;0;0;0;2.0;2.0;0;0.0;34.0;1;4;1;0;0;1;0.0;2.0;0.0;0.0;1;0;1;2;3;3;14.0;2;3;3;3;32.15686274588235;31.892857142857142;35.0;2;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0;0;45.0;32.5;0;0;50;0;0;1;6.0;6.0;0;0.0;34.0;5;4;1;0;1;3;0.0;13.0;0.0;0.0;2;0;3;2;3;3;50.0;2;3;3;3;36.388888888888886;31.031250000625;24.99999999923077;2;4.0
0.0;22.5;0.0;0.0;0.0;0.0;0;0;35.0;24.0;0;0;0;2;0;0;10.0;7.0;1;0.0;41.0;4;3;1;0;0;4;32.0;10.0;0.0;3.0;3;0;5;2;3;3;22.5;2;3;3;3;34.90196078352942;29.28125;37.8;2;1.0
39.0;34.0;48.0;42.0;39.0;33.0;1;1;40.0;43.0;1;1;50;1;1;1;18.0;18.0;0;40.0;41.0;7;8;1;50;0;9;37.0;18.0;46.0;0.0;7;1;9;2;3;3;40.1578947368421;2;3;3;3;41.611111111111114;38.526315789473685;37.27777777777778;2;3.0
40.0;35.0;49.0;41.0;38.0;33.0;1;1;45.0;44.0;1;1;45;1;1;1;18.0;18.0;0;44.0;41.0;7;8;1;50;0;9;38.0;18.0;44.0;0.0;7;1;9;2;3;3;39.8421052631579;2;3;3;3;38.5;38.31578947368421;36.77777777777778;2;2.0
