PROMEDIO_UNO;NOTA_DIF;CON_MAT_ICFES;EPA_UNO;FISICA_ICFES;PG_ICFES;NOTA_PROGB;NOTA_FIS_UNO;BIOLOGIA_ICFES;IDIOMA_ICFES;LITERATURA_ICFES;NCP_UNO;NOTA_TEXTOS;NOTA_CFJC;NAP_UNO;NOTA_SEM;NCC_UNO;GENERO;LOCALIDAD;VECES_TEXTOS;NAA_UNO;NCA_UNO;VECES_DIF;VECES_SEM;NAC_UNO;CAR_UNO;QUIMICA_ICFES;VECES_CFJC;VECES_FIS_UNO;VECES_PROGB;RENDIMIENTO_DOS;PROMEDIO_DOS
25.454545454545453;20.0;62.82;1;66.74;461.1;30.0;25.0;60.25;67.6;49.19;7.0;0.0;35.0;2;0.0;11.0;0;11;0;2;4.0;1;0;4;0;65.59;1;1;1;1.0;15.0
29.375;22.5;69.99;1;66.74;476.19;30.0;32.5;51.92;67.6;55.25;4.0;0.0;35.0;1;40.0;12.0;0;8;0;4;8.0;2;1;5;2;61.18;1;2;1;2.0;30.735294118235295
39.166666666666664;35.0;85.28;2;58.93;507.55;40.0;40.0;58.09;79.55;64.21;0.0;0.0;40.0;0;50.0;12.0;1;8;0;5;12.0;1;1;5;0;52.34;1;1;1;2.0;37.05882352941177
15.909090909090908;15.0;65.16;1;64.0;473.52;15.0;15.0;58.09;49.65;57.32;11.0;0.0;25.0;4;0.0;11.0;0;3;0;0;0.0;1;0;4;0;59.25;1;1;1;1.0;15.0
35.416666666666664;30.0;78.22;2;58.93;477.41;40.0;35.0;58.09;69.48;61.76;0.0;0.0;40.0;0;40.0;12.0;0;18;0;5;12.0;1;1;5;0;55.7;1;1;1;2.0;33.529411764705884
36.25;40.0;75.91;2;73.07;489.84;30.0;35.0;62.46;52.42;66.67;0.0;0.0;40.0;0;40.0;12.0;0;16;0;5;12.0;1;1;5;0;63.23;1;1;1;2.0;34.411764705882355
28.636363636363637;20.0;75.27;1;61.41;461.67;35.0;30.0;55.99;61.22;57.32;4.0;0.0;40.0;1;0.0;11.0;1;8;0;3;7.0;1;0;4;0;61.18;1;1;1;1.0;30.0
39.166666666666664;40.0;81.5;2;58.93;530.42;35.0;40.0;67.71;71.53;70.06;0.0;0.0;40.0;0;45.0;12.0;1;20;0;5;12.0;1;1;5;0;61.18;1;1;1;2.0;34.85294117647059
32.916666666666664;30.0;60.49;2;61.41;470.95;35.0;30.0;62.54;65.86;66.94;0.0;0.0;35.0;0;45.0;12.0;0;15;0;5;12.0;1;1;5;0;54.01;1;1;1;2.0;31.764705882352942
37.916666666666664;40.0;81.5;2;81.3;514.21;30.0;40.0;58.09;79.55;66.94;0.0;0.0;40.0;0;45.0;12.0;0;20;0;5;12.0;1;1;5;0;63.27;1;1;1;2.0;38.529411764705884
31.25;30.0;60.49;2;64.0;479.19;30.0;30.0;55.99;48.43;64.21;0.0;0.0;40.0;0;35.0;12.0;0;9;0;5;12.0;1;1;5;0;55.7;1;1;1;2.0;33.82352941235294
34.166666666666664;30.0;81.5;2;56.51;454.65;35.0;35.0;55.99;67.6;53.22;0.0;0.0;40.0;0;40.0;12.0;1;20;0;5;12.0;1;1;5;0;47.22;1;1;1;2.0;32.205882352941174
35.416666666666664;30.0;72.55;2;64.0;478.74;40.0;35.0;58.09;71.53;53.22;0.0;0.0;40.0;0;40.0;12.0;0;20;0;5;12.0;1;1;5;0;59.25;1;1;1;2.0;36.1764705882353
23.181818181818183;17.5;72.55;1;64.0;455.25;30.0;20.0;58.09;61.22;53.22;7.0;0.0;35.0;2;0.0;11.0;0;21;0;2;4.0;2;0;4;2;55.7;1;2;1;1.0;25.0
19.09090909;15.0;72.55;1;66.74;450.12;20.0;18.33333333;58.09;64.23;53.22;10.0;0.0;35.0;3;0.0;11.0;0;11;0;1;1.0;3;0;4;2;54.01;1;3;1;1.0;26.000000002
35.416666666666664;35.0;72.55;2;66.74;450.22;35.0;35.0;53.95;53.32;57.32;0.0;0.0;35.0;0;40.0;12.0;0;11;0;5;12.0;1;1;5;0;54.01;1;1;1;2.0;32.35294117647059
15.681818181818182;15.0;67.54;1;64.0;466.72;15.0;17.5;60.25;76.45;59.48;11.0;0.0;15.0;4;0.0;11.0;0;11;0;0;0.0;2;0;4;3;52.34;1;2;2;1.0;15.0
35.0;30.0;67.54;2;72.97;447.85;35.0;40.0;62.54;69.48;55.25;0.0;0.0;35.0;0;40.0;12.0;0;11;0;5;12.0;1;1;5;0;52.34;1;1;1;2.0;32.64705882352941
35.208333333333336;30.0;67.54;2;64.0;454.59;40.0;32.5;53.95;50.87;53.22;0.0;0.0;40.0;0;45.0;12.0;0;11;0;5;12.0;2;1;5;2;59.25;1;2;1;2.0;34.705882352941174
32.916666666666664;35.0;72.55;2;66.74;486.27;30.0;30.0;62.54;73.83;59.48;0.0;0.0;35.0;0;40.0;12.0;0;11;0;5;12.0;1;1;5;0;52.34;1;1;1;2.0;33.382352940588234
33.333333333333336;27.5;60.49;2;61.41;485.28;40.0;30.0;67.71;71.53;64.21;4.0;0.0;35.0;1;45.0;12.0;0;11;0;4;8.0;2;1;5;1;61.18;1;1;1;2.0;33.529411764705884
30.454545454545453;30.0;81.5;2;61.41;490.19;30.0;30.0;60.25;111.94;64.21;0.0;0.0;35.0;0;0.0;11.0;0;11;0;4;11.0;1;0;4;1;59.25;1;2;1;1.0;19.264705882352942
33.333333333333336;30.0;67.54;2;76.74;470.9;40.0;30.0;55.99;52.09;55.25;0.0;0.0;35.0;0;35.0;12.0;0;11;0;5;12.0;1;1;5;0;39.03;1;1;1;2.0;30.441176470588236
29.791666665833333;30.0;75.27;1;61.41;442.26;28.33333333;27.5;58.09;67.6;55.25;6.0;0.0;40.0;2;30.0;12.0;0;11;0;3;6.0;2;3;5;4;59.25;1;2;3;2.0;32.205882352941174
35.0;30.0;75.27;2;58.93;461.1;45.0;30.0;53.95;43.48;57.32;0.0;0.0;40.0;0;35.0;12.0;0;11;0;5;12.0;1;1;5;0;55.7;1;1;1;1.0;28.235294117647058
38.75;40.0;67.54;2;69.69;497.25;40.0;35.0;70.81;111.94;61.76;0.0;0.0;40.0;0;40.0;12.0;0;11;0;5;12.0;1;1;5;0;68.28;1;1;1;2.0;34.411764705882355
35.0;30.0;72.55;2;64.0;499.7;40.0;35.0;62.54;64.23;66.94;0.0;0.0;35.0;0;40.0;12.0;0;10;0;5;12.0;1;1;5;0;59.25;1;1;1;2.0;33.970588235294116
40.416666666666664;35.0;72.55;2;64.0;472.03;50.0;35.0;58.09;88.67;64.21;0.0;0.0;40.0;0;50.0;12.0;1;10;0;5;12.0;1;1;5;0;54.01;1;1;1;2.0;34.85294117647059
25.454545454545453;15.0;78.22;1;58.93;508.98;50.0;15.0;62.54;69.48;66.94;8.0;0.0;25.0;3;0.0;11.0;1;9;0;1;3.0;1;0;4;0;61.18;1;1;1;1.0;15.0
35.833333333333336;35.0;89.86;2;58.93;520.07;40.0;30.0;65.0;64.23;64.21;0.0;0.0;40.0;0;40.0;12.0;0;9;0;5;12.0;1;1;5;0;63.27;1;1;1;2.0;34.11764705882353
