CON_MAT_ICFES;IDIOMA_ICFES;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;QUIMICA_ICFES;PG_ICFES;LITERATURA_ICFES;PROMEDIO_UNO;NOTA_DIFERENCIAL;NOTA_CATEDRA_DEM;NOTA_PROG_BASICA;NAA_UNO;CAR_UNO;NOTA_TEXTOS;NOTA_LOGICA;NOTA_SEMINARIO;VECES_LOGICA;NAC_UNO;NCC_UNO;NCA_UNO;VECES_CATEDRA_DEM;NOTA_EE_UNO;NAP_UNO;VECES_DIFERENCIAL;NOTA_CATEDRA_CON;VECES_EE_UNO;PROMEDIO_DOS;NOTA_TGS;NOTA_PROG_AVANZADA;NOTA_FISICA_DOS;NOTA_MULTIVARIADO;NOTA_SEGUNDA_LENGUA_DOS;VECES_FISICA_DOS;NOTA_EE_DOS;VECES_PROG_AVANZADA;NAA_DOS;VECES_TGS;NCA_DOS;VECES_MULTIVARIADO;NOTA_ECUACIONES;NAC_DOS;NOTA_METODOS_NUM;NOTA_A_SISTEMAS;NOTA_MOD_PROG_UNO;NOTA_MAT_DIS;NOTA_HOMBRE;NOTA_GT_DOS;VECES_A_SISTEMAS;VECES_HOMBRE;NCC_TRES;NAA_TRES;NOTA_FUND_BASES;NAC_TRES;PROMEDIO_CINCO;RENDIMIENTO_CINCO
63.08;53.98;10;59.93;50.5;430.63;59.31;33.6875;30.0;40.0;35.0;8;1;35.0;30.0;35.0;2;8;16.0;16.0;1;0.0;0;1;39.0;0;31.5;32.0;40.0;0.0;22.66666667;0.0;0;0;1;4;1;11.0;3;30.0;7;30.0;25.0;42.0;45.0;0.0;0;2;0;11.0;3;17.0;4;18.416666664999997;1.0
66.83;46.92;20;57.49;51.89;454.2;62.78;36.888888888888886;30.0;45.0;40.0;9;1;35.0;30.0;50.0;1;9;18.0;18.0;1;40.0;0;2;44.0;1;33.9078947368421;43.0;40.0;36.0;31.0;40.0;1;44;1;5;1;10.0;1;23.0;8;34.0;42.0;44.0;25.0;39.0;50;1;1;18.0;6;36.0;7;36.71052631578947;2.0
70.11;77.14;5;58.93;56.08;472.6;54.54;34.05555555555556;30.0;45.0;35.0;9;0;35.0;35.0;40.0;1;9;18.0;18.0;1;30.0;0;1;33.0;1;33.166666666666664;40.0;35.0;30.0;26.33333333;0.0;1;35;1;4;1;11.0;3;22.5;6;40.0;41.0;34.0;41.0;0.0;50;1;0;16.0;4;31.0;6;31.392857142857142;2.0
53.95;72.32;6;61.56;62.42;477.24;65.96;35.47222222222222;30.0;45.0;35.0;8;2;40.0;27.5;40.0;2;9;18.0;15.0;1;39.0;1;2;43.0;1;31.710526315789473;35.0;40.0;32.5;29.0;39.0;2;45;1;5;1;10.0;2;38.0;8;40.0;44.0;47.0;35.0;48.0;50;1;1;18.0;6;46.0;7;39.78947368421053;2.0
67.01;45.94;6;44.68;47.38;426.06;54.54;36.75;30.0;45.0;40.0;9;1;40.0;32.5;40.0;2;9;18.0;18.0;1;40.0;0;1;39.0;1;34.5;30.0;39.0;41.0;26.0;44.0;1;41;1;6;1;13.0;2;27.5;8;40.0;40.0;40.0;39.0;44.0;50;1;1;18.0;5;33.0;7;38.31578947368421;2.0
73.57;44.71;8;58.93;59.89;461.09;46.1;33.388888888888886;30.0;40.0;30.0;9;0;35.0;30.0;35.0;1;9;18.0;18.0;1;32.0;0;1;47.0;1;34.63157894736842;30.0;40.0;43.0;40.0;42.0;1;45;1;6;1;13.0;1;30.0;8;38.0;41.0;39.0;34.0;47.0;50;1;1;18.0;7;42.0;7;36.21052631631579;2.0
64.16;62.69;11;46.76;59.89;459.64;52.45;35.15625;25.0;40.0;45.0;6;2;40.0;35.0;35.0;1;8;16.0;11.0;1;0.0;2;2;27.5;0;31.25;35.0;50.0;8.0;13.33333333;0.0;1;0;1;3;1;9.0;3;0.0;5;38.0;17.33333333;34.0;0.0;0.0;0;3;0;11.0;2;30.0;4;31.5;2.0
67.01;50.86;1;50.78;64.33;433.58;48.26;31.470588235294116;30.0;45.0;40.0;6;2;30.0;30.0;25.0;1;8;17.0;14.0;1;20.0;2;2;0.0;1;28.781250000625;28.5;40.0;0.0;0.0;0.0;0;40;1;3;2;8.0;1;0.0;6;39.0;0.0;7.5;12.5;0.0;0;0;0;10.0;2;0.0;4;5.0;1.0
61.26;83.41;12;64.97;56.05;466.96;60.56;35.72222222222222;30.0;45.0;35.0;9;0;40.0;35.0;30.0;1;9;18.0;18.0;1;36.0;0;1;41.0;1;37.10526315736842;30.0;39.0;30.5;35.0;38.0;2;37;1;6;1;13.0;1;30.0;8;35.0;37.0;37.0;31.0;41.0;37;1;1;18.0;7;38.0;7;39.0;2.0
58.94;77.14;8;53.07;58.28;465.49;52.45;34.166666666666664;25.0;40.0;35.0;8;2;40.0;30.0;45.0;2;9;18.0;14.0;1;38.0;1;2;39.0;1;32.86842105368421;35.0;30.0;30.0;22.5;39.0;1;40;1;5;1;10.0;2;33.0;8;40.0;37.0;37.0;31.0;33.0;50;1;1;18.0;6;30.0;7;35.078947368421055;2.0
56.59;53.32;11;46.34;50.94;408.58;58.52;32.15686274588235;26.66666667;35.0;25.0;5;4;35.0;35.0;25.0;2;8;17.0;9.0;1;50.0;3;3;0.0;1;31.892857142857142;35.0;0.0;0.0;0.0;0.0;0;0;0;4;1;11.0;0;0.0;5;0.0;34.0;0.0;0.0;0.0;0;1;0;2.0;1;0.0;1;14.0;1.0
70.26;65.1;20;61.56;64.8;476.62;65.94;36.388888888888886;25.0;40.0;45.0;7;2;40.0;45.0;25.0;1;9;18.0;13.0;1;33.0;2;2;34.0;1;31.031250000625;35.0;29.5;15.33333333;11.5;0.0;3;43;2;4;1;10.0;2;0.0;6;45.0;34.0;32.5;0.0;0.0;0;1;0;13.0;2;0.0;5;50.0;4.0
55.73;45.31;20;58.72;50.18;450.64;59.42;34.90196078352942;28.33333333;45.0;35.0;7;1;40.0;35.0;40.0;1;8;17.0;13.0;1;30.0;1;3;0.0;1;29.28125;42.0;39.0;29.0;0.0;45.0;2;0;1;3;1;7.0;0;0.0;6;35.0;41.0;24.0;0.0;0.0;0;1;0;10.0;3;32.0;4;22.5;1.0
73.57;65.1;1;46.76;47.38;425.79;52.45;41.611111111111114;35.0;50.0;45.0;9;0;40.0;40.0;50.0;1;9;18.0;18.0;1;45.0;0;1;44.0;1;38.526315789473685;40.0;40.0;35.0;30.0;47.0;1;46;1;8;1;19.0;1;30.0;8;40.0;41.0;43.0;40.0;46.0;50;1;1;18.0;7;37.0;7;40.1578947368421;3.0
64.24;42.76;11;55.09;62.42;464.25;46.1;38.5;35.0;40.0;40.0;9;0;40.0;35.0;40.0;1;9;18.0;18.0;1;39.0;0;1;50.0;1;38.31578947368421;40.0;40.0;35.0;30.0;36.0;1;45;1;8;1;19.0;1;35.0;8;45.0;41.0;44.0;44.0;44.0;50;1;1;18.0;7;38.0;7;39.8421052631579;2.0
64.24;43.48;8;57.16;52.83;463.92;61.03;34.72222222222222;30.0;40.0;30.0;9;2;40.0;35.0;40.0;1;9;18.0;18.0;1;37.0;0;3;41.0;1;35.63157894736842;34.0;28.0;36.0;26.5;37.0;1;40;2;6;1;13.0;2;31.0;8;42.0;30.0;19.0;24.5;47.0;50;1;1;18.0;5;47.0;7;33.39473684210526;2.0
55.73;50.67;0;69.14;63.23;477.42;66.67;28.02777777777778;22.5;22.5;30.0;4;7;25.0;27.5;30.0;2;9;18.0;7.0;2;33.0;5;2;46.0;1;36.333333333333336;31.5;31.0;15.0;29.0;29.0;4;34;1;5;2;12.0;2;29.5;7;27.0;31.0;47.0;33.0;42.0;0;1;1;18.0;3;46.0;7;37.09090909;2.0
64.16;53.32;4;52.77;59.89;463.6;48.26;42.166666666666664;35.0;50.0;50.0;9;0;40.0;40.0;50.0;1;9;18.0;18.0;1;45.0;0;1;44.0;1;41.21052631578947;45.0;45.0;30.0;30.0;42.0;1;47;1;7;1;18.0;1;40.0;8;45.0;40.0;47.0;43.0;43.0;50;1;1;18.0;7;47.0;7;41.26315789473684;3.0
58.15;41.7;11;59.24;57.31;450.52;49.43;23.725490195294118;22.5;35.0;30.0;3;5;27.5;23.33333333;23.33333333;3;8;17.0;5.0;1;0.0;5;2;0.0;1;23.0;10.33333333;0.0;0.0;0.0;0.0;0;0;0;1;3;2.0;0;0.0;5;30.0;40.0;0.0;0.0;0.0;0;1;0;2.0;0;0.0;1;4.0;1.0
70.11;45.94;5;46.76;56.08;444.47;52.45;31.944444444444443;27.5;45.0;30.0;7;1;45.0;30.0;50.0;1;9;18.0;12.0;1;15.0;2;2;35.0;1;32.05882353;30.0;37.0;22.33333333;12.0;0.0;3;40;1;4;1;8.0;2;20.66666667;7;39.0;40.0;36.0;37.0;0.0;0;1;0;16.0;3;37.0;6;24.875;1.0
64.24;48.4;18;53.07;56.4;447.62;56.64;37.833333333333336;35.0;45.0;40.0;9;0;40.0;35.0;50.0;1;9;18.0;18.0;1;30.0;0;1;41.0;1;34.86842105263158;40.0;35.0;30.5;40.0;41.0;2;38;1;6;1;13.0;1;32.0;8;35.0;38.0;41.0;34.0;43.0;50;1;1;18.0;7;35.0;7;35.078947368421055;2.0
60.49;67.6;10;53.95;54.01;448.33;57.32;29.0;25.0;25.0;25.0;3;6;30.0;27.5;25.0;2;9;18.0;5.0;2;41.0;6;2;45.0;1;32.39473684157895;42.0;47.0;25.0;21.66666667;29.0;3;42;1;5;1;10.0;3;14.33333333;8;30.0;42.0;29.33333333;16.0;42.0;50;1;1;18.0;3;22.33333333;7;27.000000001052634;1.0
52.15;52.09;20;64.99;55.57;472.71;62.97;39.72222222222222;30.0;45.0;45.0;9;1;45.0;40.0;50.0;1;9;18.0;18.0;1;36.0;0;2;43.0;1;41.31578947368421;40.0;50.0;36.0;35.0;45.0;1;46;1;8;1;19.0;1;35.0;8;35.0;35.0;48.0;37.0;43.0;50;1;1;18.0;7;45.0;7;40.63157894736842;3.0
65.25;55.64;12;55.53;57.31;452.1;57.14;32.0;27.5;45.0;40.0;7;1;30.0;30.0;40.0;1;9;18.0;12.0;1;15.0;2;2;41.0;1;34.71052631578947;30.0;31.5;30.0;35.0;34.0;1;37;2;5;1;10.0;1;38.0;8;30.0;39.0;35.0;34.0;44.0;50;1;1;18.0;7;44.0;7;35.026315789473685;2.0
61.49;59.64;7;54.77;62.0;478.63;54.54;37.94444444444444;25.0;45.0;40.0;8;1;45.0;35.0;50.0;1;9;18.0;14.0;1;39.0;1;2;50.0;1;35.868421053157896;35.0;45.0;30.0;38.0;44.0;1;45;1;7;1;16.0;1;32.0;8;40.0;38.0;37.0;36.0;40.0;50;1;1;18.0;7;39.0;7;36.73684210526316;2.0
70.26;59.64;0;49.05;54.59;459.49;52.45;31.764705882352942;22.5;45.0;35.0;6;1;40.0;35.0;45.0;1;8;17.0;11.0;1;15.0;2;4;0.0;1;28.764705882941175;41.0;39.0;0.0;0.0;46.0;0;0;1;3;1;6.0;0;22.0;7;42.0;37.0;30.0;0.0;0.0;0;1;0;10.0;3;0.0;4;8.8125;1.0
67.13;72.32;16;51.06;60.27;447.77;54.54;36.55555555555556;25.0;45.0;35.0;8;1;45.0;35.0;50.0;1;9;18.0;14.0;1;37.0;1;2;44.0;1;33.894736841052634;30.0;30.0;36.0;33.0;30.0;1;47;1;5;1;12.0;1;33.0;8;35.0;46.0;30.0;34.0;40.0;50;1;1;18.0;7;30.0;7;37.81578947368421;2.0
67.13;54.9;7;53.07;54.59;458.2;52.45;35.833333333333336;27.5;45.0;40.0;7;1;45.0;35.0;50.0;1;9;18.0;12.0;1;15.0;2;2;50.0;1;36.71052631578947;35.0;45.0;35.0;33.0;39.0;1;43;1;7;1;16.0;1;39.0;8;40.0;39.0;42.0;40.0;44.0;50;1;1;18.0;7;38.0;7;37.578947368421055;2.0
67.01;74.73;20;61.16;62.0;453.69;58.8;38.0;30.0;50.0;35.0;9;0;40.0;40.0;50.0;1;9;18.0;18.0;1;38.0;0;1;43.0;1;38.63157894736842;30.0;35.0;35.0;27.66666667;41.0;1;42;1;8;1;19.0;3;40.0;8;35.0;33.0;44.0;30.0;45.0;50;1;1;18.0;6;40.0;7;37.89473684210526;2.0
38.23;49.63;8;52.77;50.85;405.78;56.64;27.04705882352941;20.2;45.0;23.0;5;3;35.0;30.0;30.0;1;8;17.0;8.0;1;15.0;3;5;0.0;1;28.852941175882354;39.0;30.0;0.0;0.0;4.0;0;30;2;4;1;9.0;0;4.5;7;32.0;37.0;37.0;17.0;0.0;50;1;0;12.0;3;31.0;5;17.571428571428573;1.0
70.26;53.32;16;51.06;54.59;434.22;50.47;38.22222222222222;25.0;50.0;45.0;8;1;45.0;35.0;45.0;1;9;18.0;14.0;1;43.0;1;2;37.0;1;35.526315789473685;35.0;35.0;30.0;40.0;43.0;1;44;1;6;1;15.0;1;32.0;8;35.0;43.0;46.0;33.0;50.0;50;1;1;18.0;7;31.0;7;37.68421052631579;2.0
42.39;55.84;20;53.84;55.57;436.23;54.87;37.388888888888886;22.5;45.0;45.0;8;1;40.0;35.0;50.0;1;9;18.0;14.0;1;42.0;1;2;44.0;1;39.36842105263158;35.0;35.0;31.0;30.0;43.0;2;46;1;8;1;19.0;2;26.5;8;40.0;44.0;35.0;37.0;40.0;50;1;1;18.0;6;38.0;7;37.31578947368421;2.0
67.01;54.9;10;63.55;57.93;440.11;50.37;34.666666666666664;27.5;45.0;45.0;7;1;40.0;30.0;50.0;1;9;18.0;12.0;1;15.0;2;2;44.0;1;37.63157894736842;35.0;45.0;30.0;30.0;41.0;1;37;1;8;1;19.0;1;29.0;8;39.0;37.0;40.0;34.0;40.0;50;1;1;18.0;6;30.0;7;36.578947368421055;2.0
61.53;83.41;1;61.56;60.27;452.24;56.64;39.27777777777778;30.0;50.0;45.0;9;0;40.0;35.0;50.0;1;9;18.0;18.0;1;42.0;0;1;43.0;1;37.526315789473685;42.0;40.0;30.0;30.0;45.0;1;42;1;8;1;19.0;1;35.0;8;35.0;43.0;33.0;32.0;42.0;50;1;1;18.0;7;35.0;7;38.973684210526315;2.0
73.57;65.1;11;50.78;45.59;421.61;52.45;39.94444444444444;30.0;45.0;45.0;9;0;40.0;40.0;50.0;1;9;18.0;18.0;1;45.0;0;1;39.0;1;35.36842105263158;34.0;35.0;30.0;29.5;46.0;1;46;1;8;1;19.0;2;29.5;8;35.0;40.0;47.0;41.0;39.0;50;1;1;18.0;5;32.0;7;38.36842105263158;2.0
