NOTA_DIS_ARQ_SOFT;NOTA_EI_OP_AI;NOTA_ING_ECONOMICA;NOTA_REDES_COM_TRES;NOTA_CIBERNETICA_TRES;VECES_EI_OP_AI;VECES_DIS_ARQ_SOFT;VECES_ING_ECONOMICA;VECES_EI_OP_BI;VECES_CIBERNETICA_TRES;NOTA_INV_OP_DOS;NOTA_F_ING_SOF;VECES_REDES_COM_TRES;NAP_SIETE;NOTA_GI_DOS;NOTA_EI_OP_BI;NOTA_INV_OP_TRES;NCA_SIETE;NOTA_REDES_COM_DOS;VECES_CIBERNETICA_DOS;NOTA_MOD_PROG_DOS;CAR_SIETE;NOTA_EI_DOS;NOTA_CIBERNETICA_UDOS;NAA_SIETE;NCC_SIETE;NOTA_ESTADISTICA;NOTA_GT_TRES;NOTA_HISTORIA_COL;VECES_REDES_COM_DOS;NCP_SEIS;NOTA_ECONOMIA;VECES_EI_DOS;NAC_SIETE;VECES_ECONOMIA;EPA_SIETE;NOTA_METODOS_NUM;NCP_SIETE;CREDITOS_CIBERNETICA_TRES;CREDITOS_EE_CUATRO;VECES_F_ING_SOF;NOTA_EE_CUATRO;CREDITOS_ING_ECONOMICA;CREDITOS_EI_OP_BI;CREDITOS_EI_OP_AI;CREDITOS_DIS_ARQ_SOFT;CREDITOS_REDES_COM_TRES;PROMEDIO_UNO;PROMEDIO_DOS;PROMEDIO_TRES;PROMEDIO_CINCO;PROMEDIO_SEIS;RENDIMIENTO_OCHO;PROMEDIO_OCHO
0.0;24.0;36.0;0.0;0.0;1;0;1;0;0;43.0;38.0;0;1;0.0;0.0;25;5.0;0;0;31.0;0;0.0;0.0;3;7.0;32.0;50;36.0;0;0.0;0.0;0;4;0;2;40.0;2.0;2;2;1;0;2;3;3;4;2;34.05555555555556;33.166666666666664;30.718749999375;31.392857142857142;36.53333333333333;1.0;28.8
45.0;46.0;37.0;46.0;46.0;1;1;1;0;1;40.0;39.0;1;0;45.0;0.0;36;19.0;41;1;49.0;0;37.0;34.0;9;19.0;29.5;50;30.0;1;3.0;50.0;1;9;1;2;40.0;0.0;2;2;1;0;2;3;3;4;2;35.47222222222222;31.710526315789473;36.47222222222222;39.78947368421053;37.583333333333336;3.0;44.30769230769231
49.0;42.0;40.0;46.0;44.0;1;1;1;1;1;49.0;38.0;1;0;50.0;36.0;44;19.0;40;1;44.0;0;34.0;47.0;9;19.0;33.0;50;30.0;1;0.0;38.0;1;9;1;2;40.0;0.0;2;2;1;0;2;3;3;4;2;36.75;34.5;35.02777777777778;38.31578947368421;41.72222222222222;3.0;43.125
39.0;44.0;38.0;44.0;43.0;1;1;1;1;1;40.0;33.0;1;1;50.0;39.0;45;17.0;43;1;42.0;1;31.0;37.0;8;19.0;40.0;50;34.0;1;0.0;24.5;1;9;2;2;38.0;2.0;2;2;1;0;2;3;3;4;2;33.388888888888886;34.63157894736842;38.5;36.21052631631579;40.166666666666664;3.0;40.9375
43.0;41.0;45.0;30.0;45.0;1;1;1;1;1;38.0;36.0;1;0;45.0;37.0;43;19.0;30;1;41.0;0;34.0;38.0;9;19.0;35.0;50;46.0;1;0.0;38.0;1;9;1;2;35.0;0.0;2;2;1;45;2;3;3;4;2;35.72222222222222;37.10526315736842;34.083333333333336;39.0;41.333333333333336;3.0;40.888888888888886
46.0;21.0;35.0;47.0;44.0;2;1;2;1;1;45.0;41.0;1;2;47.0;40.0;40;15.0;42;2;44.0;2;28.5;29.5;7;19.0;36.0;50;37.0;1;0.0;33.5;1;9;2;2;40.0;4.0;2;2;1;45;2;3;3;4;2;34.166666666666664;32.86842105368421;31.916666666666668;35.078947368421055;40.0;2.0;39.388888888888886
44.0;44.0;50.0;38.0;49.0;1;1;1;1;1;40.0;43.0;1;0;50.0;39.0;47;19.0;41;1;48.0;0;40.0;45.0;9;19.0;44.0;50;30.0;1;0.0;47.0;1;9;1;2;40.0;0.0;2;2;1;0;2;3;3;4;2;41.611111111111114;38.526315789473685;37.27777777777778;40.1578947368421;42.388888888888886;3.0;43.6875
44.0;44.0;37.0;37.0;44.0;1;1;1;1;1;43.0;37.0;1;0;50.0;42.0;48;19.0;46;1;49.0;0;39.0;36.0;9;19.0;42.0;50;33.0;1;0.0;35.0;1;9;1;2;45.0;0.0;2;2;1;0;2;3;3;4;2;38.5;38.31578947368421;36.77777777777778;39.8421052631579;41.833333333333336;3.0;41.875
49.0;34.0;44.0;45.0;45.0;1;1;1;0;1;44.0;36.0;1;0;45.0;0.0;45;19.0;41;1;42.0;1;39.0;33.0;9;19.0;30.0;50;31.0;1;0.0;32.5;1;9;2;2;42.0;0.0;2;2;1;0;2;3;3;4;2;34.72222222222222;35.63157894736842;32.583333333333336;33.39473684210526;40.666666666666664;3.0;43.53846153846154
0.0;0.0;33.0;0.0;0.0;0;0;1;0;0;0.0;0.0;0;2;0.0;0.0;0;0.0;22;0;47.0;2;0.0;0.0;0;5.0;0.0;0;42.0;2;5.0;26.0;0;2;2;1;27.0;5.0;2;2;0;0;2;3;3;4;2;28.02777777777778;36.333333333333336;27.916666666666668;37.09090909;25.96296296222222;2.0;33.0
