GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO
0;2;17;1;19;5;500.63;68.39;68.39;73.09;82.24;64.91;64.91;71.9;0.0;65.24;58.01;18;3;9;3;2011
0;2;17;1;19;5;516.22;79.26;79.26;69.98;82.24;62.21;62.21;75.16;0.0;66.58;89.24;10;3;9;3;2011
1;2;10;1;19;5;494.01;74.62;74.62;73.09;75.02;64.91;64.91;63.2;0.0;71.0;81.98;8;3;9;2;2011
1;1;8;1;19;5;427.42;63.5;63.5;57.57;59.0;59.4;59.4;57.8;0.0;60.81;66.95;8;3;7;3;2011
0;1;5;1;19;5;485.43;68.39;68.39;79.22;75.48;73.83;73.83;63.99;0.0;59.66;88.85;5;6;9;2;2011
0;1;4;1;19;5;474.97;69.01;69.01;76.27;69.14;59.4;59.4;78.77;0.0;57.9;50.87;6;5;9;2;2011
1;1;7;1;19;5;471.71;75.41;75.41;76.27;63.93;70.87;70.87;55.09;0.0;72.54;50.1;7;5;9;2;2011
0;2;11;1;19;5;523.87;88.79;88.79;76.27;69.14;77.1;77.1;75.16;0.0;65.24;88.85;11;5;9;2;2011
1;2;11;1;19;5;489.97;60.51;60.51;72.78;66.99;70.74;70.74;63.99;0.0;74.04;79.81;11;5;9;3;2011
0;1;14;1;19;5;480.47;78.36;78.36;63.86;63.93;62.11;62.11;63.2;0.0;68.09;63.4;14;2;9;3;2011
0;1;6;1;19;5;517.33;82.87;82.87;86.86;82.24;59.27;59.27;78.77;0.0;62.46;62.94;7;5;9;1;2011
1;2;4;1;19;5;480.49;65.63;65.63;76.27;66.48;67.8;67.8;78.77;0.0;65.24;85.44;4;4;9;3;2011
1;1;8;1;19;5;478.17;68.39;68.39;73.09;78.39;67.8;67.8;65.98;0.0;59.66;61.66;8;3;9;2;2011
1;1;10;1;19;5;492.04;98.19;98.19;63.86;63.93;70.74;70.74;63.2;0.0;74.04;62.94;10;3;9;2;2011
1;2;11;1;19;5;464.05;69.01;69.01;79.58;75.02;70.87;70.87;60.48;0.0;60.81;77.13;10;3;9;3;2011
0;2;4;1;19;5;466.69;69.01;69.01;75.93;66.99;70.87;70.87;58.6;0.0;60.81;51.33;4;4;9;2;2011
0;1;17;1;19;5;480.74;69.01;69.01;69.72;82.67;65.03;65.03;55.92;0.0;60.81;55.62;17;2;9;2;2011
1;2;9;1;19;5;472.12;78.36;78.36;69.72;64.44;67.8;67.8;66.77;0.0;62.46;68.41;9;4;9;3;2011
0;2;10;1;19;5;507.48;79.26;79.26;60.57;75.48;89.5;89.5;69.65;0.0;63.68;66.95;10;3;9;3;2011
0;2;8;1;19;5;474.25;98.19;98.19;66.68;66.99;59.27;59.27;58.6;0.0;59.66;65.57;20;6;9;2;2011
0;1;4;1;19;5;492.04;75.41;75.41;66.68;72.45;77.28;77.28;66.77;0.0;66.58;75.52;4;4;9;2;2011
0;1;9;1;19;5;518.21;65.63;65.63;75.93;61.96;101.71;101.71;66.77;0.0;74.04;61.66;9;4;9;2;2011
0;2;17;1;19;5;544.45;89.92;89.92;69.72;82.67;84.87;84.87;69.65;0.0;75.71;71.98;18;3;9;3;2011
1;1;16;1;19;5;475.97;69.01;69.01;73.09;71.97;70.87;70.87;60.48;0.0;63.68;53.27;6;5;9;3;2011
1;2;10;1;19;5;514.97;79.26;79.26;63.65;87.29;67.92;67.92;72.69;0.0;66.58;56.82;10;3;9;3;2011
1;2;16;1;19;5;490.0;66.17;66.17;72.78;78.83;77.28;77.28;69.65;0.0;60.81;65.57;16;2;9;3;2011
