NOTA_L_TRES;NOTA_HSE;NOTA_ADMIN;NOTA_TGUNO;VECES_HSE;NOTA_EI_TRES;NOTA_EE_DOS;NOTA_PROTELEC;NCC_OCHO;VECES_L_TRES;VECES_PROTELEC;CAR_OCHO;VECES_ADMIN;PROMEDIO_SIETE;NOTA_L_UNO;NOTA_L_DOS;VECES_EI_TRES;PROMEDIO_OCHO;NOTA_EI_CUATRO;VECES_EE_DOS;VECES_TGUNO;NAA_OCHO;NOTA_AIELEC;NCA_OCHO;NOTA_CCON;VECES_L_DOS;VECES_FGEP;NOTA_FGEP;EPA_OCHO;NOTA_HIST;NAC_OCHO;NOTA_SUBEL;NCP_OCHO;VECES_HIST;VECES_EI_CUATRO;VECES_SUBEL;CREDITOS_EE_DOS;CREDITOS_EI_TRES;CREDITOS_PROTELEC;CREDITOS_L_TRES;NAP_OCHO;CREDITOS_TGUNO;VECES_CCON;CREDITOS_ADMIN;CREDITOS_EI_CUATRO;CREDITOS_HSE;NOTA_EI_CINCO;NOTA_TGDOS;NOTA_EI_SEIS;NOTA_EE_TRES;NCC_NUEVE;VECES_EI_CINCO;PROMEDIO_NUEVE;NCA_NUEVE;NAC_NUEVE;NAA_NUEVE;CAR_NUEVE;CREDITOS_EI_CINCO;CREDITOS_EE_TRES;NCP_NUEVE;CREDITOS_EI_SEIS;VECES_TGDOS;NAP_NUEVE;EPA_NUEVE;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
46;41;47;50;1;34;47;36;15.0;1;1;0;1;34.0;44;47;1;37.53333333333333;42;1;1;7;34;15.0;45;1;1;42;2;43;7;31;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;43;40;44;44;17.0;1;42.411764705882355;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;42.9
46;33;43;49;1;45;40;38;15.0;1;1;0;1;36.05555555555556;46;46;1;41.0;40;1;1;7;35;15.0;45;1;1;45;2;45;7;36;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;47;45;41;39;17.0;1;42.35294117647059;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;43.2
44;38;32;37;1;34;42;33;15.0;1;1;2;1;38.94444444444444;46;44;1;39.6;39;1;1;7;42;15.0;43;1;1;41;2;48;7;32;0.0;2;1;2;2;3;2;2;0;2;1;2;3;1;37;44;30;0;17.0;1;37.23529411764706;17.0;8;8;0;3;2;0.0;3;1;0;2;2.0;36.125
36;39;41;43;1;43;45;39;15.0;1;1;0;1;38.05555555555556;46;44;1;38.53333333333333;38;1;1;7;38;15.0;47;1;1;32;2;42;7;32;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;42;50;40;47;17.0;1;40.588235294117645;17.0;8;8;0;3;2;0.0;3;2;0;2;3.0;44.0
42;44;44;47;1;47;42;37;15.0;1;1;0;1;34.833333333333336;42;45;1;40.06666666666667;30;1;2;7;32;15.0;48;1;1;43;2;44;7;36;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;38;43;34;45;17.0;1;41.11764705882353;17.0;8;8;1;3;2;0.0;3;1;0;2;2.0;39.2
44;46;48;44;1;38;50;39;15.0;1;1;0;1;32.611111111111114;42;42;1;39.13333333333333;41;1;1;7;37;15.0;39;1;1;42;2;48;7;35;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;33;45;35;46;17.0;1;43.11764705882353;17.0;8;8;0;3;2;0.0;3;1;0;2;2.0;38.6
42;44;46;47;1;44;48;38;15.0;1;1;0;1;34.111111111111114;35;47;1;40.666666666666664;38;1;1;7;36;15.0;47;1;1;32;2;48;7;38;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;38;50;46;0;17.0;1;43.05882352941177;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;44.0
48;40;44;45;1;38;47;30;15.0;1;2;1;1;37.27777777777778;43;37;1;37.0;38;1;1;7;34;15.0;50;1;1;34;2;44;7;33;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;35;48;30;0;17.0;1;40.94117647058823;17.0;8;8;1;3;2;0.0;3;1;0;2;2.0;36.375
44;46;42;39;1;36;43;35;15.0;1;1;2;1;34.611111111111114;46;34;1;38.0;39;1;1;7;38;15.0;45;1;1;44;2;46;7;30;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;39;35;34;0;17.0;1;39.8235294117647;17.0;8;8;0;3;2;0.0;3;2;0;2;2.0;36.125
42;44;45;40;1;40;45;37;15.0;1;1;0;1;37.72222222222222;41;45;1;39.333333333333336;35;1;1;7;35;15.0;46;1;1;44;2;46;7;38;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;47;43;43;0;17.0;1;40.411764705882355;17.0;8;8;0;3;2;0.0;3;1;0;2;3.0;44.5
