CON_MAT_ICFES;IDIOMA_ICFES;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;QUIMICA_ICFES;PG_ICFES;LITERATURA_ICFES;ANO_INGRESO;FILOSOFIA_ICFES;APT_VERB_ICFES;FISICA_ICFES;MUNICIPIO;GENERO;APT_MAT_ICFES;LOCALIDAD;DEPARTAMENTO;SOCIALES_ICFES;ESTRATO;CALENDARIO;TIPO_COLEGIO;DISTANCIA;INSCRIPCION;CORTE_INGRESO;RENDIMIENTO_UNO;PROMEDIO_UNO
65.63;102.61;8;71.9;63.93;478.52;77.1;2011;59.66;77.1;73.09;20;0;65.63;9;5;0;3;1;2;3;10;1;2.0;37.5
75.41;56.82;10;65.98;63.93;480.17;70.87;2011;69.52;70.87;69.98;20;0;75.41;11;5;0;2;1;2;3;10;1;1.0;26.5
78.36;55.62;18;69.65;75.48;487.89;67.8;2011;68.09;67.8;63.65;20;1;78.36;19;5;0;3;1;2;2;10;1;2.0;38.57142857142857
75.41;88.85;20;60.48;69.14;471.33;67.92;2011;60.81;67.92;73.09;65;0;75.41;20;15;0;2;1;1;6;10;1;2.0;34.642857142857146
78.36;60.44;20;65.98;82.24;492.33;67.8;2011;56.82;67.8;76.27;19;0;78.36;11;7;0;2;1;1;6;10;1;2.0;38.214285714285715
71.35;56.82;7;63.2;78.39;475.58;70.74;2011;65.24;70.74;73.09;20;0;71.35;1;5;0;2;1;2;7;10;1;1.0;22.142857142857142
65.63;77.13;10;79.57;87.29;527.12;70.74;2011;80.75;70.74;75.93;20;0;65.63;11;5;0;4;1;2;1;10;1;2.0;37.142857142857146
71.35;61.66;18;60.48;75.02;476.66;62.11;2011;68.09;62.11;69.98;20;0;71.35;10;5;0;3;1;2;3;10;1;2.0;33.92857142857143
99.48;68.41;10;61.28;87.29;522.16;53.63;2011;63.68;53.63;79.22;20;0;99.48;9;5;0;3;1;2;3;10;1;2.0;37.285714285714285
74.62;62.13;8;71.9;69.14;469.5;64.91;2011;56.82;64.91;76.27;20;0;74.62;11;5;0;3;1;1;3;10;1;2.0;37.142857142857146
65.63;79.81;1;68.87;82.24;489.59;73.83;2011;62.46;73.83;66.93;20;1;65.63;11;5;0;3;1;1;2;10;1;2.0;37.857142857142854
71.35;56.82;11;63.99;69.64;469.09;70.74;2011;71.0;70.74;75.93;20;0;71.35;10;5;0;2;1;1;5;10;1;2.0;30.547619048571427
69.01;79.4;10;75.95;78.83;508.67;73.98;2011;69.52;73.98;79.22;20;0;69.01;10;5;0;3;1;2;3;10;1;1.0;21.428571428571427
82.87;88.85;10;71.9;86.89;527.58;80.64;2011;68.09;80.64;69.98;20;1;82.87;7;5;0;2;1;2;3;10;1;2.0;37.142857142857146
63.02;88.85;11;71.9;71.97;511.61;89.07;2011;74.04;89.07;63.86;20;0;63.02;20;5;0;3;1;2;3;10;1;2.0;35.0
83.87;73.68;20;75.95;75.48;533.58;73.98;2011;82.67;73.98;69.72;104;0;83.87;20;23;0;2;1;2;6;10;1;1.0;13.892857142857142
74.62;64.24;1;71.9;75.02;490.87;53.5;2011;74.04;53.5;66.93;20;1;74.62;20;5;0;3;1;2;5;10;1;2.0;33.57142857142857
68.39;73.24;20;75.95;69.64;499.32;84.56;2011;62.46;84.56;60.57;56;1;68.39;20;7;0;3;1;1;6;10;1;2.0;36.42857142857143
79.26;69.93;10;60.48;75.02;480.54;70.87;2011;54.95;70.87;73.09;20;0;79.26;7;5;0;3;1;2;5;10;1;2.0;30.035714285714285
