NOTA_L_TRES;NOTA_HSE;NOTA_ADMIN;NOTA_TGUNO;VECES_HSE;NOTA_EI_TRES;NOTA_EE_DOS;NOTA_PROTELEC;NCC_OCHO;VECES_L_TRES;VECES_PROTELEC;CAR_OCHO;VECES_ADMIN;PROMEDIO_SIETE;NOTA_L_UNO;NOTA_L_DOS;VECES_EI_TRES;PROMEDIO_OCHO;NOTA_EI_CUATRO;VECES_EE_DOS;VECES_TGUNO;NAA_OCHO;NOTA_AIELEC;NCA_OCHO;NOTA_CCON;VECES_L_DOS;VECES_FGEP;NOTA_FGEP;EPA_OCHO;NOTA_HIST;NAC_OCHO;NOTA_SUBEL;NCP_OCHO;VECES_HIST;VECES_EI_CUATRO;VECES_SUBEL;CREDITOS_EE_DOS;CREDITOS_EI_TRES;CREDITOS_PROTELEC;CREDITOS_L_TRES;NAP_OCHO;CREDITOS_TGUNO;VECES_CCON;CREDITOS_ADMIN;CREDITOS_EI_CUATRO;CREDITOS_HSE;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
46;41;47;50;1;34;47;36;15.0;1;1;0;1;34.0;44;47;1;37.53333333333333;42;1;1;7;34;15.0;45;1;1;42;2;43;7;31;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;42.411764705882355
46;33;43;49;1;45;40;38;15.0;1;1;0;1;36.05555555555556;46;46;1;41.0;40;1;1;7;35;15.0;45;1;1;45;2;45;7;36;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;42.35294117647059
44;38;32;37;1;34;42;33;15.0;1;1;2;1;38.94444444444444;46;44;1;39.6;39;1;1;7;42;15.0;43;1;1;41;2;48;7;32;0.0;2;1;2;2;3;2;2;0;2;1;2;3;1;2.0;37.23529411764706
36;39;41;43;1;43;45;39;15.0;1;1;0;1;38.05555555555556;46;44;1;38.53333333333333;38;1;1;7;38;15.0;47;1;1;32;2;42;7;32;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;40.588235294117645
42;44;44;47;1;47;42;37;15.0;1;1;0;1;34.833333333333336;42;45;1;40.06666666666667;30;1;2;7;32;15.0;48;1;1;43;2;44;7;36;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;41.11764705882353
44;46;48;44;1;38;50;39;15.0;1;1;0;1;32.611111111111114;42;42;1;39.13333333333333;41;1;1;7;37;15.0;39;1;1;42;2;48;7;35;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;43.11764705882353
42;44;46;47;1;44;48;38;15.0;1;1;0;1;34.111111111111114;35;47;1;40.666666666666664;38;1;1;7;36;15.0;47;1;1;32;2;48;7;38;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;43.05882352941177
48;40;44;45;1;38;47;30;15.0;1;2;1;1;37.27777777777778;43;37;1;37.0;38;1;1;7;34;15.0;50;1;1;34;2;44;7;33;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;3.0;40.94117647058823
44;46;42;39;1;36;43;35;15.0;1;1;2;1;34.611111111111114;46;34;1;38.0;39;1;1;7;38;15.0;45;1;1;44;2;46;7;30;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;2.0;39.8235294117647
42;44;45;40;1;40;45;37;15.0;1;1;0;1;37.72222222222222;41;45;1;39.333333333333336;35;1;1;7;35;15.0;46;1;1;44;2;46;7;38;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;40.411764705882355
42;39;45;42;1;34;36;31;15.0;1;1;0;1;35.5;49;42;1;40.0;43;1;1;7;42;15.0;45;1;1;34;2;47;7;30;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;2.0;38.94117647058823
32;33;49;37;1;30;50;34;15.0;1;1;0;1;36.111111111111114;34;35;1;36.733333333333334;42;1;1;7;36;15.0;45;1;1;33;2;47;7;30;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;2.0;38.411764705882355
40;41;48;48;1;43;42;37;15.0;1;1;1;1;37.111111111111114;43;39;1;38.8;37;1;1;7;33;15.0;46;1;1;37;2;45;7;38;0.0;1;1;3;2;3;2;2;0;2;1;2;3;1;3.0;41.8235294117647
38;42;41;41;1;41;0;31;15.0;1;1;0;1;38.05555555555556;44;42;1;38.0;30;0;1;7;35;15.0;46;1;1;44;2;42;7;31;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;2.0;37.13333333333333
46;42;48;44;1;45;50;45;15.0;1;1;0;1;41.72222222222222;46;44;1;42.8;44;1;1;7;41;15.0;38;1;1;40;2;48;7;41;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;4.0;45.588235294117645
46;45;31;40;1;39;40;33;15.0;1;1;0;1;33.05555555555556;44;41;1;40.4;43;1;1;7;34;15.0;43;1;1;48;2;46;7;36;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;2.0;39.470588235294116
39;42;47;36;1;44;0;39;15.0;1;1;0;1;36.888888888888886;47;42;1;37.8;43;0;1;7;39;15.0;47;1;1;39;2;44;7;34;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;41.666666666666664
38;41;44;39;1;50;45;38;15.0;1;1;0;1;38.833333333333336;40;36;1;40.93333333333333;47;1;1;7;38;15.0;42;1;1;44;2;42;7;41;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;43.529411764705884
37;39;45;39;1;47;50;35;15.0;1;1;0;1;38.888888888888886;46;45;1;40.8;39;1;1;7;39;15.0;44;1;1;40;2;43;7;34;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;41.705882352941174
0;48;48;32;1;35;37;30;15.0;0;1;2;1;35.27777777777778;45;41;1;37.2;42;1;1;7;34;15.0;45;1;1;36;2;33;7;33;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;2.0;38.2
39;43;32;40;1;36;43;30;15.0;1;1;1;1;38.22222222222222;36;40;1;36.0;39;1;1;7;36;15.0;47;1;1;30;2;37;7;30;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;2.0;37.411764705882355
44;40;48;50;1;48;50;30;15.0;1;1;1;1;34.333333333333336;47;47;1;38.733333333333334;34;1;1;7;32;15.0;44;1;1;35;2;48;7;33;0.0;1;1;2;2;3;2;2;0;2;1;2;3;1;3.0;42.94117647058823
44;47;50;45;1;46;50;38;15.0;1;1;0;1;34.77777777777778;48;46;1;40.8;50;1;1;7;34;15.0;44;1;1;45;2;45;7;34;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;4.0;46.411764705882355
37;48;40;50;1;34;43;35;15.0;1;1;0;1;34.55555555555556;35;38;1;38.2;38;1;1;7;33;15.0;44;1;1;39;2;42;7;34;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;2.0;39.64705882352941
39;43;41;50;1;33;40;37;15.0;1;4;1;1;37.72222222222222;46;38;1;36.666666666666664;44;1;1;7;33;15.0;45;1;1;41;2;43;7;35;0.0;1;1;3;2;3;2;2;0;2;1;2;3;1;3.0;40.470588235294116
42;45;50;45;1;39;50;35;15.0;1;1;0;1;35.5;43;45;1;40.93333333333333;43;1;1;7;34;15.0;48;1;1;39;2;48;7;35;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;43.23529411764706
39;41;40;45;1;44;49;39;15.0;1;1;0;1;36.888888888888886;42;42;1;36.8;36;1;1;7;32;15.0;43;1;1;37;2;43;7;30;0.0;1;1;1;2;3;2;2;0;2;1;2;3;1;3.0;41.470588235294116
