NOTA_SUELOS;NOTAS_SISC;NOTA_TOP;NOTA_GEOGEO;NOTA_POO;VECES_BD;NOTA_ME;NOTA_ECUA;CAR_CINCO;NOTA_PROGB;NOTA_FOTO;NOTA_CARTO;LITERATURA_ICFES;VECES_CARTO;NOTA_CFJC;VECES_SISC;NCA_CUATRO;NOTA_PROB;NOTA_AGEO;NOTA_BD;NOTA_PRII;NOTA_ECO_UNO;VECES_ME;VECES_EST;NAC_CINCO;NCA_CINCO;NCC_CINCO;EPA_CINCO;EPA_CUATRO;NAP_CINCO;NAA_CINCO;VECES_ECO_UNO;VECES_AGEO;NOTA_EST;NCP_CINCO;PROMEDIO_DOS;PROMEDIO_UNO;PROMEDIO_TRES;PROMEDIO_CUATRO;PROMEDIO_CINCO;CREDITOS_ECO_UNO;CREDITOS_EST;CREDITOS_BD;CREDITOS_AGEO;CREDITOS_ME;CREDITOS_SISC;CREDITOS_CARTO;RENDIMIENTO_SEIS;PROMEDIO_SEIS
35;34;30;30;40;1;32;30;0;30;40;40;62.71;1;45;1;17.0;30;34;34;38;40;1;1;7;18.0;18.0;2;2;0;7;1;1;45;0.0;31.176470588235293;36.666666666666664;34.94444444444444;35.294117647058826;36.666666666666664;2;2;3;3;2;3;3;2.0;39.46666666666667
35;44;35;31;45;1;40;35;0;30;35;36;54.66;1;45;1;17.0;35;34;30;40;37;1;1;7;18.0;18.0;2;2;0;7;1;1;46;0.0;32.94117647058823;37.0;36.888888888888886;39.529411764705884;37.666666666666664;2;2;3;3;2;3;3;3.0;41.2
30;34;30;38;30;1;34;39;2;30;42;37;53.57;1;45;1;17.0;46;35;33;39;30;2;1;7;18.0;18.0;2;2;0;7;1;2;44;0.0;30.58823529411765;34.666666666666664;34.5;38.88235294117647;35.166666666666664;2;2;3;3;2;3;3;2.0;38.0
30;35;40;34;30;1;31;38;0;35;34;47;45.12;1;50;1;17.0;39;40;35;46;33;1;1;7;18.0;18.0;2;2;0;7;1;1;46;0.0;33.8235294117647;38.333333333333336;35.05555555555556;37.411764705882355;38.388888888888886;2;2;3;3;2;3;3;3.0;42.0
30;41;35;31;30;1;31;35;2;30;30;30;62.59;1;45;1;17.0;43;38;31;35;32;2;1;7;18.0;18.0;2;2;0;7;1;2;41;0.0;32.35294117647059;36.0;31.666666666666668;36.1764705882353;34.888888888888886;2;2;3;3;2;3;3;3.0;40.06666666666667
35;41;35;30;40;1;36;30;0;30;40;38;60.02;1;45;1;17.0;35;35;41;40;36;1;1;7;18.0;18.0;2;2;0;7;1;1;47;0.0;36.1764705882353;40.0;34.44444444444444;38.529411764705884;39.05555555555556;2;2;3;3;2;3;3;2.0;39.93333333333333
31;0;32;0;30;1;0;0;1;30;36;0;52.77;0;3;0;0.0;0;0;30;0;15;0;0;2;3.0;5.0;1;1;1;1;2;0;0;2.0;30.470588235294116;33.0;28.666666666666668;0.0;24.0;2;2;3;3;2;3;3;2.0;33.0
30;37;35;32;35;1;33;32;2;50;35;34;55.65;1;45;1;17.0;44;36;32;39;44;1;1;7;18.0;18.0;2;2;0;7;2;3;38;0.0;34.94117647058823;32.0;33.888888888888886;35.23529411764706;35.94444444444444;2;2;3;3;2;3;3;2.0;35.733333333333334
30;38;40;37;50;2;35;31;2;30;40;43;49.34;1;45;1;17.0;40;36;38;33;30;1;1;7;18.0;18.0;2;2;0;7;2;1;35;0.0;33.8235294117647;39.0;35.77777777777778;37.05882352941177;36.94444444444444;2;2;3;3;2;3;3;2.0;39.13333333333333
35;34;30;0;30;0;0;25;0;50;30;36;53.24;1;45;1;11.0;45;0;0;40;32;0;0;3;8.0;8.0;2;2;0;3;1;0;0;0.0;35.294117647058826;33.666666666666664;30.333333333333332;37.63636363636363;34.25;2;2;3;3;2;3;3;2.0;39.8
