RENDIMIENTO_DOS;NOTA_POO;NOTA_INT;NOTA_FIS_DOS;NOTA_EYB;NOTA_DEM;NOTA_CIR_UNO;NOTA_HCI;VECES_INT;VECES_FIS_DOS;PROMEDIO_UNO;PG_ICFES;NCA_UNO;EPA_UNO;NAP_UNO;NCP_UNO;IDIOMA_ICFES;VECES_POO;NAA_UNO;VECES_CIR_UNO;VECES_EYB;VECES_DEM;CAR_UNO;QUIMICA_ICFES;ANO_INGRESO;GENERO;NCC_UNO;VECES_HCI;BIOLOGIA_ICFES;NAC_UNO;APT_VERB_ICFES;PROMEDIO_DOS;FILOSOFIA_ICFES;FISICA_ICFES;CREDITOS_HCI
1.0;0;0;0;15;15;0;15;0;0;27.666666666666668;427.92;5.0;1;3;10.0;69.48;0;3;0;1;1;3;53.84;2009;0;15.0;1;60.01;6;49.15;15.0;41.86;58.23;1
3.0;50;40;35;40;45;35;45;1;1;42.35294117647059;424.63;17.0;2;0;0.0;47.21;1;7;1;1;1;0;50.5;2009;0;17.0;1;46.32;7;52.97;40.625;33.32;55.85;1
2.0;35;0;20;40;45;0;25;0;2;36.0;439.27;15.0;2;0;0.0;40.89;1;6;0;1;1;3;55.57;2009;0;15.0;2;53.84;6;54.87;31.5;48.98;48.41;1
2.0;45;45;35;40;45;35;30;2;1;36.470588235294116;446.58;17.0;2;0;0.0;47.21;1;7;1;1;1;0;54.29;2009;0;17.0;1;62.35;7;52.77;39.6875;48.98;54.91;1
1.0;35;25;25;45;40;15;40;2;3;35.666666666666664;458.19;15.0;2;0;0.0;58.45;1;6;1;1;1;2;52.16;2009;0;15.0;1;53.84;6;58.76;29.375;49.38;53.45;1
2.0;45;30;30;45;50;35;45;2;2;37.05882352941177;430.06;17.0;2;0;0.0;44.34;1;7;1;1;1;2;50.24;2009;0;17.0;1;46.57;7;62.45;37.8125;49.2;49.33;1
2.0;45;30;30;40;50;40;45;1;1;41.76470588235294;438.14;17.0;2;0;0.0;59.81;1;7;2;1;1;0;59.94;2009;0;17.0;1;50.09;7;56.57;38.125;39.64;64.43;1
2.0;40;30;35;35;39;35;35;1;3;38.529411764705884;426.71;17.0;2;0;0.0;57.84;1;7;1;1;1;2;50.87;2009;0;17.0;1;63.27;7;61.16;35.25;44.92;51.55;1
2.0;45;30;30;40;40;30;30;2;1;34.11764705882353;430.57;17.0;2;0;0.0;48.43;1;7;2;1;1;0;54.29;2009;0;17.0;1;60.0;7;46.97;34.6875;49.38;50.09;1
2.0;45;30;30;35;45;30;50;1;2;34.411764705882355;440.0;17.0;2;0;0.0;44.74;1;7;2;1;1;1;53.84;2009;0;17.0;1;50.07;7;60.8;35.625;47.08;55.85;1
2.0;40;30;30;45;50;40;35;1;1;37.05882352941177;444.12;17.0;2;0;0.0;62.81;1;7;2;1;1;2;52.46;2009;0;17.0;1;61.19;7;51.38;37.1875;58.26;58.68;1
2.0;30;30;35;40;40;40;35;1;1;36.470588235294116;475.1;17.0;2;0;0.0;88.67;1;7;2;1;1;2;56.05;2009;0;17.0;1;62.35;7;74.19;35.0;51.25;52.53;1
1.0;0;15;25;20;40;15;35;1;2;29.333333333333332;448.54;12.0;1;1;3.0;58.45;0;5;1;2;1;2;53.84;2009;0;15.0;1;55.79;6;52.97;21.53846153846154;48.98;50.98;1
2.0;45;30;40;40;45;40;45;2;3;33.666666666666664;439.55;15.0;2;0;0.0;39.11;1;6;3;2;1;0;40.58;2009;0;15.0;2;64.97;6;54.66;39.6875;39.26;47.54;1
1.0;30;30;20;30;50;30;30;1;2;37.0;442.43;15.0;2;0;0.0;53.32;1;6;1;1;1;1;54.29;2009;0;15.0;1;64.97;6;50.87;29.375;53.92;50.09;1
2.0;40;30;35;45;50;40;45;1;1;36.470588235294116;442.56;17.0;2;0;0.0;51.56;2;7;1;1;1;0;54.05;2009;0;17.0;1;59.24;7;57.14;38.75;51.78;58.68;1
2.0;35;30;40;45;45;35;40;1;2;35.0;421.76;17.0;2;0;0.0;47.66;1;7;1;1;1;1;42.03;2009;0;17.0;1;63.27;7;53.3;37.1875;60.49;56.34;1
2.0;30;34;30;42;50;24;30;3;3;36.1764705882353;396.86;17.0;2;0;0.0;39.54;1;7;3;3;1;2;39.03;2009;1;17.0;1;55.99;7;61.76;32.375;41.05;54.12;1
2.0;50;30;30;50;50;30;50;1;1;39.11764705882353;435.72;17.0;2;0;0.0;49.6;1;7;1;1;1;0;55.66;2009;0;17.0;1;55.53;7;57.14;38.75;44.92;51.55;1
2.0;45;35;30;45;45;30;30;1;1;38.8235294117647;410.59;17.0;2;0;0.0;43.48;1;7;2;1;1;0;47.37;2009;0;17.0;1;35.42;7;59.82;36.5625;37.86;54.31;1
2.0;45;30;35;45;50;30;50;1;1;40.0;431.93;17.0;2;0;0.0;53.32;1;7;1;1;1;0;57.36;2009;0;17.0;1;51.94;7;52.97;38.125;48.98;55.85;1
2.0;40;35;35;35;45;30;35;2;1;36.470588235294116;421.23;17.0;2;0;0.0;73.83;2;7;2;1;1;0;64.78;2009;0;17.0;1;48.23;7;44.91;35.625;33.32;52.53;1
2.0;30;40;30;50;45;30;40;1;1;39.705882352941174;459.89;17.0;2;0;0.0;37.51;1;7;2;1;1;1;59.25;2009;0;17.0;1;50.07;7;54.87;35.9375;51.65;50.98;1
2.0;35;30;35;40;50;35;45;1;3;34.411764705882355;426.29;17.0;2;0;0.0;43.48;1;7;2;1;1;2;52.59;2009;0;17.0;1;53.85;7;48.95;36.25;48.98;54.91;1
2.0;50;30;35;40;50;35;45;1;1;37.94117647058823;430.43;17.0;2;0;0.0;54.57;1;7;1;1;1;0;55.57;2009;1;17.0;1;51.94;7;58.76;39.0625;44.33;50.98;1
3.0;40;40;40;45;45;40;45;2;2;37.64705882352941;447.68;17.0;2;0;0.0;49.65;1;7;2;1;1;0;52.16;2009;0;17.0;1;60.01;7;54.87;41.25;51.25;55.85;1
2.0;30;30;30;50;40;30;35;1;1;38.529411764705884;423.91;17.0;2;0;0.0;52.09;1;7;4;2;1;1;63.57;2009;0;17.0;1;50.07;7;62.97;33.4375;39.26;55.85;1
2.0;35;30;32;35;45;40;45;1;1;37.35294117647059;422.94;17.0;2;0;0.0;55.84;1;7;2;1;1;1;52.59;2009;1;17.0;1;60.0;7;48.95;35.6875;49.38;54.91;1
3.0;50;40;35;35;50;35;45;1;1;41.76470588235294;455.68;17.0;2;0;0.0;47.14;1;7;1;1;1;0;52.03;2009;0;17.0;1;66.69;7;62.72;40.3125;50.84;58.7;1
2.0;30;35;30;40;45;30;35;6;1;37.64705882352941;451.59;17.0;2;0;0.0;58.45;1;7;2;1;1;2;50.94;2009;0;17.0;1;53.85;7;60.56;33.4375;51.65;47.54;1
1.0;15;0;15;15;15;0;15;0;2;31.666666666666668;440.25;11.0;2;1;4.0;49.65;2;5;0;2;1;1;47.13;2009;0;15.0;2;57.84;6;60.8;15.0;41.86;48.41;1
2.0;30;30;30;35;45;30;40;2;1;36.1764705882353;470.29;17.0;2;0;0.0;51.56;1;7;1;1;1;2;55.66;2009;0;17.0;1;63.27;7;55.21;32.1875;58.26;61.03;1
1.0;35;16;30;40;45;15;35;6;2;36.0;419.53;15.0;2;0;0.0;52.09;1;6;4;1;1;3;48.97;2009;0;15.0;1;55.99;6;61.76;28.0;50.76;58.93;1
2.0;30;30;30;35;45;30;35;1;1;39.0;434.04;15.0;2;0;0.0;42.2;1;6;2;1;1;0;56.05;2009;0;15.0;1;53.85;6;50.87;31.875;48.98;54.91;1
2.0;30;30;32;30;45;31;30;4;7;34.0;452.18;15.0;2;0;0.0;45.98;3;6;6;1;1;2;61.3;2009;0;15.0;1;51.94;6;56.79;31.5;41.86;53.45;1
2.0;40;30;40;45;50;25;35;2;2;36.666666666666664;465.69;15.0;2;0;0.0;62.69;2;6;2;1;1;3;54.01;2009;0;15.0;1;55.99;6;59.48;36.25;48.41;51.73;1
