CON_MAT_ICFES;IDIOMA_ICFES;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;QUIMICA_ICFES;PG_ICFES;LITERATURA_ICFES;PROMEDIO_UNO;NOTA_DIFERENCIAL;NOTA_CATEDRA_DEM;NOTA_PROG_BASICA;NAA_UNO;CAR_UNO;NOTA_TEXTOS;NOTA_LOGICA;NOTA_SEMINARIO;VECES_LOGICA;NAC_UNO;NCC_UNO;NCA_UNO;VECES_CATEDRA_DEM;NOTA_EE_UNO;NAP_UNO;VECES_DIFERENCIAL;NOTA_CATEDRA_CON;VECES_EE_UNO;PROMEDIO_DOS;NOTA_TGS;NOTA_PROG_AVANZADA;NOTA_FISICA_DOS;NOTA_MULTIVARIADO;NOTA_SEGUNDA_LENGUA_DOS;VECES_FISICA_DOS;NOTA_EE_DOS;VECES_PROG_AVANZADA;NAA_DOS;VECES_TGS;NCA_DOS;VECES_MULTIVARIADO;NOTA_ECUACIONES;NAC_DOS;NOTA_METODOS_NUM;NOTA_A_SISTEMAS;NOTA_MOD_PROG_UNO;NOTA_MAT_DIS;NOTA_HOMBRE;NOTA_GT_DOS;VECES_A_SISTEMAS;VECES_HOMBRE;NCC_TRES;NAA_TRES;NOTA_FUND_BASES;NAC_TRES;PROMEDIO_TRES;NOTA_PROB;NOTA_CIENCIAS_COMP_UNO;NOTA_MOD_PROG_DOS;NOTA_ARQ_COMP;NOTA_INV_OP_UNO;NOTA_FISICA_TRES;VECES_INV_OP_UNO;VECES_PROB;VECES_MOD_PROG_DOS;VECES_FISICA_TRES;NOTA_HISTORIA_COL;NOTA_ESTADISTICA;NOTA_CIBERNETICA_UNO;NOTA_INV_OP_DOS;NOTA_REDES_COM_UNO;NOTA_GI_UNO;VECES_HISTORIA_COL;VECES_CIBERNETICA_UNO;NOTA_CIENCIAS_COMP_DOS;VECES_REDES_COM_UNO;VECES_GI_UNO;VECES_ESTADISTICA;VECES_CIENCIAS_COMP_DOS;VECES_INV_OP_DOS;CAR_CINCO;PROMEDIO_CINCO;NOTA_F_ING_SOF;NOTA_GT_TRES;NOTA_ECONOMIA;NOTA_EI_DOS;NOTA_REDES_COM_DOS;VECES_ECONOMIA;NOTA_CIBERNETICA_UDOS;NOTA_INV_OP_TRES;VECES_F_ING_SOF;VECES_REDES_COM_DOS;VECES_EI_DOS;VECES_CIBERNETICA_DOS;NCP_SEIS;NOTA_GI_DOS;PROMEDIO_SEIS;NOTA_DIS_ARQ_SOFT;NOTA_EI_OP_AI;NOTA_ING_ECONOMICA;NOTA_REDES_COM_TRES;NOTA_CIBERNETICA_TRES;VECES_EI_OP_AI;VECES_DIS_ARQ_SOFT;VECES_ING_ECONOMICA;VECES_EI_OP_BI;VECES_CIBERNETICA_TRES;PROMEDIO_NUEVE;RENDIMIENTO_NUEVE
62.82;64.23;20;53.95;47.22;463.92;61.76;35.27777777777778;27.5;45.0;35.0;8;1;40.0;35.0;40.0;1;9;18.0;14.0;1;33.0;1;2;44.0;1;35.26315789473684;35.0;39.0;29.5;40.0;44.0;2;40;1;7;1;16.0;1;30.0;8;35.0;41.0;32.0;36.0;47.0;50;1;1;18.0;6;44.0;7;36.30555555555556;26.0;31.0;43.0;39.0;35.0;24.0;1;2;1;3;37.0;37.0;31.0;40.0;39.0;50;1;1;32.0;1;1;1;1;1;2;33.526315789473685;32.0;45;30.0;32.0;42;1;39.0;45;1;1;1;1;0.0;50.0;38.388888888888886;42.0;44.0;37.0;44.0;44.0;1;1;1;1;1;37.5;2.0
62.82;50.87;11;58.09;50.66;446.07;55.25;15.0;15.0;15.0;15.0;0;0;15.0;15.0;15.0;1;8;17.0;0.0;1;15.0;8;1;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0;0.0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;46.0;4.0
67.01;48.4;8;52.77;52.57;450.31;63.4;33.72222222222222;22.5;35.0;35.0;8;3;40.0;35.0;40.0;2;9;18.0;14.0;1;42.0;1;2;33.0;1;34.23684210526316;38.0;39.0;34.0;30.0;41.0;1;43;1;7;1;16.0;1;33.0;8;40.0;32.0;50.0;37.0;33.0;50;2;1;18.0;7;38.0;7;36.22222222222222;31.0;27.5;46.0;38.0;32.0;35.0;1;1;1;1;35.0;33.0;28.33333333;38.0;39.0;43;1;3;33.0;1;1;1;1;1;1;35.60526315789474;35.0;45;31.0;41.0;34;1;34.0;44;1;1;1;1;2.0;50.0;35.87037037;47.0;43.0;39.0;36.0;48.0;1;1;1;1;1;36.125;2.0
67.01;54.9;20;44.68;54.3;455.03;50.47;9.738888888666668;9.0;11.33333333;8.25;0;7;14.0;9.0;9.0;5;7;15.0;0.0;3;0.0;7;5;0.0;0;20.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0;0.0;1;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0;0.0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;48.0;4.0
63.86;48.65;20;54.55;59.09;439.7;62.59;34.083333333333336;25.0;50.0;27.5;7;2;45.0;30.0;50.0;1;9;18.0;11.0;1;35.0;2;2;41.0;1;33.10526315789474;39.0;47.0;29.0;25.0;42.0;2;38;1;5;1;11.0;2;31.0;8;42.0;43.0;47.0;31.0;43.0;45;1;1;18.0;5;35.0;7;35.22222222222222;28.0;30.0;31.0;38.0;34.0;33.0;1;2;1;1;30.0;38.0;35.0;46.0;33.0;50;1;1;40.0;1;1;1;1;1;1;33.578947368421055;36.0;50;47.0;32.0;45;1;35.0;43;1;1;1;1;0.0;50.0;39.888888888888886;50.0;45.0;36.0;43.0;44.0;1;1;1;1;1;44.8;3.0
67.01;74.73;20;56.82;50.85;461.3;50.37;32.22222222222222;27.5;50.0;30.0;7;1;40.0;30.0;45.0;1;9;18.0;12.0;1;15.0;2;2;40.0;1;41.10526315789474;30.0;30.0;30.0;32.5;40.0;1;40;1;8;1;19.0;2;42.0;8;35.0;40.0;31.0;39.0;21.0;50;1;2;18.0;7;37.0;7;34.638888888888886;39.0;34.0;44.0;27.0;40.0;25.0;1;1;1;3;36.0;36.0;40.0;42.0;29.0;47;1;1;40.0;2;1;1;1;1;2;36.10526315789474;41.0;50;32.0;20.5;44;1;37.0;42;1;1;1;1;2.0;47.0;39.166666666666664;44.0;41.0;38.0;48.0;44.0;1;1;1;2;1;40.75;3.0
77.58;74.73;10;61.16;64.33;493.32;50.37;36.333333333333336;30.0;45.0;40.0;9;1;45.0;35.0;30.0;1;9;18.0;18.0;1;31.0;0;1;42.0;1;35.473684210526315;40.0;40.0;38.0;25.5;43.0;1;40;1;8;1;19.0;2;40.0;8;40.0;36.0;43.0;38.0;44.0;50;1;1;18.0;6;37.0;7;37.583333333333336;36.0;35.0;48.0;42.0;38.0;35.0;1;1;1;1;20.0;25.5;36.0;46.0;44.0;50;2;1;39.0;1;1;2;1;1;0;39.473684210526315;42.0;50;38.0;34.0;33;1;41.0;44;1;1;1;1;5.0;50.0;37.861111111111114;46.0;47.0;39.0;48.0;48.0;1;1;1;0;1;41.5;3.0
66.83;46.92;20;57.49;51.89;454.2;62.78;36.888888888888886;30.0;45.0;40.0;9;1;35.0;30.0;50.0;1;9;18.0;18.0;1;40.0;0;2;44.0;1;33.9078947368421;43.0;40.0;36.0;31.0;40.0;1;44;1;5;1;10.0;1;23.0;8;34.0;42.0;44.0;25.0;39.0;50;1;1;18.0;6;36.0;7;35.77777777777778;35.0;31.0;47.0;39.0;29.5;34.0;2;1;1;1;32.5;32.0;28.5;36.0;30.0;44;2;2;38.0;1;1;1;1;1;2;36.71052631578947;37.0;50;33.5;32.0;43;2;36.0;42;1;1;1;1;2.0;50.0;35.111111111111114;48.0;23.0;30.0;46.0;46.0;2;1;1;1;1;44.25;3.0
67.01;58.06;4;54.77;56.08;453.34;52.45;37.35294117647059;40.0;20.0;40.0;7;0;45.0;35.0;40.0;1;8;17.0;16.0;1;30.0;1;1;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0;40;0;0;0;0.0;0;0.0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;2.0;1;0.0;1;40.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0;0.0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;44.0;3.0
70.11;77.14;5;58.93;56.08;472.6;54.54;34.05555555555556;30.0;45.0;35.0;9;0;35.0;35.0;40.0;1;9;18.0;18.0;1;30.0;0;1;33.0;1;33.166666666666664;40.0;35.0;30.0;26.33333333;0.0;1;35;1;4;1;11.0;3;22.5;6;40.0;41.0;34.0;41.0;0.0;50;1;0;16.0;4;31.0;6;30.718749999375;28.0;32.5;31.0;33.0;33.0;0.0;1;2;1;0;36.0;32.0;32.0;43.0;41.0;0;1;1;35.0;1;0;1;1;1;2;31.392857142857142;38.0;50;0.0;0.0;0;0;0.0;25;1;0;0;0;0.0;0.0;36.53333333333333;0.0;24.0;36.0;0.0;0.0;1;0;1;0;0;48.0;4.0
