PROMEDIO_TRES;PROMEDIO_DOS;NOTA_INT;NCA_DOS;NCA_TRES;NOTA_FIS_DOS;PG_ICFES;NOTA_FIS_TRES;BIOLOGIA_ICFES;VECES_FIS_TRES;CON_MAT_ICFES;PROMEDIO_UNO;FISICA_ICFES;NOTA_EL_UNO;NOTA_DEM;NAA_TRES;VECES_INT;NAA_DOS;NOTA_CIR_DOS;VECES_CIR_DOS;NAC_TRES;NAP_TRES;NCC_TRES;EPA_TRES;CAR_TRES;VECES_EL_UNO;VECES_MULTI;NCP_TRES;NOTA_EE_UNO;VECES_DEM;VECES_ECUA;NOTA_ECUA;CAR_DOS;NOTA_MULTI;CREDITOS_MULTI;CREDITOS_FIS_TRES;CREDITOS_EL_UNO;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
24.70588235352941;30.0;22.5;11.0;8.0;30.0;513.66;30.0;58.09;1;89.86;34.166666666666664;72.97;15.0;0.0;3;2;4;35.0;1;6;3;17.0;1;3;2;3;9.0;35.0;0;3;15.0;2;21.66666667;3;3;3;2.0;33.0
15.0;24.852941176470587;17.5;8.0;1.0;30.0;391.91;0.0;47.79;0;50.54;26.319444444166667;46.84;0.0;45.0;1;2;3;0.0;0;2;1;3.0;1;0;0;0;2.0;0.0;1;0;0.0;4;0.0;3;3;3;1.0;29.0
36.470588235294116;40.294117647058826;45.0;17.0;17.0;40.0;493.94;30.0;58.09;2;75.27;44.583333333333336;64.0;40.0;0.0;6;1;6;40.0;1;6;0;17.0;2;1;1;1;0.0;40.0;0;1;40.0;0;30.0;3;3;3;3.0;41.0
24.944444445000002;32.205882352941174;27.5;14.0;10.0;35.0;509.82;25.0;59.24;2;70.42;34.583333333333336;74.2;30.0;45.0;4;2;5;30.0;1;7;3;18.0;1;2;1;3;8.0;0.0;1;1;30.0;1;19.66666667;3;3;3;1.0;28.423076923076923
29.264705882941175;36.1764705882353;30.0;17.0;8.0;40.0;499.0;27.5;53.95;2;105.63;35.416666666666664;66.74;22.5;0.0;3;1;6;32.5;2;6;3;17.0;1;4;2;3;9.0;40.0;0;1;30.0;1;26.66666667;3;3;3;2.0;34.55882352941177
15.0;15.0;0.0;0.0;1.0;0.0;461.1;0.0;60.25;0;62.82;25.454545454545453;66.74;0.0;45.0;1;0;0;0.0;0;2;1;3.0;1;0;0;0;2.0;0.0;1;0;0.0;0;0.0;3;3;3;1.0;20.0
23.529411764705884;30.735294118235295;30.0;8.0;8.0;45.0;476.19;35.0;51.92;1;69.99;29.375;66.74;7.0;0.0;3;1;3;13.0;3;6;3;17.0;1;3;3;3;9.0;35.0;0;1;30.0;3;25.0;3;3;3;1.0;23.166666666666668
35.138888888888886;37.05882352941177;30.0;17.0;15.0;40.0;507.55;30.0;58.09;1;85.28;39.166666666666664;58.93;35.0;45.0;6;1;6;27.5;2;7;1;18.0;2;1;1;1;3.0;50.0;1;1;35.0;0;35.0;3;3;3;2.0;37.0
15.0;15.0;0.0;0.0;0.0;0.0;473.52;0.0;58.09;0;65.16;15.909090909090908;64.0;0.0;0.0;0;0;0;0.0;0;1;1;2.0;1;0;0;0;2.0;15.0;0;0;0.0;0;0.0;3;3;3;1.0;15.0
33.611111111111114;33.529411764705884;25.0;14.0;18.0;35.0;477.41;30.0;58.09;1;78.22;35.416666666666664;58.93;35.0;45.0;7;2;5;30.0;1;7;0;18.0;2;0;1;1;0.0;40.0;1;1;35.0;2;30.0;3;3;3;2.0;35.533333334
30.970588235294116;34.411764705882355;40.0;17.0;14.0;35.0;489.84;30.0;62.46;1;75.91;36.25;73.07;25.0;0.0;5;1;6;30.0;1;6;1;17.0;2;2;2;2;3.0;42.0;0;1;30.0;1;32.5;3;3;3;2.0;36.666666666666664
15.0;30.0;0.0;3.0;1.0;0.0;461.67;0.0;55.99;0;75.27;28.636363636363637;61.41;0.0;45.0;1;0;1;0.0;0;2;1;3.0;1;0;0;0;2.0;0.0;1;0;0.0;0;0.0;3;3;3;1.0;30.0
33.970588235294116;34.85294117647059;40.0;17.0;14.0;35.0;530.42;40.0;67.71;1;81.5;39.166666666666664;58.93;22.5;0.0;5;1;6;35.0;1;6;1;17.0;2;2;2;2;3.0;45.0;0;1;35.0;1;30.0;3;3;3;2.0;34.666666666666664
31.11111111111111;31.764705882352942;30.0;17.0;12.0;35.0;470.95;27.5;62.54;2;60.49;32.916666666666664;61.41;30.0;45.0;5;1;6;27.5;2;7;2;18.0;2;2;1;1;6.0;40.0;1;1;30.0;0;30.0;3;3;3;2.0;34.333333333333336
33.23529411764706;38.529411764705884;35.0;17.0;17.0;35.0;514.21;35.0;58.09;1;81.5;37.916666666666664;81.3;30.0;0.0;6;1;6;30.0;1;6;0;17.0;2;0;1;1;0.0;35.0;0;1;35.0;0;35.0;3;3;3;2.0;38.0
29.02777777777778;33.82352941235294;31.66666667;17.0;12.0;40.0;479.19;30.0;55.99;1;60.49;31.25;64.0;20.0;45.0;5;3;6;22.5;2;7;2;18.0;1;2;3;1;6.0;40.0;1;1;30.0;1;30.0;3;3;3;1.0;23.583333333333332
32.205882352941174;32.205882352941174;27.5;14.0;14.0;35.0;454.65;35.0;55.99;1;81.5;34.166666666666664;56.51;22.5;0.0;5;2;5;30.0;1;6;1;17.0;2;1;2;1;3.0;45.0;0;1;35.0;1;30.0;3;3;3;2.0;33.666666666666664
35.138888888888886;36.1764705882353;30.0;17.0;18.0;35.0;478.74;30.0;58.09;1;72.55;35.416666666666664;64.0;35.0;45.0;7;1;6;30.0;1;7;0;18.0;2;2;2;1;0.0;50.0;1;2;37.5;0;30.0;3;3;3;2.0;38.666666666666664
40.0;25.0;0.0;0.0;2.0;0.0;455.25;0.0;58.09;0;72.55;23.181818181818183;64.0;0.0;0.0;1;0;0;0.0;0;1;0;2.0;2;0;0;0;0.0;40.0;0;0;0.0;1;0.0;3;3;3;1.0;25.0
15.0;26.000000002;0.0;2.0;1.0;0.0;450.12;0.0;58.09;0;72.55;19.09090909;66.74;0.0;45.0;1;0;1;0.0;0;2;1;3.0;1;0;0;0;2.0;0.0;1;0;0.0;1;0.0;3;3;3;1.0;15.0
31.61764705882353;32.35294117647059;35.0;17.0;14.0;30.0;450.22;30.0;53.95;2;72.55;35.416666666666664;66.74;30.0;0.0;5;1;6;27.5;2;6;1;17.0;2;2;1;1;3.0;40.0;0;1;35.0;0;30.0;3;3;3;2.0;35.0
10.0;15.0;0.0;0.0;1.0;0.0;466.72;0.0;60.25;0;67.54;15.681818181818182;64.0;0.0;30.0;1;0;0;0.0;0;2;1;3.0;1;0;0;0;2.0;0.0;1;0;0.0;1;0.0;3;3;3;1.0;15.0
34.94117647058823;32.64705882352941;30.0;17.0;17.0;35.0;447.85;30.0;62.54;1;67.54;35.0;72.97;30.0;0.0;6;2;6;45.0;1;6;0;17.0;2;0;1;1;0.0;42.0;0;1;35.0;2;30.0;3;3;3;2.0;32.833333333333336
35.55555555555556;34.705882352941174;30.0;17.0;18.0;30.0;454.59;35.0;53.95;1;67.54;35.208333333333336;64.0;35.0;45.0;7;1;6;30.0;1;7;0;18.0;2;0;1;1;0.0;50.0;1;1;30.0;2;35.0;3;3;3;2.0;36.0
23.928571428571427;33.382352940588234;23.33333333;14.0;5.0;30.0;486.27;30.0;62.54;1;72.55;32.916666666666664;66.74;0.0;0.0;2;3;5;20.0;3;5;3;14.0;1;3;0;3;9.0;40.0;0;3;16.66666667;2;18.33333333;3;3;3;2.0;37.5
38.05555555555556;33.529411764705884;30.0;17.0;18.0;35.0;485.28;30.0;67.71;1;60.49;33.333333333333336;61.41;35.0;45.0;7;1;6;45.0;1;7;0;18.0;2;0;1;1;0.0;50.0;1;1;35.0;1;35.0;3;3;3;2.0;34.333333333333336
40.0;19.264705882352942;15.0;2.0;2.0;15.0;490.19;0.0;60.25;0;81.5;30.454545454545453;61.41;0.0;0.0;1;1;1;0.0;0;1;0;2.0;2;0;0;0;0.0;40.0;0;0;0.0;1;0.0;3;3;3;1.0;21.0
22.867647058235292;30.441176470588236;30.0;11.0;5.0;35.0;470.9;21.0;55.99;3;67.54;33.333333333333336;76.74;30.0;0.0;2;1;4;19.0;3;6;4;17.0;1;4;1;4;12.0;30.0;0;6;18.33333333;2;21.25;3;3;3;1.0;19.076923077
18.681818181818183;32.205882352941174;30.0;14.0;5.0;40.0;442.26;0.0;58.09;0;75.27;29.791666665833333;61.41;0.0;0.0;2;1;5;1.0;1;4;2;11.0;1;1;0;1;6.0;30.0;0;2;17.5;1;30.0;3;3;3;2.0;32.5
