NOTA_DIFERENCIAL;NOTA_CATEDRA_DEM;NOTA_PROG_BASICA;NAA_UNO;CAR_UNO;NOTA_TEXTOS;NOTA_LOGICA;NOTA_SEMINARIO;VECES_LOGICA;NAC_UNO;NCC_UNO;NCA_UNO;IDIOMA_ICFES;VECES_CATEDRA_DEM;NOTA_EE_UNO;PG_ICFES;NAP_UNO;VECES_DIFERENCIAL;CON_MAT_ICFES;NOTA_CATEDRA_CON;VECES_EE_UNO;NOTA_CATEDRA_FJC;NCP_UNO;LOCALIDAD_COLEGIO;EPA_UNO;VECES_PROG_BASICA;BIOLOGIA_ICFES;LITERATURA_ICFES;VECES_TEXTOS;VECES_CATEDRA_CON;VECES_CATEDRA_FJC;VECES_SEMINARIO;QUIMICA_ICFES;CREDITOS_PROG_BASICA;CREDITOS_LOGICA;CREDITOS_CATEDRA_FJC;PROMEDIO_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS
30.0;40.0;35.0;8;1;35.0;30.0;35.0;2;8;16.0;16.0;53.98;1;0.0;430.63;0;1;63.08;39.0;0;40.0;0.0;10;2;1;59.93;59.31;1;1;1;1;50.5;3;3;1;33.6875;2.0;31.5
20.25;50.0;30.0;7;3;40.0;32.5;40.0;2;8;17.0;13.0;47.17;1;45.0;454.54;1;4;61.49;0.0;1;35.0;4.0;5;2;2;56.82;54.54;1;0;1;1;56.08;3;3;1;33.14705882352941;2.0;30.636363636363637
30.0;45.0;40.0;9;1;35.0;30.0;50.0;1;9;18.0;18.0;46.92;1;40.0;454.2;0;2;66.83;44.0;1;45.0;0.0;20;2;1;57.49;62.78;1;1;1;1;51.89;3;3;1;36.888888888888886;2.0;33.9078947368421
15.8;40.0;20.5;4;3;30.0;12.0;35.0;5;8;17.0;5.0;54.57;1;3.0;461.7;4;5;56.59;0.0;1;30.0;12.0;8;1;4;64.97;56.57;1;0;1;1;59.94;3;3;1;19.511764705882353;1.0;1.125
25.0;25.0;32.5;4;5;30.0;30.0;22.5;2;8;17.0;9.0;74.73;2;15.0;448.54;4;3;64.16;0.0;1;35.0;8.0;7;1;2;52.77;46.1;1;0;1;2;57.93;3;3;1;27.058823529411764;1.0;23.647058822941176
30.0;45.0;35.0;9;0;35.0;35.0;40.0;1;9;18.0;18.0;77.14;1;30.0;472.6;0;1;70.11;33.0;1;35.0;0.0;5;2;1;58.93;54.54;1;1;1;1;56.08;3;3;1;34.05555555555556;2.0;33.166666666666664
30.0;45.0;35.0;8;2;40.0;27.5;40.0;2;9;18.0;15.0;72.32;1;39.0;477.24;1;2;53.95;43.0;1;45.0;3.0;6;2;1;61.56;65.96;1;1;1;1;62.42;3;3;1;35.47222222222222;2.0;31.710526315789473
30.0;45.0;40.0;9;1;40.0;32.5;40.0;2;9;18.0;18.0;45.94;1;40.0;426.06;0;1;67.01;39.0;1;40.0;0.0;6;2;1;44.68;54.54;1;1;1;1;47.38;3;3;1;36.75;2.0;34.5
30.0;45.0;35.0;7;1;30.0;35.0;15.0;1;8;17.0;16.0;62.81;1;45.0;461.46;1;1;67.77;0.0;1;40.0;1.0;10;2;1;53.71;57.14;1;0;1;2;49.26;3;3;1;34.11764705882353;1.0;17.857142857142858
21.66666667;30.0;35.0;4;3;30.0;20.0;25.0;3;7;15.0;7.0;39.05;1;0.0;454.46;3;3;67.13;0.0;0;45.0;8.0;6;1;1;57.16;52.45;1;0;1;2;52.83;3;3;1;27.444444445333332;1.0;23.400000002000002
30.0;40.0;30.0;9;0;35.0;30.0;35.0;1;9;18.0;18.0;44.71;1;32.0;461.09;0;1;73.57;47.0;1;45.0;0.0;8;2;1;58.93;46.1;1;1;1;1;59.89;3;3;1;33.388888888888886;2.0;34.63157894736842
25.0;40.0;45.0;6;2;40.0;35.0;35.0;1;8;16.0;11.0;62.69;1;0.0;459.64;2;2;64.16;27.5;0;40.0;5.0;11;2;1;46.76;52.45;1;2;1;1;59.89;3;3;1;35.15625;2.0;31.25
30.0;45.0;40.0;6;2;30.0;30.0;25.0;1;8;17.0;14.0;50.86;1;20.0;433.58;2;2;67.01;0.0;1;35.0;3.0;1;2;1;50.78;48.26;1;0;1;2;64.33;3;3;1;31.470588235294116;1.0;28.781250000625
30.0;45.0;35.0;9;0;40.0;35.0;30.0;1;9;18.0;18.0;83.41;1;36.0;466.96;0;1;61.26;41.0;1;45.0;0.0;12;2;1;64.97;60.56;1;1;1;1;56.05;3;3;1;35.72222222222222;2.0;37.10526315736842
30.0;50.0;40.0;7;0;35.0;35.0;30.0;1;8;17.0;15.0;43.48;1;15.0;476.22;1;1;82.45;0.0;1;40.0;2.0;3;2;1;56.82;63.4;1;0;1;1;57.93;3;3;1;33.23529411764706;1.0;29.249999999285713
25.0;40.0;35.0;8;2;40.0;30.0;45.0;2;9;18.0;14.0;77.14;1;38.0;465.49;1;2;58.94;39.0;1;40.0;4.0;8;2;1;53.07;52.45;1;1;1;1;58.28;3;3;1;34.166666666666664;2.0;32.86842105368421
26.66666667;35.0;25.0;5;4;35.0;35.0;25.0;2;8;17.0;9.0;53.32;1;50.0;408.58;3;3;56.59;0.0;1;30.0;8.0;11;1;2;46.34;58.52;1;0;1;2;50.94;3;3;1;32.15686274588235;2.0;31.892857142857142
25.0;40.0;45.0;7;2;40.0;45.0;25.0;1;9;18.0;13.0;65.1;1;33.0;476.62;2;2;70.26;34.0;1;40.0;5.0;20;2;1;61.56;65.94;1;1;1;2;64.8;3;3;1;36.388888888888886;2.0;31.031250000625
28.33333333;45.0;35.0;7;1;40.0;35.0;40.0;1;8;17.0;13.0;45.31;1;30.0;450.64;1;3;55.73;0.0;1;45.0;4.0;20;2;1;58.72;59.42;1;0;1;1;50.18;3;3;1;34.90196078352942;1.0;29.28125
22.5;40.0;22.5;6;3;40.0;32.5;50.0;2;8;17.0;10.0;56.48;1;30.0;369.34;2;2;41.23;0.0;1;40.0;7.0;10;2;2;37.73;52.54;1;0;1;1;54.3;3;3;1;30.88235294117647;1.0;16.428571428571427
35.0;50.0;45.0;9;0;40.0;40.0;50.0;1;9;18.0;18.0;65.1;1;45.0;425.79;0;1;73.57;44.0;1;40.0;0.0;1;2;1;46.76;52.45;1;1;1;1;47.38;3;3;1;41.611111111111114;2.0;38.526315789473685
35.0;40.0;40.0;9;0;40.0;35.0;40.0;1;9;18.0;18.0;42.76;1;39.0;464.25;0;1;64.24;50.0;1;40.0;0.0;11;2;1;55.09;46.1;1;1;1;1;62.42;3;3;1;38.5;2.0;38.31578947368421
