NOTA_STG;PROMEDIO_SEIS;NOTA_C_UNO;NOTA_FDS;PROMEDIO_OCHO;NOTA_ELECPOT;NOTA_INSIND;NOTA_SISDIN;NAP_OCHO;NOTA_INGECO;NOTA_TFM;NOTA_EI_IA;VECES_EI_IA;CREDITOS_EI_IA;NOTA_EI_IIA;VECES_EI_IIA;CREDITOS_EI_IIA;NOTA_EI_IIIA;VECES_EI_IIIA;CREDITOS_EI_IIIA;NOTA_TRABGRAD;VECES_TRABGRAD;CREDITOS_TRABGRAD;NOTA_TV;VECES_TV;CREDITOS_TV;NOTA_FGEP;VECES_FGEP;CREDITOS_FGEP;PROMEDIO_NUEVE;CAR_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
47.0;36.464285714285715;29.0;35.0;37.5;28.33333333;36.0;30.0;1;38.0;45.0;44.0;2;3;45.0;1;3;33.0;1;3;47.0;2;3;34.0;1;3;34.0;1;2;39.8235294117647;2;17.0;17.0;0.0;6;6;0;2;4.0;45.25
45.0;32.6;19.0;25.0;34.888888888888886;33.0;34.0;27.5;1;37.0;46.0;40.0;1;3;46.0;1;3;43.0;2;3;45.0;2;3;35.0;1;3;44.0;1;2;42.05882352941177;2;17.0;17.0;0.0;6;6;0;2;2.0;37.8
50.0;31.464285714285715;27.33333333;30.0;39.33333333277778;30.0;47.0;40.0;1;40.0;45.0;45.0;2;3;39.0;0;3;30.0;2;3;50.0;2;3;42.0;1;3;45.0;1;2;42.214285714285715;3;14.0;17.0;3.0;5;6;1;2;2.0;30.166666666666668
33.0;26.75;24.5;30.0;34.80555555555556;36.0;32.0;40.0;1;43.0;46.0;42.0;1;3;46.0;1;3;45.0;1;3;33.0;2;3;37.0;1;3;44.0;1;2;41.0;1;17.0;17.0;0.0;6;6;0;2;2.0;30.666666666666668
47.0;30.142857142857142;18.0;36.0;37.27777777777778;21.5;30.0;22.5;1;49.0;47.0;47.0;1;3;47.0;2;3;43.0;1;3;47.0;2;3;35.0;1;3;44.0;1;2;43.8235294117647;2;17.0;17.0;0.0;6;6;0;2;2.0;39.083333333333336
47.0;37.5;37.0;50.0;41.388888888888886;50.0;36.0;40.0;0;43.0;48.0;45.0;3;3;48.0;1;3;30.0;2;3;47.0;2;3;38.0;2;3;45.0;1;2;42.0;4;17.0;17.0;0.0;6;6;0;2;2.0;37.75
43.0;30.892857142857142;30.0;37.0;37.333333333333336;32.0;31.0;30.0;0;34.0;42.0;42.0;3;3;31.0;0;3;41.0;1;3;43.0;2;3;41.0;1;3;37.0;1;2;41.07142857142857;2;14.0;17.0;3.0;5;6;1;2;2.0;32.833333333333336
48.0;38.785714285714285;30.0;35.0;42.333333333333336;40.0;43.0;27.5;0;43.0;46.0;50.0;2;3;46.0;1;3;50.0;2;3;48.0;2;3;38.0;1;3;50.0;1;2;46.8235294117647;3;17.0;17.0;0.0;6;6;0;2;3.0;40.13333333333333
43.0;34.607142857142854;21.66666667;38.0;32.66666666722222;30.0;29.0;25.0;2;31.0;46.0;43.0;1;3;46.0;1;3;40.0;1;3;43.0;2;3;33.0;1;3;32.0;2;2;39.94117647058823;2;17.0;17.0;0.0;6;6;0;2;1.0;27.75
43.0;32.5;30.0;35.0;40.666666666666664;41.0;39.0;27.5;0;43.0;45.0;45.0;2;3;35.0;0;3;43.0;3;3;43.0;2;3;44.0;1;3;48.0;1;2;44.357142857142854;3;14.0;17.0;3.0;5;6;1;2;2.0;34.833333333333336
44.0;36.785714285714285;30.0;35.0;38.05555555555556;30.0;33.0;35.0;0;39.0;47.0;46.0;1;3;47.0;1;3;40.0;3;3;44.0;2;3;38.0;1;3;39.0;1;2;42.529411764705884;2;17.0;17.0;0.0;6;6;0;2;2.0;36.4
45.0;37.857142857142854;17.0;45.0;34.77777777777778;46.0;30.0;30.0;1;36.0;48.0;48.0;3;3;45.0;0;3;30.0;4;3;45.0;2;3;41.0;1;3;34.0;1;2;40.0;3;14.0;17.0;3.0;5;6;1;2;2.0;35.583333333333336
48.0;33.857142856428574;30.0;34.0;37.44444444444444;37.0;32.0;30.0;0;34.0;39.0;47.0;1;3;39.0;1;3;40.0;3;3;48.0;2;3;35.0;1;3;47.0;2;2;42.411764705882355;3;17.0;17.0;0.0;6;6;0;2;2.0;33.733333333333334
48.0;39.357142857142854;35.0;50.0;42.27777777777778;50.0;39.0;45.0;0;43.0;49.0;49.0;2;3;31.0;0;3;44.0;3;3;48.0;2;3;37.0;1;3;46.0;1;2;44.714285714285715;3;14.0;17.0;3.0;5;6;1;2;3.0;43.25
50.0;24.250000000714287;18.0;29.0;38.388888888888886;26.5;42.0;30.0;1;39.0;36.0;36.0;1;3;46.0;1;3;32.0;3;3;50.0;2;3;43.0;1;3;20.0;1;2;38.88235294117647;2;17.0;15.0;2.0;6;5;1;2;2.0;37.166666666666664
48.0;36.25;45.0;47.0;44.333333333333336;38.0;44.0;35.0;0;41.0;50.0;50.0;2;3;42.0;0;3;39.0;3;3;48.0;2;3;39.0;1;3;39.0;1;2;43.285714285714285;3;14.0;17.0;3.0;5;6;1;2;2.0;37.583333333333336
48.0;28.428571428571427;30.0;31.0;37.77777777777778;26.5;35.0;30.0;0;40.0;42.0;42.0;3;3;39.0;0;3;41.0;2;3;48.0;2;3;38.0;2;3;45.0;1;2;42.642857142857146;4;14.0;17.0;3.0;5;6;1;2;2.0;36.083333333333336
48.0;32.285714285714285;47.0;40.0;43.333333333333336;43.0;43.0;40.0;0;44.0;50.0;50.0;2;3;42.0;0;3;40.0;2;3;48.0;2;3;43.0;1;3;45.0;1;2;45.214285714285715;3;14.0;17.0;3.0;5;6;1;2;2.0;39.25
45.0;31.5;26.5;34.0;35.97222222222222;34.0;31.0;30.0;1;37.0;41.0;43.0;2;3;41.0;1;3;31.0;1;3;45.0;2;3;37.0;1;3;45.0;1;2;40.05882352941177;2;17.0;17.0;0.0;6;6;0;2;2.0;32.416666666666664
0.0;23.60606060454546;11.0;19.0;25.285714285714285;6.5;0.0;21.5;1;42.0;0.0;8.3;3;3;0.0;0;3;0.0;0;3;0.0;2;3;0.0;0;3;0.0;0;2;4.15;2;6.0;0.0;6.0;2;0;2;1;1.0;28.666666666666668
42.0;33.5;32.0;33.0;40.833333333333336;40.0;44.0;40.0;0;41.0;44.0;44.0;2;3;48.0;0;3;39.0;3;3;42.0;2;3;36.0;1;3;42.0;1;2;40.5;3;14.0;17.0;3.0;5;6;1;2;2.0;37.166666666666664
23.0;31.321428572142857;30.0;23.66666667;35.05555555555556;36.0;34.0;30.0;1;35.0;0.0;43.0;2;3;43.0;1;3;35.0;1;3;23.0;2;3;36.0;0;3;45.0;1;2;37.285714285714285;2;14.0;14.0;0.0;5;5;0;2;3.0;42.25
21.5;26.428571428571427;35.0;30.0;39.80555555555556;41.0;40.0;27.5;1;44.0;48.0;48.0;3;3;35.0;0;3;46.0;2;3;21.5;2;3;33.0;1;3;42.0;1;2;37.82142857142857;3;14.0;14.0;0.0;5;5;0;2;2.0;39.416666666666664
48.0;31.785714285714285;36.0;45.0;42.166666666666664;50.0;38.0;30.0;0;43.0;46.0;46.0;2;3;31.0;0;3;44.0;3;3;48.0;2;3;35.0;1;3;43.0;1;2;43.214285714285715;3;14.0;17.0;3.0;5;6;1;2;2.0;39.166666666666664
49.0;31.785714285714285;45.0;50.0;43.27777777777778;30.0;41.0;45.0;0;43.0;46.0;46.0;3;3;30.0;0;3;40.0;2;3;49.0;2;3;45.0;1;3;48.0;1;2;45.42857142857143;3;14.0;17.0;3.0;5;6;1;2;2.0;39.083333333333336
43.0;33.25;28.0;22.5;35.77777777777778;30.0;31.0;35.0;1;37.0;47.0;42.0;2;3;47.0;1;3;39.0;2;3;43.0;2;3;40.0;1;3;47.0;1;2;42.76470588235294;3;17.0;17.0;0.0;6;6;0;2;2.0;37.0
39.0;31.428571428571427;35.0;30.0;40.0;35.0;33.0;35.0;0;43.0;47.0;47.0;3;3;33.0;0;3;49.0;2;3;39.0;2;3;43.0;1;3;48.0;1;2;45.0;3;14.0;17.0;3.0;5;6;1;2;2.0;38.416666666666664
36.0;34.0;45.0;30.0;37.77777777777778;40.0;34.0;30.0;0;43.0;47.0;47.0;4;3;36.0;0;3;30.0;2;3;36.0;2;3;37.0;2;3;43.0;1;2;38.285714285714285;4;14.0;17.0;3.0;5;6;1;2;2.0;38.0
35.0;35.357142857142854;36.0;34.0;39.77777777777778;38.0;34.0;35.0;0;40.0;49.0;49.0;4;3;32.0;0;3;30.0;2;3;35.0;2;3;41.0;1;3;43.0;1;2;39.357142857142854;3;14.0;17.0;3.0;5;6;1;2;2.0;34.666666666666664
45.0;28.785714285714285;30.0;29.5;35.5;29.0;42.0;28.5;0;32.0;30.0;44.0;2;3;30.0;1;3;37.0;1;3;45.0;2;3;37.0;1;3;48.0;1;2;39.705882352941174;2;17.0;17.0;0.0;6;6;0;2;2.0;37.583333333333336
45.0;38.285714285714285;30.0;29.33333333;31.916666666666668;24.75;33.5;30.0;2;25.0;41.0;44.0;1;3;41.0;1;3;42.0;3;3;45.0;3;3;35.0;1;3;45.0;2;2;41.8235294117647;3;17.0;17.0;0.0;6;6;0;2;2.0;32.63333333333333
40.0;34.107142857142854;22.0;33.0;36.166666666666664;18.33333333;41.0;22.5;1;41.0;43.0;38.0;2;3;43.0;1;3;42.0;1;3;40.0;2;3;37.0;1;3;43.0;1;2;40.35294117647059;2;17.0;17.0;0.0;6;6;0;2;2.0;36.75
45.0;33.857142857142854;24.0;30.0;36.77777777777778;30.0;42.0;30.0;1;33.5;41.0;41.0;2;3;40.0;0;3;44.0;3;3;45.0;3;3;38.0;1;3;45.0;1;2;42.42857142857143;3;14.0;17.0;3.0;5;6;1;2;2.0;36.333333333333336
45.0;30.35714285642857;20.5;26.75;32.916666666666664;28.0;36.0;31.0;1;35.0;43.0;45.0;2;3;43.0;1;3;34.0;1;3;45.0;2;3;34.0;1;3;46.0;1;2;40.88235294117647;2;17.0;17.0;0.0;6;6;0;2;2.0;31.791666666666668
50.0;39.07142857142857;33.0;35.0;36.111111111111114;30.0;33.0;30.0;0;42.0;46.0;46.0;3;3;27.5;0;3;42.0;2;3;50.0;2;3;38.0;1;3;43.0;1;2;43.857142857142854;3;14.0;14.0;0.0;5;5;0;2;2.0;34.916666666666664
45.0;27.773809524285717;20.5;24.5;33.833333333333336;17.0;36.0;27.5;2;33.0;44.0;38.0;2;3;44.0;1;3;30.0;2;3;45.0;2;3;42.0;1;3;37.0;1;2;39.470588235294116;3;17.0;17.0;0.0;6;6;0;2;2.0;37.4
46.0;39.5;30.0;34.0;38.388888888888886;40.0;32.0;30.0;0;48.0;47.0;47.0;3;3;41.0;0;3;48.0;2;3;46.0;2;3;38.0;1;3;45.0;1;2;44.785714285714285;3;14.0;17.0;3.0;5;6;1;2;2.0;39.5
33.0;40.142857142857146;20.66666667;31.0;30.055555556111113;25.5;30.0;25.0;3;35.0;46.0;46.0;1;3;41.0;1;3;27.5;3;3;33.0;2;3;34.0;1;3;45.0;1;2;37.3235294117647;2;17.0;14.0;3.0;6;5;1;2;2.0;34.93333333333333
45.0;32.57142857142857;30.0;28.5;37.166666666666664;25.5;45.0;30.0;0;33.0;36.0;36.0;1;3;45.0;1;3;42.0;2;3;45.0;2;3;36.0;1;3;42.0;1;2;40.94117647058823;2;17.0;17.0;0.0;6;6;0;2;2.0;38.0
49.0;37.785714285714285;35.0;45.0;39.5;41.0;33.0;30.0;0;44.0;47.0;47.0;2;3;41.0;0;3;49.0;1;3;49.0;2;3;38.0;1;3;48.0;1;2;46.07142857142857;2;14.0;17.0;3.0;5;6;1;2;2.0;37.888888888888886
0.0;20.642857142857142;0.0;7.0;31.0;0.0;0.0;27.33333333;0;0.0;0.0;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;0.0;0.0;0.0;0;0;0;1;1.0;23.333333333333332
45.0;36.0;35.0;21.0;38.388888888888886;31.0;32.0;27.5;0;38.0;48.0;48.0;2;3;31.0;0;3;49.0;2;3;45.0;2;3;40.0;1;3;47.0;1;2;45.714285714285715;3;14.0;17.0;3.0;5;6;1;2;2.0;39.416666666666664
15.0;35.166666667142856;32.0;25.0;31.055555555555557;24.66666667;28.0;15.66666667;2;30.0;36.0;36.0;2;3;40.0;1;3;39.0;2;3;15.0;3;3;38.0;1;3;37.0;2;2;34.0;4;17.0;14.0;3.0;6;5;1;2;2.0;33.1
43.0;35.57142857142857;34.5;35.0;36.638888888888886;33.0;36.0;27.0;0;30.0;37.0;37.0;2;3;39.0;1;3;30.0;2;3;43.0;2;3;38.0;1;3;38.0;1;2;37.470588235294116;3;17.0;17.0;0.0;6;6;0;2;2.0;33.666666666666664
45.0;32.107142857142854;27.0;30.0;38.72222222222222;31.0;38.0;35.0;1;42.0;45.0;45.0;1;3;38.0;1;3;42.0;2;3;45.0;2;3;35.0;1;3;43.0;1;2;41.23529411764706;2;17.0;17.0;0.0;6;6;0;2;2.0;39.333333333333336
44.0;42.92857142857143;40.0;31.0;40.333333333333336;36.0;42.0;40.0;0;40.0;48.0;48.0;3;3;38.0;0;3;40.0;2;3;44.0;2;3;42.0;1;3;45.0;1;2;43.714285714285715;3;14.0;17.0;3.0;5;6;1;2;3.0;40.916666666666664
42.0;37.714285714285715;26.0;30.0;33.611111111111114;31.0;33.0;30.0;2;28.0;44.0;41.0;1;3;44.0;1;3;42.0;3;3;42.0;3;3;34.0;1;3;44.0;1;2;41.0;2;17.0;17.0;0.0;6;6;0;2;2.0;31.633333333333333
42.0;41.142857142857146;26.5;27.0;37.55555555555556;30.0;32.5;30.0;1;36.0;43.0;43.0;3;3;21.5;0;3;45.0;4;3;42.0;2;3;40.0;1;3;45.0;2;2;42.857142857142854;4;14.0;14.0;0.0;5;5;0;2;2.0;32.675000000000004
43.0;34.142857142857146;23.0;30.0;33.05555555555556;37.0;30.0;34.0;2;36.0;49.0;43.0;2;3;49.0;1;3;43.0;1;3;43.0;2;3;36.0;1;3;40.0;1;2;42.470588235294116;2;17.0;17.0;0.0;6;6;0;2;2.0;32.583333333333336
47.0;40.357142857142854;34.0;40.0;39.833333333333336;35.0;40.0;30.0;0;41.0;47.0;47.0;2;3;35.0;0;3;39.0;3;3;47.0;2;3;46.0;1;3;43.0;1;2;44.5;3;14.0;17.0;3.0;5;6;1;2;2.0;34.25
47.0;38.82142857142857;30.0;30.0;37.05555555555556;40.0;34.0;30.0;0;36.0;49.0;49.0;4;3;28.5;0;3;38.0;1;3;47.0;2;3;42.0;1;3;48.0;1;2;44.57142857142857;2;14.0;14.0;0.0;5;5;0;2;3.0;41.55555555555556
45.0;36.42857142857143;40.0;30.0;39.111111111111114;34.0;39.0;35.0;1;42.0;48.0;39.0;1;3;48.0;1;3;39.0;3;3;45.0;2;3;37.0;1;3;45.0;1;2;42.0;2;17.0;17.0;0.0;6;6;0;2;2.0;32.333333333333336
44.0;34.892857142857146;30.0;27.5;37.611111111111114;15.66666667;36.0;30.0;0;44.0;41.0;41.0;4;3;31.5;0;3;33.0;2;3;44.0;2;3;41.0;1;3;45.0;1;2;40.5;3;14.0;17.0;3.0;5;6;1;2;2.0;39.083333333333336
49.0;37.142857142857146;31.0;38.0;40.888888888888886;36.0;38.0;30.0;0;46.0;48.0;45.0;1;3;48.0;1;3;40.0;3;3;49.0;2;3;31.0;1;3;43.0;1;2;42.64705882352941;2;17.0;17.0;0.0;6;6;0;2;2.0;39.46666666666667
41.0;37.214285714285715;45.0;43.0;43.666666666666664;48.0;40.0;35.0;0;43.0;46.0;46.0;2;3;40.0;1;3;40.0;1;3;41.0;2;3;37.0;1;3;44.0;1;2;41.1764705882353;2;17.0;17.0;0.0;6;6;0;2;3.0;41.166666666666664
35.0;34.107142857142854;33.0;28.5;35.97222222222222;31.0;43.0;30.0;1;37.0;34.0;34.0;4;3;27.5;0;3;42.0;2;3;35.0;2;3;34.0;1;3;43.0;1;2;37.214285714285715;3;14.0;14.0;0.0;5;5;0;2;3.0;41.0
