CON_MAT_ICFES;IDIOMA_ICFES;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;QUIMICA_ICFES;PG_ICFES;LITERATURA_ICFES;PROMEDIO_UNO;NOTA_DIFERENCIAL;NOTA_CATEDRA_DEM;NOTA_PROG_BASICA;NAA_UNO;CAR_UNO;NOTA_TEXTOS;NOTA_LOGICA;NOTA_SEMINARIO;VECES_LOGICA;NAC_UNO;NCC_UNO;NCA_UNO;VECES_CATEDRA_DEM;NOTA_EE_UNO;NAP_UNO;VECES_DIFERENCIAL;NOTA_CATEDRA_CON;VECES_EE_UNO;PROMEDIO_TRES;RENDIMIENTO_TRES
73.57;45.94;8;52.77;52.57;453.56;54.54;25.294117647058822;17.5;30.0;30.0;4;3;35.0;20.0;25.0;2;8;17.0;7.0;1;25.0;4;2;0.0;1;25.0;1.0
67.01;58.06;4;54.77;56.08;453.34;52.45;37.35294117647059;40.0;20.0;40.0;7;0;45.0;35.0;40.0;1;8;17.0;16.0;1;30.0;1;1;0.0;1;40.0;2.0
70.11;77.14;5;58.93;56.08;472.6;54.54;34.05555555555556;30.0;45.0;35.0;9;0;35.0;35.0;40.0;1;9;18.0;18.0;1;30.0;0;1;33.0;1;30.718749999375;2.0
53.95;72.32;6;61.56;62.42;477.24;65.96;35.47222222222222;30.0;45.0;35.0;8;2;40.0;27.5;40.0;2;9;18.0;15.0;1;39.0;1;2;43.0;1;36.47222222222222;2.0
67.01;45.94;6;44.68;47.38;426.06;54.54;36.75;30.0;45.0;40.0;9;1;40.0;32.5;40.0;2;9;18.0;18.0;1;40.0;0;1;39.0;1;35.02777777777778;2.0
67.77;62.81;10;53.71;49.26;461.46;57.14;34.11764705882353;30.0;45.0;35.0;7;1;30.0;35.0;15.0;1;8;17.0;16.0;1;45.0;1;1;0.0;1;45.0;3.0
67.13;39.05;6;57.16;52.83;454.46;52.45;27.444444445333332;21.66666667;30.0;35.0;4;3;30.0;20.0;25.0;3;7;15.0;7.0;1;0.0;3;3;0.0;0;19.0;1.0
73.57;44.71;8;58.93;59.89;461.09;46.1;33.388888888888886;30.0;40.0;30.0;9;0;35.0;30.0;35.0;1;9;18.0;18.0;1;32.0;0;1;47.0;1;38.5;2.0
64.16;62.69;11;46.76;59.89;459.64;52.45;35.15625;25.0;40.0;45.0;6;2;40.0;35.0;35.0;1;8;16.0;11.0;1;0.0;2;2;27.5;0;25.818181817272727;1.0
56.43;53.32;4;49.05;54.59;460.74;54.54;26.91176470588235;27.5;35.0;30.0;4;3;30.0;27.5;15.0;2;8;17.0;7.0;1;15.0;4;2;0.0;1;15.0;1.0
82.69;61.22;16;55.09;45.83;451.95;54.54;19.11764705882353;15.0;25.0;15.0;2;0;30.0;20.0;15.0;1;8;17.0;3.0;1;15.0;6;1;0.0;1;15.0;1.0
67.01;50.86;1;50.78;64.33;433.58;48.26;31.470588235294116;30.0;45.0;40.0;6;2;30.0;30.0;25.0;1;8;17.0;14.0;1;20.0;2;2;0.0;1;25.7;1.0
61.26;83.41;12;64.97;56.05;466.96;60.56;35.72222222222222;30.0;45.0;35.0;9;0;40.0;35.0;30.0;1;9;18.0;18.0;1;36.0;0;1;41.0;1;34.083333333333336;2.0
82.45;43.48;3;56.82;57.93;476.22;63.4;33.23529411764706;30.0;50.0;40.0;7;0;35.0;35.0;30.0;1;8;17.0;15.0;1;15.0;1;1;0.0;1;17.75;1.0
58.94;77.14;8;53.07;58.28;465.49;52.45;34.166666666666664;25.0;40.0;35.0;8;2;40.0;30.0;45.0;2;9;18.0;14.0;1;38.0;1;2;39.0;1;31.916666666666668;2.0
56.59;53.32;11;46.34;50.94;408.58;58.52;32.15686274588235;26.66666667;35.0;25.0;5;4;35.0;35.0;25.0;2;8;17.0;9.0;1;50.0;3;3;0.0;1;35.0;2.0
70.26;65.1;20;61.56;64.8;476.62;65.94;36.388888888888886;25.0;40.0;45.0;7;2;40.0;45.0;25.0;1;9;18.0;13.0;1;33.0;2;2;34.0;1;24.99999999923077;1.0
55.73;45.31;20;58.72;50.18;450.64;59.42;34.90196078352942;28.33333333;45.0;35.0;7;1;40.0;35.0;40.0;1;8;17.0;13.0;1;30.0;1;3;0.0;1;37.8;2.0
41.23;56.48;10;37.73;54.3;369.34;52.54;30.88235294117647;22.5;40.0;22.5;6;3;40.0;32.5;50.0;2;8;17.0;10.0;1;30.0;2;2;0.0;1;50.0;4.0
73.57;65.1;1;46.76;47.38;425.79;52.45;41.611111111111114;35.0;50.0;45.0;9;0;40.0;40.0;50.0;1;9;18.0;18.0;1;45.0;0;1;44.0;1;37.27777777777778;2.0
64.24;50.86;9;55.09;56.4;460.46;50.37;19.41176470588235;15.0;45.0;15.0;2;5;20.0;20.0;15.0;2;8;17.0;2.0;1;15.0;6;2;0.0;1;15.0;1.0
58.94;72.32;11;59.3;62.42;490.16;61.03;36.470588235294116;35.0;35.0;50.0;6;0;40.0;35.0;15.0;1;8;17.0;15.0;1;35.0;2;1;0.0;1;50.0;4.0
64.24;42.76;11;55.09;62.42;464.25;46.1;38.5;35.0;40.0;40.0;9;0;40.0;35.0;40.0;1;9;18.0;18.0;1;39.0;0;1;50.0;1;36.77777777777778;2.0
64.24;43.48;8;57.16;52.83;463.92;61.03;34.72222222222222;30.0;40.0;30.0;9;2;40.0;35.0;40.0;1;9;18.0;18.0;1;37.0;0;3;41.0;1;32.583333333333336;2.0
55.73;50.67;0;69.14;63.23;477.42;66.67;28.02777777777778;22.5;22.5;30.0;4;7;25.0;27.5;30.0;2;9;18.0;7.0;2;33.0;5;2;46.0;1;27.916666666666668;1.0
64.16;53.32;4;52.77;59.89;463.6;48.26;42.166666666666664;35.0;50.0;50.0;9;0;40.0;40.0;50.0;1;9;18.0;18.0;1;45.0;0;1;44.0;1;39.05555555555556;2.0
58.15;41.7;11;59.24;57.31;450.52;49.43;23.725490195294118;22.5;35.0;30.0;3;5;27.5;23.33333333;23.33333333;3;8;17.0;5.0;1;0.0;5;2;0.0;1;10.33333333;1.0
70.11;45.94;5;46.76;56.08;444.47;52.45;31.944444444444443;27.5;45.0;30.0;7;1;45.0;30.0;50.0;1;9;18.0;12.0;1;15.0;2;2;35.0;1;26.0;1.0
64.24;48.4;18;53.07;56.4;447.62;56.64;37.833333333333336;35.0;45.0;40.0;9;0;40.0;35.0;50.0;1;9;18.0;18.0;1;30.0;0;1;41.0;1;36.138888888888886;2.0
60.49;67.6;10;53.95;54.01;448.33;57.32;29.0;25.0;25.0;25.0;3;6;30.0;27.5;25.0;2;9;18.0;5.0;2;41.0;6;2;45.0;1;30.555555555555557;2.0
64.24;49.63;20;63.98;60.27;455.89;52.54;25.686274510588234;21.66666667;27.5;27.5;3;4;30.0;30.0;25.0;1;8;17.0;6.0;2;15.0;5;3;0.0;1;10.25;1.0
52.15;52.09;20;64.99;55.57;472.71;62.97;39.72222222222222;30.0;45.0;45.0;9;1;45.0;40.0;50.0;1;9;18.0;18.0;1;36.0;0;2;43.0;1;40.55555555555556;3.0
65.25;55.64;12;55.53;57.31;452.1;57.14;32.0;27.5;45.0;40.0;7;1;30.0;30.0;40.0;1;9;18.0;12.0;1;15.0;2;2;41.0;1;33.638888888888886;2.0
75.27;62.69;20;65.0;57.44;479.35;55.25;32.35294117647059;30.0;30.0;35.0;7;0;40.0;35.0;40.0;1;8;17.0;15.0;1;15.0;1;1;0.0;1;15.0;1.0
61.49;59.64;7;54.77;62.0;478.63;54.54;37.94444444444444;25.0;45.0;40.0;8;1;45.0;35.0;50.0;1;9;18.0;14.0;1;39.0;1;2;50.0;1;37.94444444444444;2.0
70.26;59.64;0;49.05;54.59;459.49;52.45;31.764705882352942;22.5;45.0;35.0;6;1;40.0;35.0;45.0;1;8;17.0;11.0;1;15.0;2;4;0.0;1;35.7;2.0
67.13;72.32;16;51.06;60.27;447.77;54.54;36.55555555555556;25.0;45.0;35.0;8;1;45.0;35.0;50.0;1;9;18.0;14.0;1;37.0;1;2;44.0;1;33.888888888888886;2.0
61.49;45.94;0;63.55;56.08;470.68;54.54;33.0;25.0;45.0;30.0;6;1;35.0;35.0;40.0;1;7;15.0;11.0;1;0.0;1;2;0.0;0;14.5;1.0
67.13;54.9;7;53.07;54.59;458.2;52.45;35.833333333333336;27.5;45.0;40.0;7;1;45.0;35.0;50.0;1;9;18.0;12.0;1;15.0;2;2;50.0;1;38.333333333333336;2.0
67.01;74.73;20;61.16;62.0;453.69;58.8;38.0;30.0;50.0;35.0;9;0;40.0;40.0;50.0;1;9;18.0;18.0;1;38.0;0;1;43.0;1;35.50000000055556;2.0
38.23;49.63;8;52.77;50.85;405.78;56.64;27.04705882352941;20.2;45.0;23.0;5;3;35.0;30.0;30.0;1;8;17.0;8.0;1;15.0;3;5;0.0;1;20.791666666666668;1.0
70.26;53.32;16;51.06;54.59;434.22;50.47;38.22222222222222;25.0;50.0;45.0;8;1;45.0;35.0;45.0;1;9;18.0;14.0;1;43.0;1;2;37.0;1;36.388888888888886;2.0
42.39;55.84;20;53.84;55.57;436.23;54.87;37.388888888888886;22.5;45.0;45.0;8;1;40.0;35.0;50.0;1;9;18.0;14.0;1;42.0;1;2;44.0;1;34.19444444444444;2.0
64.24;50.86;19;59.3;56.4;460.27;54.54;33.05555555466667;23.33333333;30.0;40.0;6;2;35.0;35.0;40.0;1;7;15.0;11.0;1;0.0;1;3;0.0;0;10.82;1.0
67.01;54.9;10;63.55;57.93;440.11;50.37;34.666666666666664;27.5;45.0;45.0;7;1;40.0;30.0;50.0;1;9;18.0;12.0;1;15.0;2;2;44.0;1;34.888888888888886;2.0
61.53;83.41;1;61.56;60.27;452.24;56.64;39.27777777777778;30.0;50.0;45.0;9;0;40.0;35.0;50.0;1;9;18.0;18.0;1;42.0;0;1;43.0;1;36.833333333333336;2.0
56.43;72.32;8;57.16;51.1;456.63;61.07;30.9313725482353;23.33333333;40.0;32.5;6;2;40.0;30.0;50.0;1;8;17.0;11.0;1;15.0;2;3;0.0;1;31.6;2.0
73.57;65.1;11;50.78;45.59;421.61;52.45;39.94444444444444;30.0;45.0;45.0;9;0;40.0;40.0;50.0;1;9;18.0;18.0;1;45.0;0;1;39.0;1;34.666666666666664;2.0
53.42;62.81;20;53.71;52.46;459.6;59.11;16.470588235294116;15.0;20.0;20.0;0;0;15.0;15.0;15.0;1;8;17.0;0.0;1;15.0;8;1;0.0;1;15.0;1.0
53.95;54.9;7;55.09;51.1;433.66;65.94;30.63888888888889;22.5;45.0;27.5;5;4;22.5;35.0;35.0;1;9;18.0;8.0;1;40.0;4;2;44.0;1;37.94444444444444;2.0
70.11;59.64;8;54.77;49.12;423.65;52.45;30.58823529411765;22.5;40.0;40.0;6;1;35.0;30.0;40.0;1;8;17.0;11.0;1;15.0;2;2;0.0;1;35.0;2.0
70.11;45.94;8;56.82;54.3;439.3;48.26;32.05882352941177;22.5;45.0;35.0;6;1;40.0;35.0;45.0;1;8;17.0;11.0;1;15.0;2;2;0.0;1;31.75;2.0
73.57;59.64;9;48.79;52.57;417.37;52.45;25.0;15.0;45.0;35.0;4;3;20.0;20.0;45.0;2;8;17.0;6.0;1;15.0;4;2;0.0;1;15.0;1.0
70.5;41.6;9;55.49;50.66;418.18;51.1;33.44444444533333;21.66666667;45.0;40.0;6;1;35.0;30.0;45.0;1;7;15.0;11.0;1;0.0;1;3;0.0;0;21.818181818181817;1.0
67.01;54.9;16;50.78;64.33;429.49;58.8;35.294117647058826;27.5;50.0;45.0;6;1;35.0;35.0;50.0;1;8;17.0;11.0;1;15.0;2;2;0.0;1;33.02777777777778;2.0
58.94;58.06;7;63.98;62.42;462.6;48.37;37.77777777866666;26.66666667;50.0;40.0;6;1;45.0;35.0;50.0;1;7;15.0;11.0;1;0.0;1;3;0.0;0;29.499999999285713;1.0
64.16;67.51;3;58.93;62.0;469.92;65.94;39.5;30.0;45.0;40.0;9;0;40.0;45.0;50.0;1;9;18.0;18.0;1;40.0;0;1;36.0;1;32.166666666666664;2.0
76.47;55.64;14;51.89;52.46;455.39;59.11;33.888888888888886;30.0;35.0;40.0;8;1;25.0;30.0;45.0;1;9;18.0;16.0;1;35.0;1;1;50.0;1;34.416666666666664;2.0
64.24;47.17;6;55.09;58.28;471.27;50.37;26.5052083325;25.33333333;30.0;35.0;4;3;30.0;19.75;30.0;4;8;16.0;7.0;1;0.0;4;3;16.0;0;10.2;1.0
63.87;83.41;20;60.01;66.18;454.93;56.79;36.833333333333336;30.0;35.0;45.0;9;0;40.0;35.0;45.0;1;9;18.0;18.0;1;34.0;0;1;40.0;1;34.111111111111114;2.0
64.16;54.9;22;58.93;57.93;468.1;56.64;26.397058823529413;22.5;35.0;22.0;4;3;30.0;23.25;30.0;4;8;17.0;5.0;1;29.0;4;4;0.0;1;17.6;1.0
67.01;67.51;4;50.78;57.93;428.1;46.1;38.333333333333336;27.5;35.0;45.0;8;1;40.0;40.0;45.0;1;9;18.0;14.0;1;38.0;1;2;44.0;1;39.611111111111114;2.0
48.67;56.01;20;51.63;48.36;452.2;85.46;30.6;17.25;35.0;40.0;6;1;30.0;30.0;45.0;1;7;15.0;11.0;1;0.0;1;4;0.0;0;34.0;2.0
64.16;53.32;20;48.79;54.3;424.17;54.54;38.5;30.0;35.0;45.0;9;0;40.0;40.0;45.0;1;9;18.0;18.0;1;42.0;0;1;34.0;1;39.22222222222222;2.0
62.48;43.48;6;53.65;55.55;455.52;58.49;36.0;27.5;40.0;40.0;6;1;40.0;35.0;45.0;1;7;15.0;11.0;1;0.0;1;2;0.0;0;18.727272727272727;1.0
61.49;79.55;10;61.16;56.08;432.24;52.54;35.05555555555556;27.5;35.0;40.0;8;1;35.0;30.0;45.0;1;9;18.0;14.0;1;40.0;1;2;41.0;1;36.69444444444444;2.0
58.13;42.2;20;51.92;50.66;435.11;57.32;27.133333333333333;24.25;35.0;27.5;3;4;25.0;27.5;30.0;2;7;15.0;3.0;1;0.0;4;4;0.0;0;8.727272727272727;1.0
61.53;69.92;11;47.0;52.83;437.89;54.54;16.956666666666667;6.6;35.0;30.0;3;4;10.6;9.0;40.0;5;7;15.0;5.0;1;0.0;4;5;0.0;0;5.5;1.0
68.11;79.55;1;53.46;50.44;461.68;60.74;42.666666666666664;35.0;40.0;50.0;9;0;40.0;45.0;45.0;1;9;18.0;18.0;1;44.0;0;1;50.0;1;43.333333333333336;3.0
85.28;62.69;8;43.37;47.22;441.16;59.48;33.8125;35.0;35.0;50.0;5;2;27.5;35.0;35.0;1;8;16.0;12.0;1;0.0;3;1;21.0;0;24.857142857142858;1.0
59.93;54.64;16;55.46;45.33;440.47;60.51;31.805555555555557;22.0;20.5;40.0;6;3;30.0;24.0;45.0;3;9;18.0;10.0;2;38.0;3;5;46.0;1;36.166666666666664;2.0
59.86;74.73;18;57.69;57.48;477.11;69.87;39.888888888888886;35.0;35.0;40.0;9;0;45.0;40.0;45.0;1;9;18.0;18.0;1;43.0;0;1;47.0;1;39.833333333333336;2.0
62.56;62.69;20;53.46;53.91;441.96;60.51;35.25;30.0;40.0;40.0;9;1;40.0;30.0;40.0;1;9;18.0;18.0;1;35.0;0;1;34.5;1;33.666666666666664;2.0
