NUMERO;PROMEDIO_CINCO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NOTA_GRAFOS;PROMEDIO_OCHO;NCC_OCHO;NOTA_LOG_UNO;NOTA_CALIDAD_DOS;NOTA_LENGUA_DOS;PROMEDIO_NUEVE;CAR_NUEVE;NCC_NUEVE;NCA_NUEVE;NCP_NUEVE;NAC_NUEVE;NAA_NUEVE;NAP_NUEVE;EPA_NUEVE;NOTA_GRADO_UNO;VECES_GRADO_UNO;CREDITOS_GRADO_UNO;NOTA_LOG_DOS;VECES_LOG_DOS;CREDITOS_LOG_DOS;NOTA_DECISION;VECES_DECISION;CREDITOS_DECISION;NOTA_PRODUCCION;VECES_PRODUCCION;CREDITOS_PRODUCCION;NOTA_FINANZAS;VECES_FINANZAS;CREDITOS_FINANZAS;NOTA_GIT;VECES_GIT;CREDITOS_GIT;NOTA_GTH;VECES_GTH;CREDITOS_GTH;NOTA_HISTORIA;VECES_HISTORIA;CREDITOS_HISTORIA;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
1439;36.11764705882353;32.30769230769231;35.0;38.42857142857143;39.0;31.5;10;35.0;37.0;34.0;37.5;0;4;4;0;2;2;0;2;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;38.0;1;2;0.0;0;2;37.0;1;2;2;38.0
1444;39.53846153846154;39.6;43.0;40.18181818181818;42.0;42.5;10;43.0;49.0;38.0;37.46666666666667;0;15;15;0;7;7;0;2;0.0;0;1;37.0;1;2;30.0;1;2;38.0;1;3;30.0;1;2;39.0;1;2;41.0;1;2;47.0;1;2;2;37.28571428571428
1446;36.58823529411764;33.05882352941177;23.0;36.46666666666667;34.0;36.2;10;43.0;43.0;32.0;32.26666666666667;2;15;8;7;7;4;3;1;0.0;0;1;30.0;1;2;23.0;2;2;27.0;1;3;29.5;2;2;42.0;1;2;37.0;1;2;40.0;1;2;2;37.0
1448;35.29411764705883;34.88235294117647;35.0;35.5;34.0;36.2;10;30.0;35.0;47.0;39.33333333333334;0;6;6;0;3;3;0;2;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;40.0;1;2;0.0;0;2;35.0;1;2;43.0;1;2;2;35.0
1451;37.75;32.2;25.0;37.2;0.0;38.6;5;0.0;37.0;39.0;41.5;0;4;4;0;2;2;0;2;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;2;36.0;1;2;47.0;1;2;3;44.0
1455;38.94117647058823;38.8235294117647;32.0;41.4;43.0;40.66666666666666;12;39.0;45.0;0.0;35.33333333333334;0;15;15;0;7;7;0;2;0.0;0;1;36.0;1;2;30.0;1;2;36.0;1;3;30.0;1;2;40.0;1;2;40.0;1;2;35.0;1;2;2;38.78571428571428
1456;37.3235294117647;37.41176470588236;28.5;38.88888888888889;31.0;38.0;10;37.0;46.0;45.0;38.53333333333333;0;15;15;0;7;7;0;2;0.0;0;1;33.0;1;2;33.0;1;2;34.0;1;3;48.0;1;2;40.0;1;2;39.0;1;2;45.0;1;2;3;40.4
1457;39.05882352941177;35.8235294117647;33.0;38.53333333333333;42.0;40.85714285714285;14;42.0;42.0;37.0;35.0;1;13;13;0;6;6;0;2;0.0;0;1;36.0;1;2;31.0;1;2;31.0;2;3;40.0;1;2;37.0;1;2;0.0;0;2;37.0;1;2;2;31.42857142857143
1459;40.29411764705883;38.47058823529412;38.0;39.76923076923077;42.0;36.35714285714285;14;34.0;43.0;40.0;40.0;0;4;4;0;2;2;0;2;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;0.0;0;2;0.0;0;2;43.0;1;2;37.0;1;2;2;36.0
1467;36.35294117647059;35.0;27.5;38.83333333333334;42.0;40.0;8;39.0;0.0;37.0;36.0;0;2;2;0;1;1;0;2;0.0;0;1;0.0;0;2;0.0;0;2;0.0;0;3;36.0;1;2;0.0;0;2;0.0;0;2;0.0;0;2;4;50.0
