NOTA_ASD;NOTA_CEM;NOTA_IO_UNO;NOTA_INSE;NOTA_IYM;NOTA_EE_UNO;NOTA_GENH;VECES_CEM;NOTA_EL_DOS;VECES_IYM;VECES_INSE;PROMEDIO_CUATRO;NOTA_MPI;VECES_EE_UNO;VECES_ASD;NAA_CUATRO;NOTA_GEE;NOTA_ME;NCC_CUATRO;NOTA_PYE;NCA_CUATRO;NOTA_CIR_TRES;NOTA_ELD;VECES_GENH;NCP_CUATRO;VECES_EL_DOS;VECES_IO_UNO;VECES_ME;CAR_CUATRO;NAP_CUATRO;NAC_CUATRO;EPA_CUATRO;VECES_PYE;CREDITOS_ASD;CREDITOS_IYM;CREDITOS_IO_UNO;CREDITOS_INSE;CREDITOS_GENH;CREDITOS_EE_UNO;CREDITOS_CEM;RENDIMIENTO_CINCO;PROMEDIO_CINCO
32;30;36;34;45;44;32;4;32;1;1;32.76470588235294;35;1;1;7;30;30;17.0;40;17.0;34;31;1;0.0;2;1;3;4;0;7;2;1;2;3;2;2;2;3;3;2.0;36.76470588235294
0;29;37;33;32;0;33;3;34;1;1;28.933333333333334;35;0;0;5;31;31;15.0;34;12.0;0;13;1;3.0;1;1;1;1;1;6;1;1;2;3;2;2;2;3;3;2.0;32.416666666666664
40;30;38;37;39;40;32;3;34;1;1;37.529411764705884;40;1;1;7;33;37;17.0;40;17.0;44;37;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;36.529411764705884
44;33;35;41;47;50;34;2;34;1;1;37.8235294117647;40;1;1;7;30;35;17.0;35;17.0;44;46;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;41.05882352941177
36;30;42;38;42;40;36;3;30;1;1;35.23529411764706;40;1;1;7;31;34;17.0;33;17.0;35;43;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;37.64705882352941
34;32;39;40;34;40;35;1;31;1;1;36.11764705882353;35;1;1;7;31;35;17.0;34;17.0;42;44;1;0.0;2;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;36.11764705882353
35;40;37;44;48;50;50;1;30;1;1;40.76470588235294;40;1;1;7;50;40;17.0;40;17.0;44;45;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;43.88235294117647
40;30;32;43;46;40;50;1;35;1;1;41.588235294117645;35;1;1;7;50;50;17.0;40;17.0;41;40;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;39.88235294117647
43;30;42;45;45;50;50;1;30;1;1;39.411764705882355;40;1;1;7;50;45;17.0;30;17.0;35;45;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;43.23529411764706
39;32;41;36;50;50;50;2;30;1;1;36.294117647058826;35;1;1;7;50;34;17.0;35;17.0;34;39;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;3.0;42.8235294117647
45;30;35;39;43;50;30;1;30;1;1;36.294117647058826;40;1;1;7;30;35;17.0;40;17.0;41;40;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;39.23529411764706
43;31;41;38;41;39;31;1;36;1;1;37.529411764705884;30;1;1;7;37;35;17.0;40;17.0;47;39;1;0.0;2;1;1;2;0;7;2;1;2;3;2;2;2;3;3;2.0;37.588235294117645
45;35;35;40;40;37;50;1;30;1;1;35.88235294117647;40;1;1;7;35;35;17.0;30;17.0;35;45;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;39.76470588235294
39;30;43;43;43;44;41;2;34;1;1;39.294117647058826;35;1;1;7;32;42;17.0;45;17.0;45;42;1;0.0;1;1;1;1;0;7;2;2;2;3;2;2;2;3;3;3.0;40.1764705882353
37;42;34;34;38;43;34;3;38;1;1;34.1764705882353;40;1;2;7;30;31;17.0;38;17.0;34;30;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;38.05882352941177
43;30;33;37;45;40;31;2;35;1;1;37.76470588235294;40;1;1;7;32;30;17.0;40;17.0;44;45;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;37.23529411764706
45;35;45;40;40;0;50;1;30;1;1;37.35294117647059;40;0;1;7;35;40;17.0;35;17.0;35;45;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;41.785714285714285
0;41;0;0;41;40;30;2;31;2;0;35.333333333333336;35;1;0;5;30;0;12.0;36;12.0;0;43;1;0.0;1;0;0;2;0;5;2;2;2;3;2;2;2;3;3;2.0;38.72727272727273
36;30;32;36;30;41;50;1;33;1;1;34.588235294117645;35;1;1;7;30;35;17.0;30;17.0;46;34;1;0.0;1;1;1;2;0;7;2;1;2;3;2;2;2;3;3;2.0;35.94117647058823
0;15;0;0;0;0;0;1;0;0;0;35.0;35;0;0;1;0;0;2.0;0;2.0;0;0;0;0.0;0;0;0;0;0;1;2;0;2;3;2;2;2;3;3;1.0;15.0
40;35;40;43;46;40;50;1;35;1;1;36.05882352941177;40;1;1;7;35;35;17.0;40;17.0;34;35;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;41.705882352941174
37;36;35;40;39;39;33;4;33;1;1;36.588235294117645;40;1;1;7;50;30;17.0;35;17.0;39;35;1;0.0;3;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;37.1764705882353
32;30;0;33;0;0;38;3;37;0;1;33.76470588235294;30;0;2;7;30;32;17.0;30;17.0;32;41;3;0.0;2;0;1;3;0;7;2;2;2;3;2;2;2;3;3;2.0;32.888888888888886
34;30;35;33;44;43;50;1;38;2;3;37.23529411764706;45;1;1;7;30;40;17.0;30;17.0;42;35;1;0.0;4;1;1;2;0;7;2;1;2;3;2;2;2;3;3;2.0;38.529411764705884
0;0;0;0;0;35;0;0;21;0;0;26.0;30;1;0;2;0;0;10.0;31;4.0;0;25;0;6.0;2;0;0;1;2;4;1;1;2;3;2;2;2;3;3;2.0;35.0
0;0;0;0;0;40;0;0;0;0;0;33.857142857142854;35;1;0;3;0;0;7.0;34;7.0;0;33;0;0.0;0;0;0;0;0;3;2;1;2;3;2;2;2;3;3;2.0;40.0
39;33;32;35;36;46;30;3;41;3;1;34.529411764705884;36;1;1;7;32;33;17.0;30;17.0;32;35;1;0.0;3;1;1;2;0;7;2;1;2;3;2;2;2;3;3;2.0;36.294117647058826
32;30;32;38;43;50;50;1;35;1;1;37.470588235294116;40;1;1;7;50;30;17.0;35;17.0;30;44;1;0.0;2;1;1;2;0;7;2;1;2;3;2;2;2;3;3;2.0;39.588235294117645
0;13;0;0;0;30;0;2;0;0;0;29.7;30;1;0;3;0;32;10.0;21;8.0;0;33;0;2.0;0;0;2;3;1;4;1;2;2;3;2;2;2;3;3;1.0;21.5
0;2;0;0;0;0;0;1;0;0;0;29.0;38;0;0;1;0;23;5.0;0;2.0;0;0;0;3.0;0;0;2;1;1;2;1;0;2;3;2;2;2;3;3;1.0;2.0
10;4;0;0;26;44;0;1;34;1;0;28.636363636363637;30;1;1;3;0;20;11.0;0;8.0;0;31;0;3.0;1;0;2;1;1;4;1;0;2;3;2;2;2;3;3;1.0;22.0
40;36;39;40;40;41;33;1;44;1;1;39.23529411764706;40;1;1;7;43;35;17.0;40;17.0;38;36;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;38.529411764705884
0;0;0;45;0;0;0;0;37;0;1;32.88235294117647;30;0;0;6;25;32;17.0;31;15.0;33;38;0;2.0;2;0;2;2;1;7;2;1;2;3;2;2;2;3;3;3.0;45.0
33;34;30;36;40;37;33;2;37;1;1;35.0;40;1;1;7;32;30;17.0;35;17.0;30;40;1;0.0;2;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;35.11764705882353
44;32;43;35;47;43;37;1;39;1;1;37.11764705882353;34;1;1;7;34;33;17.0;34;17.0;50;37;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;3.0;40.23529411764706
30;30;31;41;44;49;39;2;42;1;1;38.294117647058826;40;1;1;7;39;35;17.0;46;17.0;40;30;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;38.294117647058826
42;32;35;37;44;39;31;1;34;1;1;38.8235294117647;35;1;1;7;33;34;17.0;41;17.0;47;48;1;0.0;1;1;1;2;0;7;2;1;2;3;2;2;2;3;3;2.0;37.35294117647059
0;0;32;0;0;0;0;0;27;0;2;29.705882352941178;30;0;0;5;24;30;17.0;35;12.0;30;32;0;5.0;3;3;1;4;2;7;1;1;2;3;2;2;2;3;3;1.0;16.0
43;32;44;35;47;43;36;1;42;1;1;40.294117647058826;40;1;1;7;36;40;17.0;38;17.0;50;37;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;3.0;40.11764705882353
38;35;39;39;37;41;38;2;36;1;1;36.470588235294116;35;1;1;7;34;35;17.0;35;17.0;50;33;1;0.0;1;1;1;2;0;7;2;1;2;3;2;2;2;3;3;2.0;38.05882352941177
35;30;40;35;30;35;30;1;30;1;1;32.94117647058823;35;1;1;7;30;30;17.0;34;17.0;40;34;1;0.0;2;2;1;2;0;7;2;1;2;3;2;2;2;3;3;2.0;33.23529411764706
43;35;36;35;46;50;32;4;31;1;1;38.76470588235294;40;1;1;7;30;34;17.0;43;17.0;47;48;1;0.0;1;1;1;2;0;7;2;1;2;3;2;2;2;3;3;3.0;40.294117647058826
46;33;39;38;47;47;38;1;32;1;1;35.88235294117647;35;1;1;7;33;35;17.0;35;17.0;34;45;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;41.35294117647059
40;30;47;38;50;50;37;3;35;1;1;38.1764705882353;35;1;1;7;31;38;17.0;38;17.0;48;42;1;0.0;1;1;1;2;0;7;2;1;2;3;2;2;2;3;3;3.0;42.0
0;0;0;0;0;34;0;0;7;0;0;15.875;35;1;0;1;0;0;8.0;0;2.0;0;12;0;6.0;2;0;0;1;2;3;1;0;2;3;2;2;2;3;3;2.0;34.0
37;33;31;39;40;0;35;3;34;1;1;34.64705882352941;35;0;1;7;40;30;17.0;35;17.0;33;37;1;0.0;1;1;1;2;0;7;2;1;2;3;2;2;2;3;3;2.0;35.92857142857143
41;30;36;36;50;50;34;2;32;1;1;38.588235294117645;35;1;1;7;42;33;17.0;44;17.0;48;41;1;0.0;1;1;1;2;0;7;2;1;2;3;2;2;2;3;3;3.0;40.23529411764706
42;31;41;42;46;50;34;1;35;1;1;40.588235294117645;35;1;1;7;31;45;17.0;35;17.0;49;50;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;41.11764705882353
0;0;25;0;0;30;0;0;0;0;0;22.75;40;1;0;2;0;32;8.0;0;5.0;0;2;0;3.0;0;1;1;0;1;3;1;0;2;3;2;2;2;3;3;1.0;28.0
30;32;37;40;46;42;33;2;35;1;1;38.294117647058826;40;1;1;7;33;41;17.0;45;17.0;41;35;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;37.64705882352941
37;32;40;43;50;39;31;2;40;1;1;39.411764705882355;35;1;1;7;34;43;17.0;35;17.0;39;45;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;39.11764705882353
42;32;33;39;30;46;32;3;36;1;1;36.588235294117645;39;1;1;7;33;39;17.0;40;17.0;34;35;2;0.0;3;1;1;3;0;7;2;3;2;3;2;2;2;3;3;2.0;36.23529411764706
40;11;0;39;39;0;50;2;34;1;1;35.294117647058826;35;0;1;7;50;33;17.0;32;17.0;30;35;1;0.0;1;0;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;34.0
41;33;39;41;48;41;33;1;45;1;1;44.705882352941174;45;1;1;7;34;45;17.0;50;17.0;41;50;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;39.64705882352941
42;30;41;41;50;47;34;2;36;1;1;35.94117647058823;35;1;1;7;30;36;17.0;30;17.0;50;35;1;0.0;1;1;1;2;0;7;2;1;2;3;2;2;2;3;3;3.0;41.0
30;31;33;35;33;0;36;3;32;1;2;34.1764705882353;35;0;1;7;30;31;17.0;35;17.0;36;40;1;0.0;1;1;2;4;0;7;2;1;2;3;2;2;2;3;3;2.0;32.857142857142854
33;30;32;41;38;50;34;2;30;1;1;34.76470588235294;35;1;1;7;35;35;17.0;36;17.0;44;32;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;37.294117647058826
36;39;38;45;34;45;39;2;34;1;1;38.1764705882353;40;1;1;7;36;36;17.0;35;17.0;44;43;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;39.411764705882355
30;30;34;40;42;35;37;2;30;1;1;36.1764705882353;35;1;1;7;32;35;17.0;36;17.0;41;44;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;35.470588235294116
35;22;0;42;0;0;32;2;38;0;2;33.2;41;0;1;6;30;30;15.0;31;15.0;0;30;1;0.0;2;0;1;3;0;6;2;2;2;3;2;2;2;3;3;2.0;31.555555555555557
40;30;32;38;33;40;37;2;36;1;1;36.705882352941174;40;1;1;7;33;35;17.0;45;17.0;35;35;1;0.0;2;1;1;2;0;7;2;1;2;3;2;2;2;3;3;2.0;35.470588235294116
43;30;34;32;34;46;31;2;33;1;1;35.76470588235294;45;1;1;7;30;30;17.0;30;17.0;40;43;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;35.88235294117647
40;35;47;38;43;50;35;2;38;1;1;39.411764705882355;39;1;2;7;36;33;17.0;40;17.0;43;47;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;3.0;41.411764705882355
39;34;30;41;45;46;30;4;31;1;1;35.35294117647059;35;1;1;7;32;33;17.0;35;17.0;50;35;1;0.0;1;1;1;2;0;7;2;1;2;3;2;2;2;3;3;2.0;38.529411764705884
33;10;36;32;0;35;34;3;38;0;1;33.4;35;1;1;6;33;30;15.0;34;15.0;0;31;2;0.0;3;1;1;2;0;6;2;1;2;3;2;2;2;3;3;1.0;28.928571428571427
30;34;39;36;49;50;31;1;39;1;1;38.11764705882353;35;1;1;7;32;37;17.0;34;17.0;43;44;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;39.470588235294116
32;30;30;43;31;50;32;3;30;2;1;31.294117647058822;30;1;1;7;30;30;17.0;33;17.0;35;32;1;0.0;2;1;1;4;0;7;2;3;2;3;2;2;2;3;3;2.0;35.705882352941174
0;31;38;0;35;0;0;2;37;1;0;36.23076923076923;40;0;0;5;0;30;13.0;35;13.0;0;40;0;0.0;1;2;1;0;0;5;2;1;2;3;2;2;2;3;3;2.0;34.25
31;20;34;34;23;0;0;4;30;2;1;27.666666666666668;31;0;1;4;20;35;15.0;0;11.0;11;32;0;4.0;2;2;1;1;2;6;1;0;2;3;2;2;2;3;3;1.0;27.25
0;19;0;31;0;0;0;3;43;0;1;25.76923076923077;30;0;1;3;19;30;13.0;0;8.0;0;6;0;5.0;4;0;1;3;2;5;1;0;2;3;2;2;2;3;3;1.0;17.0
40;32;32;32;39;40;31;1;35;1;1;35.88235294117647;35;1;1;7;30;40;17.0;31;17.0;41;37;1;0.0;1;1;1;1;0;7;2;2;2;3;2;2;2;3;3;2.0;35.470588235294116
33;32;41;30;39;49;30;1;32;1;1;34.0;30;1;1;7;33;30;17.0;31;17.0;45;38;1;0.0;1;1;2;1;0;7;2;1;2;3;2;2;2;3;3;2.0;36.94117647058823
34;44;45;39;39;40;38;3;44;1;1;39.1764705882353;32;1;1;7;34;38;17.0;41;17.0;37;44;1;0.0;2;1;1;2;0;7;2;1;2;3;2;2;2;3;3;3.0;40.05882352941177
31;32;37;34;49;43;34;1;36;1;1;37.1764705882353;35;1;1;7;36;32;17.0;33;17.0;44;44;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;37.88235294117647
41;27;36;31;0;39;0;3;35;0;1;34.92307692307692;35;1;1;5;33;30;13.0;0;13.0;0;41;0;0.0;1;1;2;1;0;5;2;0;2;3;2;2;2;3;3;2.0;34.5
0;0;0;0;0;38;0;0;0;0;0;31.0;0;1;0;1;0;0;2.0;31;2.0;0;0;0;0.0;0;0;0;0;0;1;2;1;2;3;2;2;2;3;3;2.0;38.0
43;31;44;40;44;48;32;1;34;1;1;38.0;40;1;1;7;35;39;17.0;34;17.0;31;49;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;3.0;40.411764705882355
39;35;41;36;41;50;34;1;39;1;1;35.64705882352941;35;1;1;7;32;37;17.0;37;17.0;40;30;1;0.0;1;1;1;1;0;7;2;1;2;3;2;2;2;3;3;2.0;39.88235294117647
34;0;0;0;0;0;0;0;0;0;0;30.857142857142858;35;0;1;2;0;30;7.0;28;5.0;0;0;0;2.0;0;0;1;1;1;3;2;2;2;3;2;2;2;3;3;2.0;34.0
39;30;35;39;44;50;33;1;34;1;1;36.11764705882353;35;1;1;7;37;34;17.0;32;17.0;47;36;1;0.0;1;1;1;2;0;7;2;2;2;3;2;2;2;3;3;2.0;39.05882352941177
37;30;32;37;42;0;24;2;32;1;3;34.0;38;0;1;7;33;38;17.0;31;17.0;31;34;2;0.0;1;1;1;3;0;7;2;2;2;3;2;2;2;3;3;2.0;34.0
39;30;33;39;35;35;30;1;33;1;1;34.23529411764706;36;1;1;7;31;35;17.0;35;17.0;39;32;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;34.23529411764706
0;0;0;14;0;0;0;0;0;0;1;17.0;30;0;0;1;4;0;4.0;0;2.0;0;0;0;2.0;0;0;0;0;1;2;1;0;2;3;2;2;2;3;3;1.0;14.0
37;30;46;37;41;37;30;1;40;1;1;36.705882352941174;39;1;1;7;30;37;17.0;31;17.0;47;33;1;0.0;1;1;1;0;0;7;2;1;2;3;2;2;2;3;3;2.0;36.705882352941174
33;35;37;44;46;40;34;2;30;1;2;34.529411764705884;33;1;1;7;34;34;17.0;34;17.0;44;35;1;0.0;1;1;2;3;0;7;2;1;2;3;2;2;2;3;3;2.0;38.76470588235294
34;32;46;30;47;0;31;3;39;1;1;37.0;36;0;1;7;32;35;17.0;34;17.0;43;39;1;0.0;2;1;3;3;0;7;2;1;2;3;2;2;2;3;3;2.0;37.07142857142857
35;0;36;34;0;0;0;0;38;0;1;32.588235294117645;30;0;1;6;24;33;17.0;35;15.0;32;33;0;2.0;2;1;2;3;1;7;2;1;2;3;2;2;2;3;3;2.0;35.0
34;30;30;31;31;50;30;3;33;1;1;35.470588235294116;35;1;1;7;33;40;17.0;30;17.0;43;34;1;0.0;2;1;1;3;0;7;2;2;2;3;2;2;2;3;3;2.0;34.294117647058826
