RENDIMIENTO_TRES;IDIOMA_ICFES;PG_ICFES;FISICA_ICFES;ANO_INGRESO;APT_VERB_ICFES;QUIMICA_ICFES;FILOSOFIA_ICFES;GENERO;BIOLOGIA_ICFES;PROMEDIO_UNO;NOTA_POO;NOTA_INT;NOTA_FIS_DOS;NOTA_EYB;NOTA_DEM;NOTA_CIR_UNO;NOTA_HCI;VECES_INT;VECES_FIS_DOS;PROMEDIO_TRES
2.0;47.66;421.76;56.34;2009;53.3;42.03;60.49;0;63.27;35.0;35;30;40;45;45;35;40;1;2;32.5
2.0;39.54;396.86;54.12;2009;61.76;39.03;41.05;1;55.99;36.1764705882353;30;34;30;42;50;24;30;3;3;36.5
2.0;49.6;435.72;51.55;2009;57.14;55.66;44.92;0;55.53;39.11764705882353;50;30;30;50;50;30;50;1;1;38.333333333333336
2.0;43.48;410.59;54.31;2009;59.82;47.37;37.86;0;35.42;38.8235294117647;45;35;30;45;45;30;30;1;1;35.833333333333336
2.0;53.32;431.93;55.85;2009;52.97;57.36;48.98;0;51.94;40.0;45;30;35;45;50;30;50;1;1;35.833333333333336
2.0;73.83;421.23;52.53;2009;44.91;64.78;33.32;0;48.23;36.470588235294116;40;35;35;35;45;30;35;2;1;34.166666666666664
2.0;37.51;459.89;50.98;2009;54.87;59.25;51.65;0;50.07;39.705882352941174;30;40;30;50;45;30;40;1;1;36.666666666666664
2.0;43.48;426.29;54.91;2009;48.95;52.59;48.98;0;53.85;34.411764705882355;35;30;35;40;50;35;45;1;3;35.666666666666664
2.0;54.57;430.43;50.98;2009;58.76;55.57;44.33;1;51.94;37.94117647058823;50;30;35;40;50;35;45;1;1;32.5
2.0;49.65;447.68;55.85;2009;54.87;52.16;51.25;0;60.01;37.64705882352941;40;40;40;45;45;40;45;2;2;36.666666666666664
2.0;52.09;423.91;55.85;2009;62.97;63.57;39.26;0;50.07;38.529411764705884;30;30;30;50;40;30;35;1;1;31.333333333333332
2.0;55.84;422.94;54.91;2009;48.95;52.59;49.38;1;60.0;37.35294117647059;35;30;32;35;45;40;45;1;1;36.166666666666664
2.0;47.14;455.68;58.7;2009;62.72;52.03;50.84;0;66.69;41.76470588235294;50;40;35;35;50;35;45;1;1;37.5
2.0;58.45;451.59;47.54;2009;60.56;50.94;51.65;0;53.85;37.64705882352941;30;35;30;40;45;30;35;6;1;32.666666666666664
1.0;49.65;440.25;48.41;2009;60.8;47.13;41.86;0;57.84;31.666666666666668;15;0;15;15;15;0;15;0;2;15.0
2.0;51.56;470.29;61.03;2009;55.21;55.66;58.26;0;63.27;36.1764705882353;30;30;30;35;45;30;40;2;1;34.5
1.0;52.09;419.53;58.93;2009;61.76;48.97;50.76;0;55.99;36.0;35;16;30;40;45;15;35;6;2;30.0
1.0;42.2;434.04;54.91;2009;50.87;56.05;48.98;0;53.85;39.0;30;30;30;35;45;30;35;1;1;25.0
1.0;45.98;452.18;53.45;2009;56.79;61.3;41.86;0;51.94;34.0;30;30;32;30;45;31;30;4;7;29.0
2.0;62.69;465.69;51.73;2009;59.48;54.01;48.41;0;55.99;36.666666666666664;40;30;40;45;50;25;35;2;2;40.0
2.0;58.45;423.91;52.53;2009;56.57;56.05;47.08;1;48.23;37.64705882352941;40;35;35;50;45;30;30;1;1;37.5
2.0;57.13;418.44;54.91;2009;46.97;49.3;47.08;1;46.34;38.529411764705884;45;40;30;35;45;30;30;2;1;35.833333333333336
2.0;52.09;377.48;49.32;2009;47.14;50.66;43.59;0;38.26;37.0;35;33;35;35;45;30;40;2;3;34.2
2.0;47.66;465.0;58.68;2009;49.43;52.46;62.81;0;55.53;36.76470588235294;50;40;30;35;45;30;35;1;1;33.333333333333336
2.0;45.98;411.65;54.91;2009;46.97;44.28;44.33;0;55.8;36.333333333333336;50;30;30;30;50;35;45;3;1;30.8
1.0;65.86;420.9;54.91;2009;48.95;50.94;47.08;0;53.85;34.666666666666664;30;30;30;45;50;25;45;4;2;24.666666666666668
1.0;53.32;412.11;58.23;2009;56.79;52.16;39.26;0;55.79;33.666666666666664;15;0;20;15;40;0;25;0;4;20.0
2.0;54.57;433.97;50.09;2009;52.77;47.67;41.86;0;62.35;32.64705882352941;35;35;35;40;50;35;30;1;2;36.166666666666664
2.0;54.57;408.12;53.45;2009;51.08;47.13;42.25;0;40.23;35.294117647058826;30;30;30;30;50;30;35;2;1;34.166666666666664
1.0;44.74;416.94;53.45;2009;49.15;55.57;39.64;0;53.84;32.333333333333336;35;30;30;30;40;26;40;2;3;30.0
2.0;48.92;410.7;58.7;2009;56.52;50.18;48.67;0;60.55;32.05882352941177;45;30;35;35;35;36;45;2;3;31.833333333333332
2.0;58.45;438.41;55.85;2009;52.97;53.84;46.69;0;53.84;33.529411764705884;40;30;30;35;35;30;40;2;2;35.833333333333336
