CON_MAT_ICFES;QUIMICA_ICFES;PG_ICFES;FISICA_ICFES;IDIOMA_ICFES;BIOLOGIA_ICFES;GENERO;LOCALIDAD;LITERATURA_ICFES;PROMEDIO_UNO;NOTA_DIF;EPA_UNO;NOTA_PROGB;NOTA_FIS_UNO;NCP_UNO;NOTA_TEXTOS;NOTA_CFJC;NAP_UNO;PROMEDIO_DOS;NAA_DOS;NOTA_INT;VECES_INT;NCA_DOS;NOTA_FIS_DOS;CAR_DOS;PROMEDIO_TRES;NCA_TRES;NOTA_FIS_TRES;NOTA_EL_UNO;VECES_FIS_TRES;NOTA_DEM;PROMEDIO_CINCO;RENDIMIENTO_CINCO
78.22;55.7;477.41;58.93;69.48;58.09;0;18;61.76;35.416666666666664;30.0;2;40.0;35.0;0.0;0.0;40.0;0;33.529411764705884;5;25.0;2;14.0;35.0;2;33.611111111111114;18.0;30.0;35.0;1;45.0;31.233333333333334;2.0
75.91;63.23;489.84;73.07;52.42;62.46;0;16;66.67;36.25;40.0;2;30.0;35.0;0.0;0.0;40.0;0;34.411764705882355;6;40.0;1;17.0;35.0;1;30.970588235294116;14.0;30.0;25.0;1;0.0;32.43333333333333;2.0
81.5;61.18;530.42;58.93;71.53;67.71;1;20;70.06;39.166666666666664;40.0;2;35.0;40.0;0.0;0.0;40.0;0;34.85294117647059;6;40.0;1;17.0;35.0;1;33.970588235294116;14.0;40.0;22.5;1;0.0;37.666666666666664;2.0
60.49;54.01;470.95;61.41;65.86;62.54;0;15;66.94;32.916666666666664;30.0;2;35.0;30.0;0.0;0.0;35.0;0;31.764705882352942;6;30.0;1;17.0;35.0;0;31.11111111111111;12.0;27.5;30.0;2;45.0;40.8;3.0
81.5;63.27;514.21;81.3;79.55;58.09;0;20;66.94;37.916666666666664;40.0;2;30.0;40.0;0.0;0.0;40.0;0;38.529411764705884;6;35.0;1;17.0;35.0;0;33.23529411764706;17.0;35.0;30.0;1;0.0;41.266666666666666;3.0
60.49;55.7;479.19;64.0;48.43;55.99;0;9;64.21;31.25;30.0;2;30.0;30.0;0.0;0.0;40.0;0;33.82352941235294;6;31.66666667;3;17.0;40.0;1;29.02777777777778;12.0;30.0;20.0;1;45.0;13.5;1.0
81.5;47.22;454.65;56.51;67.6;55.99;1;20;53.22;34.166666666666664;30.0;2;35.0;35.0;0.0;0.0;40.0;0;32.205882352941174;5;27.5;2;14.0;35.0;1;32.205882352941174;14.0;35.0;22.5;1;0.0;36.733333333333334;2.0
72.55;59.25;478.74;64.0;71.53;58.09;0;20;53.22;35.416666666666664;30.0;2;40.0;35.0;0.0;0.0;40.0;0;36.1764705882353;6;30.0;1;17.0;35.0;0;35.138888888888886;18.0;30.0;35.0;1;45.0;41.333333333333336;3.0
72.55;54.01;450.22;66.74;53.32;53.95;0;11;57.32;35.416666666666664;35.0;2;35.0;35.0;0.0;0.0;35.0;0;32.35294117647059;6;35.0;1;17.0;30.0;0;31.61764705882353;14.0;30.0;30.0;2;0.0;40.93333333333333;3.0
67.54;52.34;447.85;72.97;69.48;62.54;0;11;55.25;35.0;30.0;2;35.0;40.0;0.0;0.0;35.0;0;32.64705882352941;6;30.0;2;17.0;35.0;2;34.94117647058823;17.0;30.0;30.0;1;0.0;35.93333333333333;2.0
67.54;59.25;454.59;64.0;50.87;53.95;0;11;53.22;35.208333333333336;30.0;2;40.0;32.5;0.0;0.0;40.0;0;34.705882352941174;6;30.0;1;17.0;30.0;2;35.55555555555556;18.0;35.0;35.0;1;45.0;27.766666666666666;1.0
60.49;61.18;485.28;61.41;71.53;67.71;0;11;64.21;33.333333333333336;27.5;2;40.0;30.0;4.0;0.0;35.0;1;33.529411764705884;6;30.0;1;17.0;35.0;1;38.05555555555556;18.0;30.0;35.0;1;45.0;42.46666666666667;3.0
67.54;39.03;470.9;76.74;52.09;55.99;0;11;55.25;33.333333333333336;30.0;2;40.0;30.0;0.0;0.0;35.0;0;30.441176470588236;4;30.0;1;11.0;35.0;2;22.867647058235292;5.0;21.0;30.0;3;0.0;1.0;1.0
75.27;55.7;461.1;58.93;43.48;53.95;0;11;57.32;35.0;30.0;2;45.0;30.0;0.0;0.0;40.0;0;28.235294117647058;4;27.5;2;11.0;30.0;2;29.72222222222222;12.0;30.0;30.0;1;45.0;37.333333333333336;2.0
67.54;68.28;497.25;69.69;111.94;70.81;0;11;61.76;38.75;40.0;2;40.0;35.0;0.0;0.0;40.0;0;34.411764705882355;6;30.0;1;17.0;35.0;1;35.294117647058826;17.0;35.0;30.0;1;0.0;39.8;2.0
72.55;59.25;499.7;64.0;64.23;62.54;0;10;66.94;35.0;30.0;2;40.0;35.0;0.0;0.0;35.0;0;33.970588235294116;5;30.0;2;14.0;35.0;2;32.638888888888886;18.0;35.0;30.0;1;45.0;37.06666666666667;2.0
72.55;54.01;472.03;64.0;88.67;58.09;1;10;64.21;40.416666666666664;35.0;2;50.0;35.0;0.0;0.0;40.0;0;34.85294117647059;5;27.5;2;14.0;35.0;2;34.705882352941174;17.0;30.0;30.0;2;0.0;41.13333333333333;3.0
89.86;63.27;520.07;58.93;64.23;65.0;0;9;64.21;35.833333333333336;35.0;2;40.0;30.0;0.0;0.0;40.0;0;34.11764705882353;6;35.0;1;17.0;35.0;1;33.77777777777778;18.0;35.0;30.0;1;40.0;42.86666666666667;3.0
69.99;52.34;482.55;56.51;71.53;60.25;0;10;59.48;36.666666666666664;30.0;2;50.0;30.0;0.0;0.0;40.0;0;35.294117647058826;6;30.0;1;17.0;35.0;0;38.333333333333336;18.0;35.0;40.0;1;45.0;43.53333333333333;3.0
65.16;59.25;460.6;58.93;69.48;53.95;0;10;64.21;36.666666666666664;30.0;2;50.0;30.0;0.0;0.0;40.0;0;34.411764705882355;6;35.0;1;17.0;35.0;1;34.411764705882355;17.0;30.0;30.0;1;0.0;37.06666666666667;2.0
72.55;52.34;472.66;54.12;83.41;62.54;0;20;59.48;33.333333333333336;27.5;2;35.0;35.0;4.0;0.0;40.0;1;31.764705882352942;6;35.0;1;17.0;30.0;0;33.38235294117647;14.0;35.0;30.0;1;0.0;43.333333333333336;3.0
75.27;59.25;466.5;61.41;88.67;51.92;1;9;59.48;40.833333333333336;45.0;2;40.0;35.0;0.0;0.0;40.0;0;31.764705882352942;6;30.0;1;17.0;30.0;0;35.55555555555556;18.0;30.0;45.0;1;45.0;38.03333333333333;2.0
67.54;55.7;451.26;64.0;69.48;58.09;1;20;59.48;37.5;40.0;2;40.0;30.0;0.0;0.0;40.0;0;33.529411764705884;6;30.0;1;17.0;35.0;1;29.166666666111112;12.0;25.0;23.33333333;3;40.0;36.03333333333333;2.0
55.71;63.27;496.04;64.0;71.53;62.54;0;9;59.48;35.833333333333336;35.0;2;35.0;35.0;0.0;0.0;40.0;0;31.058823529411764;5;30.0;1;15.0;30.0;1;28.529411764705884;5.0;25.0;25.0;2;0.0;36.2;2.0
60.49;47.22;458.0;64.0;61.22;58.09;0;10;64.21;33.333333333333336;30.0;2;40.0;30.0;0.0;0.0;35.0;0;32.64705882352941;4;22.5;2;11.0;30.0;2;32.35294117647059;17.0;30.0;35.0;1;0.0;37.53333333333333;2.0
58.13;61.18;457.32;66.74;73.83;53.95;0;13;59.48;32.083333333333336;25.0;2;35.0;35.0;4.0;0.0;40.0;1;36.3235294117647;6;30.0;1;17.0;35.0;1;31.61764705882353;11.0;27.5;25.0;2;0.0;37.53333333333333;2.0
69.99;48.97;469.54;58.93;67.6;60.25;0;5;57.32;38.75;40.0;2;45.0;30.0;0.0;0.0;40.0;0;33.38235294117647;5;30.0;3;14.0;27.5;2;30.0;9.0;27.5;22.5;2;45.0;15.285714285714286;1.0
67.54;61.18;475.1;58.93;79.55;55.99;0;7;64.21;17.727272727272727;15.0;1;15.0;25.0;11.0;0.0;15.0;4;15.0;0;0.0;0;0.0;0.0;0;15.0;0.0;0.0;0.0;0;0.0;15.0;1.0
65.16;52.34;451.32;66.74;58.45;55.99;0;7;53.22;37.916666666666664;35.0;2;40.0;40.0;0.0;0.0;35.0;0;31.764705882352942;5;25.0;2;14.0;30.0;1;34.44444444444444;18.0;30.0;40.0;1;45.0;32.43333333333333;2.0
72.55;54.01;472.69;66.74;40.88;60.25;0;20;51.21;37.5;32.5;2;40.0;40.0;0.0;0.0;40.0;0;35.88235294117647;6;30.0;1;17.0;30.0;0;31.764705882352942;17.0;30.0;30.0;1;0.0;33.5;2.0
72.55;48.97;476.82;58.93;71.53;62.54;1;4;61.76;38.75;35.0;2;45.0;35.0;0.0;0.0;45.0;0;34.705882352941174;6;30.0;1;17.0;30.0;0;35.833333333333336;18.0;30.0;35.0;1;50.0;40.93333333333333;3.0
69.99;54.01;475.78;66.74;54.57;62.54;0;7;55.25;35.416666666666664;35.0;2;40.0;30.0;0.0;0.0;40.0;0;28.088235294705882;4;22.5;2;11.0;35.0;3;26.555555555555557;3.0;27.5;22.5;2;45.0;33.07142857142857;2.0
78.22;59.25;457.21;56.51;69.48;58.09;0;8;51.21;29.583333333333332;27.5;1;30.0;30.0;4.0;0.0;35.0;1;32.94117647058823;6;30.0;1;17.0;35.0;0;31.470588235294116;14.0;25.0;30.0;3;0.0;39.733333333333334;2.0
75.87;53.9;468.28;58.17;51.96;48.51;1;7;65.33;37.916666666666664;27.5;2;40.0;45.0;4.0;0.0;40.0;1;33.529411764705884;5;25.0;2;14.0;35.0;1;34.26470588235294;17.0;30.0;40.0;1;0.0;37.6;2.0
81.5;65.59;482.79;56.51;73.83;60.25;0;16;57.32;42.916666666666664;45.0;2;45.0;40.0;0.0;0.0;40.0;0;33.529411764705884;6;30.0;1;17.0;35.0;0;36.388888888888886;18.0;30.0;45.0;1;45.0;29.583333333333332;1.0
62.82;41.37;389.1;46.84;57.13;43.37;0;9;49.19;33.333333333333336;30.0;2;35.0;35.0;0.0;0.0;35.0;0;30.147058823529413;4;27.5;2;11.0;35.0;2;30.58823529411765;17.0;30.0;30.0;1;0.0;36.2;2.0
69.99;57.44;455.29;61.41;65.86;58.09;1;19;49.19;41.666666666666664;40.0;2;50.0;35.0;0.0;0.0;40.0;0;33.6764705882353;6;32.5;2;17.0;35.0;2;33.611111111111114;18.0;40.0;30.0;1;40.0;38.5;2.0
67.54;65.59;473.44;61.41;88.67;60.25;0;5;59.48;37.916666666666664;35.0;2;40.0;40.0;0.0;0.0;40.0;0;39.411764705882355;6;35.0;1;17.0;40.0;0;39.411764705882355;17.0;35.0;40.0;1;0.0;33.733333333333334;2.0
62.82;54.01;470.68;61.41;57.13;53.95;0;20;57.32;35.833333333333336;27.5;2;40.0;40.0;4.0;0.0;40.0;1;32.35294117647059;4;27.5;2;11.0;40.0;2;32.970588235294116;17.0;30.0;35.0;1;0.0;38.0;2.0
62.82;52.34;446.87;58.93;55.84;55.99;0;11;53.22;34.583333333333336;30.0;2;40.0;30.0;0.0;0.0;40.0;0;32.64705882352941;5;30.0;1;14.0;35.0;3;31.805555555555557;15.0;27.5;30.0;2;40.0;37.857142857142854;2.0
