NOTA_STG;PROMEDIO_SEIS;NOTA_C_UNO;NOTA_FDS;PROMEDIO_OCHO;NOTA_ELECPOT;NOTA_INSIND;NOTA_SISDIN;NAP_OCHO;NOTA_INGECO;NOTA_TFM;NOTA_VARCOM;NOTA_TELEC_UNO;NAC_OCHO;NOTA_TELEMA_UNO;VECES_STG;CON_MAT_ICFES;NCA_OCHO;NCC_OCHO;PROMEDIO_SIETE;PROMEDIO_TRES;CAR_OCHO;NOTA_COMDIG;NOTAS_BDATOS;NCP_OCHO;NAA_OCHO;NOTA_BIOING_UNO;NCC_SIETE;EPA_OCHO;VECES_INSIND;VECES_BDATOS;VECES_TELEC_UNO;VECES_INGECO;VECES_C_UNO;VECES_BIOING_UNO;VECES_TELEMA_UNO;CREDITOS_STG;CREDITOS_BIOING_UNO;CREDITOS_C_UNO;CREDITOS_INGECO;CREDITOS_TELEC_UNO;CREDITOS_BDATOS;CREDITOS_TELEMA_UNO;CREDITOS_INSIND;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
43.0;35.07142857142857;22.5;35.0;33.94444444444444;35.0;32.5;30.0;1;33.0;44.0;30.0;35.0;8;36.0;1;81.5;15.0;18.0;35.333333333333336;33.970588235294116;2;35.0;40.0;3.0;7;40.0;12.0;2;2;1;1;1;2;1;1;1;2;3;2;3;2;2;3;3.0;44.11764705882353
49.0;27.5;35.0;27.5;42.388888888888886;23.5;41.0;30.0;0;43.0;49.0;30.0;46.0;8;42.0;1;60.49;18.0;18.0;32.541666666666664;31.11111111111111;0;45.0;41.0;0.0;8;48.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;44.529411764705884
45.0;31.357142857142858;30.0;45.0;38.388888888888886;41.0;37.0;25.0;0;43.0;50.0;30.0;35.0;8;40.0;1;81.5;18.0;18.0;35.0;33.23529411764706;0;34.0;43.0;0.0;8;44.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;42.92857142857143
47.0;33.285714285714285;30.0;23.5;38.111111111111114;34.0;33.0;40.0;0;42.0;47.0;35.0;42.0;8;38.0;1;81.5;18.0;18.0;35.25;32.205882352941174;0;38.0;33.0;0.0;8;49.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;43.8235294117647
45.0;29.107142857142858;32.0;25.0;40.388888888888886;33.0;39.0;30.0;0;46.0;45.0;35.0;41.0;8;30.0;1;72.55;18.0;18.0;31.666666666666668;35.138888888888886;1;37.0;50.0;0.0;8;47.0;12.0;2;1;1;1;1;2;1;1;1;2;3;2;3;2;2;3;3.0;42.8235294117647
43.0;40.57142857214286;35.0;30.0;38.55555555555556;35.0;31.0;27.5;0;43.0;44.0;40.0;41.0;8;35.0;1;72.55;18.0;18.0;32.583333333333336;31.61764705882353;1;37.0;46.0;0.0;8;41.0;12.0;2;2;1;1;1;1;1;1;1;2;3;2;3;2;2;3;2.0;37.88235294117647
38.0;36.142857142857146;30.5;31.0;36.416666666666664;24.33333333;31.0;27.5;0;34.0;48.0;32.5;39.0;8;33.0;1;67.54;18.0;18.0;30.916666665833333;34.94117647058823;1;37.0;44.0;0.0;8;47.0;12.0;2;1;1;1;1;2;1;1;1;2;3;2;3;2;2;3;3.0;42.05882352941177
45.0;25.089285714285715;16.66666667;30.0;32.33333333388889;32.0;30.0;30.0;1;31.0;44.0;35.0;37.0;8;43.0;1;67.54;15.0;18.0;27.708333333333332;35.55555555555556;1;15.5;31.0;3.0;7;38.0;12.0;2;1;1;1;1;3;1;1;1;2;3;2;3;2;2;3;3.0;41.3235294117647
47.0;31.071428571428573;40.0;30.0;44.333333333333336;48.0;45.0;35.0;0;47.0;42.0;35.0;40.0;8;43.0;1;60.49;18.0;18.0;40.25;38.05555555555556;0;43.0;50.0;0.0;8;48.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;42.588235294117645
45.0;31.5;25.5;19.5;38.361111111111114;39.0;34.0;30.0;1;46.0;44.0;25.0;41.0;8;40.0;1;75.27;15.0;18.0;33.666666666666664;29.72222222222222;1;42.0;47.0;3.0;7;39.0;12.0;2;1;1;1;1;2;1;1;1;2;3;2;3;2;2;3;3.0;43.142857142857146
49.0;41.714285714285715;32.0;35.0;38.166666666666664;33.0;33.0;25.0;0;42.0;44.0;40.0;35.0;8;39.0;1;67.54;18.0;18.0;35.25;35.294117647058826;0;38.0;44.0;0.0;8;44.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;42.23529411764706
45.0;27.928571427857143;39.0;35.0;40.666666666666664;39.0;41.0;35.0;1;43.0;47.0;40.0;45.0;8;27.0;1;72.55;16.0;18.0;37.0;32.638888888888886;1;39.0;40.0;2.0;7;46.0;12.0;2;1;1;1;1;1;1;2;1;2;3;2;3;2;2;3;3.0;44.357142857142854
48.0;31.785714285714285;32.0;33.0;41.72222222222222;39.0;42.0;40.0;0;43.0;44.0;30.0;47.0;8;39.0;1;72.55;18.0;18.0;36.416666666666664;34.705882352941174;1;38.0;50.0;0.0;8;38.0;12.0;2;1;1;1;1;2;1;1;1;2;3;2;3;2;2;3;3.0;43.470588235294116
44.0;35.57142857142857;40.0;50.0;44.666666666666664;43.0;47.0;35.0;0;50.0;48.0;40.0;39.0;8;42.0;1;89.86;18.0;18.0;41.75;33.77777777777778;0;44.0;50.0;0.0;8;49.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;3.0;42.857142857142854
48.0;40.357142857142854;40.0;50.0;44.388888888888886;50.0;43.0;35.0;0;43.0;49.0;50.0;42.0;8;46.0;1;69.99;18.0;18.0;42.5;38.333333333333336;0;40.0;50.0;0.0;8;49.0;12.0;2;1;1;1;1;1;1;1;1;2;3;2;3;2;2;3;4.0;45.357142857142854
