NOTA_HISTORIA_COL;NOTA_ESTADISTICA;NOTA_CIBERNETICA_UNO;NOTA_INV_OP_DOS;NOTA_REDES_COM_UNO;NOTA_GI_UNO;VECES_HISTORIA_COL;VECES_CIBERNETICA_UNO;NOTA_CIENCIAS_COMP_DOS;VECES_REDES_COM_UNO;VECES_GI_UNO;VECES_ESTADISTICA;NOTA_MOD_PROG_DOS;VECES_CIENCIAS_COMP_DOS;VECES_INV_OP_DOS;CAR_CINCO;NOTA_METODOS_NUM;VECES_FISICA_TRES;NOTA_MOD_PROG_UNO;NOTA_PROB;NAC_CINCO;NOTA_ARQ_COMP;NOTA_CIENCIAS_COMP_UNO;NOTA_FISICA_TRES;NCA_CINCO;NCC_CINCO;NOTA_INV_OP_UNO;VECES_MOD_PROG_DOS;VECES_INV_OP_UNO;NCP_CINCO;NAA_CINCO;EPA_CINCO;NAP_CINCO;VECES_PROB;CREDITOS_ESTADISTICA;CREDITOS_HISTORIA_COL;CREDITOS_GI_UNO;CREDITOS_CIENCIAS_COMP_DOS;CREDITOS_INV_OP_DOS;CREDITOS_CIBERNETICA_UNO;CREDITOS_REDES_COM_UNO;PROMEDIO_UNO;PROMEDIO_DOS;PROMEDIO_TRES;RENDIMIENTO_SEIS;PROMEDIO_SEIS
34.0;40.0;38.0;40.0;39.0;50;1;1;37.0;1;1;1;42.0;1;1;2;38.0;2;39.0;27.66666667;7;37.0;34.0;32.0;16.0;19.0;39.0;1;1;3.0;6;2;1;3;3;2;3;3;3;2;2;33.388888888888886;34.63157894736842;38.5;3.0;40.166666666666664
0.0;0.0;0.0;0.0;34.0;0;0;0;0.0;1;0;0;39.0;0;0;1;38.0;0;34.0;0.0;2;0.0;24.0;0.0;3.0;6.0;0.0;1;0;3.0;1;2;1;0;3;2;3;3;3;2;2;35.15625;31.25;25.818181817272727;2.0;34.0
46.0;35.0;47.0;38.0;42.0;45;1;1;40.0;1;1;1;41.0;1;1;2;35.0;1;37.0;46.0;7;45.0;31.5;41.0;16.0;19.0;29.5;1;2;3.0;6;2;1;1;3;2;3;3;3;2;2;35.72222222222222;37.10526315736842;34.083333333333336;3.0;41.333333333333336
37.0;36.0;33.0;45.0;41.0;47;1;1;38.0;1;1;1;44.0;1;1;1;40.0;2;37.0;33.0;7;39.0;34.0;23.5;16.0;19.0;33.0;1;1;3.0;6;2;1;1;3;2;3;3;3;2;2;34.166666666666664;32.86842105368421;31.916666666666668;2.0;40.0
30.0;44.0;49.0;40.0;43.0;50;1;1;39.0;1;1;1;48.0;1;1;0;40.0;1;43.0;39.0;7;42.0;34.0;33.0;19.0;19.0;39.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;41.611111111111114;38.526315789473685;37.27777777777778;3.0;42.388888888888886
33.0;42.0;41.0;43.0;43.0;50;1;1;38.0;1;1;1;49.0;1;1;0;45.0;1;44.0;40.0;7;41.0;35.0;33.0;19.0;19.0;38.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;38.5;38.31578947368421;36.77777777777778;3.0;41.833333333333336
31.0;30.0;47.0;44.0;39.0;45;1;1;47.0;1;1;1;42.0;1;1;2;42.0;2;19.0;28.5;7;39.0;38.0;18.0;13.0;19.0;31.0;1;1;6.0;5;2;2;2;3;2;3;3;3;2;2;34.72222222222222;35.63157894736842;32.583333333333336;3.0;40.666666666666664
42.0;0.0;10.33333333;0.0;42.0;0;1;3;15.0;1;0;0;47.0;2;0;1;27.0;0;47.0;20.33333333;4;0.0;38.0;0.0;8.0;11.0;0.0;1;0;3.0;3;2;1;3;3;2;3;3;3;2;2;28.02777777777778;36.333333333333336;27.916666666666668;1.0;25.96296296222222
32.0;45.0;49.0;43.0;48.0;50;1;1;40.0;1;1;1;50.0;1;1;0;45.0;1;47.0;37.0;7;39.0;38.0;34.0;19.0;19.0;43.0;1;1;0.0;7;2;0;1;3;2;3;3;3;2;2;42.166666666666664;41.21052631578947;39.05555555555556;3.0;44.0
34.0;31.5;31.0;46.0;34.0;50;1;2;37.0;2;1;2;45.0;1;1;2;35.0;1;41.0;25.5;7;41.0;32.0;31.0;16.0;19.0;36.0;1;1;3.0;6;2;1;2;3;2;3;3;3;2;2;37.833333333333336;34.86842105263158;36.138888888888886;2.0;38.416666666666664
