PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;IDIOMA_ICFES;RENDIMIENTO_UNO;PROMEDIO_UNO;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;LOCALIDAD;CAR_UNO;NCC_UNO;NAA_UNO;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS;PROMEDIO_TRES;RENDIMIENTO_TRES
463.31;72.55;51.73;59.25;64.23;2.0;33.13333333333333;14;53.95;18;1;15.0;6;25.0;35.0;30.0;40.0;40.0;35.0;41.0;2.0;30.46875;37.73333333333333;2.0
479.42;75.27;61.41;55.7;64.23;2.0;37.66666666666666;7;65.0;6;0;15.0;7;40.0;30.0;35.0;40.0;40.0;40.0;40.0;2.0;34.25;37.66666666666666;2.0
455.39;65.16;69.69;48.97;71.53;2.0;35.0;10;65.0;10;0;11.0;5;30.0;0.0;35.0;45.0;40.0;35.0;0.0;1.0;30.0;26.08333333333333;1.0
467.41;65.16;58.93;61.18;59.81;2.0;30.14444444444453;0;62.54;4;2;15.0;5;21.666666666667;30.0;27.5;35.0;40.0;40.0;34.0;1.0;27.53125;33.11538461538461;2.0
468.78;69.99;58.93;55.7;67.6;2.0;35.4;20;45.64;20;0;15.0;7;30.0;35.0;40.0;40.0;35.0;35.0;38.0;2.0;33.1875;33.46666666666667;2.0
482.52;75.27;61.41;54.01;57.13;2.0;31.53846153846154;21;55.99;20;0;13.0;6;30.0;30.0;30.0;40.0;30.0;40.0;0.0;1.0;29.375;26.818181818181817;1.0
456.98;72.55;56.51;57.44;0.0;1.0;26.11111111111111;0;58.09;20;0;9.0;2;20.0;0.0;25.0;40.0;0.0;40.0;0.0;1.0;25.0;0.0;0.0
462.28;65.16;64.0;55.7;57.13;2.0;35.13333333333333;20;53.95;20;0;15.0;7;30.0;40.0;35.0;40.0;30.0;40.0;41.0;2.0;36.875;37.06666666666667;2.0
482.52;65.16;61.41;59.25;59.81;2.0;37.0;13;60.25;13;0;15.0;7;30.0;40.0;35.0;40.0;40.0;40.0;45.0;2.0;35.46875;36.1;2.0
456.64;58.13;66.74;55.7;79.55;2.0;33.6;16;60.25;18;0;15.0;7;30.0;40.0;30.0;40.0;35.0;40.0;32.0;2.0;33.125;41.13333333333333;3.0
457.91;85.28;61.41;55.7;59.81;2.0;36.333333333333336;6;65.0;7;0;15.0;7;35.0;35.0;40.0;40.0;35.0;35.0;35.0;2.0;30.25;34.666666666666664;2.0
450.16;72.55;58.93;52.34;59.81;1.0;27.272727272727277;6;51.92;8;1;11.0;2;25.0;0.0;25.0;35.0;25.0;40.0;0.0;1.0;28.33333333333333;40.0;2.0
486.91;85.28;51.73;48.97;57.13;1.0;22.77777777777778;10;65.0;12;0;9.0;2;15.0;0.0;30.0;20.0;0.0;35.0;0.0;1.0;25.0;0.0;0.0
490.11;72.55;69.69;52.34;59.81;2.0;33.46666666666667;19;60.25;19;1;15.0;7;30.0;30.0;30.0;40.0;40.0;40.0;36.0;2.0;30.15625;32.00000000000007;2.0
