CON_MAT_ICFES;IDIOMA_ICFES;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;QUIMICA_ICFES;PG_ICFES;LITERATURA_ICFES;ANO_INGRESO;FILOSOFIA_ICFES;APT_VERB_ICFES;FISICA_ICFES;MUNICIPIO;GENERO;APT_MAT_ICFES;LOCALIDAD;DEPARTAMENTO;SOCIALES_ICFES;ESTRATO;CALENDARIO;TIPO_COLEGIO;DISTANCIA;INSCRIPCION;CORTE_INGRESO;RENDIMIENTO_UNO;PROMEDIO_UNO
88.79;68.41;20;60.48;75.02;474.81;67.8;2011;50.93;67.8;66.93;28;0;88.79;20;15;0;3;1;1;6;10;1;2.0;36.76470588235294
72.05;68.41;20;63.99;64.44;460.67;70.87;2011;66.58;70.87;69.72;0;0;72.05;20;0;0;2;0;0;6;10;1;2.0;35.0
69.01;58.01;11;75.95;72.45;480.17;67.92;2011;63.68;67.92;66.68;20;0;69.01;11;5;0;2;1;2;5;10;1;2.0;37.64705882352941
65.63;71.53;20;75.95;64.44;474.87;70.74;2011;68.09;70.74;69.72;112;0;65.63;20;30;0;1;1;1;6;10;1;1.0;25.9375
71.35;70.37;12;60.48;82.24;474.81;53.5;2011;62.46;53.5;63.86;20;1;71.35;12;5;0;3;1;2;3;10;1;2.0;37.05882352941177
72.05;52.08;5;60.48;71.97;440.53;56.55;2011;54.95;56.55;66.93;20;0;72.05;5;5;0;2;1;2;6;10;1;2.0;34.705882352941174
68.39;50.87;20;66.77;69.64;455.45;56.41;2011;59.66;56.41;69.72;226;0;68.39;20;15;0;2;1;1;6;10;1;2.0;37.23529411764706
71.35;59.21;7;79.57;69.64;459.69;50.45;2011;62.46;50.45;63.65;20;0;71.35;7;5;0;2;1;1;5;10;1;1.0;25.88235294117647
65.63;57.29;20;65.98;75.02;464.43;62.11;2011;59.66;62.11;63.86;89;0;65.63;7;30;0;2;1;1;5;10;1;2.0;33.705882352941174
68.39;62.94;4;63.2;66.48;455.72;62.11;2011;56.82;62.11;63.86;20;0;68.39;4;5;0;2;1;2;4;10;1;2.0;35.294117647058826
65.63;66.95;12;58.6;59.52;442.26;67.8;2011;56.82;67.8;66.68;20;1;65.63;4;5;0;2;1;2;4;10;1;2.0;39.411764705882355
53.37;66.03;20;72.69;82.67;471.01;67.92;2011;60.81;67.92;66.68;40;1;53.37;7;34;0;1;1;1;5;10;1;2.0;37.529411764705884
75.41;66.95;20;66.77;64.44;470.49;73.98;2011;54.95;73.98;72.78;131;0;75.41;20;7;0;2;1;2;6;10;1;2.0;37.94117647058823
74.62;70.37;20;61.28;54.61;459.48;73.83;2011;56.82;73.83;57.4;0;1;74.62;20;0;0;3;0;0;6;10;1;2.0;39.705882352941174
83.87;68.41;9;79.57;66.99;490.16;67.92;2011;63.68;67.92;63.65;20;0;83.87;9;5;0;3;1;2;4;10;1;1.0;27.058823529411764
58.38;50.1;10;60.48;66.48;453.82;80.86;2011;54.95;80.86;60.76;20;0;58.38;10;5;0;2;1;1;3;10;1;2.0;36.1764705882353
72.05;47.15;10;71.9;82.24;480.37;65.03;2011;60.81;65.03;63.86;0;1;72.05;11;0;0;2;0;0;5;10;1;2.0;39.705882352941174
75.41;49.66;10;68.87;86.89;476.31;65.03;2011;69.52;65.03;57.57;20;0;75.41;6;5;0;3;1;2;5;10;1;2.0;36.0
71.35;73.24;20;52.34;71.97;480.39;73.83;2011;62.46;73.83;76.27;78;0;71.35;20;18;0;3;1;2;6;10;1;2.0;35.294117647058826
72.05;59.21;20;55.92;87.29;479.53;73.98;2011;63.68;73.98;75.93;222;0;72.05;20;21;0;2;1;1;6;10;1;2.0;38.294117647058826
74.62;71.53;16;69.65;59.52;476.35;64.91;2011;65.24;64.91;72.78;20;1;74.62;11;5;0;2;1;1;5;10;1;2.0;39.411764705882355
71.35;59.21;22;58.6;57.08;439.66;62.11;2011;59.66;62.11;63.65;180;1;71.35;22;15;0;3;1;2;6;10;1;2.0;35.294117647058826
69.01;65.57;20;69.65;78.83;475.83;67.92;2011;63.68;67.92;57.4;78;0;69.01;20;18;0;2;1;1;6;10;1;3.0;40.294117647058826
71.35;85.05;11;75.95;66.99;499.64;64.91;2011;56.82;64.91;82.7;20;0;71.35;20;5;0;2;1;2;6;10;1;2.0;35.11764705882353
75.41;55.62;20;63.2;69.14;454.17;50.6;2011;63.68;50.6;69.98;254;0;75.41;20;22;0;1;2;1;6;10;1;1.0;29.11764705882353
72.05;71.53;20;65.98;63.93;441.71;56.55;2011;57.9;56.55;69.98;103;0;72.05;20;30;0;1;1;1;6;10;1;2.0;34.705882352941174
71.35;73.24;16;68.87;61.43;447.75;56.41;2011;62.46;56.41;66.93;20;0;71.35;7;5;0;2;1;1;5;10;1;2.0;34.35294117647059
83.87;64.7;10;94.44;69.14;470.31;67.92;2011;54.95;67.92;46.97;20;0;83.87;10;5;0;3;1;2;3;10;1;2.0;37.05882352941177
53.37;69.93;8;78.77;69.14;468.26;77.28;2011;63.68;77.28;63.86;20;0;53.37;8;5;0;3;1;1;3;10;1;1.0;19.705882352941178
69.01;55.62;13;75.16;66.48;461.84;59.4;2011;75.71;59.4;60.76;20;0;69.01;12;5;0;2;1;1;3;10;1;1.0;17.647058823529413
72.05;62.94;7;57.8;61.43;433.44;65.03;2011;51.89;65.03;60.76;20;1;72.05;22;5;0;1;1;1;6;10;1;2.0;37.0
75.41;56.82;20;55.92;57.08;436.3;59.4;2011;69.52;59.4;63.65;131;0;75.41;20;7;0;2;1;1;6;10;1;2.0;35.76470588235294
68.39;85.05;10;61.28;66.99;445.88;50.45;2011;62.46;50.45;66.68;20;0;68.39;10;5;0;2;1;2;3;10;1;2.0;32.64705882352941
69.01;54.45;18;69.65;75.48;451.88;59.4;2011;57.9;59.4;60.57;20;0;69.01;18;5;0;2;1;1;3;10;1;2.0;39.35294117647059
72.05;77.55;10;72.69;78.83;474.75;67.92;2011;69.52;67.92;46.87;20;1;72.05;10;5;0;2;1;2;3;10;1;2.0;38.0
63.02;57.29;2;68.87;63.93;460.24;67.8;2011;71.0;67.8;60.76;20;1;63.02;8;5;0;2;1;2;3;10;1;2.0;35.76470588235294
75.41;73.24;20;63.2;63.93;460.36;67.92;2011;60.81;67.92;66.93;0;0;75.41;20;0;0;3;0;0;6;10;1;2.0;37.35294117647059
63.5;73.68;18;65.98;54.1;444.28;65.03;2011;66.58;65.03;66.93;20;0;63.5;19;5;0;2;1;1;5;10;1;2.0;35.35294117647059
65.63;85.05;10;72.69;61.96;458.71;64.91;2011;68.09;64.91;60.57;20;1;65.63;11;5;0;3;1;2;5;10;1;2.0;38.35294117647059
75.41;73.24;12;71.9;61.43;510.03;80.86;2011;66.58;80.86;76.27;0;0;75.41;11;0;0;2;0;0;5;10;1;1.0;18.352941176470587
112.99;59.9;20;71.7;63.62;477.57;58.25;2011;46.79;58.25;74.06;0;0;112.99;20;0;0;2;0;0;6;10;3;2.0;36.0
72.11;57.27;20;61.6;61.02;443.88;70.96;2011;54.37;70.96;58.63;0;0;72.11;20;0;0;3;0;0;6;10;3;2.0;34.8235294117647
75.27;55.84;20;53.95;50.66;401.84;51.21;2011;43.59;51.21;76.74;131;0;75.27;12;7;0;3;1;2;3;10;3;2.0;33.1764705882353
79.59;88.85;14;62.09;72.19;439.83;60.38;2011;47.31;60.38;54.57;20;0;79.59;9;5;0;2;1;1;4;10;3;1.0;14.058823529411764
79.59;69.93;12;53.82;66.12;432.41;70.13;2011;49.69;70.13;47.05;20;0;79.59;12;5;0;3;1;1;3;10;3;2.0;31.823529411764707
77.58;62.69;20;66.19;67.0;411.79;54.54;2011;37.24;54.54;55.86;55;0;77.58;20;7;0;2;1;1;6;10;3;2.0;35.529411764705884
72.53;61.22;13;56.48;58.82;412.11;64.17;2011;54.22;64.17;55.73;0;0;72.53;8;0;0;2;0;0;3;10;3;2.0;36.8235294117647
60.6;47.58;20;63.88;71.9;421.38;62.45;2011;51.03;62.45;59.57;0;0;60.6;20;0;0;1;0;0;6;10;3;2.0;35.588235294117645
73.85;62.94;1;51.3;59.17;390.99;52.31;2011;39.03;52.31;59.57;20;0;73.85;1;5;0;2;1;2;5;10;3;2.0;32.11764705882353
69.03;52.09;10;58.93;49.03;397.65;56.37;2011;49.2;56.37;60.87;0;0;69.03;8;0;0;2;0;0;3;10;3;2.0;38.529411764705884
62.53;54.64;20;54.18;61.02;400.71;55.57;2011;54.37;55.57;63.99;0;0;62.53;20;0;0;2;0;0;6;10;3;2.0;35.23529411764706
65.93;47.17;20;58.91;61.4;394.11;54.48;2011;34.45;54.48;60.45;0;0;65.93;9;0;0;2;0;0;4;10;3;2.0;34.1764705882353
68.62;41.43;1;61.6;56.55;419.12;58.25;2011;57.15;58.25;51.27;0;0;68.62;1;0;0;3;0;0;5;10;3;2.0;33.470588235294116
70.78;60.9;9;61.52;55.44;414.87;54.35;2011;56.79;54.35;52.29;20;0;70.78;18;5;0;3;1;2;3;10;3;2.0;35.23529411764706
61.16;69.93;20;59.32;57.27;409.46;58.33;2011;54.39;58.33;59.57;200;0;61.16;20;15;0;2;1;2;6;10;3;2.0;34.470588235294116
79.59;65.57;20;53.24;51.9;393.54;56.32;2011;47.31;56.32;49.76;111;0;79.59;11;8;0;2;1;1;5;10;3;2.0;33.8235294117647
73.85;85.05;11;62.09;54.03;398.62;60.29;2011;39.03;60.29;49.63;20;0;73.85;11;5;0;3;1;2;5;10;3;1.0;3.4705882352941178
64.12;68.41;16;63.88;59.17;417.66;52.4;2011;61.84;52.4;54.74;20;1;64.12;16;5;0;3;1;2;2;10;3;2.0;36.529411764705884
69.96;50.1;16;57.8;50.53;390.8;50.31;2011;39.03;50.31;56.97;20;0;69.96;4;5;0;3;1;1;4;10;3;2.0;34.294117647058826
65.86;73.93;16;61.57;50.86;399.27;62.12;2011;46.81;62.12;55.73;0;1;65.86;10;0;0;2;0;0;3;10;3;2.0;37.1764705882353
69.03;51.01;4;58.93;52.72;389.9;51.58;2011;42.11;51.58;58.25;0;1;69.03;4;0;0;2;0;0;4;10;3;2.0;37.411764705882355
64.12;56.82;12;47.96;55.8;391.08;58.33;2011;52.03;58.33;59.37;20;0;64.12;8;5;0;2;1;1;3;10;3;2.0;33.294117647058826
50.18;62.13;6;67.08;63.72;420.02;62.45;2011;53.3;62.45;59.37;20;0;50.18;6;5;0;2;1;1;5;10;3;3.0;40.11764705882353
62.53;61.22;18;58.96;58.69;393.24;49.71;2011;46.79;49.71;61.23;0;0;62.53;18;0;0;2;0;0;3;10;3;1.0;30.0
67.01;45.94;21;50.78;56.08;395.98;58.84;2011;49.02;58.84;50.94;20;0;67.01;11;5;0;2;1;1;5;10;3;2.0;33.35294117647059
63.47;58.01;8;61.52;53.65;393.03;50.31;2011;48.75;50.31;59.57;20;0;63.47;8;5;0;2;1;1;3;10;3;2.0;38.88235294117647
52.71;69.93;20;55.79;48.76;390.78;62.45;2011;51.03;62.45;64.28;208;1;52.71;11;7;0;2;1;1;5;10;3;2.0;36.411764705882355
67.28;60.44;20;59.32;51.9;377.04;52.4;2011;36.96;52.4;59.57;19;0;67.28;20;7;0;2;1;1;6;10;3;2.0;36.0
57.88;48.86;18;55.79;59.53;389.12;48.29;2011;53.3;48.29;64.28;20;0;57.88;19;5;0;1;1;1;5;10;3;2.0;37.11764705882353
70.78;55.62;9;51.88;55.8;388.74;56.32;2011;44.91;56.32;49.63;20;0;70.78;9;5;0;3;1;1;4;10;3;1.0;15.823529411764707
72.11;53.32;13;54.18;50.78;378.31;48.55;2011;44.38;48.55;56.13;0;0;72.11;9;0;0;3;0;0;4;10;3;2.0;36.88235294117647
69.03;47.17;8;54.16;45.4;385.79;56.37;2011;46.81;56.37;53.27;0;0;69.03;8;0;0;2;0;0;3;10;3;2.0;34.470588235294116
58.38;54.45;7;63.88;57.27;407.91;62.55;2011;52.03;62.55;52.29;20;0;58.38;7;5;0;2;1;2;5;10;3;1.0;29.529411764705884
60.6;58.01;20;57.8;63.72;396.72;54.28;2011;53.3;54.28;56.97;243;1;60.6;19;34;0;1;1;1;5;10;3;2.0;37.94117647058823
59.94;41.43;4;49.73;63.77;396.46;56.18;2011;51.08;56.18;53.05;0;1;59.94;4;0;0;2;0;0;4;10;3;2.0;30.705882352941178
55.27;55.62;13;49.94;57.63;387.97;54.28;2011;53.3;54.28;61.79;20;0;55.27;10;5;0;3;1;2;3;10;3;2.0;39.94117647058823
57.88;57.29;21;62.09;54.03;382.27;58.25;2011;44.08;58.25;61.79;39;0;57.88;20;30;0;1;1;1;6;10;3;2.0;37.0
74.79;56.82;7;51.88;54.03;381.52;50.41;2011;47.31;50.41;49.63;20;0;74.79;7;5;0;2;1;1;5;10;3;2.0;35.1764705882353
55.27;59.67;7;69.49;65.81;408.33;56.23;2011;51.03;56.23;54.74;20;0;55.27;7;5;0;2;1;2;5;10;3;1.0;11.411764705882353
62.48;44.92;20;47.86;57.48;388.6;44.17;2011;58.95;44.17;58.08;0;0;62.48;20;0;0;2;0;0;6;10;3;3.0;44.35294117647059
55.71;48.43;17;60.25;57.44;388.31;49.19;2011;48.41;49.19;61.41;20;0;55.71;10;5;0;3;1;2;3;10;3;2.0;33.94117647058823
66.56;61.66;7;55.79;55.8;382.86;60.29;2011;39.03;60.29;49.63;20;0;66.56;7;5;0;2;1;1;5;10;3;1.0;27.88235294117647
66.56;52.08;20;53.82;57.63;386.73;60.29;2011;48.75;60.29;49.63;226;0;66.56;20;15;0;2;1;1;6;10;3;2.0;34.470588235294116
66.56;54.45;16;45.29;53.65;376.31;58.25;2011;46.43;58.25;52.29;20;1;66.56;16;5;0;3;1;1;2;10;3;1.0;10.294117647058824
55.27;59.21;13;59.32;57.27;391.38;56.23;2011;46.43;56.23;57.16;20;0;55.27;7;5;0;2;1;2;5;10;3;3.0;41.64705882352941
65.86;48.4;16;51.93;45.4;371.28;43.96;2011;49.2;43.96;60.87;0;0;65.86;16;0;0;3;0;0;2;10;3;2.0;36.1764705882353
69.18;44.74;20;51.96;59.94;377.37;52.77;2011;47.08;52.77;52.53;67;0;69.18;7;34;0;2;1;1;5;10;3;1.0;9.294117647058824
63.47;56.82;10;51.3;46.58;375.01;52.31;2011;55.62;52.31;59.57;20;0;63.47;10;5;0;2;1;2;3;10;3;2.0;35.529411764705884
63.47;44.51;20;53.82;52.28;376.69;50.31;2011;44.08;50.31;56.97;250;0;63.47;20;7;0;2;1;1;6;10;3;2.0;33.05882352941177
64.12;60.44;10;47.34;59.17;394.73;54.35;2011;64.57;54.35;49.76;20;0;64.12;10;5;0;3;1;2;3;10;3;2.0;37.94117647058823
74.32;42.2;16;52.41;55.14;377.46;53.24;2011;49.72;53.24;48.49;0;0;74.32;15;0;0;3;0;0;3;10;3;1.0;13.294117647058824
51.49;42.76;2;57.16;56.4;386.99;58.8;2011;39.52;58.8;57.99;20;0;51.49;12;5;0;3;3;2;3;10;3;2.0;36.94117647058823
63.47;58.01;8;61.52;51.9;385.81;58.25;2011;46.43;58.25;52.29;20;0;63.47;10;5;0;3;1;2;3;10;3;2.0;36.8235294117647
63.47;58.01;9;53.24;55.44;383.21;52.31;2011;48.75;52.31;52.29;20;1;63.47;9;5;0;4;1;1;4;10;3;2.0;35.1764705882353
55.69;67.41;11;57.23;57.27;387.96;58.33;2011;47.31;58.33;54.74;20;0;55.69;11;5;0;3;1;1;5;10;3;2.0;35.8235294117647
58.38;60.9;10;55.79;48.76;383.75;52.4;2011;52.03;52.4;56.97;20;0;58.38;10;5;0;2;1;1;3;10;3;2.0;37.64705882352941
61.49;44.71;8;50.78;56.08;382.52;48.37;2011;46.77;48.37;53.43;20;0;61.49;8;5;0;2;1;1;3;10;3;1.0;15.4
57.88;73.24;22;55.79;55.8;386.04;60.29;2011;46.43;60.29;52.14;180;1;57.88;22;15;0;2;1;2;6;10;3;2.0;37.8235294117647
57.88;59.21;10;51.3;53.65;386.16;58.25;2011;51.03;58.25;52.29;20;0;57.88;10;5;0;3;1;1;3;10;3;3.0;40.05882352941177
66.94;43.48;11;48.64;57.89;374.2;47.04;2011;46.47;47.04;51.86;0;0;66.94;11;0;0;2;0;0;5;10;3;1.0;29.5
54.88;44.71;20;56.48;49.03;380.81;54.48;2011;49.2;54.48;58.25;0;1;54.88;9;0;0;3;0;0;4;10;3;2.0;39.35294117647059
62.92;66.44;1;51.93;52.72;376.52;52.42;2011;49.2;52.42;53.27;0;0;62.92;1;0;0;3;0;0;5;10;3;2.0;31.176470588235293
58.38;60.44;6;59.32;44.7;372.71;50.41;2011;44.91;50.41;59.57;20;0;58.38;8;5;0;2;1;2;3;10;3;2.0;37.05882352941177
65.46;48.4;10;56.51;48.96;366.16;54.32;2011;37.12;54.32;53.68;0;0;65.46;10;0;0;2;0;0;3;10;3;3.0;40.11764705882353
