CON_MAT_ICFES;QUIMICA_ICFES;PG_ICFES;FISICA_ICFES;IDIOMA_ICFES;BIOLOGIA_ICFES;GENERO;LOCALIDAD;LITERATURA_ICFES;PROMEDIO_UNO;NOTA_DIF;EPA_UNO;NOTA_PROGB;NOTA_FIS_UNO;NCP_UNO;NOTA_TEXTOS;NOTA_CFJC;NAP_UNO;PROMEDIO_TRES;RENDIMIENTO_TRES
72.55;59.25;478.74;64.0;71.53;58.09;0;20;53.22;35.416666666666664;30.0;2;40.0;35.0;0.0;0.0;40.0;0;35.138888888888886;2.0
72.55;55.7;455.25;64.0;61.22;58.09;0;21;53.22;23.181818181818183;17.5;1;30.0;20.0;7.0;0.0;35.0;2;40.0;2.0
72.55;54.01;450.12;66.74;64.23;58.09;0;11;53.22;19.09090909;15.0;1;20.0;18.33333333;10.0;0.0;35.0;3;15.0;1.0
72.55;54.01;450.22;66.74;53.32;53.95;0;11;57.32;35.416666666666664;35.0;2;35.0;35.0;0.0;0.0;35.0;0;31.61764705882353;2.0
67.54;52.34;466.72;64.0;76.45;60.25;0;11;59.48;15.681818181818182;15.0;1;15.0;17.5;11.0;0.0;15.0;4;10.0;1.0
67.54;52.34;447.85;72.97;69.48;62.54;0;11;55.25;35.0;30.0;2;35.0;40.0;0.0;0.0;35.0;0;34.94117647058823;2.0
67.54;59.25;454.59;64.0;50.87;53.95;0;11;53.22;35.208333333333336;30.0;2;40.0;32.5;0.0;0.0;40.0;0;35.55555555555556;2.0
72.55;52.34;486.27;66.74;73.83;62.54;0;11;59.48;32.916666666666664;35.0;2;30.0;30.0;0.0;0.0;35.0;0;23.928571428571427;1.0
60.49;61.18;485.28;61.41;71.53;67.71;0;11;64.21;33.333333333333336;27.5;2;40.0;30.0;4.0;0.0;35.0;1;38.05555555555556;2.0
81.5;59.25;490.19;61.41;111.94;60.25;0;11;64.21;30.454545454545453;30.0;2;30.0;30.0;0.0;0.0;35.0;0;40.0;2.0
67.54;39.03;470.9;76.74;52.09;55.99;0;11;55.25;33.333333333333336;30.0;2;40.0;30.0;0.0;0.0;35.0;0;22.867647058235292;1.0
75.27;59.25;442.26;61.41;67.6;58.09;0;11;55.25;29.791666665833333;30.0;1;28.33333333;27.5;6.0;0.0;40.0;2;18.681818181818183;1.0
75.27;55.7;461.1;58.93;43.48;53.95;0;11;57.32;35.0;30.0;2;45.0;30.0;0.0;0.0;40.0;0;29.72222222222222;1.0
67.54;68.28;497.25;69.69;111.94;70.81;0;11;61.76;38.75;40.0;2;40.0;35.0;0.0;0.0;40.0;0;35.294117647058826;2.0
72.55;59.25;499.7;64.0;64.23;62.54;0;10;66.94;35.0;30.0;2;40.0;35.0;0.0;0.0;35.0;0;32.638888888888886;2.0
72.55;54.01;472.03;64.0;88.67;58.09;1;10;64.21;40.416666666666664;35.0;2;50.0;35.0;0.0;0.0;40.0;0;34.705882352941174;2.0
78.22;61.18;508.98;58.93;69.48;62.54;1;9;66.94;25.454545454545453;15.0;1;50.0;15.0;8.0;0.0;25.0;3;16.666666666666668;1.0
89.86;63.27;520.07;58.93;64.23;65.0;0;9;64.21;35.833333333333336;35.0;2;40.0;30.0;0.0;0.0;40.0;0;33.77777777777778;2.0
69.99;52.34;482.55;56.51;71.53;60.25;0;10;59.48;36.666666666666664;30.0;2;50.0;30.0;0.0;0.0;40.0;0;38.333333333333336;2.0
78.22;61.18;499.31;64.0;71.53;67.71;0;10;64.21;39.54545454545455;35.0;2;50.0;35.0;0.0;0.0;40.0;0;40.0;2.0
60.49;54.01;443.65;69.69;73.83;58.09;0;9;59.48;32.27272727272727;23.75;2;45.0;30.0;4.0;0.0;35.0;1;35.0;2.0
65.16;59.25;460.6;58.93;69.48;53.95;0;10;64.21;36.666666666666664;30.0;2;50.0;30.0;0.0;0.0;40.0;0;34.411764705882355;2.0
69.99;48.97;469.88;58.93;45.98;58.09;0;15;59.48;35.0;35.0;2;40.0;30.0;0.0;0.0;35.0;0;24.0;1.0
72.55;52.34;472.66;54.12;83.41;62.54;0;20;59.48;33.333333333333336;27.5;2;35.0;35.0;4.0;0.0;40.0;1;33.38235294117647;2.0
75.27;59.25;466.5;61.41;88.67;51.92;1;9;59.48;40.833333333333336;45.0;2;40.0;35.0;0.0;0.0;40.0;0;35.55555555555556;2.0
67.54;54.01;507.0;61.41;83.41;58.09;0;10;61.76;25.378787879090908;26.66666667;1;23.33333333;25.0;11.0;0.0;27.5;4;11.6;1.0
67.54;55.7;451.26;64.0;69.48;58.09;1;20;59.48;37.5;40.0;2;40.0;30.0;0.0;0.0;40.0;0;29.166666666111112;1.0
55.71;63.27;496.04;64.0;71.53;62.54;0;9;59.48;35.833333333333336;35.0;2;35.0;35.0;0.0;0.0;40.0;0;28.529411764705884;1.0
78.22;61.18;484.72;56.51;57.13;60.25;0;10;66.94;36.81818181818182;35.0;2;45.0;30.0;0.0;0.0;40.0;0;36.666666666666664;2.0
60.49;47.22;458.0;64.0;61.22;58.09;0;10;64.21;33.333333333333336;30.0;2;40.0;30.0;0.0;0.0;35.0;0;32.35294117647059;2.0
