PROMEDIO_SEIS;PROMEDIO_SIETE;PROMEDIO_OCHO;NOTA_CALIDAD_DOS;PROMEDIO_NUEVE;NAA_NUEVE;NOTA_GRADO_UNO;NOTA_LOG_DOS;NOTA_FINANZAS;NOTA_HISTORIA;RENDIMIENTO_DIEZ
31;38;0;0;40;1;0;0;0;0;2
34;38;34;35;36;6;0;31;30;0;3
31;32;30;33;28;3;0;39;25;0;3
32;36;27;24;27;4;0;30;22;0;3
34;39;34;38;35;5;0;32;35;0;3
0;0;0;0;0;0;0;0;0;0;2
33;30;0;0;25;1;0;0;9;0;2
0;0;0;0;0;0;0;0;0;0;2
0;30;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
40;30;0;0;0;0;0;0;0;0;2
15;30;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
31;38;30;33;34;5;0;35;24;0;3
31;39;35;32;34;5;0;37;27;0;3
24;30;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
32;38;30;17;35;5;0;38;21;0;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
38;40;18;36;28;3;0;19;32;0;3
33;35;31;32;31;3;0;29;36;0;3
27;37;33;40;34;4;0;36;36;0;3
31;34;28;39;21;2;0;14;15;0;3
0;30;0;0;0;0;0;0;0;0;2
33;38;36;37;35;6;0;31;33;0;3
34;37;34;33;36;4;0;32;25;0;3
36;37;34;36;36;5;0;36;21;0;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
36;37;36;30;37;5;0;34;30;0;3
0;0;0;0;0;0;0;0;0;0;2
36;36;30;36;31;4;0;16;37;0;3
34;40;38;39;37;6;0;35;30;0;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
37;41;38;30;34;6;0;33;30;0;3
0;30;0;0;0;0;0;0;0;0;2
35;42;32;34;35;5;0;36;28;0;3
31;36;29;32;29;2;0;20;21;0;3
16;33;0;0;37;1;0;0;0;0;2
34;37;34;37;35;5;0;36;25;0;3
35;37;40;30;32;5;0;33;35;0;3
0;0;0;0;0;0;0;0;0;0;2
35;40;35;38;38;6;0;40;30;0;3
37;43;40;39;35;6;0;34;35;0;3
35;38;38;38;37;5;0;34;28;0;3
34;34;34;40;34;5;0;38;28;0;3
30;35;33;33;33;5;0;34;23;0;3
36;37;39;37;35;6;0;30;35;0;3
0;0;0;0;0;0;0;0;0;0;2
32;35;34;35;35;5;0;37;24;0;3
34;34;32;30;33;5;0;34;30;0;3
31;35;31;43;33;4;0;29;27;0;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
33;36;33;31;33;4;0;36;27;0;3
0;0;0;0;0;0;0;0;0;0;2
33;34;16;0;40;2;0;0;0;0;3
29;35;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
37;37;35;37;37;6;0;31;31;0;3
27;30;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
31;38;34;35;35;6;0;31;32;0;3
34;39;35;30;34;6;0;33;30;0;3
0;0;0;0;0;0;0;0;0;0;2
0;35;0;0;0;0;0;0;0;0;2
31;34;33;30;35;5;0;33;21;0;3
33;40;37;36;34;6;0;30;31;0;3
34;38;40;38;36;6;0;33;32;0;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
32;41;35;40;39;6;0;37;30;0;3
35;22;0;0;0;0;0;0;0;0;2
35;38;36;39;32;5;0;33;25;0;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
37;42;40;35;41;6;0;42;35;0;3
36;42;41;38;39;6;0;36;32;0;3
28;31;17;0;34;2;0;0;14;0;3
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
34;35;29;36;28;3;0;33;21;0;3
30;39;34;34;33;4;0;16;25;0;3
0;0;0;0;0;0;0;0;0;0;2
31;23;3;9;14;0;0;0;14;0;2
35;39;42;37;40;6;0;40;30;0;3
36;40;31;30;38;5;0;38;29;0;3
18;40;0;0;0;0;0;0;0;0;2
37;37;35;26;38;6;0;33;30;0;3
37;42;41;38;38;6;0;34;30;0;3
34;37;42;35;42;6;0;46;39;0;3
0;0;0;0;0;0;0;0;0;0;2
28;38;28;30;30;4;0;33;22;0;3
0;0;0;0;0;0;0;0;0;0;2
38;38;35;39;39;6;0;41;37;0;3
0;0;0;0;0;0;0;0;0;0;2
31;35;29;30;30;3;0;40;20;0;3
34;39;35;32;37;5;0;41;26;0;3
35;40;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
37;43;39;39;42;6;0;43;33;0;3
39;40;42;36;38;5;0;40;29;0;3
35;37;33;33;33;5;0;38;30;0;3
35;34;12;0;38;1;0;0;0;0;2
38;39;41;38;38;8;45;37;32;44;3
35;38;35;42;39;6;0;35;39;0;3
29;35;0;0;41;1;0;0;0;0;2
0;0;0;0;0;0;0;0;0;0;2
34;35;32;33;33;6;0;30;31;0;3
38;42;30;31;40;6;0;41;40;0;3
38;36;40;35;39;6;0;41;40;0;3
34;36;32;34;28;2;0;24;29;0;3
31;38;30;19;33;6;0;31;30;0;3
40;42;41;35;43;6;0;35;40;0;3
38;39;34;40;34;5;0;40;24;0;3
30;0;0;0;0;0;0;0;0;0;2
0;35;0;0;0;0;0;0;0;0;2
35;38;29;31;30;4;0;20;32;0;3
37;36;34;35;36;6;0;36;30;0;3
37;37;37;34;35;5;0;36;27;0;3
35;38;33;35;34;6;0;35;32;0;3
38;38;39;38;39;6;0;35;30;0;3
39;38;42;40;39;6;0;42;31;0;3
35;34;36;29;32;4;0;37;25;0;3
36;38;29;28;35;5;0;37;30;0;3
36;38;33;30;36;6;0;33;30;0;3
33;37;36;43;36;5;0;37;21;0;3
0;35;0;0;0;0;0;0;0;0;2
0;15;0;0;0;0;0;0;0;0;2
