PG_ICFES,DEPARTAMENTO
431.0,NO REGISTRA
431.0,BOGOTA
410.0,NO REGISTRA
424.0,BOGOTA
418.0,BOGOTA
409.0,BOGOTA
400.0,NO REGISTRA
392.0,NO REGISTRA
441.0,CUNDINAMARCA
425.0,NO REGISTRA
386.0,NO REGISTRA
402.0,CUNDINAMARCA
400.0,BOGOTA
403.0,BOGOTA
410.0,NO REGISTRA
392.0,BOGOTA
398.0,BOGOTA
403.0,CUNDINAMARCA
394.0,NO REGISTRA
414.0,NO REGISTRA
396.0,NO REGISTRA
380.0,BOGOTA
412.0,NO REGISTRA
398.0,NO REGISTRA
387.0,NO REGISTRA
411.45,META
396.0,BOGOTA
387.0,CUNDINAMARCA
402.0,BOGOTA
416.0,CUNDINAMARCA
395.0,BOGOTA
394.0,CUNDINAMARCA
404.0,BOGOTA
373.0,TOLIMA
424.0,VALLE
404.0,NO REGISTRA
397.17,CUNDINAMARCA
398.0,BOGOTA
388.0,BOGOTA
399.19,NO REGISTRA
379.0,BOGOTA
385.0,BOGOTA
373.0,NO REGISTRA
394.0,CUNDINAMARCA
400.0,BOGOTA
393.0,TOLIMA
362.0,NO REGISTRA
394.0,BOGOTA
367.0,NO REGISTRA
363.0,NO REGISTRA
386.7,CUNDINAMARCA
361.0,BOGOTA
382.47,VALLE
393.0,BOGOTA
383.0,BOGOTA
373.0,BOGOTA
378.0,BOGOTA
360.0,BOGOTA
401.0,BOGOTA
384.0,BOGOTA
373.48,BOGOTA
374.0,CUNDINAMARCA
380.0,NO REGISTRA
383.0,CUNDINAMARCA
355.0,BOGOTA
372.85,BOYACA
364.0,BOGOTA
383.65,BOYACA
363.0,NO REGISTRA
357.29,BOGOTA
367.0,CAQUETA
385.0,META
359.67,BOYACA
368.0,BOGOTA
378.42,TOLIMA
390.0,BOGOTA
377.0,BOGOTA
359.0,NO REGISTRA
367.42,NO REGISTRA
394.0,NO REGISTRA
374.0,NO REGISTRA
370.55,CUNDINAMARCA
360.0,NO REGISTRA
382.34,BOGOTA
371.65,CUNDINAMARCA
376.0,BOGOTA
378.17,BOGOTA
366.0,CUNDINAMARCA
374.8,BOGOTA
375.0,NO REGISTRA
374.55,BOGOTA
383.0,BOGOTA
367.15,BOGOTA
353.0,NO REGISTRA
364.23,BOGOTA
361.0,NO REGISTRA
362.51,CUNDINAMARCA
363.1,BOGOTA
353.0,NO REGISTRA
356.0,NO REGISTRA
468.0,BOGOTA
455.0,BOGOTA
437.0,BOYACA
450.0,CUNDINAMARCA
438.0,CUNDINAMARCA
437.0,NO REGISTRA
439.0,BOGOTA
454.0,CASANARE
433.0,BOGOTA
445.0,BOGOTA
453.0,BOGOTA
440.0,BOGOTA
429.0,META
438.0,BOGOTA
434.0,BOGOTA
419.0,BOGOTA
442.0,BOGOTA
439.0,BOGOTA
439.0,BOGOTA
414.0,NO REGISTRA
432.0,BOGOTA
423.0,CUNDINAMARCA
425.0,BOGOTA
432.0,BOGOTA
422.0,BOGOTA
421.0,BOGOTA
417.0,BOGOTA
442.0,BOGOTA
420.0,BOGOTA
422.0,BOGOTA
420.0,BOYACA
417.0,CUNDINAMARCA
426.0,BOGOTA
417.0,BOYACA
417.0,CUNDINAMARCA
435.57,BOGOTA
418.0,BOGOTA
427.0,CUNDINAMARCA
404.0,BOGOTA
403.23,CUNDINAMARCA
389.0,BOYACA
414.0,CUNDINAMARCA
424.0,BOGOTA
421.0,BOYACA
409.0,CUNDINAMARCA
397.0,BOGOTA
411.0,BOGOTA
407.0,BOGOTA
407.0,BOYACA
408.0,NO REGISTRA
404.0,BOGOTA
413.0,BOGOTA
415.0,BOGOTA
420.0,BOYACA
400.0,BOGOTA
409.0,BOGOTA
405.0,BOGOTA
413.0,BOGOTA
388.0,BOGOTA
397.0,TOLIMA
406.0,BOGOTA
395.0,BOGOTA
411.25,BOGOTA
396.0,BOYACA
423.39,HUILA
396.0,CUNDINAMARCA
386.0,MAGDALENA
415.0,BOGOTA
409.0,BOGOTA
396.0,BOGOTA
389.31,BOGOTA
389.0,BOGOTA
401.0,CUNDINAMARCA
398.0,BOGOTA
391.0,BOGOTA
413.0,BOGOTA
403.0,BOGOTA
395.0,CUNDINAMARCA
411.0,BOGOTA
391.0,BOGOTA
401.0,BOGOTA
396.0,BOGOTA
412.0,CUNDINAMARCA
408.34,NO REGISTRA
375.0,BOGOTA
401.0,BOGOTA
408.0,BOYACA
385.0,BOGOTA
399.0,BOGOTA
430.0,BOGOTA
411.0,NO REGISTRA
403.0,BOGOTA
405.0,BOGOTA
363.0,CUNDINAMARCA
398.0,BOGOTA
385.0,BOGOTA
393.0,BOGOTA
394.0,ARAUCA
383.0,CUNDINAMARCA
402.88,NO REGISTRA
410.0,CUNDINAMARCA
399.0,BOGOTA
384.0,BOGOTA
396.0,BOGOTA
375.0,CUNDINAMARCA
402.0,BOGOTA
394.0,TOLIMA
401.0,BOGOTA
399.0,BOGOTA
406.0,BOGOTA
380.0,BOGOTA
380.0,BOGOTA
496.0,BOGOTA
495.0,CUNDINAMARCA
470.0,BOGOTA
458.0,NO REGISTRA
446.0,NO REGISTRA
451.0,CUNDINAMARCA
453.69,BOGOTA
418.0,BOGOTA
442.0,BOGOTA
396.0,NO REGISTRA
440.0,BOGOTA
441.0,NO REGISTRA
450.0,BOGOTA
414.0,BOYACA
410.0,BOYACA
411.0,BOGOTA
419.0,CUNDINAMARCA
420.0,NO REGISTRA
421.0,BOGOTA
420.56,BOGOTA
416.0,BOGOTA
406.0,CUNDINAMARCA
403.0,NO REGISTRA
422.0,NO REGISTRA
404.0,BOGOTA
413.0,BOGOTA
423.0,BOGOTA
394.0,NO REGISTRA
412.0,CUNDINAMARCA
404.0,CUNDINAMARCA
409.0,NO REGISTRA
414.71,BOYACA
407.0,BOGOTA
386.0,BOGOTA
392.38,BOGOTA
390.0,NO REGISTRA
412.0,NO REGISTRA
401.0,BOGOTA
417.0,BOGOTA
399.0,NO REGISTRA
406.0,BOGOTA
411.0,BOGOTA
401.0,BOGOTA
404.0,CUNDINAMARCA
420.0,NO REGISTRA
402.85,BOGOTA
397.0,NO REGISTRA
397.0,NO REGISTRA
404.0,BOGOTA
394.0,BOGOTA
398.0,CUNDINAMARCA
382.0,BOGOTA
395.0,BOGOTA
391.0,NO REGISTRA
367.0,CESAR
393.0,CUNDINAMARCA
378.0,NO REGISTRA
414.0,BOGOTA
377.0,BOYACA
401.0,NO REGISTRA
389.0,BOGOTA
376.0,CUNDINAMARCA
381.0,BOGOTA
401.54,BOGOTA
373.0,BOYACA
392.0,BOGOTA
387.47,NO REGISTRA
398.0,NO REGISTRA
373.0,BOGOTA
383.0,BOGOTA
373.82,BOGOTA
390.0,BOGOTA
372.0,CUNDINAMARCA
400.0,BOGOTA
388.0,BOYACA
383.49,BOGOTA
393.0,BOYACA
392.0,HUILA
378.82,BOGOTA
366.43,BOGOTA
384.0,BOGOTA
380.0,NO REGISTRA
380.0,BOGOTA
402.0,BOGOTA
389.0,BOGOTA
367.0,BOGOTA
374.0,META
380.0,NO REGISTRA
375.0,CUNDINAMARCA
385.0,CUNDINAMARCA
380.0,BOGOTA
378.48,BOGOTA
380.78,CUNDINAMARCA
384.0,NO REGISTRA
383.88,CUNDINAMARCA
369.59,NO REGISTRA
371.0,CUNDINAMARCA
384.0,NO REGISTRA
382.18,ANTIOQUIA
386.0,NO REGISTRA
354.75,BOGOTA
372.61,BOGOTA
373.0,NO REGISTRA
359.0,QUINDIO
364.0,BOGOTA
403.9,NO REGISTRA
366.0,NARINO
354.36,BOGOTA
385.02,CUNDINAMARCA
363.0,BOGOTA
403.0,CUNDINAMARCA
367.0,NO REGISTRA
353.83,BOGOTA
366.0,CUNDINAMARCA
373.0,BOGOTA
374.32,NO REGISTRA
368.11,CUNDINAMARCA
369.0,BOGOTA
380.0,NO REGISTRA
361.0,NO REGISTRA
370.0,BOGOTA
371.0,CUNDINAMARCA
385.0,NO REGISTRA
364.0,NO REGISTRA
354.0,BOGOTA
361.0,NO REGISTRA
385.0,BOGOTA
406.0,BOGOTA
538.0,NO REGISTRA
479.0,BOGOTA
440.0,NO REGISTRA
466.0,BOGOTA
454.0,BOGOTA
453.0,CUNDINAMARCA
448.0,BOGOTA
461.0,BOGOTA
460.0,META
472.0,BOGOTA
440.0,CUNDINAMARCA
459.78,NO REGISTRA
444.0,BOGOTA
441.0,CUNDINAMARCA
