PG_ICFES,TIPO_COLEGIO
424.0,NO OFICIAL
430.0,NO OFICIAL
428.0,NO OFICIAL
431.0,NO OFICIAL
421.0,NO REGISTRA
416.0,OFICIAL
421.0,NO OFICIAL
436.0,NO OFICIAL
416.0,NO OFICIAL
426.53,NO OFICIAL
424.0,OFICIAL
424.0,OFICIAL
432.0,OFICIAL
406.0,NO OFICIAL
456.0,OFICIAL
402.0,NO OFICIAL
432.0,OFICIAL
440.0,OFICIAL
418.0,NO OFICIAL
446.0,NO OFICIAL
443.0,NO OFICIAL
424.0,OFICIAL
436.0,OFICIAL
440.0,OFICIAL
428.0,NO OFICIAL
414.57,OFICIAL
406.0,OFICIAL
402.0,OFICIAL
420.0,NO OFICIAL
419.0,OFICIAL
406.0,NO OFICIAL
416.0,OFICIAL
425.0,NO OFICIAL
412.0,OFICIAL
422.0,NO OFICIAL
434.0,NO OFICIAL
420.0,OFICIAL
405.0,OFICIAL
415.0,OFICIAL
416.0,NO OFICIAL
433.0,NO OFICIAL
405.0,NO OFICIAL
402.0,NO OFICIAL
422.0,OFICIAL
419.0,OFICIAL
430.0,NO OFICIAL
435.0,OFICIAL
405.0,NO OFICIAL
408.53,NO OFICIAL
379.0,OFICIAL
406.0,OFICIAL
410.0,OFICIAL
402.0,NO OFICIAL
420.0,OFICIAL
401.0,OFICIAL
418.0,OFICIAL
421.0,OFICIAL
402.0,OFICIAL
440.0,OFICIAL
409.0,OFICIAL
414.0,OFICIAL
410.0,OFICIAL
392.0,NO OFICIAL
378.0,OFICIAL
365.0,NO OFICIAL
411.0,OFICIAL
396.0,OFICIAL
474.0,OFICIAL
381.23,OFICIAL
363.03,NO OFICIAL
494.0,OFICIAL
437.0,NO OFICIAL
448.0,NO OFICIAL
437.0,NO OFICIAL
429.0,NO REGISTRA
422.0,NO REGISTRA
422.0,NO REGISTRA
464.0,NO REGISTRA
426.0,NO REGISTRA
430.0,OFICIAL
415.0,NO REGISTRA
428.0,NO OFICIAL
417.0,NO REGISTRA
422.0,NO REGISTRA
422.0,OFICIAL
424.0,OFICIAL
429.0,OFICIAL
422.0,NO REGISTRA
427.0,NO REGISTRA
425.0,NO REGISTRA
416.0,NO REGISTRA
