MUNICIPIO,PG_ICFES
NO REGISTRA,358.0
BOJACA,423.0
NO REGISTRA,355.0
NO REGISTRA,353.0
NO REGISTRA,365.0
NO REGISTRA,365.0
NO REGISTRA,335.0
NO REGISTRA,329.0
NO REGISTRA,352.0
NO REGISTRA,372.0
NO REGISTRA,340.0
NO REGISTRA,335.0
NO REGISTRA,329.0
NO REGISTRA,361.0
BOJACA,415.0
NO REGISTRA,332.0
NO REGISTRA,337.0
NO REGISTRA,341.0
NO REGISTRA,378.0
BOJACA,430.0
BOJACA,412.0
NO REGISTRA,338.0
NO REGISTRA,360.0
NO REGISTRA,347.0
NO REGISTRA,360.0
NO REGISTRA,363.0
NO REGISTRA,339.0
NO REGISTRA,422.0
BOJACA,416.0
NO REGISTRA,377.0
NO REGISTRA,342.0
NO REGISTRA,335.0
NO REGISTRA,364.0
NO REGISTRA,336.0
NO REGISTRA,327.0
NO REGISTRA,417.0
NO REGISTRA,330.0
NO REGISTRA,353.0
NO REGISTRA,360.0
NO REGISTRA,345.0
BOJACA,432.0
NO REGISTRA,325.0
NO REGISTRA,362.0
NO REGISTRA,340.0
BOJACA,442.0
NO REGISTRA,331.0
NO REGISTRA,342.0
NO REGISTRA,367.0
NO REGISTRA,356.0
NO REGISTRA,345.0
NO REGISTRA,329.0
NO REGISTRA,345.0
BOJACA,420.0
BOJACA,466.0
SOCORRO,413.0
NO REGISTRA,323.0
NO REGISTRA,328.0
NO REGISTRA,348.0
NO REGISTRA,332.0
NO REGISTRA,379.0
NO REGISTRA,379.0
NO REGISTRA,352.0
NO REGISTRA,365.0
SOATA,407.0
CHOACHI,418.0
NO REGISTRA,332.0
NO REGISTRA,360.0
NO REGISTRA,339.0
NO REGISTRA,334.0
NO REGISTRA,346.0
NO REGISTRA,380.0
NO REGISTRA,335.0
NO REGISTRA,390.0
NO REGISTRA,348.0
NO REGISTRA,347.0
NO REGISTRA,359.0
NO REGISTRA,348.0
SOLEDAD,429.2
NO REGISTRA,284.0
NO REGISTRA,289.0
NO REGISTRA,296.0
NO REGISTRA,295.0
NO REGISTRA,323.0
NO REGISTRA,312.0
NO REGISTRA,324.0
NO REGISTRA,319.0
NO REGISTRA,333.0
NO REGISTRA,334.0
NO REGISTRA,332.0
NO REGISTRA,327.0
NO REGISTRA,324.0
NO REGISTRA,322.0
NO REGISTRA,335.0
NO REGISTRA,342.0
NO REGISTRA,327.0
NO REGISTRA,325.0
NO REGISTRA,322.0
NO REGISTRA,341.0
NO REGISTRA,328.0
NO REGISTRA,328.0
BOJACA,400.0
BOJACA,394.0
BOJACA,403.0
NATAGAIMA,412.0
NO REGISTRA,323.0
NO REGISTRA,327.0
NO REGISTRA,316.0
NO REGISTRA,322.0
NO REGISTRA,315.0
NO REGISTRA,324.0
NO REGISTRA,324.0
NO REGISTRA,328.0
NO REGISTRA,381.0
BOJACA,363.0
NO REGISTRA,321.0
NO REGISTRA,317.0
NO REGISTRA,361.0
NO REGISTRA,312.0
NO REGISTRA,358.0
NO REGISTRA,315.0
NO REGISTRA,356.0
NO REGISTRA,320.0
NO REGISTRA,359.0
NO REGISTRA,324.0
NO REGISTRA,307.0
NO REGISTRA,316.0
NO REGISTRA,349.0
NO REGISTRA,342.0
NO REGISTRA,313.0
NO REGISTRA,310.0
NO REGISTRA,306.0
NO REGISTRA,313.0
NO REGISTRA,343.0
NO REGISTRA,338.0
NO REGISTRA,311.0
NO REGISTRA,343.0
NO REGISTRA,335.0
NO REGISTRA,344.0
NO REGISTRA,337.0
NO REGISTRA,335.0
BOJACA,386.0
NO REGISTRA,334.0
NO REGISTRA,330.0
NO REGISTRA,0.0
NO REGISTRA,332.0
NO REGISTRA,332.0
NO REGISTRA,326.0
NO REGISTRA,333.0
NO REGISTRA,332.0
NO REGISTRA,338.0
NO REGISTRA,332.0
NO REGISTRA,326.0
NO REGISTRA,324.0
NO REGISTRA,326.0
NO REGISTRA,329.0
NO REGISTRA,316.0
NO REGISTRA,327.0
NO REGISTRA,312.0
NO REGISTRA,327.0
NO REGISTRA,318.0
NO REGISTRA,330.0
NO REGISTRA,316.0
NO REGISTRA,320.0
NO REGISTRA,327.0
NO REGISTRA,325.0
NO REGISTRA,310.0
NO REGISTRA,305.0
NO REGISTRA,383.0
BOJACA,417.0
BOJACA,390.0
BOJACA,395.0
BOJACA,408.0
BOJACA,410.0
BOJACA,419.0
VILLETA,421.0
BOJACA,438.0
NO REGISTRA,322.0
NO REGISTRA,348.0
NO REGISTRA,332.0
NO REGISTRA,358.0
NO REGISTRA,323.0
NO REGISTRA,330.0
NO REGISTRA,343.0
NO REGISTRA,338.0
NO REGISTRA,337.0
NO REGISTRA,327.0
NO REGISTRA,390.0
NO REGISTRA,337.0
NO REGISTRA,335.0
NO REGISTRA,325.0
NO REGISTRA,338.0
NO REGISTRA,334.0
NO REGISTRA,332.0
NO REGISTRA,321.0
NO REGISTRA,335.0
NO REGISTRA,358.0
NO REGISTRA,323.0
NO REGISTRA,330.0
NO REGISTRA,332.0
NO REGISTRA,325.0
NO REGISTRA,323.0
NO REGISTRA,326.0
NO REGISTRA,320.0
NO REGISTRA,326.0
NO REGISTRA,346.0
NO REGISTRA,332.0
NO REGISTRA,352.0
NO REGISTRA,321.0
NO REGISTRA,360.0
NO REGISTRA,333.0
NO REGISTRA,326.0
NO REGISTRA,324.0
NO REGISTRA,322.0
NO REGISTRA,328.0
NO REGISTRA,324.0
NO REGISTRA,308.0
NO REGISTRA,313.0
FLORENCIA,404.0
BOJACA,415.0
BOJACA,404.0
PAILITAS,421.0
NO REGISTRA,311.0
BOJACA,395.0
NO REGISTRA,314.0
NO REGISTRA,314.0
NO REGISTRA,318.0
NO REGISTRA,319.0
NO REGISTRA,313.0
NO REGISTRA,312.0
NO REGISTRA,307.0
NO REGISTRA,312.0
NO REGISTRA,313.0
BOJACA,378.0
NO REGISTRA,308.0
NO REGISTRA,322.0
BOJACA,371.0
NO REGISTRA,309.0
NO REGISTRA,299.0
NO REGISTRA,361.0
NO REGISTRA,364.0
BOJACA,402.0
NO REGISTRA,341.0
NO REGISTRA,388.0
NO REGISTRA,325.0
NO REGISTRA,337.0
NO REGISTRA,342.0
NO REGISTRA,356.0
NO REGISTRA,322.0
NO REGISTRA,359.0
NO REGISTRA,336.0
NO REGISTRA,362.0
NO REGISTRA,368.0
NO REGISTRA,354.0
NO REGISTRA,347.0
NO REGISTRA,363.0
NO REGISTRA,337.0
NO REGISTRA,332.0
NO REGISTRA,329.0
NO REGISTRA,343.0
NO REGISTRA,336.0
NO REGISTRA,327.0
NO REGISTRA,321.0
NO REGISTRA,341.0
NO REGISTRA,350.0
NO REGISTRA,339.0
NO REGISTRA,368.0
NO REGISTRA,332.0
NO REGISTRA,314.0
NO REGISTRA,334.0
NO REGISTRA,360.0
NO REGISTRA,341.0
NO REGISTRA,336.0
NO REGISTRA,332.0
NO REGISTRA,365.0
NO REGISTRA,326.0
NO REGISTRA,341.0
NO REGISTRA,356.0
NO REGISTRA,353.0
NO REGISTRA,339.0
NO REGISTRA,338.0
NO REGISTRA,346.0
NO REGISTRA,341.0
NO REGISTRA,329.0
NO REGISTRA,340.0
NO REGISTRA,346.0
NO REGISTRA,332.0
NO REGISTRA,335.0
NO REGISTRA,336.0
NO REGISTRA,343.0
NO REGISTRA,321.0
NO REGISTRA,334.0
NO REGISTRA,367.0
NO REGISTRA,333.0
NO REGISTRA,335.0
NO REGISTRA,329.0
NO REGISTRA,339.0
NO REGISTRA,340.0
NO REGISTRA,325.0
NO REGISTRA,355.0
NO REGISTRA,354.0
NO REGISTRA,361.0
NO REGISTRA,332.0
NO REGISTRA,333.0
NO REGISTRA,337.0
NO REGISTRA,333.0
NO REGISTRA,337.0
NO REGISTRA,336.0
NO REGISTRA,336.0
NO REGISTRA,333.0
NO REGISTRA,344.0
NO REGISTRA,341.0
NO REGISTRA,330.0
NO REGISTRA,319.0
NO REGISTRA,349.0
NO REGISTRA,323.0
NO REGISTRA,336.0
NO REGISTRA,333.0
NO REGISTRA,330.0
NO REGISTRA,341.0
NO REGISTRA,341.0
NO REGISTRA,330.0
NO REGISTRA,337.0
NO REGISTRA,323.0
NO REGISTRA,370.0
NO REGISTRA,357.0
NO REGISTRA,338.0
NO REGISTRA,356.0
NO REGISTRA,351.0
NO REGISTRA,334.0
NO REGISTRA,332.0
VILLETA,421.0
BOJACA,390.0
NO REGISTRA,331.0
NO REGISTRA,334.0
NO REGISTRA,339.0
NO REGISTRA,334.0
NO REGISTRA,355.0
BOJACA,403.0
NO REGISTRA,327.0
NO REGISTRA,353.0
NO REGISTRA,337.0
NO REGISTRA,330.0
BOJACA,413.0
NO REGISTRA,336.0
NO REGISTRA,340.0
NO REGISTRA,330.0
BOJACA,397.0
NO REGISTRA,341.0
NO REGISTRA,337.0
NO REGISTRA,344.0
NO REGISTRA,332.0
NO REGISTRA,330.0
NO REGISTRA,332.0
NO REGISTRA,329.0
NO REGISTRA,326.0
NO REGISTRA,340.0
NO REGISTRA,326.0
NO REGISTRA,325.0
NO REGISTRA,326.0
NO REGISTRA,334.0
NO REGISTRA,335.0
NO REGISTRA,329.0
NO REGISTRA,332.0
NO REGISTRA,329.0
NO REGISTRA,325.0
NO REGISTRA,324.0
NO REGISTRA,330.0
NO REGISTRA,330.0
BOJACA,402.0
NO REGISTRA,320.0
NO REGISTRA,326.0
NO REGISTRA,328.0
NO REGISTRA,20.0
NO REGISTRA,20.0
NO REGISTRA,339.0
NO REGISTRA,368.0
NO REGISTRA,326.0
NO REGISTRA,325.0
NO REGISTRA,348.0
NO REGISTRA,346.0
NO REGISTRA,320.0
NO REGISTRA,340.0
NO REGISTRA,334.0
NO REGISTRA,347.0
NO REGISTRA,341.0
NO REGISTRA,354.0
NO REGISTRA,326.0
NO REGISTRA,333.0
NO REGISTRA,336.0
NO REGISTRA,328.0
NO REGISTRA,345.0
NO REGISTRA,324.0
NO REGISTRA,349.0
NO REGISTRA,323.0
NO REGISTRA,324.0
NO REGISTRA,335.0
NO REGISTRA,358.0
NO REGISTRA,326.0
NO REGISTRA,319.0
NO REGISTRA,333.0
NO REGISTRA,312.0
NO REGISTRA,365.0
NO REGISTRA,324.0
NO REGISTRA,324.0
NO REGISTRA,346.0
NO REGISTRA,332.0
NO REGISTRA,328.0
NO REGISTRA,318.0
NO REGISTRA,332.0
NO REGISTRA,284.0
NO REGISTRA,323.0
NO REGISTRA,322.0
NO REGISTRA,337.0
NO REGISTRA,334.0
NO REGISTRA,342.0
NO REGISTRA,358.0
NO REGISTRA,325.0
NO REGISTRA,346.0
NO REGISTRA,332.0
NO REGISTRA,327.0
NO REGISTRA,302.0
NO REGISTRA,341.0
NO REGISTRA,332.0
NO REGISTRA,346.0
NO REGISTRA,338.0
NO REGISTRA,334.0
NO REGISTRA,328.0
NO REGISTRA,355.0
NO REGISTRA,331.0
NO REGISTRA,341.0
NO REGISTRA,350.0
NO REGISTRA,332.0
NO REGISTRA,324.0
NO REGISTRA,332.0
NO REGISTRA,327.0
NO REGISTRA,328.0
NO REGISTRA,335.0
BOJACA,412.0
NO REGISTRA,327.0
NO REGISTRA,327.0
NO REGISTRA,334.0
NO REGISTRA,341.0
NO REGISTRA,373.0
NO REGISTRA,333.0
NO REGISTRA,330.0
NO REGISTRA,321.0
NO REGISTRA,325.0
NO REGISTRA,329.0
NO REGISTRA,312.0
NO REGISTRA,338.0
NO REGISTRA,355.0
NO REGISTRA,335.0
NO REGISTRA,322.0
NO REGISTRA,323.0
NO REGISTRA,335.0
NO REGISTRA,320.0
NO REGISTRA,332.0
NO REGISTRA,333.0
NO REGISTRA,321.0
NO REGISTRA,359.0
NO REGISTRA,336.0
NO REGISTRA,360.0
NO REGISTRA,342.0
NO REGISTRA,336.0
NO REGISTRA,339.0
NO REGISTRA,332.0
NO REGISTRA,362.0
NO REGISTRA,322.0
NO REGISTRA,324.0
NO REGISTRA,329.0
NO REGISTRA,321.0
NO REGISTRA,323.0
NO REGISTRA,314.0
NO REGISTRA,314.0
NO REGISTRA,324.0
NO REGISTRA,318.0
NO REGISTRA,320.0
BOJACA,412.0
BOJACA,365.0
NO REGISTRA,318.0
NO REGISTRA,318.0
NO REGISTRA,320.0
NO REGISTRA,320.0
NO REGISTRA,327.0
NO REGISTRA,318.0
NO REGISTRA,323.0
NO REGISTRA,318.0
NO REGISTRA,325.0
NO REGISTRA,381.0
NO REGISTRA,316.0
NO REGISTRA,316.0
NO REGISTRA,342.0
NO REGISTRA,336.0
NO REGISTRA,339.0
NO REGISTRA,345.0
NO REGISTRA,370.0
NO REGISTRA,340.0
NO REGISTRA,340.0
NO REGISTRA,343.0
NO REGISTRA,345.0
NO REGISTRA,323.0
NO REGISTRA,328.0
NO REGISTRA,351.0
NO REGISTRA,343.0
NO REGISTRA,340.0
NO REGISTRA,340.0
NO REGISTRA,336.0
NO REGISTRA,371.0
NO REGISTRA,332.0
NO REGISTRA,332.0
NO REGISTRA,361.0
NO REGISTRA,333.0
NO REGISTRA,339.0
NO REGISTRA,364.0
NO REGISTRA,334.0
NO REGISTRA,345.0
NO REGISTRA,355.0
NO REGISTRA,343.0
NO REGISTRA,375.0
NO REGISTRA,352.0
NO REGISTRA,332.0
NO REGISTRA,335.0
BOJACA,430.0
NO REGISTRA,343.0
NO REGISTRA,333.0
NO REGISTRA,342.0
NO REGISTRA,351.0
NO REGISTRA,335.0
NO REGISTRA,319.0
NO REGISTRA,342.0
NO REGISTRA,348.0
NO REGISTRA,341.0
NO REGISTRA,329.0
NO REGISTRA,334.0
NO REGISTRA,335.0
NO REGISTRA,345.0
NO REGISTRA,337.0
NO REGISTRA,343.0
NO REGISTRA,333.0
NO REGISTRA,355.0
NO REGISTRA,343.0
NO REGISTRA,342.0
NO REGISTRA,328.0
NO REGISTRA,334.0
NO REGISTRA,337.0
NO REGISTRA,336.0
NO REGISTRA,342.0
NO REGISTRA,338.0
NO REGISTRA,327.0
NO REGISTRA,348.0
NO REGISTRA,350.0
NO REGISTRA,369.0
NO REGISTRA,313.0
NO REGISTRA,341.0
NO REGISTRA,372.0
NO REGISTRA,346.0
NO REGISTRA,331.0
NO REGISTRA,348.0
NO REGISTRA,332.0
NO REGISTRA,340.0
NO REGISTRA,339.0
NO REGISTRA,353.0
NO REGISTRA,337.0
NO REGISTRA,341.0
NO REGISTRA,337.0
NO REGISTRA,356.0
NO REGISTRA,347.0
NO REGISTRA,315.0
NO REGISTRA,334.0
NO REGISTRA,348.0
NO REGISTRA,328.0
NO REGISTRA,332.0
NO REGISTRA,350.0
NO REGISTRA,345.0
NO REGISTRA,391.0
NO REGISTRA,345.0
NO REGISTRA,355.0
NO REGISTRA,363.0
NO REGISTRA,351.0
NO REGISTRA,339.0
NO REGISTRA,338.0
NO REGISTRA,344.0
NO REGISTRA,357.0
NO REGISTRA,336.0
NO REGISTRA,346.0
NO REGISTRA,338.0
NO REGISTRA,341.0
NO REGISTRA,339.0
NO REGISTRA,341.0
NO REGISTRA,354.0
NO REGISTRA,325.0
NO REGISTRA,326.0
NO REGISTRA,342.0
NO REGISTRA,342.0
NO REGISTRA,345.0
NO REGISTRA,340.0
NO REGISTRA,344.0
NO REGISTRA,345.0
NO REGISTRA,330.0
NO REGISTRA,338.0
NO REGISTRA,326.0
NO REGISTRA,341.0
NO REGISTRA,331.0
NO REGISTRA,332.0
NO REGISTRA,330.0
NO REGISTRA,329.0
NO REGISTRA,335.0
NO REGISTRA,324.0
NO REGISTRA,331.0
NO REGISTRA,323.0
NO REGISTRA,330.0
NO REGISTRA,325.0
NO REGISTRA,322.0
NO REGISTRA,329.0
NO REGISTRA,343.0
NO REGISTRA,325.0
NO REGISTRA,330.0
NO REGISTRA,328.0
NO REGISTRA,332.0
NO REGISTRA,334.0
NO REGISTRA,333.0
NO REGISTRA,332.0
NO REGISTRA,336.0
NO REGISTRA,333.0
NO REGISTRA,338.0
NO REGISTRA,336.0
NO REGISTRA,361.0
NO REGISTRA,361.0
NO REGISTRA,328.0
NO REGISTRA,342.0
NO REGISTRA,328.0
NO REGISTRA,338.0
NO REGISTRA,342.0
NO REGISTRA,353.0
NO REGISTRA,330.0
NO REGISTRA,338.0
NO REGISTRA,322.0
NO REGISTRA,346.0
NO REGISTRA,342.0
NO REGISTRA,337.0
NO REGISTRA,342.0
NO REGISTRA,332.0
NO REGISTRA,334.0
NO REGISTRA,345.0
NO REGISTRA,335.0
NO REGISTRA,342.0
NO REGISTRA,322.0
NO REGISTRA,339.0
NO REGISTRA,337.0
NO REGISTRA,341.0
NO REGISTRA,331.0
NO REGISTRA,322.0
NO REGISTRA,323.0
NO REGISTRA,328.0
NO REGISTRA,325.0
NO REGISTRA,347.0
NO REGISTRA,338.0
NO REGISTRA,358.0
NO REGISTRA,331.0
NO REGISTRA,327.0
NO REGISTRA,334.0
NO REGISTRA,331.0
NO REGISTRA,330.0
NO REGISTRA,330.0
NO REGISTRA,335.0
NO REGISTRA,340.0
NO REGISTRA,350.0
NO REGISTRA,325.0
NO REGISTRA,360.0
NO REGISTRA,323.0
NO REGISTRA,335.0
NO REGISTRA,330.0
NO REGISTRA,330.0
NO REGISTRA,324.0
NO REGISTRA,365.0
NO REGISTRA,335.0
NO REGISTRA,337.0
NO REGISTRA,320.0
NO REGISTRA,360.0
NO REGISTRA,324.0
NO REGISTRA,364.0
NO REGISTRA,326.0
NO REGISTRA,358.0
NO REGISTRA,339.0
NO REGISTRA,337.0
NO REGISTRA,330.0
NO REGISTRA,337.0
NO REGISTRA,330.0
NO REGISTRA,335.0
NO REGISTRA,326.0
NO REGISTRA,336.0
NO REGISTRA,326.0
NO REGISTRA,333.0
NO REGISTRA,334.0
NO REGISTRA,334.0
NO REGISTRA,337.0
NO REGISTRA,353.0
NO REGISTRA,328.0
NO REGISTRA,323.0
NO REGISTRA,342.0
NO REGISTRA,337.0
NO REGISTRA,359.0
NO REGISTRA,333.0
NO REGISTRA,323.0
NO REGISTRA,324.0
NO REGISTRA,325.0
NO REGISTRA,351.0
NO REGISTRA,337.0
NO REGISTRA,320.0
NO REGISTRA,319.0
NO REGISTRA,348.0
NO REGISTRA,383.0
NO REGISTRA,338.0
NO REGISTRA,317.0
NO REGISTRA,325.0
NO REGISTRA,330.0
NO REGISTRA,321.0
NO REGISTRA,320.0
NO REGISTRA,327.0
NO REGISTRA,318.0
NO REGISTRA,330.0
NO REGISTRA,321.0
NO REGISTRA,323.0
NO REGISTRA,323.0
NO REGISTRA,324.0
NO REGISTRA,328.0
NO REGISTRA,325.0
NO REGISTRA,317.0
NO REGISTRA,325.0
NO REGISTRA,322.0
NO REGISTRA,312.0
NO REGISTRA,326.0
NO REGISTRA,328.0
NO REGISTRA,320.0
NO REGISTRA,346.0
