MUNICIPIO,PG_ICFES
BOJACA,411.42
BOJACA,410.0
BOJACA,409.0
BOJACA,418.0
VILLAPINZON,399.62
BOJACA,408.0
SOATA,401.0
BOJACA,404.1
BOJACA,407.0
BOJACA,394.0
BOJACA,391.0
BOJACA,440.0
BOJACA,413.0
BOJACA,385.0
BOJACA,411.0
CARTAGENA,412.0
BOJACA,375.0
BOJACA,409.0
BOJACA,383.0
BOJACA,398.0
BOJACA,393.59
BOJACA,412.0
BOJACA,380.0
FLORENCIA,384.0
BOJACA,423.0
BOJACA,405.0
SOATA,394.0
BOJACA,399.0
BOJACA,381.0
BOJACA,387.0
BOJACA,402.0
BOJACA,414.0
BOJACA,391.0
BOJACA,395.0
BOJACA,394.0
GARZON,419.0
BOJACA,387.0
BOJACA,400.0
BOJACA,371.0
BOJACA,390.0
NO REGISTRA,386.0
SAHAGUN,390.0
BOJACA,386.0
BOJACA,416.0
CABUYARO,404.0
BOJACA,366.27
BOJACA,354.0
BOJACA,524.0
NO REGISTRA,460.0
NO REGISTRA,436.0
BOJACA,454.0
NO REGISTRA,444.0
BOJACA,448.0
NO REGISTRA,420.0
NO REGISTRA,428.0
MANIZALES,446.33
NO REGISTRA,420.0
BOJACA,410.0
NO REGISTRA,419.0
NO REGISTRA,428.0
BOJACA,432.0
BOJACA,423.0
BOJACA,425.0
ACACIAS,415.0
NO REGISTRA,426.0
NO REGISTRA,425.0
BOJACA,424.0
NO REGISTRA,411.0
NO REGISTRA,389.0
NO REGISTRA,406.07
BOJACA,425.0
BOJACA,417.0
NO REGISTRA,420.0
BOJACA,425.0
BOJACA,401.0
NO REGISTRA,408.0
NO REGISTRA,410.0
CHIQUINQUIRA,415.0
NO REGISTRA,401.0
BOJACA,392.0
BOJACA,429.0
NO REGISTRA,398.0
NO REGISTRA,403.51
NO REGISTRA,399.0
BOJACA,401.78
EL BANCO,410.0
NO REGISTRA,408.0
BOJACA,406.0
BOJACA,406.0
COTA,423.0
NO REGISTRA,402.0
NO REGISTRA,400.0
TARQUI,410.0
BOJACA,413.0
BOJACA,420.0
BOJACA,423.0
NO REGISTRA,392.0
NO REGISTRA,399.0
NO REGISTRA,402.0
NO REGISTRA,404.0
CUCUTA,409.0
NO REGISTRA,395.0
BOJACA,385.0
BOJACA,395.13
BOJACA,403.0
BOJACA,399.32
NO REGISTRA,410.0
BOJACA,414.0
BOJACA,402.0
BOJACA,385.0
NO REGISTRA,372.0
BOJACA,389.0
NO REGISTRA,415.0
BOJACA,390.0
GRANADA,379.0
BOJACA,403.0
FLORENCIA,421.0
SOATA,400.0
NO REGISTRA,397.0
BOJACA,393.0
NO REGISTRA,413.0
BOJACA,402.0
BOJACA,393.0
NO REGISTRA,376.0
NO REGISTRA,399.0
NO REGISTRA,395.0
BOJACA,385.0
BOJACA,412.0
NO REGISTRA,392.0
BOJACA,364.0
