NOTA_DIF;NOTA_SUELOS;NOTA_POO;NOTA_FIS_DOS;NOTA_TOP;NOTA_EYB;IDIOMA_ICFES;NOTA_HIST;NOTA_ECUA;NOTA_PROGB;LITERATURA_ICFES;NCA_TRES;NOTA_FOTO;NOTA_FIS_UNO;NOTA_CFJC;VECES_SUELOS;EPA_TRES;NOTA_MULTI;NAP_TRES;VECES_POO;NOTA_INT;NAC_TRES;NAP_UNO;CAR_TRES;VECES_FOTO;NCC_TRES;NCA_UNO;NAA_TRES;VECES_MULTI;NCP_TRES;VECES_HIST;VECES_CFJC;VECES_ECUA;VECES_FIS_DOS;VECES_TOP;EPA_DOS;CREDITOS_ECUA;CREDITOS_FIS_DOS;CREDITOS_CFJC;CREDITOS_FOTO;CREDITOS_MULTI;CREDITOS_POO;CREDITOS_SUELOS;PROMEDIO_DOS;PROMEDIO_UNO;PROMEDIO_TRES;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
40;40;40;35;40;45;61.22;45;40;30;57.32;18.0;45;40;45;1;2;30;0;1;30;7;0;2;1;18.0;15.0;7;2;0.0;1;1;2;1;1;2;3;3;1;2;3;3;3;36.1764705882353;42.666666666666664;38.333333333333336;3.0;40.05882352941177
30;35;50;30;40;40;48.43;45;40;30;62.71;18.0;35;35;40;1;2;30;0;1;40;7;0;0;1;18.0;15.0;7;1;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;35.588235294117645;35.333333333333336;36.94444444444444;2.0;38.8235294117647
30;35;40;30;30;40;37.51;45;30;30;62.71;18.0;40;30;45;1;2;33;0;1;30;7;0;1;1;18.0;15.0;7;2;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;31.176470588235293;36.666666666666664;34.94444444444444;2.0;35.294117647058826
35;35;45;35;35;40;43.48;45;35;30;54.66;18.0;35;30;45;1;2;33;0;1;35;7;0;1;1;18.0;15.0;7;2;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;32.94117647058823;37.0;36.888888888888886;2.0;39.529411764705884
30;30;30;32;30;35;47.79;45;39;30;53.57;18.0;42;30;45;1;2;33;0;1;30;7;0;1;1;18.0;15.0;7;1;0.0;1;1;1;2;1;2;3;3;1;2;3;3;3;30.58823529411765;34.666666666666664;34.5;2.0;38.88235294117647
35;30;30;41;40;40;37.51;45;38;35;45.12;18.0;34;30;50;1;2;32;0;1;30;7;0;1;1;18.0;15.0;7;2;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;33.8235294117647;38.333333333333336;35.05555555555556;2.0;37.411764705882355
30;37;22;0;40;35;42.2;35;0;40;49.15;3.0;21;30;0;1;1;0;2;1;0;3;0;0;1;8.0;15.0;1;0;5.0;1;0;0;0;3;1;3;3;1;2;3;3;3;27.058823529411764;33.666666666666664;27.375;0.0;0.0
35;30;30;30;35;35;46.06;40;35;30;62.59;18.0;30;35;45;1;2;30;0;1;30;7;0;0;1;18.0;15.0;7;1;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;32.35294117647059;36.0;31.666666666666668;2.0;36.1764705882353
35;0;0;0;25;35;50.37;40;0;15;57.57;0.0;0;20;0;0;1;0;0;0;15;0;0;0;0;0.0;15.0;0;0;0.0;1;0;0;0;1;1;3;3;1;2;3;3;3;20.0;39.0;0.0;0.0;0.0
35;35;40;30;35;45;48.65;45;30;30;60.02;18.0;40;35;45;1;2;30;0;1;45;7;0;0;1;18.0;15.0;7;1;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;36.1764705882353;40.0;34.44444444444444;2.0;38.529411764705884
30;31;30;0;32;37;55.84;45;0;30;52.77;8.0;36;35;3;1;1;0;1;1;21;4;0;1;2;9.0;15.0;3;0;1.0;1;1;0;0;1;2;3;3;1;2;3;3;3;30.470588235294116;33.0;28.666666666666668;0.0;0.0
30;30;35;34;35;30;50.37;35;32;50;55.65;18.0;35;30;45;1;2;34;0;1;33;7;0;2;2;18.0;15.0;7;3;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;34.94117647058823;32.0;33.888888888888886;2.0;35.23529411764706
40;30;50;30;40;40;87.56;45;31;30;49.34;18.0;40;35;45;1;2;32;0;1;30;7;0;2;1;18.0;15.0;7;2;0.0;1;1;2;1;1;2;3;3;1;2;3;3;3;33.8235294117647;39.0;35.77777777777778;2.0;37.05882352941177
30;35;30;32;30;45;52.09;40;25;50;53.24;12.0;30;30;45;1;2;25;2;2;30;7;0;3;1;18.0;15.0;5;4;6.0;1;1;3;1;1;2;3;3;1;2;3;3;3;35.294117647058826;33.666666666666664;30.333333333333332;2.0;37.63636363636363
35;40;50;40;35;40;81.05;45;40;45;54.87;18.0;38;35;42;1;2;49;0;1;40;7;0;0;1;18.0;15.0;7;1;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;37.35294117647059;37.666666666666664;43.05555555555556;3.0;43.1764705882353
30;30;50;35;35;45;57.13;45;30;30;54.87;18.0;45;30;45;1;2;31;0;1;35;7;0;2;1;18.0;15.0;7;2;0.0;1;1;2;1;1;2;3;3;1;2;3;3;3;34.411764705882355;35.0;36.833333333333336;2.0;35.64705882352941
30;40;30;30;30;35;53.32;40;34;45;57.88;18.0;35;30;40;1;2;31;0;1;30;7;0;2;2;18.0;15.0;7;2;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;33.23529411764706;32.666666666666664;33.611111111111114;2.0;37.8235294117647
40;30;50;30;35;35;47.79;40;35;30;51.41;18.0;30;35;45;1;2;30;0;1;30;7;0;0;1;18.0;15.0;7;1;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;32.35294117647059;38.0;35.0;2.0;36.1764705882353
30;35;40;30;35;40;67.6;40;30;45;57.32;18.0;35;30;45;1;2;34;0;1;30;7;0;1;1;18.0;15.0;7;4;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;34.705882352941174;34.333333333333336;34.55555555555556;2.0;33.705882352941174
30;0;0;0;0;40;65.86;40;0;0;50.87;0.0;0;0;0;0;1;0;0;0;0;0;1;0;0;0.0;12.0;0;0;0.0;1;0;0;0;0;2;3;3;1;2;3;3;3;40.0;30.333333333333332;0.0;0.0;0.0
35;30;44;30;35;35;45.98;40;34;30;46.97;15.0;30;30;45;1;2;25;1;1;30;7;0;2;2;18.0;15.0;6;3;3.0;1;1;1;1;1;2;3;3;1;2;3;3;3;31.470588235294116;35.333333333333336;33.0;2.0;33.857142857142854
30;34;30;39;30;35;48.65;35;34;30;53.24;18.0;41;30;44;1;2;37;0;1;34;7;0;1;1;18.0;15.0;7;3;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;31.294117647058822;32.0;36.0;2.0;33.588235294117645
30;34;39;31;30;35;44.34;40;37;30;51.14;18.0;32;30;37;1;2;31;0;1;30;7;0;2;2;18.0;15.0;7;1;0.0;1;2;1;1;1;2;3;3;1;2;3;3;3;30.58823529411765;33.0;34.27777777777778;2.0;36.294117647058826
30;30;50;30;30;35;46.92;40;37;50;53.24;18.0;30;30;35;1;2;30;0;1;35;7;0;1;1;18.0;15.0;7;1;0.0;1;1;2;1;1;2;3;3;1;2;3;3;3;35.0;33.333333333333336;34.77777777777778;2.0;35.88235294117647
30;30;30;30;35;40;50.37;40;30;30;44.9;18.0;30;30;40;1;2;30;0;1;30;7;0;0;1;18.0;15.0;7;1;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;32.05882352941177;33.333333333333336;30.555555555555557;2.0;37.8235294117647
30;30;35;30;35;40;45.98;45;31;30;44.91;18.0;35;35;30;1;2;31;0;1;30;7;0;1;1;18.0;15.0;7;2;0.0;1;1;1;1;1;2;3;3;1;2;3;3;3;32.94117647058823;36.333333333333336;31.72222222222222;2.0;36.8235294117647
