NUMERO;PROMEDIO_UNO;NOTA_EE_UNO;PROMEDIO_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_EE_DOS;PROMEDIO_TRES;NAA_TRES;NOTA_MULTIVARIADO;NOTA_ESTADISTICA_UNO;NOTA_TERMODINAMICA;NOTA_TGS;NOTA_EE_TRES;PROMEDIO_CUATRO;CAR_CUATRO;NCC_CUATRO;NCA_CUATRO;NCP_CUATRO;NAC_CUATRO;NAA_CUATRO;NAP_CUATRO;EPA_CUATRO;NOTA_ECONOMIA_UNO;VECES_ECONOMIA_UNO;CREDITOS_ECONOMIA_UNO;NOTA_ECUACIONES;VECES_ECUACIONES;CREDITOS_ECUACIONES;NOTA_ESTADISTICA_DOS;VECES_ESTADISTICA_DOS;CREDITOS_ESTADISTICA_DOS;NOTA_FISICA_DOS;VECES_FISICA_DOS;CREDITOS_FISICA_DOS;NOTA_MECANICA;VECES_MECANICA;CREDITOS_MECANICA;NOTA_PROCESOSQ;VECES_PROCESOSQ;CREDITOS_PROCESOSQ;NOTA_EE_CUATRO;VECES_EE_CUATRO;CREDITOS_EE_CUATRO;RENDIMIENTO_CINCO;PROMEDIO_CINCO
1021;35.2;41.0;35.58823529411764;32.0;31.0;32.0;45.0;37.69444444444444;7;38.0;36.0;34.5;39.0;45.0;39.66666666666666;0;18;18;0;7;7;0;2;37.0;1;2;30.0;1;3;48.0;1;3;37.0;1;3;30.0;1;2;45.0;1;3;50;1;2;2;38.35294117647059
1023;35.7;50.0;34.5;35.0;26.5;32.0;46.0;34.83333333333334;7;31.0;43.0;30.0;32.0;39.0;35.83333333333334;1;18;16;2;7;6;1;2;34.0;1;2;32.0;1;3;43.0;1;3;37.0;1;3;24.5;2;2;34.0;1;3;45;1;2;2;36.1764705882353
1025;36.63333333333333;44.0;36.70588235294117;30.0;40.0;40.0;36.0;34.97222222222222;7;31.0;30.0;31.5;34.0;42.0;36.11111111111111;2;18;16;2;7;6;1;2;36.0;1;2;31.0;2;3;34.0;1;3;36.0;1;3;29.5;2;2;44.0;1;3;42;1;2;2;37.29411764705883
1026;38.06666666666667;45.0;34.52941176470588;28.0;29.0;42.0;38.0;37.94444444444444;7;33.0;31.0;40.0;46.0;48.0;38.88888888888889;1;18;16;2;7;6;1;2;35.0;1;2;32.0;1;3;46.0;1;3;37.0;1;3;29.5;2;2;46.0;1;3;44;1;2;2;37.70588235294117
1027;36.2;45.0;35.64705882352941;27.0;31.0;34.0;45.0;34.44444444444444;7;30.0;33.0;30.0;32.0;45.0;37.51851851851851;1;18;16;2;7;6;1;2;39.0;1;2;35.0;1;3;35.0;1;3;34.0;1;3;28.66666666666667;3;2;44.0;1;3;48;1;2;2;37.23529411764706
1030;33.6;40.0;30.23529411764706;22.5;30.0;32.0;38.0;33.38888888888889;6;20.0;32.0;33.0;30.0;44.0;34.05555555555556;2;18;14;4;7;5;2;2;28.5;2;2;32.0;1;3;44.0;1;3;30.0;1;3;19.0;3;2;36.0;1;3;46;1;2;2;34.44117647058823
1031;38.93333333333333;42.0;43.29411764705883;44.0;37.0;44.0;48.0;39.88888888888889;7;39.0;39.0;34.0;33.0;43.0;40.94444444444444;0;18;18;0;7;7;0;2;41.0;1;2;37.0;1;3;39.0;1;3;45.0;1;3;32.0;1;2;46.0;1;3;45;1;2;3;42.8235294117647
1033;33.0;30.0;29.3125;32.0;28.0;29.0;45.0;29.5;3;34.0;0.0;35.0;6.0;0.0;0.0;0;0;0;0;0;0;0;1;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0;0;2;0;0.0
1036;30.66666666666667;0.0;30.5;23.66666666666667;30.0;28.5;0.0;28.14285714285714;2;0.0;20.0;0.0;31.5;0.0;27.0;0;2;0;2;1;0;1;1;27.0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0;0;2;0;0.0
1038;31.28888888888889;44.0;31.70588235294118;24.0;24.66666666666667;27.5;39.0;36.22222222222222;7;33.0;31.0;31.0;32.0;37.0;31.49074074074074;3;18;10;8;7;4;3;1;36.0;1;2;31.0;1;3;20.66666666666667;3;3;29.5;2;3;25.66666666666667;3;2;36.0;1;3;46;1;2;2;35.11764705882353
1039;30.46153846153846;0.0;25.63333333333333;12.66666666666667;21.0;40.0;0.0;37.0;2;0.0;0.0;0.0;35.0;0.0;22.0;0;4;0;4;2;0;2;1;26.0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;18.0;1;2;0.0;0;3;0;0;2;1;12.0
1040;34.6;44.0;33.8235294117647;28.0;22.5;37.0;45.0;40.27777777777778;7;33.0;50.0;41.0;34.0;40.0;34.38888888888889;0;18;18;0;7;7;0;2;33.0;1;2;32.0;1;3;32.0;1;3;36.0;1;3;30.0;1;2;41.0;1;3;35;1;2;2;35.76470588235294
1043;39.0;50.0;34.1764705882353;28.0;30.0;30.0;42.0;37.11111111111111;7;37.0;37.0;42.0;32.0;40.0;33.72222222222222;3;18;13;5;7;5;2;2;31.0;1;2;27.0;2;3;32.0;1;3;36.0;1;3;29.0;2;2;34.0;1;3;50;2;2;2;36.4
1057;32.93333333333333;47.0;32.05882352941177;26.5;27.5;30.0;46.0;34.11111111111111;7;31.0;35.0;32.0;32.0;37.0;35.72222222222222;1;18;16;2;7;6;1;2;36.0;1;2;36.0;1;3;30.0;1;3;38.0;1;3;28.5;2;2;36.0;1;3;47;1;2;2;37.02941176470588
1064;40.66666666666666;48.0;37.13333333333333;40.0;35.0;30.0;0.0;41.0;6;39.0;40.0;47.0;38.0;0.0;44.625;0;16;16;0;6;6;0;2;41.0;1;2;44.0;1;3;47.0;1;3;44.0;1;3;46.0;1;2;45.0;1;3;0;0;2;3;40.58333333333334
1073;37.66666666666666;43.0;36.05882352941177;41.0;32.0;30.0;31.0;36.0;7;30.0;42.0;36.0;40.0;42.0;32.94444444444444;2;18;12;6;7;5;2;2;32.0;1;2;29.5;2;3;28.5;2;3;31.0;1;3;31.0;1;2;38.0;1;3;43;1;2;2;36.76470588235294
1074;32.61538461538461;0.0;29.43333333333333;27.5;30.0;23.0;0.0;33.36363636363637;3;40.0;0.0;33.0;18.5;0.0;0.0;0;0;0;0;0;0;0;1;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0;0;2;1;14.0
1082;31.55555555555555;33.0;36.8235294117647;37.0;29.0;41.0;41.0;37.77777777777778;7;45.0;41.0;35.0;32.0;38.0;34.44444444444444;0;18;18;0;7;7;0;2;36.0;1;2;32.0;1;3;33.0;1;3;31.0;1;3;32.0;1;2;32.0;1;3;50;1;2;2;34.0
1083;31.28888888888889;43.0;29.23333333333333;29.5;36.0;5.0;0.0;16.38461538461538;2;2.0;13.0;6.0;33.0;0.0;43.0;0;5;5;0;2;2;0;2;46.0;1;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;41.0;1;3;0;0;2;1;23.33333333333333
1092;27.70512820512821;0.0;35.06666666666667;30.0;38.0;41.0;0.0;27.25;3;30.0;31.0;18.0;0.0;0.0;30.2;2;10;5;5;4;2;2;2;38.0;1;2;27.0;2;3;0.0;0;3;0.0;0;3;6.5;2;2;44.0;1;3;0;0;2;1;24.42857142857143
1093;32.2;36.0;33.37777777777778;29.5;36.5;27.33333333333333;0.0;32.875;5;31.0;25.0;32.0;33.0;0.0;35.4375;1;16;14;2;6;5;1;2;31.0;1;2;39.0;1;3;34.0;1;3;34.0;1;3;29.0;2;2;42.0;1;3;0;0;2;2;31.67647058823529
1094;33.43333333333333;40.0;33.88235294117647;28.5;27.5;40.0;48.0;32.46875;5;30.0;35.0;29.5;33.0;0.0;32.84615384615385;1;13;11;2;5;4;1;2;34.0;1;2;33.0;1;3;30.0;1;3;0.0;0;3;28.0;3;2;38.0;1;3;0;0;2;2;30.17647058823529
1095;37.66666666666666;46.0;32.52941176470588;33.0;36.0;29.0;30.0;34.375;6;32.0;30.0;46.0;31.0;0.0;35.57692307692308;1;13;10;3;5;4;1;2;36.0;1;2;32.0;1;3;28.5;2;3;0.0;0;3;37.0;1;2;45.0;1;3;0;0;2;1;20.25
1097;30.06666666666667;42.0;32.0;24.5;28.5;37.0;43.0;34.63888888888889;6;19.5;35.0;42.0;30.5;46.0;35.4;0;15;15;0;6;6;0;2;32.0;1;2;0.0;0;3;30.0;1;3;41.0;1;3;33.0;1;2;34.0;1;3;43;1;2;2;31.51960784313726
1098;38.66666666666666;44.0;35.8235294117647;30.0;38.0;30.0;41.0;39.16666666666666;7;40.0;30.0;48.0;34.0;43.0;42.625;0;16;16;0;6;6;0;2;47.0;1;2;45.0;1;3;47.0;1;3;39.0;1;3;33.0;1;2;43.0;1;3;0;0;2;3;40.23529411764706
1099;30.78888888888889;39.0;23.68888888888889;10.5;12.5;28.66666666666667;0.0;34.0;2;0.0;0.0;0.0;28.0;0.0;32.6;1;5;3;2;2;1;1;2;29.0;2;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;35.0;1;3;0;0;2;1;13.94444444444444
1101;31.32222222222222;49.0;30.47058823529412;25.5;26.5;40.0;42.0;38.0;7;47.0;39.0;38.0;33.0;42.0;33.33333333333334;2;18;13;5;7;5;2;2;31.0;1;2;32.0;1;3;24.0;2;3;32.0;1;3;25.0;2;2;42.0;1;3;49;1;2;2;33.20588235294117
1104;34.33333333333334;35.0;35.26470588235294;29.5;32.0;33.0;49.0;36.11111111111111;7;31.0;37.0;42.0;31.0;33.0;35.0;1;18;16;2;7;6;1;2;32.0;1;2;36.0;1;3;34.0;1;3;33.0;1;3;28.5;2;2;36.0;1;3;46;1;2;2;33.58823529411764
1105;37.2;46.0;37.94117647058823;34.0;37.0;32.0;48.0;41.22222222222222;7;39.0;40.0;49.0;34.0;44.0;44.22222222222222;0;18;18;0;7;7;0;2;47.0;1;2;48.0;1;3;47.0;1;3;41.0;1;3;35.0;1;2;42.0;1;3;49;1;2;3;41.11764705882353
1106;33.55555555555556;49.0;31.67647058823529;28.5;31.0;28.0;44.0;41.11111111111111;7;48.0;39.0;43.0;31.0;46.0;41.72222222222222;0;18;18;0;7;7;0;2;36.0;1;2;45.0;1;3;35.0;1;3;46.0;1;3;32.0;1;2;47.0;1;3;48;1;2;2;39.41176470588236
1109;30.8;37.0;26.0;22.0;0.0;0.0;35.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;1;0.0;0;2;0.0;0;3;0.0;0;3;0.0;0;3;0.0;0;2;0.0;0;3;0;0;2;0;0.0
1121;34.36666666666667;46.0;33.58888888888889;31.0;34.0;27.66666666666667;0.0;33.5;6;34.0;32.0;33.0;33.0;0.0;34.125;0;16;16;0;6;6;0;2;38.0;1;2;32.0;1;3;32.0;1;3;30.0;1;3;34.0;1;2;40.0;1;3;0;0;2;2;38.73529411764706
