PG_ICFES;CON_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;IDIOMA_ICFES;LOCALIDAD;RENDIMIENTO_UNO;PROMEDIO_UNO;LOCALIDAD_COLEGIO;BIOLOGIA_ICFES;CAR_UNO;NCC_UNO;NAA_UNO;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_QUIMICA;NOTA_CFJC;NOTA_TEXTOS;NOTA_SEMINARIO;NOTA_EE_UNO;RENDIMIENTO_DOS;PROMEDIO_DOS;NCC_DOS;NCA_DOS;NAA_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_PBASICA;NOTA_EE_DOS;RENDIMIENTO_TRES;PROMEDIO_TRES;NAA_TRES;NOTA_MULTIVARIADO;NOTA_ESTADISTICA_UNO;NOTA_TERMODINAMICA;NOTA_TGS;NOTA_EE_TRES;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO;NOTA_ECUACIONES;NOTA_ESTADISTICA_DOS;NOTA_FISICA_DOS;NOTA_MECANICA;NOTA_PROCESOSQ;RENDIMIENTO_CINCO;PROMEDIO_CINCO;NOTA_EE_CUATRO;NOTA_PROCESOSM;NOTA_ADMINISTRACION;NOTA_LENGUA_UNO;NOTA_EI_UNO;NOTA_EI_DOS;RENDIMIENTO_SEIS;PROMEDIO_SEIS;NCA_SEIS;NOTA_PLINEAL;NOTA_DISENO;NOTA_EI_TRES;RENDIMIENTO_SIETE;PROMEDIO_SIETE;NOTA_IECONOMICA;NAA_SIETE;NOTA_GRAFOS;NOTA_CALIDAD_UNO;NOTA_ERGONOMIA;NOTA_EI_CINCO;RENDIMIENTO_OCHO;PROMEDIO_OCHO;PROMEDIO_NUEVE;RENDIMIENTO_NUEVE
473.19;53.2;64.0;52.34;49.65;16;2.0;32.53333333333333;16;62.54;1;15.0;6;23.75;30.0;35.0;40.0;35.0;40.0;39.0;2.0;30.83333333333337;16.0;8.0;3;22.5;27.5;28.666666666667;35.0;38.0;2.0;30.307692307692307;4;25.0;30.0;0.0;30.0;0.0;2.0;31.63888888888889;28.5;35.0;30.0;30.0;35.0;2.0;32.2;32;31.0;35.0;0.0;35.0;30.0;2.0;33.1666666666667;10.0;29.5;40.0;40;2.0;37.66666666666666;21.666666666667;5;37.0;41.0;41.0;0.0;2.0;35.111111111111114;35.07692307692308;2.0
494.25;65.16;66.74;59.25;62.69;20;2.0;34.2;20;62.54;0;15.0;7;30.0;30.0;35.0;40.0;35.0;40.0;39.0;2.0;33.09375;16.0;13.0;5;27.5;35.0;30.0;40.0;36.0;2.0;36.73333333333333;6;30.0;35.0;0.0;33.0;45.0;2.0;33.5;40.0;30.0;30.0;40.0;25.0;2.0;34.07692307692308;44;33.0;35.0;42.0;0.0;0.0;2.0;35.266666666666666;15.0;30.0;40.0;0;2.0;38.77777777777778;30.0;5;49.0;37.0;40.0;0.0;2.0;31.0;34.82051282051277;2.0
459.45;65.16;61.41;57.44;58.45;13;1.0;15.0;1;53.95;0;9.0;0;15.0;0.0;15.0;15.0;0.0;15.0;0.0;1.0;15.0;3.0;0.0;0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
511.68;58.13;56.51;61.18;71.53;20;2.0;36.15384615384615;20;55.99;0;13.0;6;30.0;0.0;35.0;45.0;35.0;40.0;45.0;2.0;37.5;12.0;12.0;4;40.0;30.0;0.0;40.0;0.0;1.0;27.5;1;15.0;0.0;0.0;0.0;0.0;1.0;15.0;0.0;0.0;0.0;0.0;0.0;1.0;20.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
488.76;75.27;58.93;54.01;88.67;8;2.0;37.93333333333333;9;79.45;0;15.0;7;35.0;35.0;40.0;45.0;45.0;40.0;32.0;2.0;39.0625;16.0;16.0;6;40.0;30.0;45.0;35.0;50.0;3.0;40.333333333333336;6;40.0;40.0;0.0;45.0;42.0;3.0;43.61111111111112;50.0;50.0;40.0;35.0;45.0;3.0;43.53846153846154;45;45.0;45.0;45.5;0.0;0.0;3.0;42.13333333333333;15.0;35.0;35.0;0;3.0;43.333333333333336;40.0;5;40.0;45.0;45.0;0.0;4.0;45.27272727272727;40.30769230769231;3.0
463.75;62.82;76.74;63.27;47.21;20;2.0;35.4;20;58.09;0;15.0;7;30.0;50.0;30.0;40.0;35.0;45.0;33.0;2.0;33.3125;16.0;16.0;6;30.0;30.0;30.0;45.0;34.0;2.0;39.06666666666667;6;30.0;35.0;0.0;45.0;40.0;2.0;35.27777777777778;30.0;30.0;35.0;40.0;40.0;2.0;38.05882352941177;45;40.0;40.0;40.0;45.0;36.0;2.0;36.64705882352941;17.0;30.0;40.0;43;2.0;39.333333333333336;30.0;5;40.0;40.0;45.0;0.0;2.0;34.30303030303036;38.07692307692308;2.0
478.39;78.22;64.0;59.25;69.48;10;1.0;26.818181818181817;0;55.99;0;11.0;2;25.0;0.0;15.0;20.0;0.0;40.0;45.0;1.0;21.2;5.0;2.0;1;0.0;0.0;0.0;15.0;30.5;4.0;50.0;1;0.0;0.0;0.0;0.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
477.27;81.5;58.93;57.44;69.48;20;2.0;32.733333333333334;20;58.09;1;15.0;6;22.5;40.0;30.0;40.0;40.0;45.0;33.0;2.0;32.03125;16.0;13.0;5;32.5;25.0;30.0;40.0;35.0;2.0;33.766666666666666;5;27.5;30.0;0.0;40.0;30.0;2.0;30.694444444444443;30.0;25.0;30.0;32.5;27.5;2.0;32.4;35;30.0;35.0;0.0;40.0;38.0;2.0;32.666666666666735;12.0;24.666666666667;40.0;0;2.0;38.888888888888886;30.0;5;49.0;35.0;41.0;0.0;2.0;34.111111111111114;36.15384615384615;2.0
476.73;65.16;64.0;57.44;48.43;10;2.0;31.153846153846157;10;53.95;1;13.0;5;20.0;30.0;35.0;40.0;40.0;40.0;0.0;1.0;28.125;12.0;6.0;2;30.0;27.5;0.0;30.0;0.0;1.0;26.454545454545453;3;7.0;40.0;0.0;30.0;0.0;1.0;24.0909090909091;1.6666666666667;30.0;0.0;0.0;30.0;1.0;8.0;0;0.0;11.5;0.0;0.0;0.0;1.0;26.875;2.0;0.0;30.0;0;2.0;40.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
488.95;69.99;58.93;52.34;54.57;18;2.0;37.2;18;60.25;0;15.0;7;35.0;40.0;30.0;40.0;45.0;40.0;39.0;2.0;36.375;16.0;16.0;6;30.0;30.0;35.0;45.0;46.0;3.0;42.2;6;35.0;45.0;0.0;45.0;42.0;3.0;41.66666666666666;40.0;50.0;40.0;35.0;40.0;2.0;36.61538461538461;45;35.0;35.0;0.0;48.0;0.0;2.0;36.66666666666666;15.0;30.0;35.0;0;3.0;40.44444444444444;40.0;5;40.0;40.0;40.0;0.0;3.0;41.55555555555556;39.23076923076923;2.0
