NOTA_FOGEP;NOTA_EI_OP_DI;NOTA_EI_OP_CII;NOTA_EI_OP_CI;NOTA_EI_OP_AIII;NOTA_ING_ECONOMICA;VECES_FOGEP;NOTA_GRADO_UNO;NOTA_GRADO_DOS;VECES_EI_OP_DI;NOTA_EI_OP_BIII;NCP_NUEVE;NOTA_GES_CAL_VAL_SOFT;NOTA_SIS_OP;VECES_EI_OP_BIII;VECES_GRADO_UNO;VECES_EI_OP_CII;NCA_NUEVE;NAC_OCHO;NAC_NUEVE;VECES_EI_OP_CI;VECES_GRADO_DOS;VECES_GES_CAL_VAL_SOFT;VECES_EI_OP_AIII;CAR_NUEVE;NCC_NUEVE;NAA_NUEVE;EPA_NUEVE;VECES_EI_OP_AII;NAP_NUEVE;VECES_SIS_OP;NOTA_EI_OP_AII;CREDITOS_GRADO_DOS;CREDITOS_EI_OP_AIII;CREDITOS_GRADO_UNO;CREDITOS_FOGEP;CREDITOS_EI_OP_DI;CREDITOS_EI_OP_CII;PROMEDIO_SIETE;PROMEDIO_TRES;PROMEDIO_CINCO;PROMEDIO_SEIS;CREDITOS_EI_OP_BIII;RENDIMIENTO_DIEZ;PROMEDIO_DIEZ
48.0;39.0;45.0;32.0;30;35.0;1;50;50;1;39.0;0.0;40.0;48.0;1;1;1;12.0;7;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;39.0;31.916666666666668;35.078947368421055;40.0;3;3.0;41.94444444444444
43.0;43.0;45.0;45.0;0;50.0;1;50;50;1;46.5;0.0;45.0;44.0;2;1;1;12.0;6;4;1;1;1;0;1;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;44.73684210526316;37.27777777777778;40.1578947368421;42.388888888888886;3;4.0;45.96666666666667
47.0;46.0;47.0;44.0;39;37.0;1;47;47;1;50.0;0.0;34.0;50.0;1;1;1;15.0;6;5;1;1;1;1;0;15.0;5;2;1;0;1;49.0;3;3;1;2;3;3;42.31578947368421;36.77777777777778;39.8421052631579;41.833333333333336;3;4.0;46.0
40.0;40.0;45.0;45.0;43;44.0;1;45;45;1;0.0;0.0;48.0;44.0;0;1;1;9.0;5;3;1;1;1;1;0;9.0;3;2;0;0;1;0.0;3;3;1;2;3;3;39.8421052631579;32.583333333333336;33.39473684210526;40.666666666666664;3;3.0;42.93333333333333
0.0;0.0;0.0;0.0;0;33.0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;3.0;1;1;0;0;0;0;0;3.0;1;2;1;0;0;48.0;3;3;1;2;3;3;23.6;27.916666666666668;37.09090909;25.96296296222222;3;0.0;0.0
48.0;50.0;49.0;46.0;46;50.0;1;50;0;1;50.0;0.0;45.0;48.0;1;1;1;12.0;6;4;1;0;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;44.89473684210526;39.05555555555556;41.26315789473684;44.0;3;4.0;48.733333333333334
37.0;37.0;41.0;41.0;0;37.0;1;47;47;1;43.0;0.0;48.0;36.0;2;1;1;12.0;6;4;1;1;1;0;1;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;38.63157894736842;36.138888888888886;35.078947368421055;38.416666666666664;3;3.0;41.666666666666664
33.0;36.0;37.0;18.66666667;0;31.0;1;0;0;1;38.5;3.0;49.0;38.0;2;0;1;9.0;6;4;3;0;1;0;2;12.0;3;2;0;1;1;0.0;3;3;1;2;3;3;37.0625;30.555555555555557;27.000000001052634;38.833333333333336;3;2.0;36.40909090909091
41.0;45.0;45.0;45.0;46;33.0;1;50;41;1;47.0;0.0;39.0;46.0;1;1;1;15.0;6;5;1;1;1;1;0;15.0;5;2;1;0;1;47.0;3;3;1;2;3;3;40.1578947368421;40.55555555555556;40.63157894736842;41.833333333333336;3;3.0;44.666666666666664
37.0;48.0;44.0;44.0;34;38.0;1;50;50;1;42.0;0.0;41.0;36.0;1;1;1;12.0;6;4;1;1;1;1;0;12.0;4;2;0;0;1;0.0;3;3;1;2;3;3;40.63157894736842;33.638888888888886;35.026315789473685;41.888888888888886;3;3.0;43.22222222222222
