NUMERO;PROMEDIO_DOS;NOTA_EE_CUATRO;PROMEDIO_CINCO;NOTA_LENGUA_UNO;PROMEDIO_SEIS;NOTA_IECONOMICA;PROMEDIO_SIETE;NAA_SIETE;NOTA_GRAFOS;NOTA_CALIDAD_UNO;NOTA_ERGONOMIA;NOTA_EI_CINCO;PROMEDIO_OCHO;CAR_OCHO;NCC_OCHO;NCA_OCHO;NCP_OCHO;NAC_OCHO;NAA_OCHO;NAP_OCHO;EPA_OCHO;NOTA_LOG_UNO;VECES_LOG_UNO;CREDITOS_LOG_UNO;NOTA_GOPERACIONES;VECES_GOPERACIONES;CREDITOS_GOPERACIONES;NOTA_CALIDAD_DOS;VECES_CALIDAD_DOS;CREDITOS_CALIDAD_DOS;NOTA_GAMBIENTAL;VECES_GAMBIENTAL;CREDITOS_GAMBIENTAL;NOTA_LENGUA_DOS;VECES_LENGUA_DOS;CREDITOS_LENGUA_DOS;NOTA_CONTEXTO;VECES_CONTEXTO;CREDITOS_CONTEXTO;NOTA_EI_SEIS;VECES_EI_SEIS;CREDITOS_EI_SEIS;NOTA_EI_SIETE;VECES_EI_SIETE;CREDITOS_EI_SIETE;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
1180;37.64705882352941;48;35.94117647058823;45.0;37.88235294117647;37.0;38.8;7;42.0;40.0;40.0;40.0;41.64285714285715;0;14;14;0;7;7;0;2;33.0;1;2;40.0;1;3;46.0;1;2;0;0;2;47.0;1;2;47.0;1;1;40.0;1;2;42.0;1;2;3;41.8125
1181;29.3;0;30.54166666666666;35.0;32.0;35.0;40.0;1;0.0;40.0;0.0;0.0;9.0;1;5;0;5;3;0;3;1;0.0;0;2;0.0;0;3;7.0;1;2;0;0;2;5.0;1;2;21.0;2;1;0.0;0;2;0.0;0;2;0;0.0
1183;36.41176470588236;50;40.8235294117647;45.0;39.76470588235294;38.0;42.93333333333333;8;48.0;46.0;42.0;41.0;40.60714285714285;1;14;14;0;7;7;0;2;37.0;1;2;36.5;2;3;45.0;1;2;0;0;2;41.0;1;2;37.0;1;1;42.0;1;2;46.0;1;2;2;37.0625
1184;41.41176470588236;44;40.29411764705883;46.0;42.05882352941177;46.0;43.46666666666667;8;49.0;45.0;44.0;37.0;43.78571428571428;0;14;14;0;7;7;0;2;44.0;1;2;36.0;1;3;46.0;1;2;0;0;2;48.0;1;2;43.0;1;1;45.0;1;2;48.0;1;2;3;41.1875
1187;39.23529411764706;43;37.11764705882353;42.0;37.73529411764706;45.0;37.93333333333333;8;31.0;39.0;40.0;36.0;40.42857142857143;0;14;14;0;7;7;0;2;42.0;1;2;38.0;1;3;41.0;1;2;0;0;2;39.0;1;2;38.0;1;1;45.0;1;2;40.0;1;2;2;35.13333333333333
1189;40.58823529411764;50;42.35294117647059;49.0;41.29411764705883;41.0;47.06666666666667;8;49.0;46.0;47.0;50.0;43.71428571428572;0;14;14;0;7;7;0;2;47.0;1;2;39.0;1;3;46.0;1;2;0;0;2;49.0;1;2;43.0;1;1;41.0;1;2;43.0;1;2;3;44.9375
1190;36.58823529411764;45;38.47058823529412;43.0;38.0;46.0;35.93333333333333;7;30.5;37.0;43.0;46.0;37.35714285714285;0;14;14;0;7;7;0;2;30.0;1;2;30.0;1;3;39.0;1;2;0;0;2;47.0;1;2;37.0;1;1;45.0;1;2;37.0;1;2;2;35.53333333333333
1191;38.29411764705883;41;36.33333333333334;0.0;37.94117647058823;40.0;39.0;7;45.0;46.0;42.0;40.0;35.41666666666666;0;12;12;0;6;6;0;2;35.0;1;2;30.0;1;3;38.0;1;2;0;0;2;0.0;0;2;35.0;1;1;38.0;1;2;39.0;1;2;2;38.5
1192;36.58823529411764;0;36.29411764705883;38.0;32.0625;30.0;34.93333333333333;7;36.0;36.0;38.0;35.0;35.1;0;10;10;0;5;5;0;2;31.0;1;2;31.0;1;3;34.0;1;2;0;0;2;45.0;1;2;38.0;1;1;0.0;0;2;0.0;0;2;2;33.125
1194;34.58823529411764;0;35.41176470588236;39.0;35.47058823529412;36.0;38.46666666666667;8;34.0;39.0;41.0;31.0;39.0;0;14;14;0;7;7;0;2;35.0;1;2;30.0;1;3;44.0;1;2;0;0;2;42.0;1;2;46.0;1;1;44.0;1;2;40.0;1;2;2;35.0
1198;44.47058823529412;50;42.70588235294117;49.0;41.76470588235294;47.0;45.2;8;47.0;46.0;43.0;45.0;46.35714285714285;0;14;14;0;7;7;0;2;43.0;1;2;50.0;1;3;45.0;1;2;0;0;2;47.0;1;2;47.0;1;1;48.0;1;2;43.0;1;2;3;43.25
1207;39.6;0;37.20588235294117;47.0;36.41176470588236;34.0;38.8;8;42.0;35.5;32.0;42.0;33.0;2;14;9;5;7;5;2;2;39.0;1;2;22.66666666666667;3;3;41.0;1;2;0;0;2;43.0;1;2;34.0;1;1;17.0;2;2;40.0;1;2;1;25.75
