NOTA_GEO_FIS;NOTA_L_DOS;NOTA_ECUA;CAR_CINCO;NOTA_CARTO;NOTA_LEGIC;NOTA_GEOGEO;NOTA_POO;NOTA_CFJC;NOTA_INGECO;VECES_L_DOS;NOTA_SUELOS;NOTA_FOTO;NAA_SEIS;NCA_SEIS;NOTA_HSE;NOTA_SIG;NOTA_ME;NOTA_EE_UNO;NOTA_PROGB;CAR_SEIS;VECES_CARTO;NOTA_TOP;LITERATURA_ICFES;VECES_EE_UNO;NOTAS_SISC;NCP_SEIS;VECES_BD;NCC_SEIS;NAP_SEIS;VECES_GEO_FIS;VECES_SIG;NAC_SEIS;EPA_SEIS;VECES_INGECO;PROMEDIO_DOS;PROMEDIO_UNO;PROMEDIO_CINCO;PROMEDIO_CUATRO;PROMEDIO_SEIS;VECES_LEGIC;CREDITOS_GEO_FIS;CREDITOS_L_DOS;CREDITOS_EE_UNO;CREDITOS_INGECO;CREDITOS_LEGIC;VECES_HSE;CREDITOS_SIG;RENDIMIENTO_SIETE;PROMEDIO_SIETE
31;46;35;1;37;41;38;40;45;33;1;35;35;7;15.0;40;38;34;40;30;2;1;35;60.56;1.0;44;0.0;1;15.0;0;3;1;7;2;2;34.11764705882353;38.333333333333336;38.55555555555556;37.94117647058823;37.8;1;3;2;2;2;2;1;3;3.0;40.3125
37;43;40;2;39;40;45;40;45;43;1;40;45;7;15.0;44;40;32;50;30;0;1;40;57.32;1.0;35;0.0;2;15.0;0;1;1;7;2;1;36.1764705882353;42.666666666666664;38.27777777777778;40.05882352941177;41.8;1;3;2;2;2;2;1;3;2.0;37.3125
34;39;40;1;37;42;40;50;40;45;1;35;35;7;15.0;47;38;30;43;30;0;1;40;62.71;1.0;35;0.0;2;15.0;0;1;1;7;2;1;35.588235294117645;35.333333333333336;36.611111111111114;38.8235294117647;40.06666666666667;1;3;2;2;2;2;1;3;2.0;38.1875
32;45;30;0;40;38;30;40;45;39;1;35;40;7;15.0;39;39;32;48;30;0;1;30;62.71;1.0;34;0.0;1;15.0;0;1;1;7;2;1;31.176470588235293;36.666666666666664;36.666666666666664;35.294117647058826;39.46666666666667;1;3;2;2;2;2;1;3;2.0;38.1875
35;44;35;0;36;38;31;45;45;44;1;35;35;7;15.0;45;42;40;45;30;0;1;35;54.66;1.0;44;0.0;1;15.0;0;1;1;7;2;1;32.94117647058823;37.0;37.666666666666664;39.529411764705884;41.2;1;3;2;2;2;2;1;3;2.0;38.9375
30;45;39;2;37;35;38;30;45;37;1;30;42;7;15.0;44;36;34;47;30;1;1;30;53.57;1.0;34;0.0;1;15.0;0;4;1;7;2;1;30.58823529411765;34.666666666666664;35.166666666666664;38.88235294117647;38.0;1;3;2;2;2;2;1;3;2.0;39.0
43;39;38;0;47;38;34;30;50;43;1;30;34;7;15.0;43;40;31;49;35;0;1;40;45.12;1.0;35;0.0;1;15.0;0;1;1;7;2;1;33.8235294117647;38.333333333333336;38.388888888888886;37.411764705882355;42.0;1;3;2;2;2;2;1;3;3.0;40.625
0;0;0;0;0;0;0;22;0;0;0;37;21;0;0.0;0;0;0;0;40;0;0;40;49.15;0.0;0;0.0;0;0.0;0;0;0;0;1;0;27.058823529411764;33.666666666666664;0.0;0.0;0.0;0;3;2;2;2;2;0;3;0.0;0.0
41;39;35;2;30;37;31;30;45;44;1;30;30;7;15.0;42;38;31;41;30;0;1;35;62.59;1.0;41;0.0;1;15.0;0;1;1;7;2;1;32.35294117647059;36.0;34.888888888888886;36.1764705882353;40.06666666666667;1;3;2;2;2;2;1;3;2.0;37.25
36;42;30;0;38;36;30;40;45;45;1;35;40;7;15.0;43;36;36;47;30;1;1;35;60.02;1.0;41;0.0;1;15.0;0;2;1;7;2;1;36.1764705882353;40.0;39.05555555555556;38.529411764705884;39.93333333333333;1;3;2;2;2;2;1;3;1.0;21.1875
