GENERO;TIPO_COLEGIO;LOCALIDAD_COLEGIO;CALENDARIO;MUNICIPIO;DEPARTAMENTO;PG_ICFES;CON_MAT_ICFES;APT_MAT_ICFES;FISICA_ICFES;QUIMICA_ICFES;APT_VERB_ICFES;LITERATURA_ICFES;BIOLOGIA_ICFES;SOCIALES_ICFES;FILOSOFIA_ICFES;IDIOMA_ICFES;LOCALIDAD;DISTANCIA;INSCRIPCION;ESTRATO;ANO_INGRESO;RENDIMIENTO_UNO;PROMEDIO_UNO
1;2;4;1;19;5;516.27;75.41;75.41;66.68;93.36;70.87;70.87;75.95;0.0;69.52;60.44;4;4;9;2;2011;2;36.73333333333333
0;1;19;1;19;5;442.46;63.02;63.02;66.93;54.1;56.41;56.41;71.9;0.0;65.24;50.87;19;5;4;1;2011;1;23.97727272727273
1;2;9;1;19;5;484.89;83.87;83.87;57.4;75.48;67.92;67.92;66.77;0.0;66.58;75.1;8;3;9;2;2011;2;36.46666666666667
0;1;8;1;19;5;492.05;78.36;78.36;69.72;69.64;73.83;73.83;72.69;0.0;65.24;68.86;8;3;9;3;2011;1;15.0
0;2;19;1;19;5;468.27;72.05;72.05;82.7;59.52;53.63;53.63;72.69;0.0;60.81;67.41;19;5;9;3;2011;2;34.11111111111111
0;2;11;1;19;5;525.11;79.26;79.26;69.72;93.36;65.03;65.03;72.69;0.0;75.71;68.41;11;5;9;2;2011;2;33.46666666666667
0;2;13;1;19;5;498.55;66.17;66.17;86.86;75.02;62.21;62.21;71.9;0.0;69.52;79.81;13;1;9;4;2011;2;34.53333333333333
0;2;10;1;19;5;480.62;66.17;66.17;73.09;69.14;67.92;67.92;65.98;0.0;63.68;55.62;10;3;9;2;2011;1;26.8
1;2;9;1;19;5;496.64;71.35;71.35;63.65;72.45;80.64;80.64;69.65;0.0;74.04;77.13;9;4;9;3;2011;2;38.93333333333333
1;1;8;1;19;5;358.86;58.94;58.94;53.43;54.3;43.85;43.85;52.77;0.0;42.19;48.4;8;3;6;3;2011;2;35.33333333333334
1;2;11;1;19;5;489.69;72.05;72.05;63.86;69.14;77.28;77.28;68.87;0.0;66.58;75.1;11;5;9;3;2011;2;34.1
1;2;19;1;19;5;488.88;72.05;72.05;69.98;78.39;73.98;73.98;60.48;0.0;69.52;77.55;19;5;9;1;2011;2;36.9
1;2;1;1;19;5;455.15;71.35;71.35;76.27;69.14;64.91;64.91;52.34;0.0;53.93;94.05;11;5;9;3;2011;2;34.06666666666667
0;2;15;1;19;5;478.08;68.39;68.39;82.7;59.52;73.83;73.83;55.92;0.0;68.09;68.86;4;4;9;2;2011;2;35.93333333333333
0;2;18;1;19;5;491.06;71.35;71.35;73.09;82.24;73.83;73.83;68.87;0.0;56.82;73.24;16;2;9;3;2011;2;33.30769230769231
1;1;8;1;19;5;491.13;78.36;78.36;63.86;82.24;70.74;70.74;71.9;0.0;56.82;79.4;8;3;9;2;2011;2;37.4
0;2;2;1;19;5;506.25;78.36;78.36;75.93;93.36;67.8;67.8;66.77;0.0;56.82;85.05;15;3;9;3;2011;2;38.93333333333333
0;2;10;1;19;5;477.79;78.36;78.36;69.72;78.83;67.8;67.8;72.69;0.0;56.82;66.03;10;3;9;2;2011;2;37.13333333333333
0;1;14;1;19;5;508.49;74.62;74.62;66.93;69.14;70.74;70.74;68.87;0.0;77.27;68.86;4;4;9;2;2011;2;30.95555555555556
1;2;8;1;19;5;473.34;83.87;83.87;69.72;66.99;65.03;65.03;61.28;0.0;66.58;59.21;8;3;9;2;2011;2;36.13333333333333
1;1;19;1;19;5;490.83;74.62;74.62;66.93;66.48;73.83;73.83;68.87;0.0;65.24;58.47;19;5;9;2;2011;2;37.13333333333333
1;1;9;1;19;5;468.82;89.92;89.92;69.72;66.99;59.4;59.4;69.65;0.0;48.66;48.42;9;4;9;2;2011;2;34.73333333333333
0;2;7;1;19;5;504.65;88.79;88.79;66.68;78.83;73.83;73.83;69.65;0.0;59.66;61.66;8;3;9;3;2011;2;35.13333333333333
1;1;10;1;19;5;428.63;63.5;63.5;66.68;54.61;65.03;65.03;63.99;0.0;54.95;50.87;10;3;4;2;2011;2;34.66666666666666
0;2;10;1;19;5;474.92;74.62;74.62;69.72;72.45;67.8;67.8;66.77;0.0;53.93;70.37;12;3;9;3;2011;1;17.27272727272727
0;2;10;1;19;5;496.77;79.26;79.26;69.98;86.89;65.03;65.03;63.2;0.0;72.54;52.08;10;3;9;3;2011;2;38.4
0;1;16;1;19;5;486.1;78.36;78.36;66.93;66.48;67.8;67.8;71.9;0.0;62.46;47.58;16;2;9;3;2011;1;22.0
1;2;2;1;19;5;491.47;79.26;79.26;73.09;75.02;62.21;62.21;68.87;0.0;63.68;88.85;20;6;9;3;2011;2;38.66666666666666
1;2;2;1;19;5;491.54;78.36;78.36;69.72;87.29;67.8;67.8;55.92;0.0;65.24;73.24;11;5;9;3;2011;2;37.6
0;2;7;1;19;5;518.55;75.41;75.41;69.98;86.89;67.92;67.92;82.9;0.0;60.81;79.4;8;3;9;2;2011;2;36.26666666666667
0;2;17;1;19;5;500.63;68.39;68.39;73.09;82.24;64.91;64.91;71.9;0.0;65.24;58.01;18;3;9;3;2011;2;36.93333333333333
0;2;17;1;19;5;516.22;79.26;79.26;69.98;82.24;62.21;62.21;75.16;0.0;66.58;89.24;10;3;9;3;2011;2;34.46666666666667
1;2;10;1;19;5;494.01;74.62;74.62;73.09;75.02;64.91;64.91;63.2;0.0;71.0;81.98;8;3;9;2;2011;2;37.26666666666667
1;1;8;1;19;5;427.42;63.5;63.5;57.57;59.0;59.4;59.4;57.8;0.0;60.81;66.95;8;3;7;3;2011;2;32.6
0;1;5;1;19;5;485.43;68.39;68.39;79.22;75.48;73.83;73.83;63.99;0.0;59.66;88.85;5;6;9;2;2011;2;32.8
0;1;4;1;19;5;474.97;69.01;69.01;76.27;69.14;59.4;59.4;78.77;0.0;57.9;50.87;6;5;9;2;2011;2;33.03333333333333
1;1;7;1;19;5;471.71;75.41;75.41;76.27;63.93;70.87;70.87;55.09;0.0;72.54;50.1;7;5;9;2;2011;1;16.81818181818182
0;2;11;1;19;5;523.87;88.79;88.79;76.27;69.14;77.1;77.1;75.16;0.0;65.24;88.85;11;5;9;2;2011;2;39.93333333333333
1;2;11;1;19;5;489.97;60.51;60.51;72.78;66.99;70.74;70.74;63.99;0.0;74.04;79.81;11;5;9;3;2011;2;35.4
0;1;14;1;19;5;480.47;78.36;78.36;63.86;63.93;62.11;62.11;63.2;0.0;68.09;63.4;14;2;9;3;2011;2;30.45454545454545
