NOTA_EI_OP_AII;NOTA_GES_CAL_VAL_SOFT;NOTA_EI_OP_CI;NOTA_SIS_OP;VECES_EI_OP_AII;VECES_SIS_OP;NOTA_ING_ECONOMICA;VECES_EI_OP_CI;NAC_OCHO;VECES_GES_CAL_VAL_SOFT;VECES_EI_OP_AI;NOTA_REDES_COM_TRES;NCC_OCHO;NOTA_EI_OP_BII;VECES_EI_OP_BII;NOTA_EI_OP_AI;VECES_EI_OP_BI;CAR_OCHO;VECES_DIS_ARQ_SOFT;NOTA_CIBERNETICA_TRES;NAP_OCHO;NOTA_DIS_ARQ_SOFT;VECES_ING_ECONOMICA;EPA_OCHO;NCP_OCHO;NCA_OCHO;NAA_OCHO;CREDITOS_EI_OP_AII;CREDITOS_EI_OP_CI;CREDITOS_EI_OP_BII;CREDITOS_SIS_OP;CREDITOS_GES_CAL_VAL_SOFT;PROMEDIO_SIETE;PROMEDIO_TRES;PROMEDIO_CINCO;PROMEDIO_SEIS;RENDIMIENTO_NUEVE;PROMEDIO_NUEVE
49.0;34.0;44.0;50.0;1;1;37.0;1;6;1;1;37.0;16.0;40.0;1;44.0;1;0;1;44.0;0;44.0;1;2;0.0;16.0;6;3;3;3;3;3;42.31578947368421;36.77777777777778;39.8421052631579;41.833333333333336;3.0;43.4
0.0;48.0;45.0;44.0;0;1;44.0;1;5;1;1;45.0;13.0;0.0;0;34.0;0;0;1;45.0;0;49.0;1;2;0.0;13.0;5;3;3;3;3;3;39.8421052631579;32.583333333333336;33.39473684210526;40.666666666666664;4.0;45.666666666666664
48.0;0.0;0.0;0.0;1;0;33.0;0;1;0;0;0.0;2.0;0.0;0;0.0;0;0;0;0.0;0;0.0;1;2;0.0;2.0;1;3;3;3;3;3;23.6;27.916666666666668;37.09090909;25.96296296222222;4.0;48.0
0.0;45.0;46.0;48.0;0;1;50.0;1;6;1;1;38.0;16.0;44.0;1;46.0;1;0;1;50.0;0;49.0;1;2;0.0;16.0;6;3;3;3;3;3;44.89473684210526;39.05555555555556;41.26315789473684;44.0;4.0;45.75
0.0;48.0;41.0;36.0;0;1;37.0;1;6;1;1;43.0;16.0;46.5;2;30.0;1;0;1;42.0;0;44.0;1;2;0.0;16.0;6;3;3;3;3;3;38.63157894736842;36.138888888888886;35.078947368421055;38.416666666666664;3.0;42.875
0.0;49.0;18.66666667;38.0;0;1;31.0;3;6;1;2;40.0;16.0;38.0;2;23.0;1;2;1;36.5;1;32.0;1;2;3.0;13.0;5;3;3;3;3;3;37.0625;30.555555555555557;27.000000001052634;38.833333333333336;2.0;35.9166666675
50.0;0.0;0.0;0.0;1;0;0.0;0;0;0;0;0.0;0.0;0.0;0;0.0;0;0;0;0.0;0;0.0;0;1;0.0;0.0;0;3;3;3;3;3;0.0;0.0;0.0;0.0;4.0;50.0
47.0;39.0;45.0;46.0;1;1;33.0;1;6;1;1;41.0;16.0;39.0;1;47.0;1;0;1;43.0;0;42.0;1;2;0.0;16.0;6;3;3;3;3;3;40.1578947368421;40.55555555555556;40.63157894736842;41.833333333333336;3.0;43.2
0.0;41.0;44.0;36.0;0;1;38.0;1;6;1;1;47.0;16.0;43.0;1;43.0;1;0;1;42.0;0;44.0;1;2;0.0;16.0;6;3;3;3;3;3;40.63157894736842;33.638888888888886;35.026315789473685;41.888888888888886;3.0;41.0
0.0;44.0;42.0;35.0;0;1;35.0;1;6;1;1;44.0;16.0;39.0;1;43.0;1;0;1;44.0;0;48.0;1;2;0.0;16.0;6;3;3;3;3;3;41.73684210526316;37.94444444444444;36.73684210526316;40.94444444444444;2.0;40.0
50.0;38.0;38.0;30.0;1;1;40.0;1;6;1;1;43.0;16.0;39.0;1;43.0;1;0;1;43.0;0;42.0;1;2;0.0;16.0;6;3;3;3;3;3;38.89473684210526;33.888888888888886;37.81578947368421;38.166666666666664;2.0;39.0
0.0;39.0;45.0;47.0;0;1;48.0;1;6;1;2;46.0;16.0;41.0;1;35.0;1;1;1;49.0;0;45.0;1;2;0.0;16.0;6;3;3;3;3;3;44.26315789473684;38.333333333333336;37.578947368421055;42.333333333333336;3.0;43.0
0.0;34.0;44.0;47.0;0;1;30.0;1;6;1;2;46.0;16.0;45.0;2;36.5;1;1;1;44.0;0;47.0;1;2;0.0;16.0;6;3;3;3;3;3;42.421052631578945;35.50000000055556;37.89473684210526;42.0;3.0;42.5
