NOTA_ECUA;NOTA_TERMO;NOTA_CIR_DOS;NOTA_FIS_DOS;NOTA_EL_UNO;VECES_ECUA;NOTA_FIS_TRES;NOTA_MULTI;NCP_DOS;PROMEDIO_DOS;NCA_DOS;VECES_TERMO;VECES_EL_UNO;VECES_MULTI;VECES_CIR_DOS;NAA_DOS;NAP_DOS;EPA_DOS;VECES_CIR_UNO;VECES_FIS_TRES;NOTA_INT;NOTA_POO;NOTA_EYB;NOTA_HCI;NOTA_CIR_UNO;NCC_DOS;NAC_DOS;NOTA_DEM;VECES_FIS_DOS;VECES_INT;VECES_POO;CAR_DOS;CREDITOS_MULTI;CREDITOS_FIS_TRES;CREDITOS_CIR_DOS;CREDITOS_TERMO;CREDITOS_EL_UNO;CREDITOS_ECUA;RENDIMIENTO_TRES;PROMEDIO_TRES
0;0;0;20;0;0;20;0;4.0;31.5;6.0;0;0;0;0;3;2;2;0;2;0;35;40;25;0;10.0;5;45;2;0;1;2;3;3;3;3;3;3;1.0;20.0
40;50;35;35;30;1;35;45;0.0;39.6875;16.0;1;1;1;1;7;0;2;1;1;45;45;40;30;35;16.0;7;45;1;2;1;1;3;3;3;3;3;3;2.0;39.166666666666664
0;0;0;25;0;0;25;0;9.0;29.375;7.0;0;0;0;0;4;3;1;1;3;25;35;45;40;15;16.0;7;40;3;2;1;2;3;3;3;3;3;3;1.0;25.0
30;50;25;30;40;1;30;30;0.0;37.8125;16.0;1;2;1;5;7;0;2;1;2;30;45;45;45;35;16.0;7;50;2;2;1;2;3;3;3;3;3;3;2.0;34.166666666666664
35;30;35;30;40;1;30;35;0.0;38.125;16.0;1;1;1;2;7;0;2;2;1;30;45;40;45;40;16.0;7;50;1;1;1;1;3;3;3;3;3;3;2.0;34.166666666666664
30;33;30;35;35;1;35;30;0.0;35.25;16.0;1;2;1;3;7;0;2;1;3;30;40;35;35;35;16.0;7;39;3;1;1;1;3;3;3;3;3;3;2.0;32.166666666666664
30;30;39;30;30;2;30;30;0.0;34.6875;16.0;1;1;1;3;7;0;2;2;1;30;45;40;30;30;16.0;7;40;1;2;1;2;3;3;3;3;3;3;2.0;31.5
30;45;32;30;35;2;30;35;0.0;35.625;16.0;2;1;3;3;7;0;2;2;2;30;45;35;50;30;16.0;7;45;2;1;1;2;3;3;3;3;3;3;2.0;34.5
35;50;30;30;40;2;30;35;0.0;37.1875;16.0;1;1;1;2;7;0;2;2;1;30;40;45;35;40;16.0;7;50;1;1;1;1;3;3;3;3;3;3;2.0;36.666666666666664
30;50;35;35;30;1;35;40;0.0;35.0;16.0;1;1;1;1;7;0;2;2;1;30;30;40;35;40;16.0;7;40;1;1;1;1;3;3;3;3;3;3;2.0;36.666666666666664
0;0;0;25;0;0;25;0;11.0;21.53846153846154;2.0;0;0;0;0;2;4;1;1;2;15;0;20;35;15;13.0;6;40;2;1;0;2;3;3;3;3;3;3;1.0;25.0
15;0;0;40;35;1;40;15;0.0;39.6875;16.0;0;1;1;0;7;0;2;3;3;30;45;40;45;40;16.0;7;45;3;2;1;5;3;3;3;3;3;3;1.0;26.25
0;0;0;20;0;0;20;0;3.0;29.375;13.0;0;0;0;0;6;1;1;1;2;30;30;30;30;30;16.0;7;50;2;1;1;1;3;3;3;3;3;3;1.0;20.0
35;50;30;35;35;2;35;35;0.0;38.75;16.0;1;1;1;2;7;0;2;1;1;30;40;45;45;40;16.0;7;50;1;1;2;1;3;3;3;3;3;3;2.0;36.666666666666664
30;30;30;40;30;1;40;35;0.0;37.1875;16.0;1;1;2;2;7;0;2;1;2;30;35;45;40;35;16.0;7;45;2;1;1;1;3;3;3;3;3;3;2.0;32.5
0;43;0;30;0;0;30;0;3.0;32.375;13.0;3;0;0;0;6;1;2;3;3;34;30;42;30;24;16.0;7;50;3;3;1;4;3;3;3;3;3;3;2.0;36.5
30;50;45;30;40;1;30;35;0.0;38.75;16.0;1;2;1;1;7;0;2;1;1;30;50;50;50;30;16.0;7;50;1;1;1;0;3;3;3;3;3;3;2.0;38.333333333333336
40;35;35;30;40;1;30;35;0.0;36.5625;16.0;1;1;1;1;7;0;2;2;1;35;45;45;30;30;16.0;7;45;1;1;1;1;3;3;3;3;3;3;2.0;35.833333333333336
35;50;30;35;30;1;35;35;0.0;38.125;16.0;1;1;1;1;7;0;2;1;1;30;45;45;50;30;16.0;7;50;1;1;1;0;3;3;3;3;3;3;2.0;35.833333333333336
30;35;40;35;35;1;35;30;0.0;35.625;16.0;1;1;1;3;7;0;2;2;1;35;40;35;35;30;16.0;7;45;1;2;2;3;3;3;3;3;3;3;2.0;34.166666666666664
35;50;30;30;35;1;30;40;0.0;35.9375;16.0;1;1;1;2;7;0;2;2;1;40;30;50;40;30;16.0;7;45;1;1;1;1;3;3;3;3;3;3;2.0;36.666666666666664
32;30;47;35;40;2;35;30;0.0;36.25;16.0;1;1;1;2;7;0;2;2;3;30;35;40;45;35;16.0;7;50;3;1;1;2;3;3;3;3;3;3;2.0;35.666666666666664
30;35;35;35;30;1;35;30;0.0;39.0625;16.0;1;1;1;2;7;0;2;1;1;30;50;40;45;35;16.0;7;50;1;1;1;0;3;3;3;3;3;3;2.0;32.5
35;30;40;40;30;1;40;45;0.0;41.25;16.0;1;1;1;2;7;0;2;2;2;40;40;45;45;40;16.0;7;45;2;2;1;3;3;3;3;3;3;3;2.0;36.666666666666664
31;30;32;30;35;1;30;30;0.0;33.4375;16.0;1;1;2;1;7;0;2;4;1;30;30;50;35;30;16.0;7;40;1;1;1;2;3;3;3;3;3;3;2.0;31.333333333333332
35;50;30;32;30;1;32;40;0.0;35.6875;16.0;1;1;1;1;7;0;2;2;1;30;35;35;45;40;16.0;7;45;1;1;1;1;3;3;3;3;3;3;2.0;36.166666666666664
40;35;40;35;40;1;35;35;0.0;40.3125;16.0;1;1;1;2;7;0;2;1;1;40;50;35;45;35;16.0;7;50;1;1;1;0;3;3;3;3;3;3;2.0;37.5
39;35;22;30;40;2;30;30;0.0;33.4375;16.0;1;1;3;3;7;0;2;2;1;35;30;40;35;30;16.0;7;45;1;6;1;2;3;3;3;3;3;3;2.0;32.666666666666664
0;0;0;15;0;0;15;0;10.0;15.0;0.0;0;0;0;0;0;5;1;0;2;0;15;15;15;0;10.0;5;15;2;0;2;4;3;3;3;3;3;3;1.0;15.0
33;35;37;30;40;3;30;32;0.0;32.1875;16.0;1;1;2;2;7;0;2;1;1;30;30;35;40;30;16.0;7;45;1;2;1;1;3;3;3;3;3;3;2.0;34.5
0;0;0;30;0;0;30;0;6.0;28.0;10.0;0;0;0;0;5;2;1;4;2;16;35;40;35;15;16.0;7;45;2;6;1;3;3;3;3;3;3;3;1.0;30.0
30;0;20;30;15;2;30;30;0.0;31.875;16.0;0;1;1;1;7;0;2;2;1;30;30;35;35;30;16.0;7;45;1;1;1;1;3;3;3;3;3;3;1.0;25.0
43;0;7;32;31;2;32;32;0.0;31.5;16.0;0;2;2;3;7;0;2;6;7;30;30;30;30;31;16.0;7;45;7;4;3;4;3;3;3;3;3;3;1.0;29.0
0;0;0;40;0;0;40;0;3.0;36.25;13.0;0;0;0;0;6;1;2;2;2;30;40;45;35;25;16.0;7;50;2;2;2;4;3;3;3;3;3;3;2.0;40.0
40;50;30;35;40;1;35;30;0.0;37.1875;16.0;1;1;1;2;7;0;2;2;1;35;40;50;30;30;16.0;7;45;1;1;1;1;3;3;3;3;3;3;2.0;37.5
30;50;30;30;35;1;30;40;0.0;36.25;16.0;1;1;1;2;7;0;2;2;1;40;45;35;30;30;16.0;7;45;1;2;1;2;3;3;3;3;3;3;2.0;35.833333333333336
31;0;34;35;35;2;35;36;0.0;34.625;16.0;0;2;3;1;7;0;2;2;3;33;35;35;40;30;16.0;7;45;3;2;1;3;3;3;3;3;3;3;2.0;34.2
40;35;30;30;30;1;30;35;0.0;37.5;16.0;1;1;1;3;7;0;2;1;1;40;50;35;35;30;16.0;7;45;1;1;1;0;3;3;3;3;3;3;2.0;33.333333333333336
30;0;24;30;40;1;30;30;0.0;36.875;16.0;0;1;1;3;7;0;2;1;1;30;50;30;45;35;16.0;7;50;1;3;1;1;3;3;3;3;3;3;2.0;30.8
32;0;0;30;0;1;30;12;3.0;33.125;13.0;0;0;2;0;6;1;2;5;2;30;30;45;45;25;16.0;7;50;2;4;1;3;3;3;3;3;3;3;1.0;24.666666666666668
0;0;0;20;0;0;20;0;9.0;20.0;1.0;0;0;0;0;1;4;1;0;4;0;15;15;25;0;10.0;5;40;4;0;3;3;3;3;3;3;3;3;1.0;20.0
37;50;30;35;30;3;35;35;0.0;36.25;16.0;2;2;1;1;7;0;2;3;2;35;35;40;30;35;16.0;7;50;2;1;2;3;3;3;3;3;3;3;2.0;36.166666666666664
30;50;35;30;30;1;30;30;0.0;31.5625;16.0;1;1;1;2;7;0;2;2;1;30;30;30;35;30;16.0;7;50;1;2;1;2;3;3;3;3;3;3;2.0;34.166666666666664
30;0;0;30;0;1;30;30;3.0;31.4375;13.0;0;0;2;0;6;1;2;4;3;30;35;30;40;26;16.0;7;40;3;2;2;5;3;3;3;3;3;3;1.0;30.0
35;50;18;35;18;1;35;35;0.0;36.75;16.0;1;1;1;1;7;0;2;2;3;30;45;35;45;36;16.0;7;35;3;2;1;4;3;3;3;3;3;3;2.0;31.833333333333332
30;45;35;30;40;2;30;35;0.0;33.4375;16.0;1;2;2;2;7;0;2;2;2;30;40;35;40;30;16.0;7;35;2;2;1;5;3;3;3;3;3;3;2.0;35.833333333333336
15;0;1;30;0;1;30;15;4.0;27.857142857142858;10.0;0;0;2;2;4;2;1;2;3;30;15;0;45;35;14.0;6;15;3;1;3;5;3;3;3;3;3;3;1.0;15.25
35;35;35;30;39;1;30;40;0.0;36.875;16.0;1;2;1;1;7;0;2;2;1;30;40;40;40;45;16.0;7;35;1;1;1;1;3;3;3;3;3;3;2.0;35.666666666666664
30;45;0;35;40;1;35;25;0.0;36.875;16.0;1;1;3;0;7;0;2;2;2;30;40;40;50;35;16.0;7;40;2;1;1;2;3;3;3;3;3;3;2.0;35.0
32;30;30;30;35;3;30;30;0.0;34.6875;16.0;1;3;2;2;7;0;2;1;2;35;35;45;40;30;16.0;7;35;2;1;2;2;3;3;3;3;3;3;2.0;31.166666666666668
0;0;0;15;0;0;15;0;6.0;19.285714285714285;1.0;0;0;0;0;1;2;1;0;5;0;15;0;45;0;7.0;3;0;5;0;4;2;3;3;3;3;3;3;1.0;15.0
0;0;0;30;0;0;30;0;6.0;24.09090909090909;5.0;0;0;0;0;3;2;1;2;1;0;20;0;30;15;11.0;5;40;1;0;2;2;3;3;3;3;3;3;1.0;30.0
35;35;30;35;30;1;35;40;0.0;36.5625;16.0;1;1;1;2;7;0;2;1;1;40;35;45;45;30;16.0;7;30;1;1;1;0;3;3;3;3;3;3;2.0;34.166666666666664
0;0;0;25;0;0;25;0;14.0;20.9375;2.0;0;0;0;0;2;5;1;2;2;15;15;20;45;15;16.0;7;40;2;2;2;5;3;3;3;3;3;3;1.0;25.0
35;37;42;30;37;1;30;30;0.0;34.6875;16.0;1;1;1;1;7;0;2;2;2;30;35;50;40;30;16.0;7;40;2;1;2;3;3;3;3;3;3;3;2.0;35.166666666666664
30;35;35;30;30;1;30;30;0.0;37.5;16.0;1;1;1;2;7;0;2;1;1;35;45;40;50;30;16.0;7;50;1;2;1;1;3;3;3;3;3;3;2.0;31.666666666666668
30;30;30;30;30;1;30;33;0.0;34.375;16.0;1;1;2;1;7;0;2;2;1;30;35;40;50;35;16.0;7;30;1;2;1;2;3;3;3;3;3;3;2.0;30.5
30;35;30;30;30;1;30;30;0.0;37.1875;16.0;1;1;1;1;7;0;2;2;1;30;45;40;40;40;16.0;7;40;1;1;1;1;3;3;3;3;3;3;2.0;30.833333333333332
30;50;43;35;39;1;35;46;0.0;39.0625;16.0;1;2;2;2;7;0;2;2;1;30;45;35;50;45;16.0;7;40;1;2;1;2;3;3;3;3;3;3;3.0;40.5
30;35;31;30;38;1;30;45;0.0;38.125;16.0;1;2;1;1;7;0;2;2;1;35;35;40;50;45;16.0;7;45;1;1;1;1;3;3;3;3;3;3;2.0;34.833333333333336
30;45;30;30;41;2;30;30;0.0;32.8125;16.0;1;2;1;2;7;0;2;2;2;30;30;30;45;35;16.0;7;45;2;2;1;3;3;3;3;3;3;3;2.0;34.333333333333336
32;35;30;30;40;1;30;37;0.0;35.625;16.0;1;1;1;1;7;0;2;1;1;30;35;45;50;35;16.0;7;40;1;2;1;1;3;3;3;3;3;3;2.0;34.0
0;41;0;30;0;0;30;0;6.0;30.1875;10.0;1;0;0;0;5;2;2;6;3;26;30;40;45;21;16.0;7;37;3;4;1;3;3;3;3;3;3;3;2.0;35.5
30;35;35;30;35;1;30;35;0.0;40.3125;16.0;1;1;1;1;7;0;2;2;1;40;40;40;45;50;16.0;7;40;1;1;1;1;3;3;3;3;3;3;2.0;33.333333333333336
0;0;0;25;0;0;25;0;3.0;35.0;7.0;0;0;0;0;4;1;2;0;2;0;30;45;50;0;10.0;5;45;2;0;1;1;3;3;3;3;3;3;1.0;25.0
0;6;0;40;0;0;40;0;6.0;29.4375;10.0;1;0;0;0;5;2;1;3;3;12;40;30;35;20;16.0;7;40;3;3;2;4;3;3;3;3;3;3;1.0;23.0
33;50;30;35;42;2;35;38;0.0;36.5625;16.0;1;2;2;1;7;0;2;2;1;30;40;45;50;30;16.0;7;40;1;2;1;2;3;3;3;3;3;3;2.0;38.0
13;30;9;35;41;2;35;22;1.0;33.1875;15.0;1;1;3;3;6;1;2;2;2;35;30;40;40;30;16.0;7;21;2;3;1;4;3;3;3;3;3;3;1.0;25.0
30;35;32;30;36;1;30;45;0.0;37.5;16.0;1;2;1;2;7;0;2;2;1;35;45;35;45;40;16.0;7;35;1;1;1;1;3;3;3;3;3;3;2.0;34.666666666666664
15;0;0;35;0;1;35;15;3.0;35.666666666666664;12.0;0;0;1;0;5;1;2;2;1;40;40;40;50;20;15.0;6;0;1;1;1;1;3;3;3;3;3;3;1.0;21.666666666666668
0;0;0;0;0;0;0;0;10.0;17.0;0.0;0;0;0;0;0;5;1;1;0;15;0;25;15;15;10.0;5;15;0;1;0;0;3;3;3;3;3;3;0.0;0.0
30;50;30;30;42;1;30;30;0.0;36.25;16.0;1;2;1;1;7;0;2;2;1;30;40;45;45;35;16.0;7;40;1;2;1;2;3;3;3;3;3;3;2.0;35.333333333333336
40;35;50;35;35;1;35;45;0.0;39.6875;16.0;1;1;1;2;7;0;2;1;1;45;40;45;50;30;16.0;7;45;1;1;1;0;3;3;3;3;3;3;2.0;40.0
35;50;27;30;32;3;30;30;0.0;34.0625;16.0;1;1;2;2;7;0;2;3;1;30;40;40;40;30;16.0;7;35;1;1;1;1;3;3;3;3;3;3;2.0;34.0
35;35;40;30;30;1;30;35;0.0;36.875;16.0;1;1;1;2;7;0;2;1;1;35;45;35;50;30;16.0;7;50;1;2;1;1;3;3;3;3;3;3;2.0;34.166666666666664
30;50;30;40;30;1;40;35;0.0;36.875;16.0;1;1;1;2;7;0;2;1;2;30;40;45;40;30;16.0;7;40;2;1;1;1;3;3;3;3;3;3;2.0;35.833333333333336
30;37;32;30;31;2;30;30;0.0;34.6875;16.0;3;1;2;2;7;0;2;4;1;35;35;40;45;30;16.0;7;40;1;3;1;2;3;3;3;3;3;3;2.0;31.666666666666668
30;30;30;35;35;1;35;32;0.0;36.875;16.0;1;1;2;2;7;0;2;1;1;30;40;45;50;35;16.0;7;30;1;2;1;1;3;3;3;3;3;3;2.0;32.0
40;40;40;35;35;1;35;45;0.0;38.8125;16.0;1;1;1;2;7;0;2;1;1;35;45;40;50;35;16.0;7;41;1;1;1;0;3;3;3;3;3;3;2.0;39.166666666666664
0;30;0;30;0;0;30;0;6.0;32.875;10.0;1;0;0;0;5;2;2;4;2;29;40;40;35;23;16.0;7;45;2;4;2;4;3;3;3;3;3;3;1.0;30.0
30;30;36;35;40;1;35;30;0.0;36.5;16.0;1;1;1;2;7;0;2;2;1;30;35;45;50;35;16.0;7;39;1;1;1;1;3;3;3;3;3;3;2.0;33.5
35;45;35;30;30;1;30;30;0.0;37.5;16.0;2;1;2;3;7;0;2;1;1;40;40;45;50;30;16.0;7;40;1;1;1;0;3;3;3;3;3;3;2.0;34.166666666666664
27;30;0;36;0;1;36;31;3.0;38.6875;13.0;1;0;1;0;6;1;2;3;1;35;42;50;45;29;16.0;7;48;1;2;1;2;3;3;3;3;3;3;2.0;31.0
30;30;30;30;39;2;30;30;0.0;35.3125;16.0;1;2;1;2;7;0;2;2;1;35;45;35;40;30;16.0;7;35;1;2;1;2;3;3;3;3;3;3;2.0;31.5
0;0;0;0;0;0;0;0;0.0;38.333333333333336;3.0;0;0;0;0;2;0;2;0;0;0;0;35;45;0;3.0;2;0;0;0;0;0;3;3;3;3;3;3;0.0;0.0
30;35;30;30;35;2;30;30;0.0;36.4375;16.0;1;1;2;3;7;0;2;2;1;30;40;45;50;35;16.0;7;38;1;1;1;1;3;3;3;3;3;3;2.0;31.666666666666668
30;30;30;30;40;1;30;35;0.0;39.375;16.0;1;1;1;1;7;0;2;2;2;40;45;40;50;35;16.0;7;50;2;2;1;3;3;3;3;3;3;3;2.0;32.5
36;42;36;35;35;2;35;30;0.0;35.3125;16.0;1;1;3;1;7;0;2;2;2;35;30;45;35;35;16.0;7;35;2;3;1;3;3;3;3;3;3;3;2.0;35.666666666666664
40;40;30;30;30;1;30;40;0.0;37.8125;16.0;1;1;1;2;7;0;2;1;1;40;45;35;50;30;16.0;7;50;1;1;1;0;3;3;3;3;3;3;2.0;35.0
0;0;0;36;0;0;36;0;6.0;32.25;10.0;0;0;0;0;5;2;2;4;3;27;40;40;40;16;16.0;7;39;3;3;1;3;3;3;3;3;3;3;2.0;36.0
30;30;30;30;30;1;30;45;0.0;35.3125;16.0;1;1;1;2;7;0;2;2;1;30;35;40;50;35;16.0;7;45;1;1;1;1;3;3;3;3;3;3;2.0;32.5
30;40;30;30;40;1;30;40;0.0;36.0625;16.0;1;1;1;1;7;0;2;1;1;35;40;40;50;30;16.0;7;42;1;1;1;0;3;3;3;3;3;3;2.0;35.0
0;0;0;0;0;0;0;0;12.0;20.9375;4.0;0;0;0;0;3;4;1;4;1;15;20;35;45;25;16.0;7;40;1;5;5;4;3;3;3;3;3;3;0.0;0.0
30;35;33;30;35;1;30;30;0.0;36.5;16.0;1;1;1;2;7;0;2;2;1;30;40;45;50;35;16.0;7;39;1;1;1;1;3;3;3;3;3;3;2.0;32.166666666666664
0;30;0;40;18;0;40;12;0.0;38.4375;16.0;1;1;1;0;7;0;2;3;2;35;40;45;50;30;16.0;7;40;2;3;1;3;3;3;3;3;3;3;1.0;25.0
0;0;0;35;0;0;35;0;6.0;29.875;10.0;0;0;0;0;5;2;1;2;1;6;40;40;45;25;16.0;7;35;1;1;1;1;3;3;3;3;3;3;2.0;35.0
36;50;30;30;30;1;30;30;0.0;31.25;16.0;1;1;1;1;7;0;2;3;1;30;30;35;30;30;16.0;7;40;1;3;1;2;3;3;3;3;3;3;2.0;34.333333333333336
0;0;0;0;0;0;0;0;6.0;26.5;4.0;0;0;0;0;3;2;1;5;0;0;15;45;45;15;10.0;5;40;0;0;5;3;3;3;3;3;3;3;0.0;0.0
35;50;30;30;40;1;30;30;0.0;36.5625;16.0;1;2;1;1;7;0;2;2;1;40;40;35;45;35;16.0;7;35;1;2;1;2;3;3;3;3;3;3;2.0;35.833333333333336
33;50;32;30;30;2;30;32;0.0;33.4375;16.0;1;3;2;3;7;0;2;1;1;30;40;35;40;30;16.0;7;35;1;1;1;0;3;3;3;3;3;3;2.0;34.5
35;30;25;30;30;1;30;35;0.0;33.875;16.0;1;1;1;5;7;0;2;1;1;30;40;36;40;30;16.0;7;40;1;1;1;0;3;3;3;3;3;3;2.0;30.833333333333332
0;25;0;35;0;0;35;0;3.0;32.333333333333336;12.0;2;0;0;0;5;1;2;2;2;30;35;35;40;25;15.0;6;0;2;1;1;3;3;3;3;3;3;3;1.0;30.0
35;30;32;40;38;2;40;30;0.0;37.5;16.0;3;1;3;3;7;0;2;2;3;30;40;45;45;30;16.0;7;45;3;1;1;2;3;3;3;3;3;3;2.0;34.166666666666664
30;40;30;30;35;2;30;30;0.0;32.1875;16.0;1;2;3;2;7;0;2;2;2;30;30;30;50;30;16.0;7;45;2;1;1;3;3;3;3;3;3;3;2.0;32.5
30;50;34;35;30;1;35;30;0.0;38.75;16.0;1;1;1;2;7;0;2;2;1;30;45;45;50;35;16.0;7;45;1;1;2;2;3;3;3;3;3;3;2.0;34.833333333333336
