NOTA_TGS;NOTA_PROG_AVANZADA;NOTA_FISICA_DOS;NOTA_MULTIVARIADO;NOTA_SEGUNDA_LENGUA_DOS;VECES_FISICA_DOS;NOTA_EE_DOS;VECES_PROG_AVANZADA;NAA_DOS;VECES_TGS;NCA_DOS;VECES_MULTIVARIADO;NOTA_ECUACIONES;NOTA_DIFERENCIAL;NAC_DOS;NCP_DOS;VECES_SEGUNDA_LENGUA_DOS;VECES_EE_DOS;VECES_ECUACIONES;PG_ICFES;NOTA_TEXTOS;CAR_DOS;NCC_DOS;NAP_DOS;NAP_UNO;NOTA_SEMINARIO;VECES_LOGICA;VECES_EE_UNO;NAA_UNO;VECES_DIFERENCIAL;VECES_CATEDRA_DEM;NCA_UNO;NOTA_CATEDRA_CON;NCC_UNO;NOTA_EE_UNO;NAC_UNO;NOTA_CATEDRA_DEM;NOTA_LOGICA;CAR_UNO;NOTA_PROG_BASICA;EPA_DOS;IDIOMA_ICFES;CON_MAT_ICFES;CREDITOS_EE_DOS;CREDITOS_ECUACIONES;CREDITOS_MULTIVARIADO;CREDITOS_TGS;CREDITOS_SEGUNDA_LENGUA_DOS;CREDITOS_FISICA_DOS;PROMEDIO_UNO;PROMEDIO_DOS;CREDITOS_PROG_AVANZADA;RENDIMIENTO_TRES;PROMEDIO_TRES
27.5;43.0;28.5;34.0;36.0;2;40;1;6;2;13.0;1;27.5;21.66666667;8;6.0;1;1;2;431.06;40.0;2;19.0;2;1;45.0;1;1;8;3;1;14.0;39.0;18.0;39.0;9;50.0;30.0;1;40.0;2;45.94;67.13;2;3;3;2;2;3;34.925925926666665;35.315789474210526;3;2.0;33.666666666666664
0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0;0.0;15.0;0;0.0;0;0;0;438.3;15.0;0;0.0;0;6;35.0;1;0;1;1;1;1.0;0.0;15.0;0.0;7;15.0;15.0;0;15.0;1;43.4;62.52;2;3;3;2;2;3;16.333333333333332;0.0;3;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0;0.0;15.0;0;0.0;0;0;0;431.15;45.0;0;0.0;0;2;50.0;1;0;5;1;1;8.0;0.0;15.0;0.0;7;45.0;25.0;0;40.0;1;44.71;70.26;2;3;3;2;2;3;32.333333333333336;0.0;3;0.0;0.0
30.0;40.0;31.5;36.0;33.0;2;46;1;8;1;19.0;1;39.0;21.66666667;8;0.0;1;1;1;434.39;30.0;1;19.0;0;1;45.0;1;1;8;3;1;14.0;41.0;18.0;45.0;9;45.0;30.0;1;30.0;2;44.71;67.13;2;3;3;2;2;3;32.648148148888886;35.05263157842105;3;2.0;36.52777777777778
0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0;0.0;15.0;0;0.0;0;0;0;439.03;15.0;0;0.0;0;5;15.0;1;0;2;1;1;2.0;0.0;15.0;0.0;7;30.0;15.0;0;15.0;1;56.48;67.13;2;3;3;2;2;3;17.0;0.0;3;0.0;0.0
35.0;39.0;29.5;40.0;44.0;2;40;1;7;1;16.0;1;30.0;27.5;8;3.0;1;1;1;463.92;40.0;1;19.0;1;1;40.0;1;1;8;2;1;14.0;44.0;18.0;33.0;9;45.0;35.0;1;35.0;2;64.23;62.82;2;3;3;2;2;3;35.27777777777778;35.26315789473684;3;2.0;36.30555555555556
0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0;0.0;15.0;0;0.0;0;0;0;446.07;15.0;0;0.0;0;8;15.0;1;1;0;1;1;0.0;0.0;17.0;15.0;8;15.0;15.0;0;15.0;1;50.87;62.82;2;3;3;2;2;3;15.0;0.0;3;0.0;0.0
38.0;39.0;34.0;30.0;41.0;1;43;1;7;1;16.0;1;33.0;22.5;8;3.0;1;1;1;450.31;40.0;2;19.0;1;1;40.0;2;1;8;2;1;14.0;33.0;18.0;42.0;9;35.0;35.0;3;35.0;2;48.4;67.01;2;3;3;2;2;3;33.72222222222222;34.23684210526316;3;2.0;36.22222222222222
0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0;0.0;22.5;5;14.0;0;0;0;432.04;25.0;3;14.0;5;5;35.0;2;1;3;2;1;3.0;0.0;17.0;15.0;8;30.0;27.5;4;25.0;1;53.32;69.99;2;3;3;2;2;3;24.852941176470587;5.642857142857143;3;0.0;0.0
39.0;47.0;29.0;25.0;42.0;2;38;1;5;1;11.0;2;31.0;25.0;8;8.0;1;1;1;439.7;45.0;3;19.0;3;2;50.0;1;1;7;2;1;11.0;41.0;18.0;35.0;9;50.0;30.0;2;27.5;1;48.65;63.86;2;3;3;2;2;3;34.083333333333336;33.10526315789474;3;2.0;35.22222222222222
30.0;30.0;30.0;32.5;40.0;1;40;1;8;1;19.0;2;42.0;27.5;8;0.0;1;1;1;461.3;40.0;0;19.0;0;2;45.0;1;1;7;2;1;12.0;40.0;18.0;15.0;9;50.0;30.0;1;30.0;2;74.73;67.01;2;3;3;2;2;3;32.22222222222222;41.10526315789474;3;2.0;34.638888888888886
40.0;40.0;38.0;25.5;43.0;1;40;1;8;1;19.0;2;40.0;30.0;8;0.0;1;1;1;493.32;45.0;0;19.0;0;0;30.0;1;1;9;1;1;18.0;42.0;18.0;31.0;9;45.0;35.0;1;40.0;2;74.73;77.58;2;3;3;2;2;3;36.333333333333336;35.473684210526315;3;2.0;37.583333333333336
0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0;0.0;15.0;0;0.0;0;0;0;418.74;15.0;0;0.0;0;6;45.0;1;0;1;1;1;1.0;0.0;15.0;0.0;7;25.0;15.0;0;15.0;1;48.4;64.24;2;3;3;2;2;3;17.666666666666668;0.0;3;0.0;0.0
