PROMEDIO_TRES;NOTA_TFM;NOTA_VARCOM;NOTA_COMANA;CON_MAT_ICFES;PROMEDIO_CINCO;NOTA_CCON;VECES_ADMICRO;VECES_COMANA;VECES_DDM;PROMEDIO_SEIS;PG_ICFES;NAC_SEIS;NAA_SEIS;NOTA_MOYGE;NOTAS_SYS;NOTA_ADMICRO;NOTA_FCD;NOTA_L_DOS;NCP_SEIS;VECES_L_DOS;CAR_SEIS;VECES_SYS;NOTA_DDM;NCC_CINCO;NCA_SEIS;NAP_SEIS;NAP_CINCO;NOTA_EE_TRES;NCC_SEIS;EPA_SEIS;VECES_COYGE;NOTA_EE_DOS;VECES_CCON;CREDITOS_SYS;CREDITOS_EE_TRES;VECES_EE_TRES;CREDITOS_COYGE;RENDIMIENTO_SIETE;PROMEDIO_SIETE
33.611111111111114;45.0;27.5;30.0;78.22;31.233333333333334;30.0;1;1;1;28.928571428571427;477.41;6;5;35.0;30.0;35.0;40.0;0.0;2.0;0;0;1;40.0;15.0;12.0;1;2;0.0;14.0;1;1;0.0;1;2;2;1;3;2.0;37.166666666666664
30.970588235294116;42.0;30.0;36.0;75.91;32.43333333333333;30.0;1;1;1;34.857142857142854;489.84;6;6;30.0;30.0;30.0;40.0;0.0;0.0;0;0;1;40.0;15.0;14.0;0;1;40.0;14.0;2;1;35.0;1;2;2;1;3;1.0;23.249999999166665
33.970588235294116;44.0;30.0;37.0;81.5;37.666666666666664;30.0;1;1;2;35.07142857142857;530.42;6;5;35.0;35.0;30.0;45.0;0.0;3.0;0;1;1;25.0;15.0;11.0;1;0;50.0;14.0;2;1;40.0;1;2;2;1;3;2.0;35.333333333333336
31.11111111111111;49.0;30.0;35.0;60.49;40.8;30.0;1;1;1;27.5;470.95;6;4;35.0;27.5;35.0;40.0;0.0;4.0;0;1;2;30.0;15.0;10.0;2;0;0.0;14.0;1;1;50.0;1;2;2;1;3;2.0;32.541666666666664
33.23529411764706;50.0;30.0;30.0;81.5;41.266666666666666;35.0;1;1;1;31.357142857142858;514.21;6;5;30.0;37.0;50.0;50.0;0.0;2.0;0;0;1;50.0;15.0;12.0;1;1;0.0;14.0;2;1;50.0;1;2;2;1;3;2.0;35.0
29.02777777777778;0.0;19.5;0.0;60.49;13.5;40.0;2;0;2;15.166666666666666;479.19;3;1;0.0;0.0;22.5;35.0;0.0;5.0;0;1;0;17.0;5.0;1.0;2;2;0.0;6.0;1;0;0.0;1;2;2;1;3;1.0;30.0
32.205882352941174;47.0;35.0;37.0;81.5;36.733333333333334;30.0;1;1;1;33.285714285714285;454.65;6;6;30.0;30.0;30.0;40.0;0.0;0.0;0;0;1;35.0;15.0;14.0;0;0;35.0;14.0;2;1;40.0;1;2;2;1;3;2.0;35.25
35.138888888888886;45.0;35.0;35.0;72.55;41.333333333333336;35.0;1;1;2;29.107142857142858;478.74;6;4;35.0;40.0;30.0;45.0;0.0;5.0;0;1;1;27.5;15.0;9.0;2;0;0.0;14.0;1;1;50.0;1;2;2;1;3;2.0;31.666666666666668
31.61764705882353;44.0;40.0;24.66666667;72.55;40.93333333333333;45.0;1;3;1;40.57142857214286;450.22;6;5;45.0;35.0;45.0;45.0;0.0;3.0;0;1;1;48.0;15.0;11.0;1;0;50.0;14.0;2;1;41.0;1;2;2;1;3;2.0;32.583333333333336
34.94117647058823;48.0;32.5;32.0;67.54;35.93333333333333;30.0;1;2;1;36.142857142857146;447.85;6;6;30.0;35.0;30.0;40.0;0.0;0.0;0;1;1;40.0;15.0;14.0;0;0;50.0;14.0;2;1;40.0;1;2;2;1;3;2.0;30.916666665833333
