NOTA_METODOS_NUM;NOTA_A_SISTEMAS;NOTA_MOD_PROG_UNO;NOTA_MAT_DIS;NOTA_HOMBRE;NOTA_GT_DOS;VECES_A_SISTEMAS;VECES_HOMBRE;NCC_TRES;NAA_DOS;NAA_TRES;NOTA_FUND_BASES;NAC_TRES;NCA_TRES;NOTA_PROG_AVANZADA;VECES_MAT_DIS;VECES_MAT_ESP;NCA_DOS;NOTA_SEGUNDA_LENGUA_TRES;NOTA_DIFERENCIAL;NOTA_MAT_ESP;VECES_METODOS_NUM;EPA_TRES;NCP_TRES;NOTA_TGS;VECES_MULTIVARIADO;VECES_PROG_AVANZADA;NOTA_FISICA_DOS;VECES_MOD_PROG_UNO;VECES_FUND_BASES;NOTA_SEGUNDA_LENGUA_DOS;VECES_FISICA_DOS;VECES_SEGUNDA_LENGUA_TRES;VECES_GT_DOS;CAR_TRES;NOTA_MULTIVARIADO;NOTA_EE_DOS;NOTA_ECUACIONES;NAP_TRES;NAC_DOS;VECES_TGS;CREDITOS_MOD_PROG_UNO;CREDITOS_MAT_ESP;CREDITOS_A_SISTEMAS;CREDITOS_SEGUNDA_LENGUA_TRES;CREDITOS_METODOS_NUM;CREDITOS_MAT_DIS;CREDITOS_HOMBRE;CREDITOS_GT_DOS;CREDITOS_FUND_BASES;PROMEDIO_UNO;PROMEDIO_DOS;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
35.0;40.0;31.0;39.0;21.0;50;1;2;18.0;8;7;37.0;7;18.0;30.0;1;1;19.0;47.0;27.5;32.0;1;2;0.0;30.0;2;1;30.0;1;1;40.0;1;1;1;1;32.5;40;42.0;0;8;1;3;3;2;2;1;3;1;1;2;32.22222222222222;41.10526315789474;2.0;36.666666666666664
40.0;36.0;43.0;38.0;44.0;50;1;1;18.0;8;6;37.0;7;15.0;40.0;1;1;19.0;48.0;30.0;37.0;1;2;3.0;40.0;2;1;38.0;1;1;43.0;1;1;1;1;25.5;40;40.0;1;8;1;3;3;2;2;1;3;1;1;2;36.333333333333336;35.473684210526315;3.0;40.55555555555556
30.0;25.0;42.0;45.0;0.0;0;2;0;11.0;4;3;17.0;4;8.0;40.0;1;0;11.0;0.0;30.0;0.0;1;2;3.0;32.0;3;1;0.0;1;2;0.0;0;0;0;1;22.66666667;0;30.0;1;7;1;3;3;2;2;1;3;1;1;2;33.6875;31.5;2.0;34.09090909090909
0.0;0.0;0.0;0.0;0.0;0;0;0;4.0;3;2;0.0;2;4.0;0.0;0;0;7.0;0.0;20.25;0.0;0;2;0.0;45.0;0;0;0.0;0;0;39.0;0;0;0;0;0.0;0;0.0;0;5;1;3;3;2;2;1;3;1;1;2;33.14705882352941;30.636363636363637;0.0;0.0
34.0;42.0;44.0;25.0;39.0;50;1;1;18.0;5;6;36.0;7;15.0;40.0;3;1;10.0;36.0;30.0;33.0;1;2;3.0;43.0;1;1;36.0;1;1;40.0;1;1;1;1;31.0;44;23.0;1;8;1;3;3;2;2;1;3;1;1;2;36.888888888888886;33.9078947368421;2.0;36.5
11.0;35.0;0.0;0.0;0.0;0;1;0;10.0;2;1;14.0;4;2.0;11.5;0;0;4.0;0.0;25.0;0.0;1;1;8.0;36.0;0;2;11.0;0;1;0.0;1;0;0;1;0.0;20;0.0;3;7;1;3;3;2;2;1;3;1;1;2;27.058823529411764;23.647058822941176;1.0;21.8
40.0;41.0;34.0;41.0;0.0;50;1;0;16.0;4;4;31.0;6;10.0;35.0;1;1;11.0;0.0;30.0;25.0;1;2;6.0;40.0;3;1;30.0;1;1;0.0;1;0;1;2;26.33333333;35;22.5;2;6;1;3;3;2;2;1;3;1;1;2;34.05555555555556;33.166666666666664;2.0;35.6
40.0;44.0;47.0;35.0;48.0;50;1;1;18.0;5;6;46.0;7;15.0;40.0;1;1;10.0;40.0;30.0;31.0;1;2;3.0;35.0;2;1;32.5;1;1;39.0;2;1;1;2;29.0;45;38.0;1;8;1;3;3;2;2;1;3;1;1;2;35.47222222222222;31.710526315789473;3.0;40.94444444444444
40.0;40.0;40.0;39.0;44.0;50;1;1;18.0;6;5;33.0;7;12.0;39.0;1;2;13.0;41.0;30.0;27.5;1;2;6.0;30.0;2;1;41.0;1;1;44.0;1;1;1;2;26.0;41;27.5;2;8;1;3;3;2;2;1;3;1;1;2;36.75;34.5;2.0;37.861111111111114
38.0;41.0;39.0;34.0;47.0;50;1;1;18.0;6;7;42.0;7;18.0;40.0;1;3;13.0;39.0;30.0;29.0;1;2;0.0;30.0;1;1;43.0;1;1;42.0;1;1;1;0;40.0;45;30.0;0;8;1;3;3;2;2;1;3;1;1;2;33.388888888888886;34.63157894736842;2.0;38.05555555555556
38.0;17.33333333;34.0;0.0;0.0;0;3;0;11.0;3;2;30.0;4;5.0;50.0;0;0;9.0;0.0;25.0;0.0;1;1;6.0;35.0;3;1;8.0;1;1;0.0;1;0;0;1;13.33333333;0;0.0;2;5;1;3;3;2;2;1;3;1;1;2;35.15625;31.25;1.0;29.3333333325
39.0;0.0;7.5;12.5;0.0;0;0;0;10.0;3;2;0.0;4;5.0;40.0;2;0;8.0;0.0;30.0;0.0;1;1;5.0;28.5;1;1;0.0;2;0;0.0;0;0;0;1;0.0;40;0.0;2;6;2;3;3;2;2;1;3;1;1;2;31.470588235294116;28.781250000625;1.0;14.142857142857142
35.0;37.0;37.0;31.0;41.0;37;1;1;18.0;6;7;38.0;7;18.0;39.0;1;2;13.0;18.0;30.0;27.0;1;2;0.0;30.0;1;1;30.5;1;1;38.0;2;2;1;1;35.0;37;30.0;0;8;1;3;3;2;2;1;3;1;1;2;35.72222222222222;37.10526315736842;2.0;32.44444444444444
40.0;0.0;0.0;0.0;0.0;0;0;0;10.0;3;1;0.0;4;2.0;15.5;0;0;8.0;0.0;30.0;0.0;1;1;8.0;30.0;0;2;7.0;0;0;0.0;1;0;0;1;0.0;25;0.0;3;5;1;3;3;2;2;1;3;1;1;2;33.23529411764706;29.249999999285713;2.0;40.0
40.0;37.0;37.0;31.0;33.0;50;1;1;18.0;5;6;30.0;7;15.0;30.0;1;1;10.0;44.0;25.0;32.0;1;2;3.0;35.0;2;1;30.0;1;1;39.0;1;1;1;1;22.5;40;33.0;1;8;1;3;3;2;2;1;3;1;1;2;34.166666666666664;32.86842105368421;2.0;35.833333333333336
0.0;34.0;0.0;0.0;0.0;0;1;0;2.0;4;1;0.0;1;2.0;0.0;0;0;11.0;0.0;26.66666667;0.0;0;2;0.0;35.0;0;0;0.0;0;0;0.0;0;0;0;0;0.0;0;0.0;0;5;1;3;3;2;2;1;3;1;1;2;32.15686274588235;31.892857142857142;2.0;34.0
45.0;34.0;32.5;0.0;0.0;0;1;0;13.0;4;2;0.0;5;4.0;29.5;0;0;10.0;0.0;25.0;0.0;1;1;9.0;35.0;2;2;15.33333333;2;0;0.0;3;0;0;3;11.5;43;0.0;3;6;1;3;3;2;2;1;3;1;1;2;36.388888888888886;31.031250000625;2.0;35.083333333333336
35.0;41.0;24.0;0.0;0.0;0;1;0;10.0;3;3;32.0;4;7.0;39.0;0;0;7.0;41.0;28.33333333;0.0;1;2;3.0;42.0;0;1;29.0;1;1;45.0;2;1;0;1;0.0;0;0.0;1;6;1;3;3;2;2;1;3;1;1;2;34.90196078352942;29.28125;2.0;33.5
40.0;41.0;43.0;40.0;46.0;50;1;1;18.0;8;7;37.0;7;18.0;40.0;1;1;19.0;46.0;35.0;40.0;1;2;0.0;40.0;1;1;35.0;1;1;47.0;1;1;1;0;30.0;46;30.0;0;8;1;3;3;2;2;1;3;1;1;2;41.611111111111114;38.526315789473685;3.0;41.833333333333336
0.0;0.0;0.0;0.0;0.0;0;0;0;2.0;0;1;0.0;1;2.0;0.0;0;0;0.0;0.0;35.0;0.0;0;2;0.0;0.0;0;0;0.0;0;0;0.0;0;0;0;0;0.0;50;0.0;0;0;0;3;3;2;2;1;3;1;1;2;36.470588235294116;0.0;0.0;0.0
45.0;41.0;44.0;44.0;44.0;50;1;1;18.0;8;7;38.0;7;18.0;40.0;1;1;19.0;42.0;35.0;41.0;1;2;0.0;40.0;1;1;35.0;1;1;36.0;1;1;1;0;30.0;45;35.0;0;8;1;3;3;2;2;1;3;1;1;2;38.5;38.31578947368421;3.0;42.666666666666664
42.0;30.0;19.0;24.5;47.0;50;1;1;18.0;6;5;47.0;7;12.0;28.0;2;1;13.0;41.0;30.0;34.0;1;2;6.0;34.0;2;2;36.0;2;1;37.0;1;1;1;2;26.5;40;31.0;2;8;1;3;3;2;2;1;3;1;1;2;34.72222222222222;35.63157894736842;2.0;33.75
27.0;31.0;47.0;33.0;42.0;0;1;1;18.0;5;3;46.0;7;7.0;31.0;1;0;12.0;42.0;22.5;0.0;2;1;11.0;31.5;2;1;15.0;1;1;29.0;4;1;0;5;29.0;34;29.5;4;7;2;3;3;2;2;1;3;1;1;2;28.02777777777778;36.333333333333336;2.0;39.07142857142857
45.0;40.0;47.0;43.0;43.0;50;1;1;18.0;7;7;47.0;7;18.0;45.0;1;1;18.0;43.0;35.0;43.0;1;2;0.0;45.0;1;1;30.0;1;1;42.0;1;1;1;0;30.0;47;40.0;0;8;1;3;3;2;2;1;3;1;1;2;42.166666666666664;41.21052631578947;3.0;44.27777777777778
30.0;40.0;0.0;0.0;0.0;0;1;0;2.0;1;0;0.0;1;0.0;0.0;0;0;2.0;0.0;22.5;0.0;1;1;2.0;10.33333333;0;0;0.0;0;0;0.0;0;0;0;1;0.0;0;0.0;1;5;3;3;3;2;2;1;3;1;1;2;23.725490195294118;23.0;2.0;36.666666666666664
39.0;40.0;36.0;37.0;0.0;0;1;0;16.0;4;3;37.0;6;7.0;37.0;1;0;8.0;0.0;27.5;0.0;1;1;9.0;30.0;2;1;22.33333333;1;1;0.0;3;0;0;3;12.0;40;20.66666667;3;7;1;3;3;2;2;1;3;1;1;2;31.944444444444443;32.05882353;2.0;37.45454545454545
35.0;38.0;41.0;34.0;43.0;50;1;1;18.0;6;7;35.0;7;18.0;35.0;1;1;13.0;39.0;35.0;36.0;1;2;0.0;40.0;1;1;30.5;1;1;41.0;2;1;1;1;40.0;38;32.0;0;8;1;3;3;2;2;1;3;1;1;2;37.833333333333336;34.86842105263158;2.0;38.05555555555556
30.0;42.0;29.33333333;16.0;42.0;50;1;1;18.0;5;3;22.33333333;7;7.0;47.0;3;1;10.0;39.0;25.0;30.0;1;1;11.0;42.0;3;1;25.0;3;3;29.0;3;1;1;4;21.66666667;42;14.33333333;4;8;1;3;3;2;2;1;3;1;1;2;29.0;32.39473684157895;2.0;30.81481481388889
35.0;35.0;48.0;37.0;43.0;50;1;1;18.0;8;7;45.0;7;18.0;50.0;1;2;19.0;40.0;30.0;24.5;1;2;0.0;40.0;1;1;36.0;1;1;45.0;1;1;1;0;35.0;46;35.0;0;8;1;3;3;2;2;1;3;1;1;2;39.72222222222222;41.31578947368421;2.0;38.69444444444444
30.0;39.0;35.0;34.0;44.0;50;1;1;18.0;5;7;44.0;7;18.0;31.5;1;1;10.0;49.0;27.5;33.0;1;2;0.0;30.0;1;2;30.0;1;1;34.0;1;1;1;1;35.0;37;38.0;0;8;1;3;3;2;2;1;3;1;1;2;32.0;34.71052631578947;2.0;38.55555555555556
40.0;38.0;37.0;36.0;40.0;50;1;1;18.0;7;7;39.0;7;18.0;45.0;1;1;16.0;42.0;25.0;30.0;1;2;0.0;35.0;1;1;30.0;1;1;44.0;1;1;1;0;38.0;45;32.0;0;8;1;3;3;2;2;1;3;1;1;2;37.94444444444444;35.868421053157896;2.0;37.611111111111114
42.0;37.0;30.0;0.0;0.0;0;1;0;10.0;3;3;0.0;4;7.0;39.0;0;0;6.0;0.0;22.5;0.0;1;2;3.0;41.0;0;1;0.0;1;0;46.0;0;1;0;1;0.0;0;22.0;1;7;1;3;3;2;2;1;3;1;1;2;31.764705882352942;28.764705882941175;1.0;25.75
35.0;46.0;30.0;34.0;40.0;50;1;1;18.0;5;7;30.0;7;18.0;30.0;1;1;12.0;42.0;25.0;34.0;1;2;0.0;30.0;1;1;36.0;1;1;30.0;1;1;1;1;33.0;47;33.0;0;8;1;3;3;2;2;1;3;1;1;2;36.55555555555556;33.894736841052634;2.0;36.388888888888886
30.0;35.0;0.0;0.0;0.0;0;1;0;11.0;2;0;0.0;4;0.0;17.5;0;0;5.0;0.0;25.0;0.0;1;1;11.0;25.0;2;2;0.0;0;0;0.0;0;0;0;4;14.5;0;4.5;4;5;2;3;3;2;2;1;3;1;1;2;33.0;26.25357142857143;2.0;33.333333333333336
40.0;39.0;42.0;40.0;44.0;50;1;1;18.0;7;7;38.0;7;18.0;45.0;1;1;16.0;44.0;27.5;33.0;1;2;0.0;35.0;1;1;35.0;1;1;39.0;1;1;1;0;33.0;43;39.0;0;8;1;3;3;2;2;1;3;1;1;2;35.833333333333336;36.71052631578947;3.0;40.05555555555556
35.0;33.0;44.0;30.0;45.0;50;1;1;18.0;8;6;40.0;7;15.0;35.0;1;1;19.0;46.0;30.0;30.0;1;2;3.0;30.0;3;1;35.0;1;1;41.0;1;1;1;1;27.66666667;42;40.0;1;8;1;3;3;2;2;1;3;1;1;2;38.0;38.63157894736842;2.0;37.77777777777778
32.0;37.0;37.0;17.0;0.0;50;1;0;12.0;4;3;31.0;5;7.0;30.0;2;0;9.0;0.0;20.2;0.0;1;1;5.0;39.0;0;2;0.0;1;1;4.0;0;0;1;2;0.0;30;4.5;2;7;1;3;3;2;2;1;3;1;1;2;27.04705882352941;28.852941175882354;2.0;31.666666666666668
35.0;43.0;46.0;33.0;50.0;50;1;1;18.0;6;7;31.0;7;18.0;35.0;1;3;15.0;41.0;25.0;26.33333333;1;2;0.0;35.0;1;1;30.0;1;1;43.0;1;1;1;0;40.0;44;32.0;0;8;1;3;3;2;2;1;3;1;1;2;38.22222222222222;35.526315789473685;2.0;37.83333333277778
40.0;44.0;35.0;37.0;40.0;50;1;1;18.0;8;6;38.0;7;15.0;35.0;1;2;19.0;42.0;22.5;27.5;1;2;3.0;35.0;2;1;31.0;1;1;43.0;2;1;1;3;30.0;46;26.5;1;8;1;3;3;2;2;1;3;1;1;2;37.388888888888886;39.36842105263158;2.0;37.583333333333336
39.0;37.0;40.0;34.0;40.0;50;1;1;18.0;8;6;30.0;7;15.0;45.0;1;2;19.0;39.0;27.5;29.0;1;2;3.0;35.0;1;1;30.0;1;1;41.0;1;1;1;1;30.0;37;29.0;1;8;1;3;3;2;2;1;3;1;1;2;34.666666666666664;37.63157894736842;2.0;36.111111111111114
35.0;43.0;33.0;32.0;42.0;50;1;1;18.0;8;7;35.0;7;18.0;40.0;1;1;19.0;44.0;30.0;45.0;1;2;0.0;42.0;1;1;30.0;1;1;45.0;1;1;1;0;30.0;42;35.0;0;8;1;3;3;2;2;1;3;1;1;2;39.27777777777778;37.526315789473685;2.0;38.94444444444444
0.0;0.0;0.0;0.0;0.0;0;0;0;10.0;3;3;0.0;4;7.0;16.0;0;0;8.0;0.0;23.33333333;0.0;0;2;3.0;42.0;0;1;34.0;0;0;0.0;1;0;0;0;0.0;41;0.0;1;5;1;3;3;2;2;1;3;1;1;2;30.9313725482353;32.32142857142857;0.0;0.0
35.0;40.0;47.0;41.0;39.0;50;1;1;18.0;8;5;32.0;7;12.0;35.0;1;1;19.0;41.0;30.0;33.0;1;2;6.0;34.0;2;1;30.0;1;1;46.0;1;1;1;2;29.5;46;29.5;2;8;1;3;3;2;2;1;3;1;1;2;39.94444444444444;35.36842105263158;2.0;39.611111111111114
30.0;37.0;36.0;36.0;44.0;50;1;1;18.0;8;6;35.0;7;15.0;46.0;1;1;19.0;43.0;22.5;30.0;1;2;3.0;39.0;1;1;27.0;1;1;44.0;2;1;1;1;36.0;44;34.0;1;8;1;3;3;2;2;1;3;1;1;2;30.63888888888889;36.23684210526316;2.0;36.666666666666664
0.0;37.0;0.0;0.0;0.0;0;1;0;7.0;4;2;0.0;3;5.0;40.0;0;0;10.0;0.0;22.5;0.0;0;2;2.0;22.5;0;1;0.0;0;0;0.0;0;0;0;1;0.0;40;0.0;1;5;2;3;3;2;2;1;3;1;1;2;30.58823529411765;31.384615384615383;2.0;37.0
41.0;31.0;38.0;19.0;0.0;0;1;0;10.0;2;3;0.0;4;7.0;40.0;1;0;4.0;0.0;22.5;0.0;1;2;3.0;36.0;0;1;0.0;1;0;32.0;0;0;0;1;0.0;0;20.5;1;6;1;3;3;2;2;1;3;1;1;2;32.05882352941177;27.15625;2.0;30.444444444444443
42.0;34.0;0.0;11.33333333;0.0;0;1;0;11.0;5;1;0.0;4;2.0;24.5;3;0;12.0;0.0;21.66666667;0.0;1;1;9.0;30.0;3;2;22.5;0;0;0.0;2;0;0;3;13.0;0;0.0;3;6;1;3;3;2;2;1;3;1;1;2;33.44444444533333;34.266666666;1.0;23.999999998333333
35.0;0.0;38.0;31.0;0.0;50;0;0;18.0;3;4;33.0;7;10.0;40.0;1;1;6.0;44.0;27.5;30.0;1;1;8.0;29.5;2;1;24.0;1;1;36.0;2;1;1;3;28.5;45;32.0;3;6;2;3;3;2;2;1;3;1;1;2;35.294117647058826;34.199999999333336;2.0;35.733333333333334
39.0;30.0;38.0;0.0;0.0;0;1;0;14.0;4;3;0.0;5;8.0;40.0;0;0;11.0;0.0;26.66666667;0.0;1;1;6.0;41.0;3;1;36.0;1;0;0.0;1;0;0;2;14.33333333;0;20.0;2;5;1;3;3;2;2;1;3;1;1;2;37.77777777866666;33.25;2.0;35.5
30.0;36.0;21.5;31.0;34.0;50;1;1;18.0;6;4;37.0;7;9.0;35.0;1;1;14.0;40.0;30.0;32.0;1;1;9.0;39.0;2;1;23.5;2;1;43.0;4;1;1;3;23.0;44;27.5;3;8;1;3;3;2;2;1;3;1;1;2;39.5;33.184210525789474;2.0;32.97222222222222
15.0;15.33333333;30.0;28.0;35.0;50;3;1;18.0;7;7;37.0;7;18.0;33.5;2;2;16.0;46.0;30.0;21.5;2;2;0.0;37.0;1;2;32.0;1;2;41.0;1;1;1;1;30.0;36;35.0;0;8;1;3;3;2;2;1;3;1;1;2;33.888888888888886;35.31578947368421;1.0;29.731481481111114
41.0;27.5;29.66666667;30.0;39.0;41;2;1;18.0;8;6;31.0;7;15.0;36.0;2;1;19.0;47.0;30.0;30.0;1;2;3.0;39.0;2;1;32.0;3;1;46.0;1;1;1;2;31.0;42;21.0;1;8;1;3;3;2;2;1;3;1;1;2;36.833333333333336;37.473684210526315;2.0;33.388888889444445
34.0;31.0;41.0;38.0;42.0;50;1;1;18.0;7;7;42.0;7;18.0;47.0;1;1;16.0;38.0;27.5;31.0;1;2;0.0;42.0;1;1;37.0;1;1;45.0;1;1;1;0;30.0;43;37.0;0;8;1;3;3;2;2;1;3;1;1;2;38.333333333333336;35.86842105263158;2.0;37.666666666666664
36.0;32.0;41.0;43.0;41.0;50;1;1;18.0;8;7;45.0;7;18.0;47.0;1;1;19.0;47.0;30.0;33.0;1;2;0.0;41.0;2;1;38.0;1;1;46.0;1;1;1;1;30.0;44;33.0;0;8;1;3;3;2;2;1;3;1;1;2;38.5;36.94736842105263;3.0;40.333333333333336
38.0;0.0;0.0;0.0;0.0;0;0;0;11.0;4;2;17.0;4;5.0;38.0;0;0;10.0;0.0;27.5;0.0;1;1;6.0;31.0;1;1;0.0;0;1;0.0;0;0;0;0;2.0;0;8.0;2;6;1;3;3;2;2;1;3;1;1;2;36.0;32.28125;1.0;24.0
41.0;34.0;49.0;38.0;42.0;50;1;1;18.0;7;6;39.0;7;15.0;40.0;1;1;16.0;45.0;27.5;32.0;1;2;3.0;40.0;2;1;34.0;1;1;46.0;1;1;1;1;29.5;41;32.0;1;8;1;3;3;2;2;1;3;1;1;2;35.05555555555556;36.71052631578947;3.0;40.333333333333336
