NUMERO;PROMEDIO_UNO;NAA_UNO;NOTA_DIFERENCIAL;NOTA_DIBUJO;NOTA_TEXTOS;NOTA_EE_UNO;PROMEDIO_DOS;NCC_DOS;NCA_DOS;NAA_DOS;NOTA_ALGEBRA;NOTA_INTEGRAL;NOTA_MATERIALES;NOTA_PBASICA;NOTA_EE_DOS;CAR_TRES;NCC_TRES;NCA_TRES;NCP_TRES;NAC_TRES;NAA_TRES;NAP_TRES;EPA_TRES;NOTA_MULTIVARIADO;VECES_MULTIVARIADO;CREDITOS_MULTIVARIADO;NOTA_ESTADISTICA_UNO;VECES_ESTADISTICA_UNO;CREDITOS_ESTADISTICA_UNO;NOTA_TERMODINAMICA;VECES_TERMODINAMICA;CREDITOS_TERMODINAMICA;NOTA_TGS;VECES_TGS;CREDITOS_TGS;NOTA_ETICA;VECES_ETICA;CREDITOS_ETICA;NOTA_PORIENTADA;VECES_PORIENTADA;CREDITOS_PORIENTADA;NOTA_EE_TRES;VECES_EE_TRES;CREDITOS_EE_TRES;RENDIMIENTO_CUATRO;PROMEDIO_CUATRO
456;30.87179487179488;5;13.83333333333333;45.0;33.0;0.0;25.25;12;4;2;25.0;0.0;27.5;35.0;0.0;1;7;2;5;3;1;2;1;0.0;0;3;0.0;0;3;0.0;0;3;7.0;1;2;35.0;1;2;7.0;3;3;0.0;0;2;0;0.0
459;35.66666666666666;7;30.0;40.0;37.0;43.0;33.08823529411764;17;14;6;30.0;27.5;30.0;35.0;40.0;0;18;18;0;7;7;0;2;30.0;1;3;42.0;1;3;33.0;1;3;33.0;1;2;35.0;1;2;35.0;1;3;39.0;1;2;2;36.30555555555556
461;39.2;7;35.0;45.0;40.0;44.0;37.05882352941177;17;17;7;30.0;45.0;35.0;45.0;35.0;1;18;15;3;7;6;1;2;29.0;2;3;35.0;1;3;30.0;1;3;30.0;1;2;35.0;1;2;45.0;1;3;33.0;1;2;2;35.16666666666666
462;40.86666666666667;7;35.0;45.0;45.0;49.0;37.41176470588236;17;17;7;35.0;30.0;35.0;45.0;43.0;0;18;18;0;7;7;0;2;30.0;1;3;50.0;1;3;30.0;1;3;35.0;1;2;35.0;1;2;35.0;1;3;44.0;1;2;2;37.375
463;31.88888888888889;5;23.33333333333333;45.0;32.0;33.0;30.70588235294118;17;13;5;35.0;30.0;27.5;31.0;27.0;3;16;13;3;6;5;1;2;25.5;2;3;31.0;1;3;32.5;2;3;31.0;1;2;35.0;1;2;31.0;2;3;0.0;0;2;1;29.46875
464;29.41025641025641;4;23.33333333333333;40.0;17.0;0.0;33.86666666666667;15;15;6;30.0;36.0;30.0;40.0;0.0;1;16;10;6;6;4;2;2;30.0;1;3;28.0;1;3;22.66666666666667;3;3;31.0;1;2;40.0;1;2;34.0;1;3;0.0;0;2;2;31.30769230769231
465;38.66666666666666;7;30.0;45.0;45.0;50.0;31.76470588235294;17;14;6;30.0;22.66666666666667;30.0;35.0;41.0;2;18;15;3;7;6;1;2;29.5;2;3;31.5;2;3;40.0;1;3;30.0;1;2;40.0;1;2;35.0;1;3;45.0;1;2;2;33.83333333333334
466;40.06666666666667;7;30.0;45.0;45.0;43.0;41.41176470588236;17;17;7;40.0;45.0;35.0;45.0;47.0;0;18;18;0;7;7;0;2;30.0;1;3;40.0;1;3;40.0;1;3;30.0;1;2;40.0;1;2;45.0;1;3;46.0;1;2;2;37.83333333333334
467;37.56666666666667;6;35.0;35.0;45.0;48.0;37.3235294117647;17;14;6;35.0;27.5;45.0;45.0;46.0;0;16;16;0;6;6;0;2;38.0;1;3;33.0;1;3;30.0;1;3;35.0;1;2;40.0;1;2;45.0;1;3;0.0;0;2;2;34.25
469;44.6;7;45.0;50.0;45.0;42.0;42.41176470588236;17;17;7;40.0;45.0;40.0;45.0;38.0;0;18;18;0;7;7;0;2;35.0;1;3;45.0;1;3;35.0;1;3;40.0;1;2;35.0;1;2;45.0;1;3;48.0;1;2;3;40.33333333333334
