"NUMERO","ID","GENERO","TIPO_COLEGIO","LOCALIDAD_COLEGIO","CALENDARIO","MUNICIPIO","DEPARTAMENTO","PG_ICFES","CON_MAT_ICFES","APT_MAT_ICFES","FISICA_ICFES","QUIMICA_ICFES","APT_VERB_ICFES","LITERATURA_ICFES","BIOLOGIA_ICFES","SOCIALES_ICFES","FILOSOFIA_ICFES","IDIOMA_ICFES","LOCALIDAD","INSCRIPCION","ESTRATO","ANO_INGRESO","CORTE_INGRESO","ESTADO_FINAL","NOTA_DIFERENCIAL","VECES_DIFERENCIAL","CREDITOS_DIFERENCIAL","NOTA_DIBUJO","VECES_DIBUJO","CREDITOS_DIBUJO","NOTA_QUIMICA","VECES_QUIMICA","CREDITOS_QUIMICA","NOTA_CFJC","VECES_CFJC","CREDITOS_CFJC","NOTA_TEXTOS","VECES_TEXTOS","CREDITOS_TEXTOS","NOTA_SEMINARIO","VECES_SEMINARIO","CREDITOS_SEMINARIO","NOTA_EE_UNO","VECES_EE_UNO","CREDITOS_EE_UNO","NOTA_ALGEBRA","VECES_ALGEBRA","CREDITOS_ALGEBRA","NOTA_INTEGRAL","VECES_INTEGRAL","CREDITOS_INTEGRAL","NOTA_FISICA_UNO","VECES_FISICA_UNO","CREDITOS_FISICA_UNO","NOTA_MATERIALES","VECES_MATERIALES","CREDITOS_MATERIALES","NOTA_DEMOCRACIA","VECES_DEMOCRACIA","CREDITOS_DEMOCRACIA","NOTA_PBASICA","VECES_PBASICA","CREDITOS_PBASICA","NOTA_EE_DOS","VECES_EE_DOS","CREDITOS_EE_DOS","NOTA_MULTIVARIADO","VECES_MULTIVARIADO","CREDITOS_MULTIVARIADO","NOTA_ESTADISTICA_UNO","VECES_ESTADISTICA_UNO","CREDITOS_ESTADISTICA_UNO","NOTA_TERMODINAMICA","VECES_TERMODINAMICA","CREDITOS_TERMODINAMICA","NOTA_TGS","VECES_TGS","CREDITOS_TGS","NOTA_ETICA","VECES_ETICA","CREDITOS_ETICA","NOTA_PORIENTADA","VECES_PORIENTADA","CREDITOS_PORIENTADA","NOTA_EE_TRES","VECES_EE_TRES","CREDITOS_EE_TRES","NOTA_ECONOMIA_UNO","VECES_ECONOMIA_UNO","CREDITOS_ECONOMIA_UNO","NOTA_ECUACIONES","VECES_ECUACIONES","CREDITOS_ECUACIONES","NOTA_ESTADISTICA_DOS","VECES_ESTADISTICA_DOS","CREDITOS_ESTADISTICA_DOS","NOTA_FISICA_DOS","VECES_FISICA_DOS","CREDITOS_FISICA_DOS","NOTA_MECANICA","VECES_MECANICA","CREDITOS_MECANICA","NOTA_PROCESOSQ","VECES_PROCESOSQ","CREDITOS_PROCESOSQ","NOTA_EE_CUATRO","VECES_EE_CUATRO","CREDITOS_EE_CUATRO","NOTA_METODOLOGIA","VECES_METODOLOGIA","CREDITOS_METODOLOGIA","NOTA_FISICA_TRES","VECES_FISICA_TRES","CREDITOS_FISICA_TRES","NOTA_CONTABILIDAD","VECES_CONTABILIDAD","CREDITOS_CONTABILIDAD","NOTA_PROCESOSM","VECES_PROCESOSM","CREDITOS_PROCESOSM","NOTA_ADMINISTRACION","VECES_ADMINISTRACION","CREDITOS_ADMINISTRACION","NOTA_LENGUA_UNO","VECES_LENGUA_UNO","CREDITOS_LENGUA_UNO","NOTA_EI_UNO","VECES_EI_UNO","CREDITOS_EI_UNO","NOTA_EI_DOS","VECES_EI_DOS","CREDITOS_EI_DOS","NOTA_ECONOMIA_DOS","VECES_ECONOMIA_DOS","CREDITOS_ECONOMIA_DOS","NOTA_PLINEAL","VECES_PLINEAL","CREDITOS_PLINEAL","NOTA_DERECHO","VECES_DERECHO","CREDITOS_DERECHO","NOTA_IECONOMICA","VECES_IECONOMICA","CREDITOS_IECONOMICA","NOTA_DISENO","VECES_DISENO","CREDITOS_DISENO","NOTA_METODOS","VECES_METODOS","CREDITOS_METODOS","NOTA_SEGURIDAD","VECES_SEGURIDAD","CREDITOS_SEGURIDAD","NOTA_EI_TRES","VECES_EI_TRES","CREDITOS_EI_TRES","NOTA_EMPRENDIMIENTO","VECES_EMPRENDIMIENTO","CREDITOS_EMPRENDIMIENTO","NOTA_GRAFOS","VECES_GRAFOS","CREDITOS_GRAFOS","NOTA_CALIDAD_UNO","VECES_CALIDAD_UNO","CREDITOS_CALIDAD_UNO","NOTA_MERCADOTECNIA","VECES_MERCADOTECNIA","CREDITOS_MERCADOTECNIA","NOTA_ERGONOMIA","VECES_ERGONOMIA","CREDITOS_ERGONOMIA","NOTA_HOMBRE","VECES_HOMBRE","CREDITOS_HOMBRE","NOTA_EI_CUATRO","VECES_EI_CUATRO","CREDITOS_EI_CUATRO","NOTA_EI_CINCO","VECES_EI_CINCO","CREDITOS_EI_CINCO","NOTA_LOG_UNO","VECES_LOG_UNO","CREDITOS_LOG_UNO","NOTA_GOPERACIONES","VECES_GOPERACIONES","CREDITOS_GOPERACIONES","NOTA_CALIDAD_DOS","VECES_CALIDAD_DOS","CREDITOS_CALIDAD_DOS","NOTA_GAMBIENTAL","VECES_GAMBIENTAL","CREDITOS_GAMBIENTAL","NOTA_LENGUA_DOS","VECES_LENGUA_DOS","CREDITOS_LENGUA_DOS","NOTA_CONTEXTO","VECES_CONTEXTO","CREDITOS_CONTEXTO","NOTA_EI_SEIS","VECES_EI_SEIS","CREDITOS_EI_SEIS","NOTA_EI_SIETE","VECES_EI_SIETE","CREDITOS_EI_SIETE","NOTA_GRADO_UNO","VECES_GRADO_UNO","CREDITOS_GRADO_UNO","NOTA_LOG_DOS","VECES_LOG_DOS","CREDITOS_LOG_DOS","NOTA_DECISION","VECES_DECISION","CREDITOS_DECISION","NOTA_PRODUCCION","VECES_PRODUCCION","CREDITOS_PRODUCCION","NOTA_FINANZAS","VECES_FINANZAS","CREDITOS_FINANZAS","NOTA_GIT","VECES_GIT","CREDITOS_GIT","NOTA_GTH","VECES_GTH","CREDITOS_GTH","NOTA_HISTORIA","VECES_HISTORIA","CREDITOS_HISTORIA","NOTA_GRADO_DOS","VECES_GRADO_DOS","CREDITOS_GRADO_DOS","NOTA_LOG_TRES","VECES_LOG_TRES","CREDITOS_LOG_TRES","NOTA_SIMULACION","VECES_SIMULACION","CREDITOS_SIMULACION","NOTA_FORMULACION","VECES_FORMULACION","CREDITOS_FORMULACION","NOTA_GERENCIA","VECES_GERENCIA","CREDITOS_GERENCIA","NOTA_LENGUA_TRES","VECES_LENGUA_TRES","CREDITOS_LENGUA_TRES","NOTA_EI_OCHO","VECES_EI_OCHO","CREDITOS_EI_OCHO","NOTA_EI_NUEVE","VECES_EI_NUEVE","CREDITOS_EI_NUEVE"
"120","3.1781119679018E+19","FEMENINO","NO REGISTRA","ENGATIVA","NO REGISTRA","NO REGISTRA","NO REGISTRA","459.05","70.5","70.5","49.23","52.36","62.18","62.18","57.44","0","57.18","46.06","ENGATIVA","NORMAL","2","2008","3","EGRESADO","30","1","4","30","1","2","30","1","3","40","1","1","40","1","2","45","1","1","43","1","2","35","1","3","30","1","3","30","1","3","30","1","2","45","1","1","50","1","3","45","1","2","35","1","3","40","1","3","0","0","0","30","1","2","34","1","2","45","1","3","40","1","2","45","1","2","40","1","3","40","1","3","35","1","3","35","1","2","35","1","3","44","1","2","35","1","1","30","1","3","35","1","2","35","1","3","35","1","2","0","0","0","0","0","0","0","0","0","30","1","2","30","1","3","49","1","1","35","1","2","45","1","2","40","1","3","38","1","2","0","0","0","0","0","0","35","1","2","38","1","2","35","1","2","30","1","2","35","1","1","0","0","0","0","0","0","35","1","2","30","1","3","34","1","2","36","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","1","2","41","1","2","32.5","2","3","30","1","2","31","1","2","43","1","2","0","0","0","0","0","0","42","1","3","35","1","3","40","1","2","37","1","2","0","0","0","0","0","0","0","0","0"
"121","3.1781119680601E+19","MASCULINO","OFICIAL","FUERA DE BOGOTA","A","SIMIJACA","CUNDINAMARCA","457.46","78.22","78.22","46.84","57.44","55.25","55.25","58.09","0","46.04","58.45","ENGATIVA","NORMAL","1","2008","3","EGRESADO","21.666666666667","3","4","32.5","2","2","30","2","3","40","1","1","40","1","2","35","1","1","36","1","2","25","2","3","25","2","3","30","1","3","30","1","2","0","0","0","27.5","2","3","30","1","2","24","2","3","30","1","3","0","0","0","30","1","2","36","1","2","27.5","2","3","30","1","2","35","1","2","27.666666666667","3","3","30","1","3","40","1","3","23.666666666667","3","2","32","1","3","50","1","2","31","1","1","12.333333333333","3","3","43","1","2","30","1","3","35","1","2","0","0","0","45","1","2","0","0","0","35","2","2","37","1","3","38","1","1","19.5","2","2","40","1","2","34","1","3","37","1","2","0","0","0","0","0","0","47","1","2","39","1","2","36","1","2","40","1","2","30","1","1","0","0","0","0","0","0","30.5","2","2","36","1","3","40","1","2","37","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","1","2","29","2","2","31","1","3","32","1","2","36","1","2","40","1","2","0","0","0","0","0","0","37","1","3","42","1","3","0","0","0","42","1","2","0","0","0","0","0","0","0","0","0"
"122","3.1781119682183E+19","FEMENINO","NO REGISTRA","USME","NO REGISTRA","NO REGISTRA","NO REGISTRA","460.65","79.77","79.77","46.28","45.7","60.55","60.55","59.54","0","41.41","42.76","USME","NORMAL","2","2008","3","RETIRADO","15","6","4","4","1","2","22.5","2","3","30","1","1","30","1","2","35","1","1","0","0","2","9","5","3","0","0","3","13","5","3","0","0","0","0","0","0","25","3","3","0","0","0","0","0","0","10.333333333333","3","3","0","0","0","0","0","0","0","0","0","21.666666666667","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"123","3.1781119683766E+19","FEMENINO","OFICIAL","FUERA DE BOGOTA","A","ZIPAQUIRA","CUNDINAMARCA","458.59","67.77","67.77","53.97","49.26","57.14","57.14","59.24","0","56.09","49.6","FUERA DE BOGOTA","NORMAL","3","2008","3","EGRESADO","22.5","2","4","35","1","2","35","1","3","35","1","1","35","1","2","40","1","1","42","1","2","30","1","3","25","2","3","27.5","2","3","35","1","2","0","0","0","45","1","3","35","1","2","35","1","3","35","1","3","0","0","0","40","1","2","39","1","2","45","1","3","35","1","2","40","1","2","30","1","3","30","2","3","30","1","3","30","1","2","35","1","3","49","1","2","35","1","1","35","1","3","30","1","2","35","1","3","35","1","2","40","1","2","0","0","0","0","0","0","30","1","2","30","1","3","41","1","1","30","1","2","40","1","2","40","1","3","42","1","2","0","0","0","0","0","0","42","1","2","36","1","2","41","1","2","41","1","2","40","1","1","0","0","0","0","0","0","37","1","2","28.333333333333","3","3","35","1","2","34","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","1","2","33","1","2","33","1","3","27.666666666667","3","2","45","1","2","40","1","2","0","0","0","0","0","0","43","1","3","30","1","3","0","0","0","41","1","2","0","0","0","0","0","0","0","0","0"
"124","3.1781119685348E+19","MASCULINO","NO OFICIAL","FUERA DE BOGOTA","A","CHAPARRAL","TOLIMA","440.62","58.13","58.13","61.41","55.7","64.21","64.21","51.92","0","48.41","49.65","TEUSAQUILLO","NORMAL","3","2008","3","NO SUP. PRUEBA ACAD.","17.5","2","4","0","0","2","30","1","3","35","1","1","35","1","2","40","1","1","40","1","2","0","0","3","0","0","3","25","1","3","0","0","0","0","0","0","35","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"125","3.1781119686931E+19","MASCULINO","OFICIAL","ENGATIVA","A","BOGOTA","BOGOTA","472.35","81.5","81.5","46.84","43.47","61.76","61.76","53.95","0","41.05","45.98","CHAPINERO","NORMAL","3","2008","3","NO SUP. PRUEBA ACAD.","15","2","4","0","0","2","20","2","3","30","1","1","0","0","2","35","1","1","0","0","2","0","0","3","0","0","3","0","0","3","0","0","0","0","0","0","17.5","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"126","3.1781119688513E+19","FEMENINO","NO OFICIAL","KENNEDY","A","BOGOTA","BOGOTA","449.5","62.82","62.82","61.41","52.34","53.22","53.22","58.09","0","46.04","62.69","KENNEDY","NORMAL","2","2008","3","EGRESADO","22.5","2","4","40","1","2","35","1","3","40","1","1","40","1","2","40","1","1","41","1","2","35","1","3","30","1","3","35","1","3","26.5","2","2","0","0","0","40","1","3","44","1","2","35","1","3","45","1","3","0","0","0","34","2","2","43","1","2","40","1","3","44","1","2","35","1","2","35","1","3","40","1","3","30","1","3","30","1","2","35","1","3","40","1","2","35","1","1","30","1","3","35","1","2","35","1","3","35","1","2","41","1","2","0","0","0","0","0","0","40","1","2","32","1","3","37","1","1","30","1","2","40","1","2","45","1","3","42","1","2","0","0","0","0","0","0","37","1","2","37","1","2","35","1","2","41","1","2","40","1","1","0","0","0","0","0","0","33","1","2","36","1","3","31.5","2","2","41","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","1","2","28.333333333333","3","2","27.5","2","3","30.5","2","2","43","1","2","39","1","2","0","0","0","0","0","0","44","1","3","28","2","3","0","0","0","44","1","2","0","0","0","0","0","0","0","0","0"
"127","3.1781119690096E+19","MASCULINO","NO REGISTRA","FUERA DE BOGOTA","NO REGISTRA","NO REGISTRA","NO REGISTRA","461.47","74.38","74.38","56.78","60.21","47.04","47.04","44.37","0","59.65","42.2","FUERA DE BOGOTA","NORMAL","3","2008","3","EGRESADO","30","2","4","40","1","2","35","1","3","35","1","1","35","1","2","40","1","1","38","1","2","35","1","3","35","1","3","40","1","3","30","1","2","40","1","1","45","1","3","45","1","2","40","1","3","40","1","3","0","0","0","40","1","2","36","1","2","45","1","3","40","1","2","40","1","2","35","1","3","40","1","3","35","1","3","30","1","2","30","1","3","41","1","2","30","1","1","35","1","3","35","1","2","35","1","3","30","1","2","0","0","0","0","0","0","0","0","0","35","1","2","25.5","2","3","40","1","1","35","1","2","40","1","2","30","2","3","40","1","2","0","0","0","0","0","0","44","1","2","42","1","2","31","1","2","35","1","2","30","1","1","0","0","0","0","0","0","33","1","2","40","1","3","32","1","2","41","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40","1","2","29.5","2","2","42","1","3","26.666666666667","3","2","30","1","2","42","1","2","0","0","0","0","0","0","41","1","3","36","1","3","0","0","0","40","1","2","0","0","0","0","0","0","0","0","0"
"128","3.1781119691678E+19","FEMENINO","NO REGISTRA","FUERA DE BOGOTA","NO REGISTRA","NO REGISTRA","NO REGISTRA","445.86","66.94","66.94","51.86","58.17","64.95","64.95","48.64","0","57.18","60.23","KENNEDY","NORMAL","2","2008","3","NO SUP. PRUEBA ACAD.","15","2","4","0","0","2","20","2","3","40","1","1","0","0","2","40","1","1","0","0","2","0","0","3","0","0","3","15","1","3","0","0","0","45","1","1","40","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"129","3.1781119693261E+19","MASCULINO","OFICIAL","ENGATIVA","A","BOGOTA","BOGOTA","450.52","62.84","62.84","63.43","49.26","51.38","51.38","61.19","0","47.3","43.74","ENGATIVA","NORMAL","3","2008","3","NO SUP. PRUEBA ACAD.","20","5","4","37","1","2","22.5","2","3","40","1","1","22.5","2","2","35","1","1","10","2","2","20","3","3","27","2","3","30.333333333333","3","3","0","0","0","0","0","0","30","3","3","0","0","0","22.5","2","3","30","1","3","0","0","0","32","1","2","40","1","2","21.666666666667","3","3","0","0","0","22.5","4","2","37","1","3","21","4","3","31","1","3","11.333333333333","3","2","38","1","3","0","0","0","38","1","1","28.5","2","3","20.333333333333","3","2","27","3","3","36","1","2","0","0","0","0","0","0","0","0","0","25.666666666667","3","2","0","0","0","38","1","1","29","2","2","31","1","2","36","1","3","30","1","2","0","0","0","0","0","0","0","0","0","18","1","2","35","1","2","33","1","2","35","1","1","0","0","0","0","0","0","5","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","2","2","0","0","0","43","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","1","2","0","0","0","0","0","0","0","0","0"
"130","3.1781119694844E+19","MASCULINO","NO REGISTRA","KENNEDY","NO REGISTRA","NO REGISTRA","NO REGISTRA","443.08","62.82","62.82","61.41","48.97","59.48","59.48","60.25","0","38.35","38.15","SUBA","NORMAL","2","2008","3","ABANDONO","21.666666666667","3","4","30","2","2","30","2","3","35","1","1","22.5","2","2","40","1","1","45","1","2","21.666666666667","3","3","27.5","2","3","21.666666666667","3","3","31","3","2","30","1","1","35","2","3","30","2","2","30","1","3","25","2","3","0","0","0","40","1","2","35","1","2","35","1","3","32","1","2","30","1","2","38","1","3","33","1","3","37","1","3","30","1","2","32","1","3","0","0","0","25.5","2","1","34","1","3","18","2","2","25","3","3","35","2","2","0","0","0","19","1","2","45","1","2","28.666666666667","3","2","31.5","2","3","39","1","1","27.5","2","2","35","1","2","30","1","3","36","1","2","0","0","0","0","0","0","36","1","2","24","2","2","29","2","2","40","1","2","35","1","1","0","0","0","0","0","0","22.333333333333","3","2","21","2","3","37","1","2","41","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","1","2","19.5","2","2","17","1","3","14.5","2","2","35","1","2","38","1","2","0","0","0","0","0","0","0","0","0","38","1","3","0","0","0","38","1","2","0","0","0","0","0","0","0","0","0"
"131","3.1781119696426E+19","FEMENINO","NO OFICIAL","PUENTE ARANDA","A","BOGOTA","BOGOTA","443.74","65.16","65.16","51.73","48.97","66.94","66.94","58.09","0","41.05","61.22","RAFAEL URIBE URIBE","NORMAL","2","2008","3","EGRESADO","22.5","2","4","40","1","2","35","1","3","45","1","1","45","1","2","40","1","1","41","1","2","30","1","3","30","1","3","30","1","3","29","2","2","0","0","0","40","1","3","41","1","2","40","1","3","45","1","3","0","0","0","32","1","2","45","1","2","40","1","3","44","1","2","40","1","2","35","1","3","45","1","3","35","1","3","35","1","2","35","1","3","44","1","2","35","1","1","35","1","3","40","1","2","35","1","3","40","1","2","47.5","2","2","0","0","0","0","0","0","40","1","2","32","1","3","40","1","1","45","1","2","35","1","2","35","1","3","41","1","2","0","0","0","0","0","0","39","1","2","39","1","2","34","1","2","44","1","2","40","1","1","0","0","0","0","0","0","29.5","2","2","40","1","3","35","1","2","43","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","2","2","32.5","2","2","29","2","3","25","2","2","47","1","2","39","1","2","0","0","0","0","0","0","43","1","3","28","2","3","37","1","2","43","1","2","0","0","0","0","0","0","0","0","0"
"132","3.1781119698009E+19","FEMENINO","NO OFICIAL","FONTIBON","A","BOGOTA","BOGOTA","442.69","69.99","69.99","51.73","59.25","66.94","66.94","60.25","0","48.41","55.84","FONTIBON","NORMAL","3","2008","3","EGRESADO","25","2","4","40","1","2","35","1","3","40","1","1","40","1","2","40","1","1","40","1","2","30","1","3","22.5","2","3","30","1","3","30","1","2","40","1","1","50","1","3","41","1","2","30","1","3","35","1","3","0","0","0","40","1","2","41","1","2","45","1","3","40","1","2","30","1","2","30","2","3","35","1","3","35","1","3","35","1","2","40","1","3","40","1","2","30","1","1","30","1","3","30","1","2","35","1","3","35","1","2","44.5","2","2","0","0","0","0","0","0","30","1","2","34","1","3","37","1","1","35","1","2","45","1","2","35","1","3","33","1","2","0","0","0","0","0","0","31","1","2","40","1","2","33","1","2","35","1","2","40","1","1","0","0","0","0","0","0","31","1","2","34","1","3","33","1","2","46","1","2","43","1","2","0","0","0","0","0","0","0","0","0","0","0","0","32","1","2","43","1","2","47","1","3","29","2","2","35","1","2","40","1","2","0","0","0","0","0","0","42","1","3","39","1","3","44","1","2","42","1","2","0","0","0","0","0","0","0","0","0"
"133","3.1781119699591E+19","MASCULINO","NO REGISTRA","FUERA DE BOGOTA","NO REGISTRA","NO REGISTRA","NO REGISTRA","450.03","60.82","60.82","51.86","60.46","67.71","67.71","52.56","0","54.5","66.91","SANTA FE","NORMAL","3","2008","3","EGRESADO","22.5","2","4","40","1","2","40","1","3","40","1","1","35","1","2","45","1","1","38","1","2","40","1","3","35","1","3","30","1","3","40","1","2","0","0","0","45","1","3","47","1","2","45","1","3","40","1","3","0","0","0","40","1","2","40","1","2","40","1","3","40","1","2","35","1","2","40","1","3","40","1","3","35","1","3","40","1","2","30","1","3","44","1","2","30","1","1","35","1","3","35","1","2","35","1","3","30","1","2","42.5","4","2","0","0","0","0","0","0","35","1","2","23.333333333333","3","3","45","1","1","35","1","2","45","1","2","35","1","3","41","1","2","0","0","0","0","0","0","33","2","2","40","1","2","39","1","2","30","1","2","35","1","1","0","0","0","0","0","0","34","1","2","46","1","3","32","1","2","45","1","2","40","1","2","0","0","0","0","0","0","0","0","0","0","0","0","40","1","2","39","1","2","30","1","3","30","1","2","37","1","2","44","1","2","0","0","0","0","0","0","44","1","3","35","1","3","0","0","0","39","1","2","0","0","0","0","0","0","0","0","0"
"134","3.1781119701174E+19","MASCULINO","NO REGISTRA","FUERA DE BOGOTA","NO REGISTRA","NO REGISTRA","NO REGISTRA","454.18","66.94","66.94","61.71","57.89","57.87","57.87","58.29","0","56.96","40.5","FONTIBON","NORMAL","3","2008","3","EGRESADO","22.5","2","4","35","1","2","30","1","3","35","1","1","30","1","2","40","1","1","34","1","2","30","1","3","22.5","2","3","30","1","3","35","1","2","0","0","0","30","2","3","36","1","2","30","1","3","40","1","3","0","0","0","34","1","2","41","1","2","27.5","2","3","40","1","2","40","1","2","30","1","3","22.5","2","3","30","1","3","29.5","2","2","27.5","2","3","37","1","2","25","2","1","23.333333333333","3","3","33","1","2","36","1","3","35","1","2","0","0","0","30","1","2","30","1","2","31","1","2","34","1","3","44","1","1","26","2","2","45","1","2","35","1","3","37","1","2","30","1","2","0","0","0","37","1","2","31","1","2","33","1","2","41","1","2","30","1","1","0","0","0","0","0","0","27.5","2","2","26.5","2","3","38","1","2","36","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","1","2","28.5","2","2","33.5","2","3","32","1","2","40","1","2","38","1","2","0","0","0","0","0","0","37","1","3","29.666666666667","3","3","0","0","0","39","1","2","0","0","0","0","0","0","0","0","0"
"135","3.1781119702756E+19","FEMENINO","NO REGISTRA","BARRIOS UNIDOS","NO REGISTRA","NO REGISTRA","NO REGISTRA","447.92","74.44","74.44","49.23","49","53.24","53.24","51.64","0","59.65","39.07","SUBA","NORMAL","2","2008","3","EGRESADO","23.333333333333","3","4","35","1","2","27.5","2","3","40","1","1","45","1","2","40","1","1","38","1","2","30","1","3","27.5","2","3","27.5","2","3","28.5","2","2","45","1","1","45","1","3","43","1","2","27.5","2","3","30","1","3","0","0","0","26","2","2","38","1","2","30","1","3","29","2","2","40","1","2","30","1","3","25","2","3","27.5","2","3","30","1","2","25","3","3","40","1","2","22.5","2","1","23.333333333333","3","3","36","1","2","31","1","3","30","1","2","41","2","2","0","0","0","0","0","0","30","1","2","28.5","2","3","44","1","1","22.5","2","2","35","1","2","32","1","3","40","1","2","0","0","0","0","0","0","40","1","2","39","1","2","44","1","2","39","1","2","30","1","1","0","0","0","0","0","0","30","1","2","35.5","2","3","50","1","2","30","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31.5","2","2","33","1","2","33","1","3","24","2","2","42","1","2","38","1","2","0","0","0","0","0","0","31","1","3","31","2","3","37","1","2","38","1","2","0","0","0","0","0","0","0","0","0"
"136","3.1781119704339E+19","MASCULINO","OFICIAL","FUERA DE BOGOTA","A","FACATATIVA","CUNDINAMARCA","476.52","58.13","58.13","61.41","50.66","59.48","59.48","67.71","0","55.47","54.57","FUERA DE BOGOTA","NORMAL","2","2008","3","EGRESADO","20","3","4","30","1","2","30","1","3","35","1","1","35","1","2","40","1","1","37","1","2","30","1","3","21.666666666667","3","3","27.5","2","3","37","1","2","45","1","1","35","1","3","35","1","2","30","1","3","35","1","3","0","0","0","38","1","2","39","1","2","35","1","3","41","1","2","35","1","2","36","1","3","30","1","3","40","1","3","31","1","2","22.5","2","3","31","1","2","35","1","1","21.666666666667","3","3","35","1","2","41","1","3","38","1","2","0","0","0","40","1","2","35","1","2","30","1","2","27.5","2","3","41","1","1","22.5","2","2","40","1","2","37","1","3","31","1","2","0","0","0","0","0","0","48","1","2","43","1","2","41","1","2","41","1","2","40","1","1","0","0","0","0","0","0","38","1","2","31","1","3","37","1","2","44","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","1","2","36","1","2","41","1","3","25.5","2","2","40","1","2","40","1","2","0","0","0","0","0","0","38","1","3","39","1","3","0","0","0","45","1","2","0","0","0","0","0","0","0","0","0"
